=== Task 4a – Correctness ===
  correctness check passed: power-of-2 (512×64)
  correctness check passed: non-power-of-2 (500×70)
  correctness check passed: non-power-of-2 (1000×96)

=== Task 4b – Bandwidth Sweep ===
  N=  16  elapsed=   7.08 µs  bandwidth=18.52 GB/s
  N=  17  elapsed= 130.06 µs  bandwidth=1.07 GB/s
  N=  18  elapsed= 113.50 µs  bandwidth=1.30 GB/s
  N=  19  elapsed=  79.24 µs  bandwidth=1.96 GB/s
  N=  20  elapsed=  30.15 µs  bandwidth=5.43 GB/s
  N=  21  elapsed=  30.06 µs  bandwidth=5.72 GB/s
  N=  22  elapsed=  30.01 µs  bandwidth=6.01 GB/s
  N=  23  elapsed=  30.00 µs  bandwidth=6.28 GB/s
  N=  24  elapsed=  29.89 µs  bandwidth=6.58 GB/s
  N=  25  elapsed=  29.89 µs  bandwidth=6.85 GB/s
  N=  26  elapsed=  29.91 µs  bandwidth=7.12 GB/s
  N=  27  elapsed=  29.91 µs  bandwidth=7.39 GB/s
  N=  28  elapsed=  29.89 µs  bandwidth=7.68 GB/s
  N=  29  elapsed=  29.88 µs  bandwidth=7.95 GB/s
  N=  30  elapsed=  29.85 µs  bandwidth=8.23 GB/s
  N=  31  elapsed=  29.87 µs  bandwidth=8.50 GB/s
  N=  32  elapsed=   3.81 µs  bandwidth=68.86 GB/s
  N=  33  elapsed=  29.72 µs  bandwidth=9.10 GB/s
  N=  34  elapsed=  29.93 µs  bandwidth=9.31 GB/s
  N=  35  elapsed=  29.73 µs  bandwidth=9.64 GB/s
  N=  36  elapsed=  29.83 µs  bandwidth=9.89 GB/s
  N=  37  elapsed=  29.99 µs  bandwidth=10.11 GB/s
  N=  38  elapsed=  30.55 µs  bandwidth=10.19 GB/s
  N=  39  elapsed=  29.79 µs  bandwidth=10.73 GB/s
  N=  40  elapsed=  29.89 µs  bandwidth=10.96 GB/s
  N=  41  elapsed=  29.73 µs  bandwidth=11.30 GB/s
  N=  42  elapsed=  29.85 µs  bandwidth=11.53 GB/s
  N=  43  elapsed=  29.99 µs  bandwidth=11.75 GB/s
  N=  44  elapsed=  30.02 µs  bandwidth=12.01 GB/s
  N=  45  elapsed=  29.70 µs  bandwidth=12.41 GB/s
  N=  46  elapsed=  29.78 µs  bandwidth=12.65 GB/s
  N=  47  elapsed=  29.65 µs  bandwidth=12.99 GB/s
  N=  48  elapsed=  29.75 µs  bandwidth=13.22 GB/s
  N=  49  elapsed=  29.92 µs  bandwidth=13.42 GB/s
  N=  50  elapsed=  30.38 µs  bandwidth=13.48 GB/s
  N=  51  elapsed=  29.86 µs  bandwidth=13.99 GB/s
  N=  52  elapsed=  29.85 µs  bandwidth=14.27 GB/s
  N=  53  elapsed=  29.77 µs  bandwidth=14.58 GB/s
  N=  54  elapsed=  30.13 µs  bandwidth=14.68 GB/s
  N=  55  elapsed=  29.84 µs  bandwidth=15.10 GB/s
  N=  56  elapsed=  29.54 µs  bandwidth=15.53 GB/s
