variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,21.24880,25.872,
A,64,64,32,2,4,1,21.39433,25.696,
A,64,64,32,2,8,1,39.94624,13.762,
A,64,64,32,4,2,1,21.06684,26.096,
A,64,64,32,4,4,1,21.29387,25.818,
A,64,64,32,4,8,1,51.40353,10.695,
A,64,64,32,8,2,1,21.27701,25.838,
A,64,64,32,8,4,1,21.25956,25.859,
A,64,64,32,8,8,1,22.06276,24.918,
A,64,64,64,2,2,1,43.69718,12.581,
A,64,64,64,2,4,1,17.47487,31.460,
A,64,64,64,2,8,1,25.87519,21.246,
A,64,64,64,4,2,1,20.53711,26.769,
A,64,64,64,4,4,1,45.51498,12.079,
A,64,64,64,4,8,1,20.45360,26.878,
A,64,64,64,8,2,1,19.21605,28.609,
A,64,64,64,8,4,1,44.97664,12.223,
A,64,64,64,8,8,1,45.25282,12.149,
A,64,64,128,2,2,1,25.53651,21.528,
A,64,64,128,2,4,1,36.32101,15.136,
A,64,64,128,2,8,1,24.08000,22.830,
A,64,64,128,4,2,1,22.28211,24.673,
A,64,64,128,4,4,1,22.27840,24.677,
A,64,64,128,4,8,1,37.01522,14.852,
A,64,64,128,8,2,1,21.81733,25.198,
A,64,64,128,8,4,1,48.93359,11.235,
A,64,64,128,8,8,1,22.34688,24.601,
A,64,128,32,2,2,1,17.06002,32.225,
A,64,128,32,2,4,1,41.90029,13.121,
A,64,128,32,2,8,1,17.98647,30.565,
A,64,128,32,4,2,1,17.10955,32.132,
A,64,128,32,4,4,1,17.47046,31.468,
A,64,128,32,4,8,1,21.46020,25.617,
A,64,128,32,8,2,1,18.79337,29.253,
A,64,128,32,8,4,1,31.50487,17.450,
A,64,128,32,8,8,1,20.30353,27.077,
A,64,128,64,2,2,1,13.86228,39.658,
A,64,128,64,2,4,1,13.96100,39.378,
A,64,128,64,2,8,1,38.55633,14.259,
A,64,128,64,4,2,1,37.74664,14.564,
A,64,128,64,4,4,1,13.66731,40.224,
A,64,128,64,4,8,1,37.28813,14.743,
A,64,128,64,8,2,1,13.54804,40.578,
A,64,128,64,8,4,1,32.55005,16.890,
A,64,128,64,8,8,1,13.96397,39.370,
A,64,128,128,2,2,1,22.75055,24.165,
A,64,128,128,2,4,1,26.72013,20.575,
A,64,128,128,2,8,1,27.31296,20.128,
A,64,128,128,4,2,1,19.98483,27.509,
A,64,128,128,4,4,1,20.71245,26.542,
A,64,128,128,4,8,1,21.03025,26.141,
A,64,128,128,8,2,1,51.66824,10.640,
A,64,128,128,8,4,1,19.46137,28.249,
A,64,128,128,8,8,1,19.81783,27.740,
A,64,256,32,2,2,1,13.73075,40.038,
A,64,256,32,2,4,1,13.40703,41.005,
A,64,256,32,2,8,1,14.02542,39.197,
A,64,256,32,4,2,1,13.29379,41.354,
A,64,256,32,4,4,1,13.42603,40.947,
A,64,256,32,4,8,1,35.51109,15.481,
A,64,256,32,8,2,1,13.33819,41.217,
A,64,256,32,8,4,1,34.46423,15.951,
A,64,256,32,8,8,1,14.80918,37.123,
A,64,256,64,2,2,1,18.89997,29.088,
A,64,256,64,2,4,1,51.10900,10.757,
A,64,256,64,2,8,1,18.94166,29.024,
A,64,256,64,4,2,1,18.79346,29.253,
A,64,256,64,4,4,1,52.35936,10.500,
A,64,256,64,4,8,1,53.35689,10.303,
A,64,256,64,8,2,1,19.72715,27.868,
A,64,256,64,8,4,1,22.42924,24.511,
A,64,256,64,8,8,1,18.90757,29.076,
A,128,64,32,2,2,1,19.21274,28.614,
A,128,64,32,2,4,1,48.18017,11.410,
A,128,64,32,2,8,1,18.62340,29.520,
A,128,64,32,4,2,1,18.54656,29.642,
A,128,64,32,4,4,1,18.69373,29.409,
A,128,64,32,4,8,1,18.60506,29.549,
A,128,64,32,8,2,1,18.62512,29.517,
A,128,64,32,8,4,1,20.66575,26.602,
A,128,64,32,8,8,1,20.30829,27.071,
A,128,64,64,2,2,1,16.56172,33.194,
A,128,64,64,2,4,1,16.51675,33.285,
A,128,64,64,2,8,1,38.46885,14.291,
A,128,64,64,4,2,1,16.31813,33.690,
A,128,64,64,4,4,1,15.89025,34.597,
A,128,64,64,4,8,1,14.98959,36.676,
A,128,64,64,8,2,1,16.48108,33.357,
A,128,64,64,8,4,1,39.58681,13.887,
A,128,64,64,8,8,1,15.90784,34.559,
A,128,64,128,2,2,1,58.92676,9.329,
A,128,64,128,2,4,1,59.25751,9.277,
A,128,64,128,2,8,1,22.86976,24.039,
A,128,64,128,4,2,1,20.87846,26.331,
A,128,64,128,4,4,1,20.54744,26.755,
A,128,64,128,4,8,1,20.66158,26.608,
A,128,64,128,8,2,1,23.32390,23.570,
A,128,64,128,8,4,1,60.21803,9.129,
A,128,64,128,8,8,1,54.65184,10.059,
A,128,128,32,2,2,1,63.26644,8.690,
A,128,128,32,2,4,1,66.31144,8.291,
A,128,128,32,2,8,1,26.26688,20.930,
A,128,128,32,4,2,1,25.40608,21.639,
A,128,128,32,4,4,1,59.44599,9.248,
A,128,128,32,4,8,1,23.84218,23.058,
A,128,128,32,8,2,1,37.91781,14.499,
A,128,128,32,8,4,1,23.50132,23.393,
A,128,128,32,8,8,1,62.76317,8.759,
A,128,128,64,2,2,1,15.87013,34.641,
A,128,128,64,2,4,1,15.84169,34.703,
A,128,128,64,2,8,1,16.58097,33.156,
A,128,128,64,4,2,1,43.45421,12.651,
A,128,128,64,4,4,1,15.79203,34.812,
A,128,128,64,4,8,1,37.00070,14.858,
