variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,2.49515,6.885,
A,64,64,32,2,4,1,2.28347,7.524,
A,64,64,32,2,8,1,2.29755,7.477,
A,64,64,32,4,2,1,2.28219,7.528,
A,64,64,32,4,4,1,2.29103,7.499,
A,64,64,32,4,8,1,2.29902,7.473,
A,64,64,32,8,2,1,2.30501,7.453,
A,64,64,32,8,4,1,2.31028,7.436,
A,64,64,32,8,8,1,2.30484,7.454,
A,64,64,64,2,2,1,2.26972,7.569,
A,64,64,64,2,4,1,2.27370,7.556,
A,64,64,64,2,8,1,2.27956,7.536,
A,64,64,64,4,2,1,2.26964,7.569,
A,64,64,64,4,4,1,2.27584,7.549,
A,64,64,64,4,8,1,2.25745,7.610,
A,64,64,64,8,2,1,2.27074,7.566,
A,64,64,64,8,4,1,2.27815,7.541,
A,64,64,64,8,8,1,2.29908,7.472,
A,64,64,128,2,2,1,6.80940,2.523,
A,64,64,128,2,4,1,6.80119,2.526,
A,64,64,128,2,8,1,6.80746,2.524,
A,64,64,128,4,2,1,6.79381,2.529,
A,64,64,128,4,4,1,6.83567,2.513,
A,64,64,128,4,8,1,6.78368,2.533,
A,64,64,128,8,2,1,6.76409,2.540,
A,64,64,128,8,4,1,6.68778,2.569,
A,64,64,128,8,8,1,6.76864,2.538,
A,64,128,32,2,2,1,3.19131,5.383,
A,64,128,32,2,4,1,3.16957,5.420,
A,64,128,32,2,8,1,3.16491,5.428,
A,64,128,32,4,2,1,3.16698,5.425,
A,64,128,32,4,4,1,3.19663,5.374,
A,64,128,32,4,8,1,3.14509,5.462,
A,64,128,32,8,2,1,3.18219,5.399,
A,64,128,32,8,4,1,3.20955,5.353,
A,64,128,32,8,8,1,3.15870,5.439,
A,64,128,64,2,2,1,3.24894,5.288,
A,64,128,64,2,4,1,3.24366,5.296,
A,64,128,64,2,8,1,4.02784,4.265,
A,64,128,64,4,2,1,3.21646,5.341,
A,64,128,64,4,4,1,3.21119,5.350,
A,64,128,64,4,8,1,3.99488,4.300,
A,64,128,64,8,2,1,3.21085,5.351,
A,64,128,64,8,4,1,3.22847,5.321,
A,64,128,64,8,8,1,4.01459,4.279,
A,64,128,128,2,2,1,2.23852,7.675,
A,64,128,128,2,4,1,2.24625,7.648,
A,64,128,128,2,8,1,2.21255,7.765,
A,64,128,128,4,2,1,2.24892,7.639,
A,64,128,128,4,4,1,2.23907,7.673,
A,64,128,128,4,8,1,2.83906,6.051,
A,64,128,128,8,2,1,2.24260,7.661,
A,64,128,128,8,4,1,2.25652,7.613,
A,64,128,128,8,8,1,2.23769,7.678,
A,64,256,32,2,2,1,2.87624,5.973,
A,64,256,32,2,4,1,3.93107,4.370,
A,64,256,32,2,8,1,5.22350,3.289,
A,64,256,32,4,2,1,2.90613,5.912,
A,64,256,32,4,4,1,3.96342,4.335,
A,64,256,32,4,8,1,5.04908,3.403,
A,64,256,32,8,2,1,3.53508,4.860,
A,64,256,32,8,4,1,4.52420,3.797,
A,64,256,32,8,8,1,5.79425,2.965,
A,64,256,64,2,2,1,2.89627,5.932,
A,64,256,64,2,4,1,2.89503,5.934,
A,64,256,64,2,8,1,3.73124,4.604,
A,64,256,64,4,2,1,3.39896,5.054,
A,64,256,64,4,4,1,3.11491,5.515,
A,64,256,64,4,8,1,4.10644,4.184,
A,64,256,64,8,2,1,3.64840,4.709,
A,64,256,64,8,4,1,3.06588,5.604,
A,64,256,64,8,8,1,3.75732,4.572,
A,128,64,32,2,2,1,3.27088,5.252,
A,128,64,32,2,4,1,3.37250,5.094,
A,128,64,32,2,8,1,3.26175,5.267,
A,128,64,32,4,2,1,3.34279,5.139,
A,128,64,32,4,4,1,3.11731,5.511,
A,128,64,32,4,8,1,3.39868,5.055,
A,128,64,32,8,2,1,3.48271,4.933,
A,128,64,32,8,4,1,3.43192,5.006,
A,128,64,32,8,8,1,3.40426,5.047,
A,128,64,64,2,2,1,4.03229,4.261,
A,128,64,64,2,4,1,4.08277,4.208,
A,128,64,64,2,8,1,4.05908,4.232,
A,128,64,64,4,2,1,3.83584,4.479,
A,128,64,64,4,4,1,3.90364,4.401,
A,128,64,64,4,8,1,3.58132,4.797,
A,128,64,64,8,2,1,2.94541,5.833,
A,128,64,64,8,4,1,2.95755,5.809,
A,128,64,64,8,8,1,2.94289,5.838,
A,128,64,128,2,2,1,4.12192,4.168,
A,128,64,128,2,4,1,4.12877,4.161,
A,128,64,128,2,8,1,4.10149,4.189,
A,128,64,128,4,2,1,4.12012,4.170,
A,128,64,128,4,4,1,4.10490,4.185,
A,128,64,128,4,8,1,4.10560,4.184,
A,128,64,128,8,2,1,4.09869,4.192,
A,128,64,128,8,4,1,4.09959,4.191,
A,128,64,128,8,8,1,4.11537,4.175,
A,128,128,32,2,2,1,3.00554,5.716,
A,128,128,32,2,4,1,2.97159,5.781,
A,128,128,32,2,8,1,3.05836,5.617,
A,128,128,32,4,2,1,3.00424,5.719,
A,128,128,32,4,4,1,3.49373,4.917,
A,128,128,32,4,8,1,3.15402,5.447,
A,128,128,32,8,2,1,2.26262,7.593,
A,128,128,32,8,4,1,2.24068,7.667,
A,128,128,32,8,8,1,2.02033,8.503,
A,128,128,64,2,2,1,4.31860,3.978,
