GPU: NVIDIA GeForce RTX 3070
a05            37.9 TFLOPS  {'k_prim': 32, 'm_l2': 8, 'm_prim': 64, 'n_l2': 8, 'n_prim': 256, 'variant': 'A'}  (2. Aufruf aus Cache: True)
square_1b       7.6 TFLOPS  {'k_prim': 32, 'm_l2': 8, 'm_prim': 64, 'n_l2': 8, 'n_prim': 256, 'variant': 'A'}  (2. Aufruf aus Cache: True)
tall            7.4 TFLOPS  {'k_prim': 32, 'm_l2': 8, 'm_prim': 128, 'n_l2': 8, 'n_prim': 128, 'variant': 'A'}  (2. Aufruf aus Cache: True)
wide           10.9 TFLOPS  {'k_prim': 32, 'm_l2': 8, 'm_prim': 128, 'n_l2': 8, 'n_prim': 128, 'variant': 'A'}  (2. Aufruf aus Cache: True)
small_k         7.9 TFLOPS  {'k_prim': 64, 'm_l2': 8, 'm_prim': 128, 'n_l2': 8, 'n_prim': 128, 'variant': 'A'}  (2. Aufruf aus Cache: True)
large_k         8.2 TFLOPS  {'k_prim': 32, 'm_l2': 8, 'm_prim': 128, 'n_l2': 8, 'n_prim': 128, 'variant': 'A'}  (2. Aufruf aus Cache: True)
krumm           5.5 TFLOPS  {'k_prim': 64, 'm_l2': 8, 'm_prim': 128, 'n_l2': 8, 'n_prim': 128, 'variant': 'A'}  (2. Aufruf aus Cache: True)
batch16        24.8 TFLOPS  {'k_prim': 128, 'm_l2': 8, 'm_prim': 64, 'n_l2': 8, 'n_prim': 128, 'variant': 'A'}  (2. Aufruf aus Cache: True)
a06            33.1 TFLOPS  {'k_prim': 64, 'm_l2': 8, 'm_prim': 64, 'n_l2': 2, 'n_prim': 128, 'variant': 'A'}  (2. Aufruf aus Cache: True)
a06_square     33.7 TFLOPS  {'k_prim': 32, 'm_l2': 8, 'm_prim': 64, 'n_l2': 8, 'n_prim': 128, 'variant': 'A'}  (2. Aufruf aus Cache: True)
a06_tall       35.9 TFLOPS  {'k_prim': 64, 'm_l2': 8, 'm_prim': 128, 'n_l2': 8, 'n_prim': 64, 'variant': 'A'}  (2. Aufruf aus Cache: True)
a06_wide       36.2 TFLOPS  {'k_prim': 64, 'm_l2': 8, 'm_prim': 64, 'n_l2': 8, 'n_prim': 128, 'variant': 'A'}  (2. Aufruf aus Cache: True)
a06_small_k    26.7 TFLOPS  {'k_prim': 32, 'm_l2': 4, 'm_prim': 128, 'n_l2': 8, 'n_prim': 128, 'variant': 'A'}  (2. Aufruf aus Cache: True)
a06_large_k    38.6 TFLOPS  {'k_prim': 32, 'm_l2': 8, 'm_prim': 128, 'n_l2': 8, 'n_prim': 64, 'variant': 'A'}  (2. Aufruf aus Cache: True)
a06_krumm      10.0 TFLOPS  {'k_prim': 64, 'm_l2': 8, 'm_prim': 64, 'n_l2': 4, 'n_prim': 256, 'variant': 'A'}  (2. Aufruf aus Cache: True)
a06_batch      32.8 TFLOPS  {'k_prim': 32, 'm_l2': 8, 'm_prim': 128, 'n_l2': 8, 'n_prim': 64, 'variant': 'A'}  (2. Aufruf aus Cache: True)
