variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,21.24926,32.744,
A,64,64,32,2,4,1,23.36243,29.782,
A,64,64,32,2,8,1,27.83246,24.999,
A,64,64,32,4,2,1,21.16198,32.879,
A,64,64,32,4,4,1,23.29779,29.865,
A,64,64,32,4,8,1,27.77221,25.053,
A,64,64,32,8,2,1,21.69481,32.071,
A,64,64,32,8,4,1,23.58351,29.503,
A,64,64,32,8,8,1,27.85968,24.975,
A,64,64,64,2,2,1,22.79422,30.525,
A,64,64,64,2,4,1,25.08885,27.733,
A,64,64,64,2,8,1,29.84585,23.313,
A,64,64,64,4,2,1,22.47078,30.964,
A,64,64,64,4,4,1,24.90879,27.933,
A,64,64,64,4,8,1,29.52499,23.566,
A,64,64,64,8,2,1,22.71886,30.626,
A,64,64,64,8,4,1,24.84019,28.010,
A,64,64,64,8,8,1,29.92707,23.249,
A,64,64,128,2,2,1,37.72132,18.445,
A,64,64,128,2,4,1,41.65222,16.705,
A,64,64,128,2,8,1,49.64218,14.016,
A,64,64,128,4,2,1,37.52489,18.542,
A,64,64,128,4,4,1,41.28768,16.852,
A,64,64,128,4,8,1,49.54829,14.043,
A,64,64,128,8,2,1,37.36207,18.623,
A,64,64,128,8,4,1,41.47533,16.776,
A,64,64,128,8,8,1,49.41346,14.081,
A,64,128,32,2,2,1,21.35232,32.586,
A,64,128,32,2,4,1,25.33274,27.466,
A,64,128,32,2,8,1,32.95867,21.111,
A,64,128,32,4,2,1,21.24128,32.756,
A,64,128,32,4,4,1,25.19245,27.619,
A,64,128,32,4,8,1,32.63249,21.322,
A,64,128,32,8,2,1,20.95946,33.197,
A,64,128,32,8,4,1,25.02685,27.802,
A,64,128,32,8,8,1,32.74206,21.250,
A,64,128,64,2,2,1,20.09884,34.618,
A,64,128,64,2,4,1,23.96625,29.032,
A,64,128,64,2,8,1,31.09050,22.379,
A,64,128,64,4,2,1,21.08211,33.004,
A,64,128,64,4,4,1,24.23999,28.704,
A,64,128,64,4,8,1,33.50647,20.766,
A,64,128,64,8,2,1,20.27292,34.321,
A,64,128,64,8,4,1,23.87646,29.141,
A,64,128,64,8,8,1,32.89310,21.153,
A,64,128,128,2,2,1,46.58176,14.937,
A,64,128,128,2,4,1,49.63533,14.018,
A,64,128,128,2,8,1,65.89542,10.559,
A,64,128,128,4,2,1,41.43514,16.792,
A,64,128,128,4,4,1,49.75240,13.985,
A,64,128,128,4,8,1,66.71872,10.429,
A,64,128,128,8,2,1,41.61710,16.719,
A,64,128,128,8,4,1,49.63840,14.017,
A,64,128,128,8,8,1,66.01830,10.539,
A,64,256,32,2,2,1,28.53990,24.379,
A,64,256,32,2,4,1,37.94350,18.337,
A,64,256,32,2,8,1,38.45921,18.091,
A,64,256,32,4,2,1,28.14037,24.725,
A,64,256,32,4,4,1,38.21387,18.208,
A,64,256,32,4,8,1,38.38444,18.127,
A,64,256,32,8,2,1,28.10163,24.760,
A,64,256,32,8,4,1,37.63118,18.490,
A,64,256,32,8,8,1,37.73808,18.437,
A,64,256,64,2,2,1,29.28555,23.759,
A,64,256,64,2,4,1,39.02464,17.829,
A,64,256,64,2,8,1,39.54534,17.595,
A,64,256,64,4,2,1,29.21646,23.815,
A,64,256,64,4,4,1,39.38381,17.667,
A,64,256,64,4,8,1,39.69641,17.528,
A,64,256,64,8,2,1,29.16693,23.855,
A,64,256,64,8,4,1,39.16476,17.766,
A,64,256,64,8,8,1,39.20036,17.749,
A,128,64,32,2,2,1,19.79253,35.154,
A,128,64,32,2,4,1,21.71789,32.037,
A,128,64,32,2,8,1,25.89377,26.871,
A,128,64,32,4,2,1,23.63371,29.440,
A,128,64,32,4,4,1,22.99496,30.258,
A,128,64,32,4,8,1,26.02336,26.737,
A,128,64,32,8,2,1,29.38851,23.675,
A,128,64,32,8,4,1,31.72336,21.933,
A,128,64,32,8,8,1,39.49057,17.619,
A,128,64,64,2,2,1,18.86853,36.875,
A,128,64,64,2,4,1,20.76456,33.508,
A,128,64,64,2,8,1,30.26314,22.991,
A,128,64,64,4,2,1,19.08899,36.450,
A,128,64,64,4,4,1,20.67820,33.648,
A,128,64,64,4,8,1,25.41411,27.378,
A,128,64,64,8,2,1,24.91514,27.926,
A,128,64,64,8,4,1,30.04855,23.155,
A,128,64,64,8,8,1,35.78552,19.443,
