variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,35.58707,30.896,
A,64,64,32,2,4,1,35.32240,31.128,
A,64,64,32,2,8,1,35.23109,31.209,
A,64,64,32,4,2,1,34.49324,31.876,
A,64,64,32,4,4,1,34.47400,31.894,
A,64,64,32,4,8,1,34.60178,31.776,
A,64,64,32,8,2,1,34.35746,32.002,
A,64,64,32,8,4,1,37.52878,29.298,
A,64,64,32,8,8,1,41.05236,26.783,
A,64,64,64,2,2,1,65.11892,16.885,
A,64,64,64,2,4,1,65.17009,16.871,
A,64,64,64,2,8,1,73.67412,14.924,
A,64,64,64,4,2,1,59.51283,18.475,
A,64,64,64,4,4,1,60.42522,18.196,
A,64,64,64,4,8,1,75.81082,14.503,
A,64,64,64,8,2,1,49.06214,22.411,
A,64,64,64,8,4,1,59.73778,18.406,
A,64,64,64,8,8,1,62.10150,17.705,
A,64,64,128,2,2,1,68.49280,16.053,
A,64,64,128,2,4,1,76.32845,14.405,
A,64,64,128,2,8,1,85.41235,12.873,
A,64,64,128,4,2,1,70.45230,15.606,
A,64,64,128,4,4,1,68.98739,15.938,
A,64,64,128,4,8,1,71.06509,15.472,
A,64,64,128,8,2,1,59.79848,18.387,
A,64,64,128,8,4,1,67.00032,16.411,
A,64,64,128,8,8,1,66.08803,16.637,
A,64,128,32,2,2,1,32.31078,34.029,
A,64,128,32,2,4,1,32.71333,33.611,
A,64,128,32,2,8,1,33.43419,32.886,
A,64,128,32,4,2,1,31.62829,34.764,
A,64,128,32,4,4,1,31.98003,34.381,
A,64,128,32,4,8,1,32.55296,33.776,
A,64,128,32,8,2,1,31.59022,34.805,
A,64,128,32,8,4,1,31.81227,34.563,
A,64,128,32,8,8,1,32.38470,33.952,
A,64,128,64,2,2,1,48.17579,22.823,
A,64,128,64,2,4,1,48.83797,22.513,
A,64,128,64,2,8,1,49.86943,22.048,
A,64,128,64,4,2,1,43.63110,25.200,
A,64,128,64,4,4,1,44.52405,24.695,
A,64,128,64,4,8,1,45.42234,24.206,
A,64,128,64,8,2,1,51.09214,21.520,
A,64,128,64,8,4,1,49.27770,22.313,
A,64,128,64,8,8,1,42.96781,25.589,
A,64,128,128,2,2,1,94.78554,11.600,
A,64,128,128,2,4,1,89.94970,12.224,
A,64,128,128,2,8,1,82.59174,13.313,
A,64,128,128,4,2,1,77.24902,14.233,
A,64,128,128,4,4,1,79.55558,13.821,
A,64,128,128,4,8,1,76.65618,14.343,
A,64,128,128,8,2,1,89.17863,12.329,
A,64,128,128,8,4,1,76.40730,14.390,
A,64,128,128,8,8,1,74.32090,14.794,
A,64,256,32,2,2,1,43.35488,25.361,
A,64,256,32,2,4,1,37.92051,28.995,
A,64,256,32,2,8,1,172.81741,6.362,
A,64,256,32,4,2,1,104.65690,10.506,
A,64,256,32,4,4,1,125.10003,8.789,
A,64,256,32,4,8,1,174.44455,6.303,
A,64,256,32,8,2,1,106.11814,10.361,
A,64,256,32,8,4,1,105.71571,10.401,
A,64,256,32,8,8,1,173.16762,6.349,
