variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,29.83987,4.169,
A,64,64,32,2,4,1,30.73372,4.048,
A,64,64,32,2,8,1,35.40586,3.514,
A,64,64,32,4,2,1,29.37038,4.236,
A,64,64,32,4,4,1,29.40382,4.231,
A,64,64,32,4,8,1,29.40570,4.231,
A,64,64,32,8,2,1,29.42140,4.229,
A,64,64,32,8,4,1,29.39426,4.233,
A,64,64,32,8,8,1,29.49222,4.219,
A,64,64,64,2,2,1,19.58457,6.353,
A,64,64,64,2,4,1,19.46341,6.392,
A,64,64,64,2,8,1,19.49983,6.380,
A,64,64,64,4,2,1,19.24915,6.463,
A,64,64,64,4,4,1,19.29046,6.450,
A,64,64,64,4,8,1,19.38284,6.419,
A,64,64,64,8,2,1,19.13976,6.500,
A,64,64,64,8,4,1,19.17023,6.490,
A,64,64,64,8,8,1,19.19217,6.483,
A,64,64,128,2,2,1,11.66676,10.664,
A,64,64,128,2,4,1,11.65882,10.671,
A,64,64,128,2,8,1,11.71448,10.621,
A,64,64,128,4,2,1,11.53496,10.786,
A,64,64,128,4,4,1,11.53710,10.784,
A,64,64,128,4,8,1,11.60000,10.726,
A,64,64,128,8,2,1,11.54976,10.772,
A,64,64,128,8,4,1,11.49938,10.819,
A,64,64,128,8,8,1,11.55560,10.767,
A,64,128,32,2,2,1,39.70535,3.133,
A,64,128,32,2,4,1,39.84205,3.123,
A,64,128,32,2,8,1,39.85613,3.122,
A,64,128,32,4,2,1,39.52670,3.148,
A,64,128,32,4,4,1,39.72762,3.132,
A,64,128,32,4,8,1,39.73294,3.131,
A,64,128,32,8,2,1,39.83667,3.123,
A,64,128,32,8,4,1,39.83002,3.124,
A,64,128,32,8,8,1,39.80646,3.126,
A,64,128,64,2,2,1,14.63803,8.500,
A,64,128,64,2,4,1,14.54877,8.552,
A,64,128,64,2,8,1,14.57900,8.534,
A,64,128,64,4,2,1,14.54750,8.552,
A,64,128,64,4,4,1,14.61199,8.515,
A,64,128,64,4,8,1,14.66140,8.486,
A,64,128,64,8,2,1,14.63360,8.502,
A,64,128,64,8,4,1,14.63580,8.501,
A,64,128,64,8,8,1,14.63351,8.502,
A,64,128,128,2,2,1,65.97871,1.886,
A,64,128,128,2,4,1,65.74899,1.892,
A,64,128,128,2,8,1,65.52986,1.899,
A,64,128,128,4,2,1,65.97837,1.886,
A,64,128,128,4,4,1,65.78589,1.891,
A,64,128,128,4,8,1,65.73773,1.893,
A,64,128,128,8,2,1,65.80122,1.891,
A,64,128,128,8,4,1,65.94765,1.887,
A,64,128,128,8,8,1,65.16975,1.909,
A,64,256,32,2,2,1,57.42456,2.167,
A,64,256,32,2,4,1,57.22624,2.174,
A,64,256,32,2,8,1,62.90603,1.978,
A,64,256,32,4,2,1,57.71913,2.156,
A,64,256,32,4,4,1,57.28525,2.172,
A,64,256,32,4,8,1,61.62193,2.019,
A,64,256,32,8,2,1,57.28766,2.172,
A,64,256,32,8,4,1,57.21771,2.174,
A,64,256,32,8,8,1,60.68397,2.050,
A,64,256,64,2,2,1,58.87897,2.113,
A,64,256,64,2,4,1,12.05440,10.321,
A,64,256,64,2,8,1,18.48917,6.729,
A,64,256,64,4,2,1,58.97591,2.110,
A,64,256,64,4,4,1,12.01406,10.356,
A,64,256,64,4,8,1,18.58051,6.696,
A,64,256,64,8,2,1,58.68066,2.120,
A,64,256,64,8,4,1,12.00189,10.366,
A,64,256,64,8,8,1,18.48292,6.731,
A,128,64,32,2,2,1,32.01434,3.886,
A,128,64,32,2,4,1,32.05035,3.882,
A,128,64,32,2,8,1,32.12919,3.872,
A,128,64,32,4,2,1,32.01143,3.887,
A,128,64,32,4,4,1,31.98549,3.890,
A,128,64,32,4,8,1,32.08704,3.877,
A,128,64,32,8,2,1,32.87429,3.785,
A,128,64,32,8,4,1,33.37931,3.727,
A,128,64,32,8,8,1,33.40554,3.724,
A,128,64,64,2,2,1,17.16998,7.246,
A,128,64,64,2,4,1,17.17107,7.246,
A,128,64,64,2,8,1,17.21699,7.226,
A,128,64,64,4,2,1,17.04624,7.299,
A,128,64,64,4,4,1,17.04691,7.298,
A,128,64,64,4,8,1,16.99058,7.323,
A,128,64,64,8,2,1,18.20753,6.833,
A,128,64,64,8,4,1,18.02650,6.902,
A,128,64,64,8,8,1,18.12941,6.863,
A,128,64,128,2,2,1,67.97266,1.830,
A,128,64,128,2,4,1,67.59015,1.841,
A,128,64,128,2,8,1,67.45856,1.844,
A,128,64,128,4,2,1,67.99309,1.830,
A,128,64,128,4,4,1,67.68947,1.838,
A,128,64,128,4,8,1,67.63673,1.839,
A,128,64,128,8,2,1,68.59827,1.814,
A,128,64,128,8,4,1,69.80967,1.782,
A,128,64,128,8,8,1,69.50866,1.790,
A,128,128,32,2,2,1,25.52803,4.874,
A,128,128,32,2,4,1,25.38792,4.901,
A,128,128,32,2,8,1,35.66425,3.489,
A,128,128,32,4,2,1,25.45913,4.887,
A,128,128,32,4,4,1,25.57557,4.865,
A,128,128,32,4,8,1,35.78326,3.477,
A,128,128,32,8,2,1,27.45344,4.532,
A,128,128,32,8,4,1,28.15032,4.420,
A,128,128,32,8,8,1,41.89286,2.970,
A,128,128,64,2,2,1,20.47046,6.078,
A,128,128,64,2,4,1,20.57147,6.048,
A,128,128,64,2,8,1,17.77459,7.000,
A,128,128,64,4,2,1,20.56091,6.051,
A,128,128,64,4,4,1,20.49618,6.070,
A,128,128,64,4,8,1,17.73282,7.016,
A,128,128,64,8,2,1,18.73879,6.639,
A,128,128,64,8,4,1,18.94451,6.567,
A,128,128,64,8,8,1,36.25616,3.432,
A,128,256,32,2,2,1,29.10976,4.274,
A,128,256,32,2,4,1,29.16829,4.265,
A,128,256,32,2,8,1,51.20239,2.430,
A,128,256,32,4,2,1,29.29217,4.247,
A,128,256,32,4,4,1,29.43863,4.226,
A,128,256,32,4,8,1,50.98470,2.440,
A,128,256,32,8,2,1,37.11923,3.352,
A,128,256,32,8,4,1,37.55661,3.313,
A,128,256,32,8,8,1,65.82750,1.890,
A,128,256,64,2,2,1,42.32781,2.939,
A,128,256,64,2,4,1,38.68776,3.216,
A,128,256,64,2,8,1,75.60550,1.646,
A,128,256,64,4,2,1,42.40410,2.934,
A,128,256,64,4,4,1,38.40614,3.239,
A,128,256,64,4,8,1,75.76469,1.642,
A,128,256,64,8,2,1,64.52804,1.928,
A,128,256,64,8,4,1,51.11846,2.434,
A,128,256,64,8,8,1,95.36205,1.305,
A,256,64,32,2,2,1,57.37199,2.169,
A,256,64,32,2,4,1,57.94342,2.147,
A,256,64,32,2,8,1,57.32966,2.170,
A,256,64,32,4,2,1,55.31750,2.249,
A,256,64,32,4,4,1,56.51664,2.201,
A,256,64,32,4,8,1,56.15929,2.215,
A,256,64,32,8,2,1,56.37260,2.207,
A,256,64,32,8,4,1,56.03813,2.220,
A,256,64,32,8,8,1,57.59492,2.160,
A,256,64,64,2,2,1,56.00290,2.222,
A,256,64,64,2,4,1,55.77729,2.231,
A,256,64,64,2,8,1,56.03090,2.220,
A,256,64,64,4,2,1,54.38092,2.288,
A,256,64,64,4,4,1,55.11748,2.257,
A,256,64,64,4,8,1,55.26737,2.251,
A,256,64,64,8,2,1,54.72325,2.274,
A,256,64,64,8,4,1,54.54129,2.281,
A,256,64,64,8,8,1,56.18620,2.214,
A,256,128,32,2,2,1,52.53154,2.368,
A,256,128,32,2,4,1,52.84832,2.354,
A,256,128,32,2,8,1,49.53259,2.512,
A,256,128,32,4,2,1,66.84877,1.861,
A,256,128,32,4,4,1,62.42368,1.993,
A,256,128,32,4,8,1,56.54084,2.200,
A,256,128,32,8,2,1,62.19981,2.000,
A,256,128,32,8,4,1,62.04454,2.005,
A,256,128,32,8,8,1,57.82904,2.151,
A,256,128,64,2,2,1,41.42975,3.003,
A,256,128,64,2,4,1,41.85830,2.972,
A,256,128,64,2,8,1,57.44742,2.166,
A,256,128,64,4,2,1,48.59392,2.560,
A,256,128,64,4,4,1,48.67689,2.556,
A,256,128,64,4,8,1,59.18078,2.102,
A,256,128,64,8,2,1,68.18510,1.825,
A,256,128,64,8,4,1,68.13082,1.826,
A,256,128,64,8,8,1,56.04421,2.220,
