variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,7.75881,35.428,
A,64,64,32,2,4,1,7.78101,35.327,
A,64,64,32,2,8,1,7.91883,34.712,
A,64,64,32,4,2,1,7.59331,36.200,
A,64,64,32,4,4,1,7.54634,36.425,
A,64,64,32,4,8,1,7.63957,35.981,
A,64,64,32,8,2,1,7.71827,35.614,
A,64,64,32,8,4,1,7.65939,35.888,
A,64,64,32,8,8,1,7.67164,35.830,
A,64,64,64,2,2,1,7.98943,34.405,
A,64,64,64,2,4,1,9.52396,28.862,
A,64,64,64,2,8,1,8.17347,33.630,
A,64,64,64,4,2,1,7.90184,34.787,
A,64,64,64,4,4,1,8.04864,34.152,
A,64,64,64,4,8,1,8.42235,32.637,
A,64,64,64,8,2,1,8.06270,34.093,
A,64,64,64,8,4,1,8.10304,33.923,
A,64,64,64,8,8,1,8.33076,32.996,
A,64,64,128,2,2,1,8.05302,34.134,
A,64,64,128,2,4,1,8.07517,34.040,
A,64,64,128,2,8,1,8.07424,34.044,
A,64,64,128,4,2,1,8.01422,34.299,
A,64,64,128,4,4,1,8.10352,33.921,
A,64,64,128,4,8,1,8.33271,32.988,
A,64,64,128,8,2,1,9.37350,29.325,
A,64,64,128,8,4,1,8.05553,34.123,
A,64,64,128,8,8,1,8.22309,33.428,
A,64,128,32,2,2,1,6.96344,39.474,
A,64,128,32,2,4,1,7.24383,37.946,
A,64,128,32,2,8,1,7.18205,38.273,
A,64,128,32,4,2,1,6.95622,39.515,
A,64,128,32,4,4,1,6.96737,39.452,
A,64,128,32,4,8,1,7.20094,38.173,
A,64,128,32,8,2,1,6.88853,39.904,
A,64,128,32,8,4,1,6.94585,39.574,
A,64,128,32,8,8,1,7.02405,39.134,
A,64,128,64,2,2,1,8.67982,31.669,
A,64,128,64,2,4,1,8.66783,31.712,
A,64,128,64,2,8,1,8.07331,34.048,
A,64,128,64,4,2,1,8.67265,31.695,
A,64,128,64,4,4,1,8.68177,31.661,
A,64,128,64,4,8,1,8.17316,33.632,
A,64,128,64,8,2,1,8.58980,32.001,
A,64,128,64,8,4,1,8.60663,31.938,
A,64,128,64,8,8,1,8.20641,33.496,
A,64,128,128,2,2,1,8.01756,34.284,
A,64,128,128,2,4,1,8.07161,34.055,
A,64,128,128,2,8,1,8.18629,33.578,
A,64,128,128,4,2,1,7.98413,34.428,
A,64,128,128,4,4,1,8.03702,34.201,
A,64,128,128,4,8,1,8.10888,33.898,
A,64,128,128,8,2,1,8.76043,31.377,
A,64,128,128,8,4,1,9.10945,30.175,
A,64,128,128,8,8,1,8.07001,34.062,
A,64,256,32,2,2,1,12.58296,21.845,
A,64,256,32,2,4,1,11.69621,23.501,
A,64,256,32,2,8,1,19.80485,13.879,
A,64,256,32,4,2,1,12.49226,22.004,
A,64,256,32,4,4,1,11.69133,23.511,
A,64,256,32,4,8,1,19.92433,13.796,
A,64,256,32,8,2,1,12.28376,22.377,
A,64,256,32,8,4,1,11.58123,23.735,
A,64,256,32,8,8,1,19.87962,13.827,
A,64,256,64,2,2,1,10.29187,26.708,
A,64,256,64,2,4,1,10.91150,25.192,
A,64,256,64,2,8,1,17.77624,15.463,
A,64,256,64,4,2,1,10.32307,26.628,
A,64,256,64,4,4,1,10.93246,25.143,
A,64,256,64,4,8,1,17.81197,15.432,
A,64,256,64,8,2,1,10.23305,26.862,
A,64,256,64,8,4,1,10.62245,25.877,
A,64,256,64,8,8,1,17.86019,15.391,
A,128,64,32,2,2,1,7.38705,37.211,
A,128,64,32,2,4,1,7.40731,37.109,
A,128,64,32,2,8,1,7.40509,37.120,
A,128,64,32,4,2,1,7.34926,37.402,
A,128,64,32,4,4,1,7.35126,37.392,
A,128,64,32,4,8,1,7.36928,37.301,
A,128,64,32,8,2,1,7.00038,39.266,
A,128,64,32,8,4,1,6.90219,39.825,
A,128,64,32,8,8,1,6.94339,39.588,
A,128,64,64,2,2,1,7.52311,36.538,
A,128,64,64,2,4,1,7.51317,36.586,
A,128,64,64,2,8,1,7.52481,36.530,
A,128,64,64,4,2,1,7.46569,36.819,
A,128,64,64,4,4,1,7.47721,36.762,
A,128,64,64,4,8,1,7.47268,36.784,
A,128,64,64,8,2,1,7.51842,36.561,
A,128,64,64,8,4,1,7.53827,36.464,
A,128,64,64,8,8,1,7.48190,36.739,
A,128,64,128,2,2,1,7.97149,34.483,
A,128,64,128,2,4,1,7.97976,34.447,
A,128,64,128,2,8,1,7.98279,34.434,
A,128,64,128,4,2,1,7.87586,34.901,
A,128,64,128,4,4,1,7.92727,34.675,
A,128,64,128,4,8,1,7.95961,34.534,
A,128,64,128,8,2,1,7.99646,34.375,
A,128,64,128,8,4,1,7.91067,34.748,
A,128,64,128,8,8,1,7.91183,34.743,
A,128,128,32,2,2,1,11.53934,23.821,
A,128,128,32,2,4,1,11.52038,23.860,
A,128,128,32,2,8,1,11.44654,24.014,
A,128,128,32,4,2,1,11.60303,23.690,
A,128,128,32,4,4,1,11.64269,23.609,
A,128,128,32,4,8,1,11.42733,24.054,
A,128,128,32,8,2,1,11.19342,24.557,
A,128,128,32,8,4,1,11.22157,24.495,
A,128,128,32,8,8,1,11.08511,24.797,
A,128,128,64,2,2,1,9.73764,28.228,
A,128,128,64,2,4,1,9.71281,28.301,
A,128,128,64,2,8,1,9.82739,27.971,
A,128,128,64,4,2,1,9.69060,28.365,
A,128,128,64,4,4,1,9.73222,28.244,
A,128,128,64,4,8,1,9.86676,27.859,
A,128,128,64,8,2,1,9.92393,27.698,
A,128,128,64,8,4,1,9.88548,27.806,
A,128,128,64,8,8,1,9.76837,28.140,
A,128,256,32,2,2,1,36.76815,7.476,
A,128,256,32,2,4,1,38.54319,7.132,
A,128,256,32,2,8,1,69.94944,3.930,
A,128,256,32,4,2,1,36.91643,7.446,
A,128,256,32,4,4,1,38.46044,7.147,
A,128,256,32,4,8,1,70.07898,3.922,
A,128,256,32,8,2,1,40.73626,6.748,
A,128,256,32,8,4,1,36.28646,7.575,
A,128,256,32,8,8,1,64.94549,4.232,
A,128,256,64,2,2,1,40.64895,6.762,
A,128,256,64,2,4,1,40.11827,6.852,
A,128,256,64,2,8,1,73.31287,3.749,
A,128,256,64,4,2,1,40.53323,6.782,
A,128,256,64,4,4,1,40.09270,6.856,
A,128,256,64,4,8,1,72.71885,3.780,
A,128,256,64,8,2,1,40.40986,6.802,
A,128,256,64,8,4,1,38.81843,7.081,
A,128,256,64,8,8,1,71.25094,3.858,
A,256,64,32,2,2,1,11.04937,24.877,
A,256,64,32,2,4,1,11.08493,24.797,
A,256,64,32,2,8,1,11.04044,24.897,
A,256,64,32,4,2,1,11.26855,24.393,
A,256,64,32,4,4,1,11.30937,24.305,
A,256,64,32,4,8,1,11.38682,24.140,
A,256,64,32,8,2,1,18.73276,14.674,
A,256,64,32,8,4,1,19.05306,14.427,
A,256,64,32,8,8,1,19.23765,14.289,
A,256,64,64,2,2,1,10.74556,25.581,
A,256,64,64,2,4,1,10.75881,25.549,
A,256,64,64,2,8,1,10.75024,25.569,
A,256,64,64,4,2,1,10.31050,26.660,
A,256,64,64,4,4,1,10.24888,26.820,
A,256,64,64,4,8,1,10.27477,26.753,
A,256,64,64,8,2,1,17.08962,16.084,
A,256,64,64,8,4,1,17.11605,16.060,
A,256,64,64,8,8,1,17.29646,15.892,
A,256,128,32,2,2,1,43.66897,6.295,
A,256,128,32,2,4,1,43.72941,6.286,
A,256,128,32,2,8,1,42.66140,6.443,
A,256,128,32,4,2,1,39.96725,6.878,
A,256,128,32,4,4,1,40.40832,6.803,
A,256,128,32,4,8,1,42.88589,6.410,
A,256,128,32,8,2,1,73.54317,3.738,
A,256,128,32,8,4,1,73.73005,3.728,
A,256,128,32,8,8,1,79.24226,3.469,
A,256,128,64,2,2,1,32.66239,8.416,
A,256,128,64,2,4,1,32.36968,8.492,
A,256,128,64,2,8,1,33.05206,8.317,
A,256,128,64,4,2,1,34.13507,8.053,
A,256,128,64,4,4,1,33.95604,8.095,
A,256,128,64,4,8,1,32.67007,8.414,
A,256,128,64,8,2,1,63.84981,4.305,
A,256,128,64,8,4,1,63.58196,4.323,
A,256,128,64,8,8,1,61.59260,4.463,
