variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,3.30501,20.793,
A,64,64,32,2,4,1,3.26654,21.037,
A,64,64,32,2,8,1,3.26958,21.018,
A,64,64,32,4,2,1,3.77769,18.191,
A,64,64,32,4,4,1,3.21658,21.364,
A,64,64,32,4,8,1,3.21514,21.374,
A,64,64,32,8,2,1,3.26254,21.063,
A,64,64,32,8,4,1,3.80274,18.071,
A,64,64,32,8,8,1,3.23965,21.212,
A,64,64,64,2,2,1,4.69923,14.624,
A,64,64,64,2,4,1,4.68389,14.671,
A,64,64,64,2,8,1,4.74869,14.471,
A,64,64,64,4,2,1,4.66123,14.743,
A,64,64,64,4,4,1,5.33825,12.873,
A,64,64,64,4,8,1,4.66069,14.745,
A,64,64,64,8,2,1,4.63418,14.829,
A,64,64,64,8,4,1,4.61291,14.897,
A,64,64,64,8,8,1,4.57893,15.008,
A,64,64,128,2,2,1,8.36728,8.213,
A,64,64,128,2,4,1,8.88370,7.735,
A,64,64,128,2,8,1,8.39015,8.190,
A,64,64,128,4,2,1,8.58704,8.003,
A,64,64,128,4,4,1,9.37515,7.330,
A,64,64,128,4,8,1,9.35416,7.346,
A,64,64,128,8,2,1,8.15300,8.429,
A,64,64,128,8,4,1,8.11517,8.468,
A,64,64,128,8,8,1,8.14020,8.442,
A,64,128,32,2,2,1,3.05487,22.495,
A,64,128,32,2,4,1,3.07069,22.379,
A,64,128,32,2,8,1,3.07586,22.342,
A,64,128,32,4,2,1,3.69480,18.599,
A,64,128,32,4,4,1,3.02335,22.730,
A,64,128,32,4,8,1,3.01890,22.763,
A,64,128,32,8,2,1,3.27229,21.000,
A,64,128,32,8,4,1,2.98422,23.028,
A,64,128,32,8,8,1,3.37836,20.341,
A,64,128,64,2,2,1,5.11765,13.428,
A,64,128,64,2,4,1,5.15705,13.325,
A,64,128,64,2,8,1,5.18496,13.254,
A,64,128,64,4,2,1,4.96857,13.831,
A,64,128,64,4,4,1,5.03188,13.657,
A,64,128,64,4,8,1,4.76772,14.413,
A,64,128,64,8,2,1,5.49398,12.508,
A,64,128,64,8,4,1,4.68384,14.672,
A,64,128,64,8,8,1,4.68524,14.667,
A,64,128,128,2,2,1,8.19848,8.382,
A,64,128,128,2,4,1,8.21118,8.369,
A,64,128,128,2,8,1,8.19689,8.384,
A,64,128,128,4,2,1,8.16384,8.418,
A,64,128,128,4,4,1,8.16341,8.418,
A,64,128,128,4,8,1,8.16063,8.421,
A,64,128,128,8,2,1,8.09328,8.491,
A,64,128,128,8,4,1,8.12978,8.453,
A,64,128,128,8,8,1,8.16729,8.414,
A,64,256,32,2,2,1,4.09943,16.763,
A,64,256,32,2,4,1,4.12641,16.654,
A,64,256,32,2,8,1,4.18705,16.412,
A,64,256,32,4,2,1,3.34191,20.563,
A,64,256,32,4,4,1,3.41787,20.106,
A,64,256,32,4,8,1,3.66145,18.768,
A,64,256,32,8,2,1,3.37125,20.384,
A,64,256,32,8,4,1,3.23505,21.242,
A,64,256,32,8,8,1,3.32102,20.692,
A,64,256,64,2,2,1,5.41866,12.682,
A,64,256,64,2,4,1,5.41513,12.690,
A,64,256,64,2,8,1,5.45862,12.589,
A,64,256,64,4,2,1,4.60201,14.932,
A,64,256,64,4,4,1,6.13879,11.194,
A,64,256,64,4,8,1,5.53528,12.415,
A,64,256,64,8,2,1,4.50710,15.247,
A,64,256,64,8,4,1,4.52669,15.181,
A,64,256,64,8,8,1,4.80646,14.297,
A,128,64,32,2,2,1,3.03594,22.635,
A,128,64,32,2,4,1,3.01107,22.822,
A,128,64,32,2,8,1,3.17687,21.631,
A,128,64,32,4,2,1,3.01927,22.760,
A,128,64,32,4,4,1,2.97779,23.077,
A,128,64,32,4,8,1,2.98248,23.041,
A,128,64,32,8,2,1,2.96405,23.184,
A,128,64,32,8,4,1,2.98923,22.989,
A,128,64,32,8,8,1,2.97776,23.078,
A,128,64,64,2,2,1,5.78291,11.883,
A,128,64,64,2,4,1,5.05647,13.590,
A,128,64,64,2,8,1,5.06161,13.577,
A,128,64,64,4,2,1,4.99749,13.751,
A,128,64,64,4,4,1,5.73232,11.988,
A,128,64,64,4,8,1,4.78281,14.368,
A,128,64,64,8,2,1,5.08091,13.525,
A,128,64,64,8,4,1,4.68136,14.679,
A,128,64,64,8,8,1,4.66877,14.719,
A,128,64,128,2,2,1,8.79177,7.816,
A,128,64,128,2,4,1,8.73331,7.869,
A,128,64,128,2,8,1,8.75248,7.851,
A,128,64,128,4,2,1,8.65709,7.938,
A,128,64,128,4,4,1,8.72546,7.876,
A,128,64,128,4,8,1,8.62213,7.970,
A,128,64,128,8,2,1,9.94714,6.908,
A,128,64,128,8,4,1,8.71376,7.886,
A,128,64,128,8,8,1,9.08402,7.565,
A,128,128,32,2,2,1,2.55839,26.860,
A,128,128,32,2,4,1,2.54196,27.034,
A,128,128,32,2,8,1,2.76394,24.863,
A,128,128,32,4,2,1,2.49973,27.491,
A,128,128,32,4,4,1,2.49541,27.538,
A,128,128,32,4,8,1,2.50096,27.477,
A,128,128,32,8,2,1,2.80042,24.539,
A,128,128,32,8,4,1,3.02157,22.743,
A,128,128,32,8,8,1,2.42862,28.296,
A,128,128,64,2,2,1,5.55657,12.367,
A,128,128,64,2,4,1,4.68977,14.653,
A,128,128,64,2,8,1,4.92549,13.952,
A,128,128,64,4,2,1,5.55814,12.364,
A,128,128,64,4,4,1,4.62667,14.853,
A,128,128,64,4,8,1,4.49005,15.305,
A,128,128,64,8,2,1,5.33198,12.888,
A,128,128,64,8,4,1,5.22318,13.157,
A,128,128,64,8,8,1,4.49477,15.289,
A,128,256,32,2,2,1,8.63520,7.958,
A,128,256,32,2,4,1,9.77890,7.027,
A,128,256,32,2,8,1,9.35906,7.343,
A,128,256,32,4,2,1,8.59229,7.998,
A,128,256,32,4,4,1,8.70394,7.895,
A,128,256,32,4,8,1,10.34385,6.644,
A,128,256,32,8,2,1,8.36901,8.211,
A,128,256,32,8,4,1,8.66620,7.930,
A,128,256,32,8,8,1,10.22706,6.719,
A,128,256,64,2,2,1,27.52398,2.497,
A,128,256,64,2,4,1,27.63164,2.487,
A,128,256,64,2,8,1,31.19430,2.203,
A,128,256,64,4,2,1,27.34885,2.513,
A,128,256,64,4,4,1,30.18216,2.277,
A,128,256,64,4,8,1,27.32339,2.515,
A,128,256,64,8,2,1,26.86412,2.558,
A,128,256,64,8,4,1,27.10224,2.536,
A,128,256,64,8,8,1,26.49890,2.593,
A,256,64,32,2,2,1,3.21652,21.365,
A,256,64,32,2,4,1,3.48974,19.692,
A,256,64,32,2,8,1,3.78792,18.142,
A,256,64,32,4,2,1,3.76442,18.255,
A,256,64,32,4,4,1,3.85700,17.817,
A,256,64,32,4,8,1,3.11216,22.081,
A,256,64,32,8,2,1,3.28971,20.889,
A,256,64,32,8,4,1,3.60036,19.087,
A,256,64,32,8,8,1,3.12563,21.986,
A,256,64,64,2,2,1,4.57760,15.012,
A,256,64,64,2,4,1,4.55032,15.102,
A,256,64,64,2,8,1,4.53511,15.153,
A,256,64,64,4,2,1,4.49444,15.290,
A,256,64,64,4,4,1,5.20039,13.214,
A,256,64,64,4,8,1,4.46015,15.407,
A,256,64,64,8,2,1,4.63430,14.828,
A,256,64,64,8,4,1,4.46833,15.379,
A,256,64,64,8,8,1,4.50884,15.241,
A,256,128,32,2,2,1,6.93326,9.912,
A,256,128,32,2,4,1,6.91114,9.943,
A,256,128,32,2,8,1,7.04840,9.750,
A,256,128,32,4,2,1,6.95166,9.885,
A,256,128,32,4,4,1,6.95382,9.882,
A,256,128,32,4,8,1,6.93716,9.906,
A,256,128,32,8,2,1,6.94588,9.894,
A,256,128,32,8,4,1,6.87953,9.989,
A,256,128,32,8,8,1,6.87328,9.998,
A,256,128,64,2,2,1,21.27219,3.230,
A,256,128,64,2,4,1,21.49862,3.196,
A,256,128,64,2,8,1,21.62020,3.178,
A,256,128,64,4,2,1,21.52280,3.193,
A,256,128,64,4,4,1,21.29624,3.227,
A,256,128,64,4,8,1,21.37488,3.215,
A,256,128,64,8,2,1,21.56944,3.186,
A,256,128,64,8,4,1,21.37029,3.216,
A,256,128,64,8,8,1,21.16666,3.247,
