variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,8.43917,32.572,
A,64,64,32,2,4,1,8.53636,32.201,
A,64,64,32,2,8,1,8.57767,32.046,
A,64,64,32,4,2,1,8.37464,32.823,
A,64,64,32,4,4,1,8.42849,32.613,
A,64,64,32,4,8,1,8.57508,32.055,
A,64,64,32,8,2,1,8.47858,32.420,
A,64,64,32,8,4,1,9.84536,27.920,
A,64,64,32,8,8,1,8.73228,31.478,
A,64,64,64,2,2,1,9.12464,30.125,
A,64,64,64,2,4,1,10.12614,27.145,
A,64,64,64,2,8,1,11.29304,24.340,
A,64,64,64,4,2,1,10.24128,26.840,
A,64,64,64,4,4,1,9.06676,30.317,
A,64,64,64,4,8,1,9.13573,30.088,
A,64,64,64,8,2,1,10.76419,25.536,
A,64,64,64,8,4,1,9.04335,30.396,
A,64,64,64,8,8,1,9.13859,30.079,
A,64,64,128,2,2,1,15.06099,18.251,
A,64,64,128,2,4,1,15.16023,18.132,
A,64,64,128,2,8,1,15.22815,18.051,
A,64,64,128,4,2,1,14.95665,18.378,
A,64,64,128,4,4,1,15.00672,18.317,
A,64,64,128,4,8,1,15.07499,18.234,
A,64,64,128,8,2,1,15.03308,18.285,
A,64,64,128,8,4,1,15.03001,18.289,
A,64,64,128,8,8,1,15.17517,18.114,
A,64,128,32,2,2,1,7.84666,35.031,
A,64,128,32,2,4,1,7.98386,34.429,
A,64,128,32,2,8,1,8.22598,33.416,
A,64,128,32,4,2,1,7.73034,35.558,
A,64,128,32,4,4,1,7.78013,35.331,
A,64,128,32,4,8,1,7.88520,34.860,
A,64,128,32,8,2,1,7.66541,35.860,
A,64,128,32,8,4,1,7.69545,35.720,
A,64,128,32,8,8,1,7.99174,34.395,
A,64,128,64,2,2,1,7.35958,37.350,
A,64,128,64,2,4,1,7.56575,36.332,
A,64,128,64,2,8,1,7.97264,34.478,
A,64,128,64,4,2,1,7.21407,38.103,
A,64,128,64,4,4,1,7.20924,38.129,
A,64,128,64,4,8,1,7.44185,36.937,
A,64,128,64,8,2,1,7.14331,38.480,
A,64,128,64,8,4,1,7.16648,38.356,
A,64,128,64,8,8,1,7.34974,37.400,
A,64,128,128,2,2,1,15.37399,17.879,
A,64,128,128,2,4,1,15.22783,18.051,
A,64,128,128,2,8,1,15.26672,18.005,
A,64,128,128,4,2,1,15.07584,18.233,
A,64,128,128,4,4,1,15.12600,18.173,
A,64,128,128,4,8,1,15.20734,18.075,
A,64,128,128,8,2,1,15.09291,18.212,
A,64,128,128,8,4,1,15.13164,18.166,
A,64,128,128,8,8,1,15.17987,18.108,
A,64,256,32,2,2,1,8.67182,31.698,
A,64,256,32,2,4,1,8.73925,31.453,
A,64,256,32,2,8,1,8.74432,31.435,
A,64,256,32,4,2,1,8.61847,31.894,
A,64,256,32,4,4,1,8.69210,31.624,
A,64,256,32,4,8,1,8.73727,31.460,
A,64,256,32,8,2,1,8.60414,31.947,
A,64,256,32,8,4,1,8.61881,31.893,
A,64,256,32,8,8,1,8.74136,31.446,
A,64,256,64,2,2,1,8.82142,31.160,
A,64,256,64,2,4,1,8.78996,31.272,
A,64,256,64,2,8,1,9.15436,30.027,
A,64,256,64,4,2,1,8.75122,31.410,
A,64,256,64,4,4,1,8.76515,31.360,
A,64,256,64,4,8,1,9.14692,30.051,
A,64,256,64,8,2,1,8.70273,31.585,
A,64,256,64,8,4,1,8.72494,31.505,
A,64,256,64,8,8,1,9.03397,30.427,
A,128,64,32,2,2,1,7.83222,35.096,
A,128,64,32,2,4,1,7.84233,35.051,
A,128,64,32,2,8,1,7.80583,35.214,
A,128,64,32,4,2,1,7.77265,35.365,
A,128,64,32,4,4,1,7.81459,35.175,
A,128,64,32,4,8,1,7.83284,35.093,
A,128,64,32,8,2,1,7.79968,35.242,
A,128,64,32,8,4,1,7.81869,35.157,
A,128,64,32,8,8,1,7.74509,35.491,
A,128,64,64,2,2,1,7.77378,35.360,
A,128,64,64,2,4,1,7.80720,35.208,
A,128,64,64,2,8,1,7.80844,35.203,
A,128,64,64,4,2,1,7.69470,35.723,
A,128,64,64,4,4,1,7.78842,35.293,
A,128,64,64,4,8,1,7.76098,35.418,
A,128,64,64,8,2,1,7.78871,35.292,
A,128,64,64,8,4,1,7.78962,35.288,
A,128,64,64,8,8,1,7.78889,35.291,
A,128,64,128,2,2,1,15.13226,18.165,
A,128,64,128,2,4,1,15.10297,18.200,
A,128,64,128,2,8,1,15.11374,18.187,
