variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,4.70970,29.182,
A,64,64,32,2,4,1,4.19830,32.737,
A,64,64,32,2,8,1,4.21856,32.580,
A,64,64,32,4,2,1,4.14984,33.119,
A,64,64,32,4,4,1,4.22764,32.510,
A,64,64,32,4,8,1,4.21248,32.627,
A,64,64,32,8,2,1,4.97299,27.637,
A,64,64,32,8,4,1,4.86669,28.241,
A,64,64,32,8,8,1,4.18197,32.865,
A,64,64,64,2,2,1,4.53814,30.285,
A,64,64,64,2,4,1,5.19846,26.438,
A,64,64,64,2,8,1,4.61772,29.763,
A,64,64,64,4,2,1,4.47780,30.693,
A,64,64,64,4,4,1,4.49185,30.597,
A,64,64,64,4,8,1,4.57258,30.057,
A,64,64,64,8,2,1,5.18566,26.504,
A,64,64,64,8,4,1,4.47926,30.683,
A,64,64,64,8,8,1,4.55416,30.179,
A,64,64,128,2,2,1,7.54714,18.211,
A,64,64,128,2,4,1,7.56492,18.168,
A,64,64,128,2,8,1,7.56211,18.175,
A,64,64,128,4,2,1,7.43721,18.480,
A,64,64,128,4,4,1,7.45741,18.430,
A,64,64,128,4,8,1,7.45728,18.430,
A,64,64,128,8,2,1,7.46309,18.416,
A,64,64,128,8,4,1,7.44095,18.471,
A,64,64,128,8,8,1,7.45694,18.431,
A,64,128,32,2,2,1,3.79786,36.189,
A,64,128,32,2,4,1,3.82538,35.928,
A,64,128,32,2,8,1,7.42716,18.505,
A,64,128,32,4,2,1,3.81362,36.039,
A,64,128,32,4,4,1,3.81213,36.053,
A,64,128,32,4,8,1,7.43868,18.476,
A,64,128,32,8,2,1,3.82617,35.921,
A,64,128,32,8,4,1,3.82358,35.945,
A,64,128,32,8,8,1,7.42925,18.500,
A,64,128,64,2,2,1,3.52979,38.937,
A,64,128,64,2,4,1,3.81976,35.981,
A,64,128,64,2,8,1,7.30432,18.816,
A,64,128,64,4,2,1,3.54701,38.748,
A,64,128,64,4,4,1,3.79762,36.191,
A,64,128,64,4,8,1,7.32829,18.755,
A,64,128,64,8,2,1,3.55542,38.656,
A,64,128,64,8,4,1,3.83381,35.849,
A,64,128,64,8,8,1,7.31967,18.777,
A,64,128,128,2,2,1,7.58656,18.116,
A,64,128,128,2,4,1,7.60499,18.072,
A,64,128,128,2,8,1,15.05903,9.127,
A,64,128,128,4,2,1,8.65015,15.889,
A,64,128,128,4,4,1,8.76525,15.680,
A,64,128,128,4,8,1,15.24788,9.014,
A,64,128,128,8,2,1,7.63464,18.002,
A,64,128,128,8,4,1,7.63896,17.992,
A,64,128,128,8,8,1,15.12177,9.089,
A,64,256,32,2,2,1,4.38346,31.354,
A,64,256,32,2,4,1,8.51486,16.141,
A,64,256,32,2,8,1,16.97422,8.097,
A,64,256,32,4,2,1,4.36691,31.473,
A,64,256,32,4,4,1,8.51637,16.138,
A,64,256,32,4,8,1,20.21275,6.800,
A,64,256,32,8,2,1,4.39386,31.280,
A,64,256,32,8,4,1,8.51129,16.148,
A,64,256,32,8,8,1,16.99944,8.085,
A,64,256,64,2,2,1,4.55767,30.156,
A,64,256,64,2,4,1,8.71146,15.777,
A,64,256,64,2,8,1,17.28689,7.950,
A,64,256,64,4,2,1,4.55847,30.150,
A,64,256,64,4,4,1,8.70561,15.787,
A,64,256,64,4,8,1,17.35371,7.920,
A,64,256,64,8,2,1,4.53670,30.295,
A,64,256,64,8,4,1,8.66226,15.866,
A,64,256,64,8,8,1,21.29328,6.455,
A,128,64,32,2,2,1,3.87523,35.466,
A,128,64,32,2,4,1,3.87656,35.454,
A,128,64,32,2,8,1,3.82396,35.941,
A,128,64,32,4,2,1,3.86790,35.533,
A,128,64,32,4,4,1,3.86439,35.566,
A,128,64,32,4,8,1,3.85384,35.663,
A,128,64,32,8,2,1,3.89755,35.263,
A,128,64,32,8,4,1,3.87560,35.463,
A,128,64,32,8,8,1,3.84892,35.708,
A,128,64,64,2,2,1,3.85789,35.625,
A,128,64,64,2,4,1,3.84325,35.761,
A,128,64,64,2,8,1,3.67802,37.368,
A,128,64,64,4,2,1,3.85539,35.649,
A,128,64,64,4,4,1,3.85593,35.644,
A,128,64,64,4,8,1,3.68097,37.338,
A,128,64,64,8,2,1,3.86598,35.551,
A,128,64,64,8,4,1,3.85591,35.644,
A,128,64,64,8,8,1,3.68556,37.291,
A,128,64,128,2,2,1,7.57952,18.133,
A,128,64,128,2,4,1,7.50852,18.304,
A,128,64,128,2,8,1,7.56042,18.179,
A,128,64,128,4,2,1,7.57889,18.134,
A,128,64,128,4,4,1,7.56049,18.179,
A,128,64,128,4,8,1,7.54877,18.207,
A,128,64,128,8,2,1,7.58009,18.132,
A,128,64,128,8,4,1,7.57943,18.133,
A,128,64,128,8,8,1,7.58023,18.131,
A,128,128,32,2,2,1,5.74611,23.919,
A,128,128,32,2,4,1,5.71746,24.038,
A,128,128,32,2,8,1,8.97148,15.320,
A,128,128,32,4,2,1,5.79236,23.728,
A,128,128,32,4,4,1,5.75373,23.887,
A,128,128,32,4,8,1,9.12809,15.057,
A,128,128,32,8,2,1,5.68075,24.194,
A,128,128,32,8,4,1,5.67247,24.229,
A,128,128,32,8,8,1,9.06783,15.157,
A,128,128,64,2,2,1,5.07106,27.103,
A,128,128,64,2,4,1,5.05625,27.182,
A,128,128,64,2,8,1,8.68235,15.830,
A,128,128,64,4,2,1,5.12203,26.833,
A,128,128,64,4,4,1,5.07340,27.090,
A,128,128,64,4,8,1,8.72497,15.752,
A,128,128,64,8,2,1,5.13264,26.777,
A,128,128,64,8,4,1,5.09357,26.983,
A,128,128,64,8,8,1,8.65705,15.876,
A,128,256,32,2,2,1,16.39341,8.384,
A,128,256,32,2,4,1,31.74980,4.329,
A,128,256,32,2,8,1,59.48245,2.311,
A,128,256,32,4,2,1,16.47746,8.341,
A,128,256,32,4,4,1,31.81724,4.320,
A,128,256,32,4,8,1,59.76056,2.300,
A,128,256,32,8,2,1,16.19718,8.485,
A,128,256,32,8,4,1,31.78924,4.323,
A,128,256,32,8,8,1,60.06067,2.288,
A,128,256,64,2,2,1,18.91594,7.266,
A,128,256,64,2,4,1,34.64031,3.968,
A,128,256,64,2,8,1,65.07221,2.112,
A,128,256,64,4,2,1,18.86156,7.287,
A,128,256,64,4,4,1,34.75009,3.955,
A,128,256,64,4,8,1,64.96735,2.116,
A,128,256,64,8,2,1,18.81272,7.306,
A,128,256,64,8,4,1,34.75642,3.954,
A,128,256,64,8,8,1,64.87859,2.118,
A,256,64,32,2,2,1,4.32362,31.788,
A,256,64,32,2,4,1,4.30857,31.899,
A,256,64,32,2,8,1,4.31689,31.837,
A,256,64,32,4,2,1,4.32764,31.758,
A,256,64,32,4,4,1,4.32334,31.790,
A,256,64,32,4,8,1,4.32799,31.756,
A,256,64,32,8,2,1,4.35351,31.570,
A,256,64,32,8,4,1,4.36183,31.509,
A,256,64,32,8,8,1,4.34488,31.632,
A,256,64,64,2,2,1,4.28201,32.097,
A,256,64,64,2,4,1,4.27601,32.142,
A,256,64,64,2,8,1,4.28478,32.076,
A,256,64,64,4,2,1,4.28806,32.052,
A,256,64,64,4,4,1,4.32515,31.777,
A,256,64,64,4,8,1,4.24736,32.359,
A,256,64,64,8,2,1,4.32347,31.789,
A,256,64,64,8,4,1,4.32837,31.753,
A,256,64,64,8,8,1,4.29079,32.031,
A,256,128,32,2,2,1,15.91687,8.635,
A,256,128,32,2,4,1,20.01977,6.865,
A,256,128,32,2,8,1,37.55971,3.659,
A,256,128,32,4,2,1,16.14280,8.514,
A,256,128,32,4,4,1,20.14800,6.821,
A,256,128,32,4,8,1,37.93779,3.623,
A,256,128,32,8,2,1,16.15899,8.505,
A,256,128,32,8,4,1,19.97209,6.882,
A,256,128,32,8,8,1,37.85221,3.631,
A,256,128,64,2,2,1,16.47032,8.345,
A,256,128,64,2,4,1,16.79530,8.183,
A,256,128,64,2,8,1,30.97002,4.438,
A,256,128,64,4,2,1,16.57289,8.293,
A,256,128,64,4,4,1,16.83010,8.166,
A,256,128,64,4,8,1,31.14994,4.412,
A,256,128,64,8,2,1,16.49066,8.334,
A,256,128,64,8,4,1,16.72471,8.218,
A,256,128,64,8,8,1,36.64855,3.750,
