variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,4.16586,32.992,
A,64,64,32,2,4,1,4.18223,32.863,
A,64,64,32,2,8,1,4.27595,32.142,
A,64,64,32,4,2,1,4.13565,33.233,
A,64,64,32,4,4,1,4.16771,32.977,
A,64,64,32,4,8,1,4.26034,32.260,
A,64,64,32,8,2,1,4.17440,32.924,
A,64,64,32,8,4,1,4.17463,32.922,
A,64,64,32,8,8,1,4.20591,32.678,
A,64,64,64,2,2,1,4.50299,30.522,
A,64,64,64,2,4,1,4.50875,30.483,
A,64,64,64,2,8,1,4.59610,29.903,
A,64,64,64,4,2,1,4.46561,30.777,
A,64,64,64,4,4,1,4.50571,30.503,
A,64,64,64,4,8,1,4.53421,30.312,
A,64,64,64,8,2,1,4.52260,30.389,
A,64,64,64,8,4,1,4.51476,30.442,
A,64,64,64,8,8,1,4.57339,30.052,
A,64,64,128,2,2,1,7.55303,18.197,
A,64,64,128,2,4,1,7.59267,18.102,
A,64,64,128,2,8,1,7.57816,18.136,
A,64,64,128,4,2,1,7.46371,18.414,
A,64,64,128,4,4,1,7.47644,18.383,
A,64,64,128,4,8,1,7.44426,18.462,
A,64,64,128,8,2,1,7.44626,18.457,
A,64,64,128,8,4,1,7.43115,18.495,
A,64,64,128,8,8,1,7.46765,18.405,
A,64,128,32,2,2,1,3.86909,35.522,
A,64,128,32,2,4,1,3.87893,35.432,
A,64,128,32,2,8,1,4.01799,34.206,
A,64,128,32,4,2,1,3.81434,36.032,
A,64,128,32,4,4,1,3.82116,35.968,
A,64,128,32,4,8,1,3.90005,35.240,
A,64,128,32,8,2,1,3.83935,35.797,
A,64,128,32,8,4,1,3.85637,35.639,
A,64,128,32,8,8,1,3.85798,35.625,
A,64,128,64,2,2,1,3.62478,37.917,
A,64,128,64,2,4,1,3.64492,37.707,
A,64,128,64,2,8,1,3.79159,36.248,
A,64,128,64,4,2,1,3.54539,38.766,
A,64,128,64,4,4,1,3.57596,38.434,
A,64,128,64,4,8,1,3.59284,38.254,
A,64,128,64,8,2,1,3.53284,38.903,
A,64,128,64,8,4,1,3.53984,38.826,
A,64,128,64,8,8,1,3.60370,38.138,
A,64,128,128,2,2,1,7.64446,17.979,
A,64,128,128,2,4,1,7.60251,18.078,
A,64,128,128,2,8,1,7.65640,17.951,
A,64,128,128,4,2,1,7.59292,18.101,
A,64,128,128,4,4,1,7.55802,18.185,
A,64,128,128,4,8,1,7.58427,18.122,
A,64,128,128,8,2,1,7.56196,18.175,
A,64,128,128,8,4,1,7.51278,18.294,
A,64,128,128,8,8,1,7.53130,18.249,
A,64,256,32,2,2,1,4.42651,31.049,
A,64,256,32,2,4,1,4.48042,30.675,
A,64,256,32,2,8,1,4.48102,30.671,
A,64,256,32,4,2,1,4.35404,31.566,
A,64,256,32,4,4,1,4.36479,31.488,
A,64,256,32,4,8,1,4.41830,31.107,
A,64,256,32,8,2,1,4.31015,31.887,
A,64,256,32,8,4,1,4.33451,31.708,
A,64,256,32,8,8,1,4.36534,31.484,
A,64,256,64,2,2,1,4.50002,30.542,
A,64,256,64,2,4,1,4.55139,30.197,
A,64,256,64,2,8,1,4.56620,30.099,
A,64,256,64,4,2,1,4.43515,30.989,
A,64,256,64,4,4,1,4.44171,30.943,
A,64,256,64,4,8,1,4.46940,30.751,
A,64,256,64,8,2,1,4.36749,31.469,
A,64,256,64,8,4,1,4.38122,31.370,
A,64,256,64,8,8,1,4.38807,31.321,
A,128,64,32,2,2,1,3.88221,35.402,
A,128,64,32,2,4,1,3.90824,35.166,
A,128,64,32,2,8,1,3.90179,35.225,
A,128,64,32,4,2,1,3.88556,35.372,
A,128,64,32,4,4,1,3.86359,35.573,
A,128,64,32,4,8,1,3.90529,35.193,
A,128,64,32,8,2,1,7.50938,18.302,
A,128,64,32,8,4,1,7.50395,18.316,
A,128,64,32,8,8,1,7.50353,18.317,
A,128,64,64,2,2,1,3.86530,35.557,
A,128,64,64,2,4,1,3.88975,35.334,
A,128,64,64,2,8,1,3.87596,35.459,
A,128,64,64,4,2,1,3.67480,37.400,
A,128,64,64,4,4,1,3.71645,36.981,
A,128,64,64,4,8,1,3.69720,37.174,
A,128,64,64,8,2,1,7.12916,19.278,
A,128,64,64,8,4,1,7.03640,19.533,
A,128,64,64,8,8,1,7.15081,19.220,
A,128,64,128,2,2,1,7.54572,18.214,
A,128,64,128,2,4,1,7.56467,18.169,
A,128,64,128,2,8,1,7.57832,18.136,
A,128,64,128,4,2,1,7.55051,18.203,
A,128,64,128,4,4,1,7.57142,18.152,
A,128,64,128,4,8,1,7.57274,18.149,
A,128,64,128,8,2,1,15.04955,9.132,
A,128,64,128,8,4,1,15.10852,9.097,
A,128,64,128,8,8,1,15.08583,9.110,
A,128,128,32,2,2,1,5.82104,23.611,
A,128,128,32,2,4,1,5.84740,23.504,
A,128,128,32,2,8,1,5.87926,23.377,
A,128,128,32,4,2,1,5.69267,24.143,
A,128,128,32,4,4,1,5.71650,24.042,
A,128,128,32,4,8,1,5.81365,23.641,
A,128,128,32,8,2,1,9.15241,15.017,
A,128,128,32,8,4,1,9.37128,14.666,
A,128,128,32,8,8,1,9.75418,14.090,
A,128,128,64,2,2,1,5.20736,26.393,
A,128,128,64,2,4,1,5.14882,26.693,
A,128,128,64,2,8,1,5.19653,26.448,
A,128,128,64,4,2,1,5.05251,27.202,
A,128,128,64,4,4,1,5.06223,27.150,
A,128,128,64,4,8,1,5.07969,27.057,
A,128,128,64,8,2,1,8.72351,15.755,
A,128,128,64,8,4,1,8.73212,15.739,
A,128,128,64,8,8,1,8.99340,15.282,
A,128,256,32,2,2,1,17.18914,7.996,
A,128,256,32,2,4,1,17.33111,7.930,
A,128,256,32,2,8,1,17.48741,7.859,
A,128,256,32,4,2,1,16.75041,8.205,
A,128,256,32,4,4,1,17.05295,8.060,
A,128,256,32,4,8,1,17.08404,8.045,
A,128,256,32,8,2,1,31.93446,4.304,
A,128,256,32,8,4,1,32.92549,4.174,
A,128,256,32,8,8,1,33.51000,4.101,
A,128,256,64,2,2,1,20.08563,6.843,
A,128,256,64,2,4,1,20.05734,6.852,
A,128,256,64,2,8,1,20.14835,6.821,
A,128,256,64,4,2,1,18.85889,7.288,
A,128,256,64,4,4,1,19.08417,7.202,
A,128,256,64,4,8,1,19.03923,7.219,
A,128,256,64,8,2,1,35.97660,3.820,
A,128,256,64,8,4,1,36.59021,3.756,
A,128,256,64,8,8,1,36.79318,3.735,
A,256,64,32,2,2,1,4.40181,31.223,
A,256,64,32,2,4,1,4.49202,30.596,
A,256,64,32,2,8,1,4.48240,30.662,
A,256,64,32,4,2,1,8.50613,16.158,
A,256,64,32,4,4,1,8.70226,15.793,
A,256,64,32,4,8,1,8.54391,16.086,
A,256,64,32,8,2,1,17.00232,8.084,
A,256,64,32,8,4,1,17.33315,7.929,
A,256,64,32,8,8,1,17.09827,8.038,
A,256,64,64,2,2,1,4.28095,32.105,
A,256,64,64,2,4,1,4.17723,32.902,
A,256,64,64,2,8,1,4.18547,32.837,
A,256,64,64,4,2,1,8.18447,16.793,
A,256,64,64,4,4,1,8.14963,16.864,
A,256,64,64,4,8,1,8.21518,16.730,
A,256,64,64,8,2,1,16.48659,8.336,
A,256,64,64,8,4,1,16.31496,8.424,
A,256,64,64,8,8,1,16.46250,8.349,
A,256,128,32,2,2,1,17.99342,7.638,
A,256,128,32,2,4,1,18.21266,7.546,
A,256,128,32,2,8,1,18.10586,7.591,
A,256,128,32,4,2,1,35.23075,3.901,
A,256,128,32,4,4,1,34.93460,3.934,
A,256,128,32,4,8,1,34.95462,3.932,
A,256,128,32,8,2,1,67.57843,2.034,
A,256,128,32,8,4,1,67.77088,2.028,
A,256,128,32,8,8,1,68.63206,2.003,
A,256,128,64,2,2,1,16.56515,8.297,
A,256,128,64,2,4,1,16.55418,8.302,
A,256,128,64,2,8,1,16.35364,8.404,
A,256,128,64,4,2,1,30.38671,4.523,
A,256,128,64,4,4,1,30.20359,4.550,
A,256,128,64,4,8,1,30.11021,4.565,
A,256,128,64,8,2,1,57.04673,2.409,
A,256,128,64,8,4,1,57.82226,2.377,
A,256,128,64,8,8,1,57.58799,2.387,
