variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,1.96033,17.528,
A,64,64,32,2,4,1,2.08379,16.489,
A,64,64,32,2,8,1,2.00651,17.124,
A,64,64,32,4,2,1,1.82068,18.872,
A,64,64,32,4,4,1,1.86167,18.456,
A,64,64,32,4,8,1,1.87813,18.295,
A,64,64,32,8,2,1,2.06872,16.609,
A,64,64,32,8,4,1,1.95326,17.591,
A,64,64,32,8,8,1,1.88487,18.229,
A,64,64,64,2,2,1,1.37195,25.044,
A,64,64,64,2,4,1,1.37653,24.961,
A,64,64,64,2,8,1,1.35996,25.265,
A,64,64,64,4,2,1,1.32486,25.935,
A,64,64,64,4,4,1,1.34442,25.557,
A,64,64,64,4,8,1,1.35583,25.342,
A,64,64,64,8,2,1,1.46340,23.479,
A,64,64,64,8,4,1,1.37526,24.984,
A,64,64,64,8,8,1,1.36929,25.093,
A,64,64,128,2,2,1,1.28092,26.824,
A,64,64,128,2,4,1,1.29121,26.610,
A,64,64,128,2,8,1,1.27962,26.851,
A,64,64,128,4,2,1,1.27448,26.960,
A,64,64,128,4,4,1,1.26964,27.063,
A,64,64,128,4,8,1,1.27773,26.891,
A,64,64,128,8,2,1,1.34714,25.506,
A,64,64,128,8,4,1,1.28932,26.649,
A,64,64,128,8,8,1,1.28462,26.747,
A,64,128,32,2,2,1,1.46596,23.438,
A,64,128,32,2,4,1,1.62464,21.149,
A,64,128,32,2,8,1,1.73068,19.853,
A,64,128,32,4,2,1,1.60803,21.368,
A,64,128,32,4,4,1,1.78270,19.274,
A,64,128,32,4,8,1,1.94840,17.635,
A,64,128,32,8,2,1,1.72137,19.961,
A,64,128,32,8,4,1,1.65219,20.796,
A,64,128,32,8,8,1,1.66337,20.657,
A,64,128,64,2,2,1,1.83856,18.688,
A,64,128,64,2,4,1,1.59196,21.583,
A,64,128,64,2,8,1,1.55750,22.061,
A,64,128,64,4,2,1,1.57682,21.790,
A,64,128,64,4,4,1,1.59674,21.519,
A,64,128,64,4,8,1,1.77304,19.379,
A,64,128,64,8,2,1,1.52586,22.518,
A,64,128,64,8,4,1,1.55051,22.160,
A,64,128,64,8,8,1,1.54515,22.237,
A,64,128,128,2,2,1,1.47377,23.314,
A,64,128,128,2,4,1,1.44708,23.744,
A,64,128,128,2,8,1,1.46158,23.509,
A,64,128,128,4,2,1,1.45369,23.636,
A,64,128,128,4,4,1,1.47050,23.366,
A,64,128,128,4,8,1,1.48147,23.193,
A,64,128,128,8,2,1,1.44742,23.739,
A,64,128,128,8,4,1,1.46122,23.514,
A,64,128,128,8,8,1,1.45279,23.651,
A,64,256,32,2,2,1,1.73639,19.788,
A,64,256,32,2,4,1,1.66872,20.590,
A,64,256,32,2,8,1,2.58570,13.288,
A,64,256,32,4,2,1,1.78515,19.247,
A,64,256,32,4,4,1,1.67147,20.557,
A,64,256,32,4,8,1,2.59835,13.224,
A,64,256,32,8,2,1,1.76934,19.420,
A,64,256,32,8,4,1,1.71281,20.060,
A,64,256,32,8,8,1,2.64679,12.982,
A,64,256,64,2,2,1,1.57037,21.880,
A,64,256,64,2,4,1,1.54516,22.237,
A,64,256,64,2,8,1,2.60867,13.171,
A,64,256,64,4,2,1,1.42849,24.053,
A,64,256,64,4,4,1,1.41368,24.305,
A,64,256,64,4,8,1,2.30365,14.915,
A,64,256,64,8,2,1,1.37524,24.985,
A,64,256,64,8,4,1,1.42278,24.150,
A,64,256,64,8,8,1,2.28158,15.060,
A,128,64,32,2,2,1,1.70303,20.176,
A,128,64,32,2,4,1,1.97381,17.408,
A,128,64,32,2,8,1,1.75681,19.558,
A,128,64,32,4,2,1,1.56615,21.939,
A,128,64,32,4,4,1,1.58416,21.690,
A,128,64,32,4,8,1,1.86830,18.391,
A,128,64,32,8,2,1,1.47758,23.254,
