variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,5.83953,3.082,
A,64,64,32,2,4,1,5.76370,3.123,
A,64,64,32,2,8,1,5.77836,3.115,
A,64,64,32,4,2,1,5.19743,3.463,
A,64,64,32,4,4,1,5.12759,3.510,
A,64,64,32,4,8,1,4.67976,3.846,
A,64,64,32,8,2,1,4.80850,3.743,
A,64,64,32,8,4,1,4.31527,4.171,
A,64,64,32,8,8,1,4.54011,3.965,
A,64,64,64,2,2,1,5.05546,3.561,
A,64,64,64,2,4,1,5.02181,3.584,
A,64,64,64,2,8,1,5.01079,3.592,
A,64,64,64,4,2,1,4.64675,3.874,
A,64,64,64,4,4,1,4.46727,4.029,
A,64,64,64,4,8,1,4.07445,4.418,
A,64,64,64,8,2,1,4.44245,4.052,
A,64,64,64,8,4,1,3.87258,4.648,
A,64,64,64,8,8,1,3.92133,4.590,
A,64,64,128,2,2,1,3.66329,4.914,
A,64,64,128,2,4,1,3.63860,4.947,
A,64,64,128,2,8,1,3.81368,4.720,
A,64,64,128,4,2,1,3.32933,5.406,
A,64,64,128,4,4,1,3.20888,5.609,
A,64,64,128,4,8,1,3.04919,5.903,
A,64,64,128,8,2,1,3.60257,4.996,
A,64,64,128,8,4,1,2.77036,6.497,
A,64,64,128,8,8,1,2.85729,6.300,
A,64,128,32,2,2,1,3.78673,4.753,
A,64,128,32,2,4,1,3.77942,4.763,
A,64,128,32,2,8,1,10.40909,1.729,
A,64,128,32,4,2,1,3.71314,4.848,
A,64,128,32,4,4,1,3.72487,4.832,
A,64,128,32,4,8,1,3.74880,4.802,
A,64,128,32,8,2,1,3.16601,5.685,
A,64,128,32,8,4,1,3.48734,5.162,
A,64,128,32,8,8,1,3.61365,4.981,
A,64,128,64,2,2,1,4.16550,4.321,
A,64,128,64,2,4,1,4.20641,4.279,
A,64,128,64,2,8,1,4.58872,3.923,
A,64,128,64,4,2,1,3.80465,4.731,
A,64,128,64,4,4,1,3.88062,4.638,
A,64,128,64,4,8,1,3.78301,4.758,
A,64,128,64,8,2,1,3.16773,5.682,
A,64,128,64,8,4,1,4.22875,4.257,
A,64,128,64,8,8,1,4.37297,4.116,
A,64,128,128,2,2,1,4.48683,4.012,
A,64,128,128,2,4,1,3.89325,4.623,
A,64,128,128,2,8,1,3.87393,4.646,
A,64,128,128,4,2,1,3.97845,4.524,
A,64,128,128,4,4,1,4.25108,4.234,
A,64,128,128,4,8,1,3.85191,4.673,
A,64,128,128,8,2,1,3.84563,4.681,
A,64,128,128,8,4,1,3.73132,4.824,
A,64,128,128,8,8,1,3.81123,4.723,
A,64,256,32,2,2,1,3.83924,4.688,
A,64,256,32,2,4,1,3.85463,4.670,
A,64,256,32,2,8,1,3.90046,4.615,
A,64,256,32,4,2,1,3.83441,4.694,
A,64,256,32,4,4,1,3.84377,4.683,
A,64,256,32,4,8,1,3.73768,4.816,
A,64,256,32,8,2,1,3.83626,4.692,
A,64,256,32,8,4,1,3.81368,4.720,
A,64,256,32,8,8,1,3.97626,4.527,
A,64,256,64,2,2,1,4.03322,4.463,
A,64,256,64,2,4,1,3.85394,4.671,
A,64,256,64,2,8,1,3.95133,4.555,
A,64,256,64,4,2,1,3.84289,4.684,
A,64,256,64,4,4,1,3.84889,4.677,
A,64,256,64,4,8,1,3.88032,4.639,
A,64,256,64,8,2,1,3.79473,4.743,
A,64,256,64,8,4,1,3.80181,4.735,
A,64,256,64,8,8,1,4.07791,4.414,
A,128,64,32,2,2,1,3.38252,5.321,
A,128,64,32,2,4,1,3.33809,5.392,
A,128,64,32,2,8,1,3.34758,5.377,
A,128,64,32,4,2,1,3.16055,5.695,
A,128,64,32,4,4,1,3.15959,5.697,
A,128,64,32,4,8,1,3.17938,5.661,
A,128,64,32,8,2,1,3.82538,4.705,
A,128,64,32,8,4,1,3.78289,4.758,
A,128,64,32,8,8,1,3.93481,4.575,
A,128,64,64,2,2,1,3.66677,4.909,
A,128,64,64,2,4,1,3.59326,5.009,
A,128,64,64,2,8,1,3.62265,4.969,
A,128,64,64,4,2,1,3.42571,5.254,
A,128,64,64,4,4,1,3.43861,5.235,
A,128,64,64,4,8,1,3.77159,4.773,
A,128,64,64,8,2,1,4.95270,3.634,
A,128,64,64,8,4,1,5.17058,3.481,
A,128,64,64,8,8,1,5.39665,3.335,
A,128,64,128,2,2,1,2.97093,6.059,
A,128,64,128,2,4,1,2.90875,6.188,
A,128,64,128,2,8,1,2.98415,6.032,
A,128,64,128,4,2,1,2.81404,6.397,
A,128,64,128,4,4,1,2.77437,6.488,
A,128,64,128,4,8,1,2.92282,6.158,
A,128,64,128,8,2,1,3.55182,5.068,
A,128,64,128,8,4,1,3.53548,5.091,
A,128,64,128,8,8,1,3.71353,4.847,
A,128,128,32,2,2,1,3.22386,5.583,
A,128,128,32,2,4,1,3.24229,5.552,
A,128,128,32,2,8,1,3.24006,5.555,
A,128,128,32,4,2,1,3.17269,5.673,
A,128,128,32,4,4,1,3.19703,5.630,
A,128,128,32,4,8,1,3.19811,5.628,
A,128,128,32,8,2,1,2.98758,6.025,
A,128,128,32,8,4,1,2.96296,6.075,
A,128,128,32,8,8,1,3.10159,5.803,
A,128,128,64,2,2,1,2.96295,6.075,
A,128,128,64,2,4,1,2.95552,6.090,
A,128,128,64,2,8,1,2.95910,6.083,
A,128,128,64,4,2,1,2.94856,6.105,
A,128,128,64,4,4,1,2.93693,6.129,
A,128,128,64,4,8,1,2.95582,6.090,
A,128,128,64,8,2,1,2.90926,6.187,
A,128,128,64,8,4,1,2.89494,6.218,
A,128,128,64,8,8,1,3.25829,5.524,
A,128,256,32,2,2,1,7.79817,2.308,
A,128,256,32,2,4,1,7.95568,2.263,
A,128,256,32,2,8,1,8.65986,2.079,
A,128,256,32,4,2,1,7.78146,2.313,
A,128,256,32,4,4,1,7.82368,2.301,
A,128,256,32,4,8,1,8.25125,2.181,
A,128,256,32,8,2,1,9.18070,1.961,
A,128,256,32,8,4,1,8.94382,2.013,
A,128,256,32,8,8,1,11.52015,1.562,
A,128,256,64,2,2,1,8.53806,2.108,
A,128,256,64,2,4,1,7.60096,2.368,
A,128,256,64,2,8,1,7.74006,2.326,
A,128,256,64,4,2,1,7.77011,2.317,
A,128,256,64,4,4,1,7.67283,2.346,
A,128,256,64,4,8,1,7.83867,2.296,
A,128,256,64,8,2,1,8.91290,2.020,
A,128,256,64,8,4,1,8.66140,2.078,
A,128,256,64,8,8,1,9.76430,1.843,
A,256,64,32,2,2,1,1.95290,9.217,
A,256,64,32,2,4,1,1.96568,9.157,
A,256,64,32,2,8,1,1.81592,9.912,
A,256,64,32,4,2,1,2.00773,8.965,
A,256,64,32,4,4,1,1.95863,9.190,
A,256,64,32,4,8,1,1.98958,9.047,
A,256,64,32,8,2,1,1.98853,9.052,
A,256,64,32,8,4,1,1.91736,9.388,
A,256,64,32,8,8,1,2.01031,8.954,
A,256,64,64,2,2,1,6.11050,2.946,
A,256,64,64,2,4,1,6.17823,2.913,
A,256,64,64,2,8,1,6.27693,2.868,
A,256,64,64,4,2,1,3.31684,5.427,
A,256,64,64,4,4,1,3.22144,5.588,
A,256,64,64,4,8,1,3.52775,5.102,
A,256,64,64,8,2,1,2.82438,6.373,
A,256,64,64,8,4,1,2.78111,6.472,
A,256,64,64,8,8,1,2.95852,6.084,
A,256,128,32,2,2,1,7.84607,2.294,
A,256,128,32,2,4,1,7.89658,2.279,
A,256,128,32,2,8,1,8.47440,2.124,
A,256,128,32,4,2,1,8.78008,2.050,
A,256,128,32,4,4,1,9.06660,1.985,
A,256,128,32,4,8,1,8.58068,2.098,
A,256,128,32,8,2,1,8.42708,2.136,
A,256,128,32,8,4,1,8.25071,2.182,
A,256,128,32,8,8,1,8.53094,2.110,
A,256,128,64,2,2,1,21.62099,0.833,
A,256,128,64,2,4,1,7.91613,2.274,
A,256,128,64,2,8,1,8.18502,2.199,
A,256,128,64,4,2,1,8.26368,2.178,
A,256,128,64,4,4,1,8.11897,2.217,
A,256,128,64,4,8,1,8.38944,2.146,
A,256,128,64,8,2,1,7.72109,2.331,
A,256,128,64,8,4,1,7.89010,2.281,
A,256,128,64,8,8,1,8.48710,2.121,
B,64,64,32,2,2,1,6.98872,2.576,
B,64,64,32,2,4,1,7.47182,2.409,
B,64,64,32,2,8,1,7.57868,2.375,
B,64,64,32,4,2,1,7.70088,2.337,
B,64,64,32,4,4,1,7.82359,2.301,
B,64,64,32,4,8,1,8.87260,2.029,
B,64,64,32,8,2,1,8.03602,2.240,
B,64,64,32,8,4,1,8.78664,2.049,
B,64,64,32,8,8,1,8.79945,2.046,
B,64,64,64,2,2,1,7.28286,2.472,
B,64,64,64,2,4,1,9.93533,1.812,
B,64,64,64,2,8,1,11.46413,1.570,
B,64,64,64,4,2,1,7.60888,2.366,
B,64,64,64,4,4,1,12.02476,1.497,
B,64,64,64,4,8,1,12.47744,1.443,
B,64,64,64,8,2,1,8.10428,2.221,
B,64,64,64,8,4,1,12.24500,1.470,
B,64,64,64,8,8,1,12.56331,1.433,
B,64,64,128,2,2,1,11.38835,1.581,
B,64,64,128,2,4,1,14.15100,1.272,
B,64,64,128,2,8,1,12.44407,1.446,
B,64,64,128,4,2,1,14.00190,1.286,
B,64,64,128,4,4,1,16.17437,1.113,
B,64,64,128,4,8,1,10.71795,1.679,
B,64,64,128,8,2,1,16.49235,1.091,
B,64,64,128,8,4,1,16.45991,1.094,
B,64,64,128,8,8,1,11.26259,1.598,
B,64,128,32,2,2,1,5.65046,3.186,
