variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,3.75227,4.579,
A,64,64,32,2,4,1,3.64807,4.709,
A,64,64,32,2,8,1,3.66498,4.688,
A,64,64,32,4,2,1,3.70494,4.637,
A,64,64,32,4,4,1,3.56848,4.814,
A,64,64,32,4,8,1,3.07490,5.587,
A,64,64,32,8,2,1,3.49251,4.919,
A,64,64,32,8,4,1,2.99581,5.735,
A,64,64,32,8,8,1,2.89068,5.943,
A,64,64,64,2,2,1,3.82065,4.497,
A,64,64,64,2,4,1,4.68546,3.667,
A,64,64,64,2,8,1,10.45698,1.643,
A,64,64,64,4,2,1,3.64871,4.708,
A,64,64,64,4,4,1,3.61803,4.748,
A,64,64,64,4,8,1,3.18654,5.391,
A,64,64,64,8,2,1,3.53019,4.867,
A,64,64,64,8,4,1,3.05367,5.626,
A,64,64,64,8,8,1,2.96839,5.788,
A,64,64,128,2,2,1,3.94518,4.355,
A,64,64,128,2,4,1,3.92216,4.380,
A,64,64,128,2,8,1,3.91017,4.394,
A,64,64,128,4,2,1,3.82782,4.488,
A,64,64,128,4,4,1,3.83517,4.480,
A,64,64,128,4,8,1,3.23658,5.308,
A,64,64,128,8,2,1,3.79027,4.533,
A,64,64,128,8,4,1,3.16360,5.430,
A,64,64,128,8,8,1,3.04932,5.634,
A,64,128,32,2,2,1,2.76648,6.210,
A,64,128,32,2,4,1,2.74368,6.262,
A,64,128,32,2,8,1,2.68045,6.409,
A,64,128,32,4,2,1,7.73372,2.221,
A,64,128,32,4,4,1,7.80243,2.202,
A,64,128,32,4,8,1,4.71308,3.645,
A,64,128,32,8,2,1,2.74933,6.249,
A,64,128,32,8,4,1,6.32050,2.718,
A,64,128,32,8,8,1,2.27896,7.538,
A,64,128,64,2,2,1,3.06496,5.605,
A,64,128,64,2,4,1,7.48604,2.295,
A,64,128,64,2,8,1,7.06818,2.431,
A,64,128,64,4,2,1,2.88864,5.947,
A,64,128,64,4,4,1,3.10779,5.528,
A,64,128,64,4,8,1,6.75543,2.543,
A,64,128,64,8,2,1,7.37857,2.328,
A,64,128,64,8,4,1,2.28242,7.527,
A,64,128,64,8,8,1,4.43323,3.875,
A,64,128,128,2,2,1,8.33107,2.062,
A,64,128,128,2,4,1,3.14984,5.454,
A,64,128,128,2,8,1,3.16582,5.427,
A,64,128,128,4,2,1,6.78571,2.532,
A,64,128,128,4,4,1,7.35662,2.335,
A,64,128,128,4,8,1,7.30849,2.351,
A,64,128,128,8,2,1,2.71776,6.321,
A,64,128,128,8,4,1,6.46883,2.656,
A,64,128,128,8,8,1,6.54439,2.625,
A,64,256,32,2,2,1,3.53654,4.858,
A,64,256,32,2,4,1,5.35408,3.209,
A,64,256,32,2,8,1,9.91547,1.733,
A,64,256,32,4,2,1,4.66379,3.684,
A,64,256,32,4,4,1,3.27449,5.247,
A,64,256,32,4,8,1,5.83402,2.945,
A,64,256,32,8,2,1,8.34073,2.060,
A,64,256,32,8,4,1,2.52285,6.810,
A,64,256,32,8,8,1,3.19631,5.375,
A,64,256,64,2,2,1,3.51041,4.894,
A,64,256,64,2,4,1,9.14960,1.878,
A,64,256,64,2,8,1,9.68031,1.775,
A,64,256,64,4,2,1,3.48807,4.925,
A,64,256,64,4,4,1,3.45558,4.972,
A,64,256,64,4,8,1,3.46761,4.954,
A,64,256,64,8,2,1,8.45268,2.032,
A,64,256,64,8,4,1,3.60654,4.764,
A,64,256,64,8,8,1,3.99466,4.301,
A,128,64,32,2,2,1,2.55884,6.714,
A,128,64,32,2,4,1,4.51663,3.804,
A,128,64,32,2,8,1,7.18924,2.390,
A,128,64,32,4,2,1,2.50282,6.864,
A,128,64,32,4,4,1,2.48385,6.917,
A,128,64,32,4,8,1,2.30058,7.468,
A,128,64,32,8,2,1,2.75783,6.229,
A,128,64,32,8,4,1,6.33760,2.711,
A,128,64,32,8,8,1,5.23568,3.281,
A,128,64,64,2,2,1,2.41089,7.126,
A,128,64,64,2,4,1,2.40220,7.152,
A,128,64,64,2,8,1,2.39556,7.172,
A,128,64,64,4,2,1,2.90360,5.917,
A,128,64,64,4,4,1,6.54387,2.625,
A,128,64,64,4,8,1,6.01115,2.858,
A,128,64,64,8,2,1,2.33538,7.356,
A,128,64,64,8,4,1,2.17127,7.912,
A,128,64,64,8,8,1,2.22134,7.734,
A,128,64,128,2,2,1,4.47251,3.841,
A,128,64,128,2,4,1,7.19324,2.388,
A,128,64,128,2,8,1,2.56009,6.711,
A,128,64,128,4,2,1,2.47415,6.944,
A,128,64,128,4,4,1,2.50014,6.872,
A,128,64,128,4,8,1,2.30460,7.455,
A,128,64,128,8,2,1,6.82403,2.518,
A,128,64,128,8,4,1,4.15987,4.130,
A,128,64,128,8,8,1,2.45574,6.996,
A,128,128,32,2,2,1,2.53010,6.790,
A,128,128,32,2,4,1,2.56851,6.689,
A,128,128,32,2,8,1,5.66093,3.035,
A,128,128,32,4,2,1,2.48923,6.902,
A,128,128,32,4,4,1,2.14218,8.020,
A,128,128,32,4,8,1,2.42361,7.089,
A,128,128,32,8,2,1,2.03255,8.452,
A,128,128,32,8,4,1,2.31493,7.421,
A,128,128,32,8,8,1,6.23520,2.755,
A,128,128,64,2,2,1,2.95233,5.819,
A,128,128,64,2,4,1,2.98437,5.757,
A,128,128,64,2,8,1,2.99800,5.730,
A,128,128,64,4,2,1,2.41758,7.106,
A,128,128,64,4,4,1,3.48869,4.924,
A,128,128,64,4,8,1,6.95983,2.468,
A,128,128,64,8,2,1,2.37185,7.243,
A,128,128,64,8,4,1,2.64428,6.497,
A,128,128,64,8,8,1,2.27591,7.549,
A,128,256,32,2,2,1,12.20592,1.408,
A,128,256,32,2,4,1,19.93674,0.862,
A,128,256,32,2,8,1,10.45156,1.644,
A,128,256,32,4,2,1,7.89441,2.176,
A,128,256,32,4,4,1,7.25396,2.368,
A,128,256,32,4,8,1,12.06719,1.424,
A,128,256,32,8,2,1,19.67459,0.873,
A,128,256,32,8,4,1,27.92788,0.615,
A,128,256,32,8,8,1,7.46076,2.303,
A,128,256,64,2,2,1,6.72878,2.553,
A,128,256,64,2,4,1,6.70334,2.563,
A,128,256,64,2,8,1,6.72698,2.554,
A,128,256,64,4,2,1,18.37204,0.935,
A,128,256,64,4,4,1,18.30516,0.939,
A,128,256,64,4,8,1,18.42177,0.933,
A,128,256,64,8,2,1,6.77091,2.537,
A,128,256,64,8,4,1,6.71916,2.557,
A,128,256,64,8,8,1,7.94093,2.163,
A,256,64,32,2,2,1,8.53289,2.013,
A,256,64,32,2,4,1,8.64127,1.988,
A,256,64,32,2,8,1,8.41615,2.041,
A,256,64,32,4,2,1,3.86086,4.450,
A,256,64,32,4,4,1,2.92264,5.878,
A,256,64,32,4,8,1,3.05652,5.621,
A,256,64,32,8,2,1,3.29175,5.219,
A,256,64,32,8,4,1,9.19726,1.868,
A,256,64,32,8,8,1,8.92276,1.925,
A,256,64,64,2,2,1,7.90861,2.172,
A,256,64,64,2,4,1,2.92202,5.879,
A,256,64,64,2,8,1,2.89350,5.937,
A,256,64,64,4,2,1,2.70803,6.344,
A,256,64,64,4,4,1,2.87200,5.982,
A,256,64,64,4,8,1,5.46062,3.146,
A,256,64,64,8,2,1,8.29623,2.071,
A,256,64,64,8,4,1,8.40248,2.045,
A,256,64,64,8,8,1,8.33091,2.062,
A,256,128,32,2,2,1,7.27958,2.360,
A,256,128,32,2,4,1,7.24111,2.373,
A,256,128,32,2,8,1,7.27757,2.361,
A,256,128,32,4,2,1,19.86198,0.865,
A,256,128,32,4,4,1,19.90269,0.863,
A,256,128,32,4,8,1,30.04166,0.572,
A,256,128,32,8,2,1,7.44696,2.307,
A,256,128,32,8,4,1,7.30216,2.353,
A,256,128,32,8,8,1,7.42566,2.314,
A,256,128,64,2,2,1,18.29728,0.939,
A,256,128,64,2,4,1,18.42781,0.932,
A,256,128,64,2,8,1,18.42983,0.932,
A,256,128,64,4,2,1,6.75566,2.543,
A,256,128,64,4,4,1,6.73828,2.550,
A,256,128,64,4,8,1,6.73702,2.550,
A,256,128,64,8,2,1,6.70895,2.561,
A,256,128,64,8,4,1,12.25828,1.401,
A,256,128,64,8,8,1,18.24154,0.942,
B,64,64,32,2,2,1,23.50051,0.731,
B,64,64,32,2,4,1,5.68522,3.022,
B,64,64,32,2,8,1,5.67611,3.027,
B,64,64,32,4,2,1,8.22561,2.089,
B,64,64,32,4,4,1,6.25851,2.745,
B,64,64,32,4,8,1,15.74120,1.091,
B,64,64,32,8,2,1,23.50738,0.731,
B,64,64,32,8,4,1,16.22277,1.059,
B,64,64,32,8,8,1,20.62286,0.833,
B,64,64,64,2,2,1,5.60575,3.065,
B,64,64,64,2,4,1,5.45840,3.147,
B,64,64,64,2,8,1,4.42099,3.886,
B,64,64,64,4,2,1,10.86224,1.582,
B,64,64,64,4,4,1,10.92824,1.572,
B,64,64,64,4,8,1,12.19431,1.409,
B,64,64,64,8,2,1,31.90155,0.539,
B,64,64,64,8,4,1,21.28396,0.807,
B,64,64,64,8,8,1,10.34898,1.660,
B,64,64,128,2,2,1,9.62194,1.785,
B,64,64,128,2,4,1,5.31810,3.230,
B,64,64,128,2,8,1,21.19824,0.810,
B,64,64,128,4,2,1,17.40499,0.987,
B,64,64,128,4,4,1,31.85747,0.539,
B,64,64,128,4,8,1,24.99455,0.687,
B,64,64,128,8,2,1,12.41293,1.384,
B,64,64,128,8,4,1,10.90523,1.575,
B,64,64,128,8,8,1,9.25136,1.857,
B,64,128,32,2,2,1,11.10662,1.547,
B,64,128,32,2,4,1,11.26665,1.525,
B,64,128,32,2,8,1,11.13561,1.543,
B,64,128,32,4,2,1,32.39178,0.530,
B,64,128,32,4,4,1,11.36518,1.512,
B,64,128,32,4,8,1,5.19251,3.309,
B,64,128,32,8,2,1,11.13407,1.543,
B,64,128,32,8,4,1,5.25343,3.270,
B,64,128,32,8,8,1,5.13425,3.346,
B,64,128,64,2,2,1,34.46925,0.498,
B,64,128,64,2,4,1,32.74117,0.525,
B,64,128,64,2,8,1,11.63464,1.477,
B,64,128,64,4,2,1,11.79698,1.456,
B,64,128,64,4,4,1,11.21730,1.532,
B,64,128,64,4,8,1,5.30625,3.238,
B,64,128,64,8,2,1,11.35238,1.513,
