variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,17.47633,7.864,
A,64,64,32,2,4,1,17.48210,7.862,
A,64,64,32,2,8,1,17.53432,7.838,
A,64,64,32,4,2,1,17.46608,7.869,
A,64,64,32,4,4,1,17.42225,7.889,
A,64,64,32,4,8,1,17.54073,7.835,
A,64,64,32,8,2,1,17.31014,7.940,
A,64,64,32,8,4,1,17.31183,7.939,
A,64,64,32,8,8,1,17.36666,7.914,
A,64,64,64,2,2,1,17.07539,8.049,
A,64,64,64,2,4,1,17.12826,8.024,
A,64,64,64,2,8,1,17.21355,7.984,
A,64,64,64,4,2,1,17.02996,8.070,
A,64,64,64,4,4,1,17.07399,8.050,
A,64,64,64,4,8,1,17.16552,8.007,
A,64,64,64,8,2,1,17.15443,8.012,
A,64,64,64,8,4,1,17.08004,8.047,
A,64,64,64,8,8,1,17.13571,8.021,
A,64,64,128,2,2,1,41.12692,3.342,
A,64,64,128,2,4,1,40.97997,3.354,
A,64,64,128,2,8,1,49.08160,2.800,
A,64,64,128,4,2,1,44.88653,3.062,
A,64,64,128,4,4,1,40.68918,3.378,
A,64,64,128,4,8,1,40.72631,3.375,
A,64,64,128,8,2,1,40.88986,3.361,
A,64,64,128,8,4,1,40.86349,3.363,
A,64,64,128,8,8,1,40.53222,3.391,
A,64,128,32,2,2,1,17.78524,7.728,
A,64,128,32,2,4,1,17.79691,7.723,
A,64,128,32,2,8,1,17.81792,7.714,
A,64,128,32,4,2,1,17.85467,7.698,
A,64,128,32,4,4,1,17.85866,7.696,
A,64,128,32,4,8,1,17.93290,7.664,
A,64,128,32,8,2,1,18.00417,7.634,
A,64,128,32,8,4,1,18.17988,7.560,
A,64,128,32,8,8,1,21.57621,6.370,
A,64,128,64,2,2,1,18.79425,7.313,
A,64,128,64,2,4,1,20.27247,6.780,
A,64,128,64,2,8,1,18.44132,7.453,
A,64,128,64,4,2,1,18.49303,7.432,
A,64,128,64,4,4,1,18.45422,7.448,
A,64,128,64,4,8,1,18.47521,7.439,
A,64,128,64,8,2,1,18.63455,7.375,
A,64,128,64,8,4,1,18.63076,7.377,
A,64,128,64,8,8,1,21.27576,6.460,
A,64,128,128,2,2,1,28.13167,4.886,
A,64,128,128,2,4,1,28.14908,4.883,
A,64,128,128,2,8,1,28.17656,4.878,
A,64,128,128,4,2,1,28.02381,4.904,
A,64,128,128,4,4,1,28.43302,4.834,
A,64,128,128,4,8,1,28.19294,4.875,
A,64,128,128,8,2,1,28.20796,4.872,
A,64,128,128,8,4,1,28.43904,4.833,
A,64,128,128,8,8,1,28.06886,4.896,
A,64,256,32,2,2,1,17.25328,7.966,
A,64,256,32,2,4,1,17.28596,7.951,
A,64,256,32,2,8,1,17.18356,7.998,
A,64,256,32,4,2,1,17.23774,7.973,
A,64,256,32,4,4,1,17.27032,7.958,
A,64,256,32,4,8,1,17.21074,7.986,
A,64,256,32,8,2,1,17.32943,7.931,
A,64,256,32,8,4,1,17.41228,7.893,
A,64,256,32,8,8,1,17.30709,7.941,
A,64,256,64,2,2,1,17.92583,7.667,
A,64,256,64,2,4,1,18.21983,7.543,
A,64,256,64,2,8,1,18.25782,7.528,
A,64,256,64,4,2,1,18.16186,7.567,
A,64,256,64,4,4,1,17.92543,7.667,
A,64,256,64,4,8,1,18.16248,7.567,
A,64,256,64,8,2,1,18.15338,7.571,
A,64,256,64,8,4,1,18.22730,7.540,
A,64,256,64,8,8,1,17.80746,7.718,
A,128,64,32,2,2,1,17.64086,7.791,
A,128,64,32,2,4,1,17.65079,7.787,
A,128,64,32,2,8,1,17.65877,7.783,
A,128,64,32,4,2,1,17.64966,7.787,
A,128,64,32,4,4,1,17.67845,7.774,
A,128,64,32,4,8,1,17.64710,7.788,
A,128,64,32,8,2,1,17.78191,7.729,
A,128,64,32,8,4,1,17.72872,7.752,
A,128,64,32,8,8,1,17.75862,7.739,
A,128,64,64,2,2,1,28.41975,4.836,
A,128,64,64,2,4,1,28.54012,4.816,
A,128,64,64,2,8,1,28.74675,4.781,
A,128,64,64,4,2,1,28.36105,4.846,
A,128,64,64,4,4,1,28.39450,4.840,
A,128,64,64,4,8,1,28.44278,4.832,
A,128,64,64,8,2,1,28.66565,4.795,
A,128,64,64,8,4,1,28.86516,4.761,
A,128,64,64,8,8,1,28.56772,4.811,
A,128,64,128,2,2,1,26.27738,5.230,
A,128,64,128,2,4,1,26.18160,5.249,
A,128,64,128,2,8,1,26.21147,5.243,
A,128,64,128,4,2,1,26.00638,5.285,
A,128,64,128,4,4,1,25.91483,5.303,
A,128,64,128,4,8,1,26.43062,5.200,
A,128,64,128,8,2,1,25.84912,5.317,
