variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,8.81947,7.792,
A,64,64,32,2,4,1,8.88949,7.730,
A,64,64,32,2,8,1,8.85213,7.763,
A,64,64,32,4,2,1,8.90849,7.714,
A,64,64,32,4,4,1,8.93285,7.693,
A,64,64,32,4,8,1,8.92083,7.703,
A,64,64,32,8,2,1,9.00879,7.628,
A,64,64,32,8,4,1,8.93089,7.695,
A,64,64,32,8,8,1,9.00392,7.632,
A,64,64,64,2,2,1,8.99296,7.641,
A,64,64,64,2,4,1,8.97131,7.660,
A,64,64,64,2,8,1,8.92315,7.701,
A,64,64,64,4,2,1,8.93795,7.689,
A,64,64,64,4,4,1,9.07019,7.576,
A,64,64,64,4,8,1,8.94675,7.681,
A,64,64,64,8,2,1,8.89314,7.727,
A,64,64,64,8,4,1,8.88280,7.736,
A,64,64,64,8,8,1,8.89955,7.722,
A,64,64,128,2,2,1,21.18565,3.244,
A,64,64,128,2,4,1,21.51105,3.195,
A,64,64,128,2,8,1,21.08403,3.259,
A,64,64,128,4,2,1,21.07803,3.260,
A,64,64,128,4,4,1,21.05193,3.264,
A,64,64,128,4,8,1,20.97715,3.276,
A,64,64,128,8,2,1,20.82327,3.300,
A,64,64,128,8,4,1,21.05704,3.263,
A,64,64,128,8,8,1,20.91149,3.286,
A,64,128,32,2,2,1,9.80276,7.010,
A,64,128,32,2,4,1,9.82855,6.992,
A,64,128,32,2,8,1,9.86466,6.966,
A,64,128,32,4,2,1,9.84747,6.978,
A,64,128,32,4,4,1,9.77784,7.028,
A,64,128,32,4,8,1,9.75662,7.043,
A,64,128,32,8,2,1,9.79796,7.014,
A,64,128,32,8,4,1,9.90452,6.938,
A,64,128,32,8,8,1,9.83919,6.984,
A,64,128,64,2,2,1,9.99936,6.872,
A,64,128,64,2,4,1,10.14951,6.771,
A,64,128,64,2,8,1,12.46057,5.515,
A,64,128,64,4,2,1,10.13100,6.783,
A,64,128,64,4,4,1,10.12650,6.786,
A,64,128,64,4,8,1,12.59916,5.454,
A,64,128,64,8,2,1,9.99112,6.878,
A,64,128,64,8,4,1,9.99255,6.877,
A,64,128,64,8,8,1,12.35300,5.563,
A,64,128,128,2,2,1,15.03327,4.571,
A,64,128,128,2,4,1,15.35461,4.475,
A,64,128,128,2,8,1,15.05075,4.566,
A,64,128,128,4,2,1,15.24922,4.506,
A,64,128,128,4,4,1,14.81967,4.637,
A,64,128,128,4,8,1,15.03214,4.572,
A,64,128,128,8,2,1,15.15785,4.534,
A,64,128,128,8,4,1,14.63477,4.696,
A,64,128,128,8,8,1,14.76627,4.654,
A,64,256,32,2,2,1,9.00153,7.634,
A,64,256,32,2,4,1,12.40678,5.539,
A,64,256,32,2,8,1,15.39560,4.464,
A,64,256,32,4,2,1,9.03812,7.603,
A,64,256,32,4,4,1,12.38372,5.549,
A,64,256,32,4,8,1,15.44457,4.449,
A,64,256,32,8,2,1,9.02554,7.614,
A,64,256,32,8,4,1,12.47034,5.511,
A,64,256,32,8,8,1,15.45713,4.446,
A,64,256,64,2,2,1,9.37903,7.327,
A,64,256,64,2,4,1,9.23868,7.438,
A,64,256,64,2,8,1,11.59644,5.926,
A,64,256,64,4,2,1,9.29886,7.390,
A,64,256,64,4,4,1,9.17785,7.488,
A,64,256,64,4,8,1,11.40536,6.025,
A,64,256,64,8,2,1,9.41698,7.297,
A,64,256,64,8,4,1,9.23335,7.443,
A,64,256,64,8,8,1,11.47872,5.987,
A,128,64,32,2,2,1,9.42738,7.289,
A,128,64,32,2,4,1,9.41988,7.295,
A,128,64,32,2,8,1,9.48090,7.248,
A,128,64,32,4,2,1,9.43799,7.281,
A,128,64,32,4,4,1,9.45707,7.266,
A,128,64,32,4,8,1,9.47956,7.249,
A,128,64,32,8,2,1,9.49576,7.237,
A,128,64,32,8,4,1,9.57355,7.178,
A,128,64,32,8,8,1,9.54190,7.202,
