variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,8.90466,7.717,
A,64,64,32,2,4,1,8.88127,7.738,
A,64,64,32,2,8,1,8.83747,7.776,
A,64,64,32,4,2,1,8.87259,7.745,
A,64,64,32,4,4,1,8.89457,7.726,
A,64,64,32,4,8,1,8.86515,7.752,
A,64,64,32,8,2,1,8.93104,7.694,
A,64,64,32,8,4,1,8.85512,7.760,
A,64,64,32,8,8,1,8.79152,7.817,
A,64,64,64,2,2,1,8.95537,7.674,
A,64,64,64,2,4,1,8.98395,7.649,
A,64,64,64,2,8,1,8.96887,7.662,
A,64,64,64,4,2,1,8.92636,7.698,
A,64,64,64,4,4,1,8.91776,7.706,
A,64,64,64,4,8,1,8.93429,7.692,
A,64,64,64,8,2,1,8.95611,7.673,
A,64,64,64,8,4,1,8.97684,7.655,
A,64,64,64,8,8,1,8.97468,7.657,
A,64,64,128,2,2,1,21.20680,3.240,
A,64,64,128,2,4,1,21.31840,3.223,
A,64,64,128,2,8,1,21.85906,3.144,
A,64,64,128,4,2,1,20.91815,3.285,
A,64,64,128,4,4,1,21.60220,3.181,
A,64,64,128,4,8,1,20.94298,3.281,
A,64,64,128,8,2,1,21.41799,3.208,
A,64,64,128,8,4,1,20.98497,3.275,
A,64,64,128,8,8,1,21.70084,3.167,
A,64,128,32,2,2,1,9.55990,7.188,
A,64,128,32,2,4,1,9.59516,7.162,
A,64,128,32,2,8,1,9.58438,7.170,
A,64,128,32,4,2,1,9.60473,7.155,
A,64,128,32,4,4,1,9.67309,7.104,
A,64,128,32,4,8,1,9.63256,7.134,
A,64,128,32,8,2,1,9.68659,7.094,
A,64,128,32,8,4,1,9.70174,7.083,
A,64,128,32,8,8,1,9.73000,7.063,
A,64,128,64,2,2,1,10.07779,6.819,
A,64,128,64,2,4,1,10.05800,6.832,
A,64,128,64,2,8,1,9.97667,6.888,
A,64,128,64,4,2,1,10.02940,6.852,
A,64,128,64,4,4,1,10.07666,6.820,
A,64,128,64,4,8,1,10.03855,6.846,
A,64,128,64,8,2,1,10.08361,6.815,
A,64,128,64,8,4,1,10.08748,6.812,
A,64,128,64,8,8,1,10.03675,6.847,
A,64,128,128,2,2,1,14.89295,4.614,
A,64,128,128,2,4,1,14.99078,4.584,
A,64,128,128,2,8,1,15.34526,4.478,
A,64,128,128,4,2,1,15.14095,4.539,
A,64,128,128,4,4,1,15.10425,4.550,
A,64,128,128,4,8,1,15.60483,4.404,
A,64,128,128,8,2,1,14.82250,4.636,
A,64,128,128,8,4,1,15.01901,4.576,
A,64,128,128,8,8,1,14.92889,4.603,
A,64,256,32,2,2,1,8.93674,7.690,
A,64,256,32,2,4,1,8.83088,7.782,
A,64,256,32,2,8,1,8.92085,7.703,
A,64,256,32,4,2,1,8.94344,7.684,
A,64,256,32,4,4,1,8.91746,7.706,
A,64,256,32,4,8,1,8.88140,7.737,
A,64,256,32,8,2,1,8.94182,7.685,
A,64,256,32,8,4,1,8.95769,7.672,
A,64,256,32,8,8,1,8.94183,7.685,
A,64,256,64,2,2,1,9.15297,7.508,
A,64,256,64,2,4,1,9.33990,7.358,
A,64,256,64,2,8,1,9.24566,7.433,
A,64,256,64,4,2,1,9.36711,7.336,
A,64,256,64,4,4,1,9.16035,7.502,
A,64,256,64,4,8,1,9.41855,7.296,
A,64,256,64,8,2,1,9.39179,7.317,
A,64,256,64,8,4,1,9.47060,7.256,
A,64,256,64,8,8,1,9.27149,7.412,
A,128,64,32,2,2,1,9.47613,7.252,
A,128,64,32,2,4,1,9.44994,7.272,
A,128,64,32,2,8,1,9.48370,7.246,
A,128,64,32,4,2,1,9.46154,7.263,
A,128,64,32,4,4,1,9.47944,7.249,
A,128,64,32,4,8,1,9.44274,7.277,
A,128,64,32,8,2,1,9.43988,7.280,
A,128,64,32,8,4,1,9.50677,7.228,
A,128,64,32,8,8,1,9.48629,7.244,
A,128,64,64,2,2,1,14.85193,4.627,
A,128,64,64,2,4,1,14.92619,4.604,
A,128,64,64,2,8,1,14.99639,4.582,
A,128,64,64,4,2,1,14.75311,4.658,
A,128,64,64,4,4,1,14.80503,4.642,
A,128,64,64,4,8,1,14.93906,4.600,
A,128,64,64,8,2,1,9.12063,7.535,
A,128,64,64,8,4,1,9.05718,7.587,
A,128,64,64,8,8,1,9.07561,7.572,
A,128,64,128,2,2,1,14.49986,4.739,
A,128,64,128,2,4,1,14.29428,4.807,
A,128,64,128,2,8,1,14.54249,4.725,
A,128,64,128,4,2,1,13.97421,4.918,
A,128,64,128,4,4,1,14.29962,4.806,
A,128,64,128,4,8,1,13.76751,4.991,
A,128,64,128,8,2,1,16.69132,4.117,
