variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,38.22952,3.254,
A,64,64,32,2,4,1,37.99564,3.274,
A,64,64,32,2,8,1,37.92476,3.281,
A,64,64,32,4,2,1,29.10914,4.274,
A,64,64,32,4,4,1,29.09536,4.276,
A,64,64,32,4,8,1,29.11842,4.273,
A,64,64,32,8,2,1,25.22131,4.933,
A,64,64,32,8,4,1,25.42306,4.894,
A,64,64,32,8,8,1,27.41244,4.539,
A,64,64,64,2,2,1,17.05843,7.294,
A,64,64,64,2,4,1,16.95800,7.337,
A,64,64,64,2,8,1,17.05476,7.295,
A,64,64,64,4,2,1,13.64334,9.119,
A,64,64,64,4,4,1,13.54069,9.188,
A,64,64,64,4,8,1,13.71448,9.072,
A,64,64,64,8,2,1,12.03072,10.342,
A,64,64,64,8,4,1,12.07057,10.307,
A,64,64,64,8,8,1,12.83704,9.692,
A,64,64,128,2,2,1,44.65501,2.786,
A,64,64,128,2,4,1,44.48096,2.797,
A,64,64,128,2,8,1,44.44867,2.799,
A,64,64,128,4,2,1,33.79440,3.682,
A,64,64,128,4,4,1,33.78653,3.682,
A,64,64,128,4,8,1,33.83756,3.677,
A,64,64,128,8,2,1,29.10200,4.275,
A,64,64,128,8,4,1,29.24978,4.254,
A,64,64,128,8,8,1,31.68985,3.926,
A,64,128,32,2,2,1,27.56792,4.513,
A,64,128,32,2,4,1,27.54210,4.517,
A,64,128,32,2,8,1,27.53839,4.518,
A,64,128,32,4,2,1,18.74197,6.638,
A,64,128,32,4,4,1,18.75214,6.635,
A,64,128,32,4,8,1,18.73561,6.641,
A,64,128,32,8,2,1,14.38142,8.651,
A,64,128,32,8,4,1,14.46289,8.602,
A,64,128,32,8,8,1,16.62577,7.483,
A,64,128,64,2,2,1,11.16340,11.145,
A,64,128,64,2,4,1,11.03370,11.276,
A,64,128,64,2,8,1,11.01921,11.291,
A,64,128,64,4,2,1,7.95943,15.631,
A,64,128,64,4,4,1,7.77172,16.009,
A,64,128,64,4,8,1,7.91558,15.718,
A,64,128,64,8,2,1,6.41752,19.387,
A,64,128,64,8,4,1,6.38551,19.484,
A,64,128,64,8,8,1,7.12038,17.473,
A,64,128,128,2,2,1,33.65494,3.697,
A,64,128,128,2,4,1,33.67132,3.695,
A,64,128,128,2,8,1,33.65573,3.697,
A,64,128,128,4,2,1,23.22731,5.356,
A,64,128,128,4,4,1,23.20786,5.361,
A,64,128,128,4,8,1,23.30479,5.339,
A,64,128,128,8,2,1,18.12668,6.864,
