variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,10.45674,26.287,
A,64,64,32,2,4,1,10.54009,26.079,
A,64,64,32,2,8,1,10.42927,26.356,
A,64,64,32,4,2,1,7.17411,38.315,
A,64,64,32,4,4,1,7.18953,38.233,
A,64,64,32,4,8,1,8.17820,33.611,
A,64,64,32,8,2,1,6.86144,40.061,
A,64,64,32,8,4,1,6.92762,39.679,
A,64,64,32,8,8,1,7.52335,36.537,
A,64,64,64,2,2,1,10.60073,25.930,
A,64,64,64,2,4,1,10.53235,26.098,
A,64,64,64,2,8,1,10.62085,25.881,
A,64,64,64,4,2,1,7.26122,37.856,
A,64,64,64,4,4,1,7.01575,39.180,
A,64,64,64,4,8,1,8.42609,32.622,
A,64,64,64,8,2,1,6.46127,42.542,
A,64,64,64,8,4,1,6.89260,39.880,
A,64,64,64,8,8,1,7.52884,36.510,
A,64,64,128,2,2,1,9.81728,27.999,
A,64,64,128,2,4,1,10.03069,27.404,
A,64,64,128,2,8,1,9.92007,27.709,
A,64,64,128,4,2,1,6.97601,39.403,
A,64,64,128,4,4,1,6.81292,40.347,
A,64,64,128,4,8,1,8.01119,34.312,
A,64,64,128,8,2,1,6.56892,41.845,
A,64,64,128,8,4,1,6.79744,40.438,
A,64,64,128,8,8,1,7.08263,38.810,
A,64,128,32,2,2,1,6.75187,40.711,
A,64,128,32,2,4,1,6.78353,40.521,
A,64,128,32,2,8,1,6.87886,39.960,
A,64,128,32,4,2,1,5.51697,49.824,
A,64,128,32,4,4,1,5.70225,48.205,
A,64,128,32,4,8,1,6.95591,39.517,
A,64,128,32,8,2,1,4.70173,58.463,
A,64,128,32,8,4,1,4.90996,55.984,
A,64,128,32,8,8,1,5.60520,49.040,
A,64,128,64,2,2,1,6.86570,40.036,
A,64,128,64,2,4,1,6.89958,39.840,
A,64,128,64,2,8,1,6.81940,40.308,
A,64,128,64,4,2,1,5.63483,48.782,
A,64,128,64,4,4,1,5.70679,48.167,
A,64,128,64,4,8,1,6.95545,39.520,
A,64,128,64,8,2,1,4.96698,55.341,
A,64,128,64,8,4,1,5.05967,54.327,
A,64,128,64,8,8,1,5.84462,47.031,
A,64,128,128,2,2,1,6.73116,40.837,
A,64,128,128,2,4,1,6.66089,41.267,
A,64,128,128,2,8,1,6.80133,40.415,
A,64,128,128,4,2,1,5.73194,47.955,
A,64,128,128,4,4,1,5.77367,47.609,
A,64,128,128,4,8,1,6.83979,40.188,
A,64,128,128,8,2,1,5.21195,52.740,
A,64,128,128,8,4,1,5.21978,52.661,
A,64,128,128,8,8,1,5.95169,46.185,
A,64,256,32,2,2,1,4.13022,66.553,
A,64,256,32,2,4,1,4.18799,65.635,
A,64,256,32,2,8,1,7.89636,34.811,
A,64,256,32,4,2,1,4.25565,64.591,
A,64,256,32,4,4,1,4.24020,64.827,
A,64,256,32,4,8,1,7.91902,34.711,
A,64,256,32,8,2,1,4.16049,66.069,
A,64,256,32,8,4,1,4.36503,62.973,
A,64,256,32,8,8,1,7.84720,35.029,
A,64,256,64,2,2,1,4.34438,63.272,
A,64,256,64,2,4,1,4.35584,63.106,
A,64,256,64,2,8,1,8.27980,33.199,
A,64,256,64,4,2,1,4.37814,62.784,
A,64,256,64,4,4,1,4.33221,63.450,
A,64,256,64,4,8,1,8.31501,33.058,
A,64,256,64,8,2,1,4.35125,63.172,
A,64,256,64,8,4,1,4.42733,62.087,
A,64,256,64,8,8,1,8.27712,33.209,
A,128,64,32,2,2,1,6.03357,45.558,
A,128,64,32,2,4,1,6.08945,45.140,
A,128,64,32,2,8,1,5.97088,46.036,
A,128,64,32,4,2,1,5.00355,54.937,
A,128,64,32,4,4,1,4.98161,55.179,
A,128,64,32,4,8,1,5.20586,52.802,
A,128,64,32,8,2,1,5.15121,53.362,
A,128,64,32,8,4,1,5.29256,51.937,
A,128,64,32,8,8,1,5.24826,52.375,
A,128,64,64,2,2,1,6.75067,40.719,
A,128,64,64,2,4,1,6.75104,40.716,
A,128,64,64,2,8,1,6.82165,40.295,
A,128,64,64,4,2,1,5.33196,51.553,
A,128,64,64,4,4,1,5.37635,51.127,
A,128,64,64,4,8,1,5.62703,48.850,
A,128,64,64,8,2,1,5.22899,52.568,
A,128,64,64,8,4,1,5.37630,51.128,
A,128,64,64,8,8,1,5.40693,50.838,
A,128,64,128,2,2,1,6.63117,41.452,
A,128,64,128,2,4,1,6.80791,40.376,
A,128,64,128,2,8,1,6.84566,40.154,
A,128,64,128,4,2,1,5.50571,49.926,
A,128,64,128,4,4,1,5.53674,49.646,
A,128,64,128,4,8,1,5.68902,48.317,
A,128,64,128,8,2,1,5.69057,48.304,
A,128,64,128,8,4,1,5.71116,48.130,
A,128,64,128,8,8,1,5.72048,48.052,
A,128,128,32,2,2,1,4.18579,65.669,
A,128,128,32,2,4,1,4.15237,66.198,
A,128,128,32,2,8,1,4.21513,65.212,
A,128,128,32,4,2,1,3.83492,71.678,
A,128,128,32,4,4,1,3.83926,71.597,
A,128,128,32,4,8,1,4.26236,64.490,
A,128,128,32,8,2,1,3.81431,72.065,
A,128,128,32,8,4,1,3.74778,73.344,
A,128,128,32,8,8,1,3.99944,68.729,
A,128,128,64,2,2,1,4.38501,62.686,
A,128,128,64,2,4,1,4.45541,61.695,
A,128,128,64,2,8,1,4.44058,61.901,
A,128,128,64,4,2,1,4.29532,63.995,
A,128,128,64,4,4,1,4.35907,63.059,
A,128,128,64,4,8,1,4.45529,61.697,
A,128,128,64,8,2,1,4.36573,62.963,
A,128,128,64,8,4,1,4.35526,63.114,
A,128,128,64,8,8,1,4.39985,62.474,
A,128,256,32,2,2,1,22.49372,12.220,
A,128,256,32,2,4,1,22.62882,12.147,
A,128,256,32,2,8,1,42.80923,6.421,
A,128,256,32,4,2,1,22.52316,12.204,
A,128,256,32,4,4,1,22.43817,12.250,
A,128,256,32,4,8,1,43.29795,6.349,
A,128,256,32,8,2,1,22.59904,12.163,
A,128,256,32,8,4,1,22.30122,12.326,
A,128,256,32,8,8,1,44.17654,6.222,
A,128,256,64,2,2,1,76.59149,3.589,
A,128,256,64,2,4,1,75.23672,3.654,
A,128,256,64,2,8,1,150.41853,1.827,
A,128,256,64,4,2,1,74.72726,3.678,
A,128,256,64,4,4,1,74.96653,3.667,
A,128,256,64,4,8,1,148.47795,1.851,
A,128,256,64,8,2,1,74.73035,3.678,
A,128,256,64,8,4,1,74.97651,3.666,
A,128,256,64,8,8,1,148.49126,1.851,
A,256,64,32,2,2,1,7.45853,36.854,
