variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,3.30238,41.618,
A,64,64,32,2,4,1,3.34129,41.133,
A,64,64,32,2,8,1,3.31728,41.431,
A,64,64,32,4,2,1,3.31224,41.494,
A,64,64,32,4,4,1,3.26875,42.046,
A,64,64,32,4,8,1,3.30197,41.623,
A,64,64,32,8,2,1,3.31939,41.405,
A,64,64,32,8,4,1,3.31940,41.405,
A,64,64,32,8,8,1,3.29546,41.706,
A,64,64,64,2,2,1,3.12013,44.049,
A,64,64,64,2,4,1,3.16799,43.384,
A,64,64,64,2,8,1,3.09493,44.408,
A,64,64,64,4,2,1,3.15309,43.589,
A,64,64,64,4,4,1,3.12577,43.970,
A,64,64,64,4,8,1,3.16121,43.477,
A,64,64,64,8,2,1,3.12812,43.937,
A,64,64,64,8,4,1,3.14702,43.673,
A,64,64,64,8,8,1,3.13720,43.809,
A,64,64,128,2,2,1,5.68465,24.177,
A,64,64,128,2,4,1,5.65037,24.324,
A,64,64,128,2,8,1,5.65711,24.295,
A,64,64,128,4,2,1,5.57753,24.642,
A,64,64,128,4,4,1,5.62406,24.438,
A,64,64,128,4,8,1,5.56393,24.702,
A,64,64,128,8,2,1,5.64966,24.327,
A,64,64,128,8,4,1,5.67297,24.227,
A,64,64,128,8,8,1,5.57897,24.635,
A,64,128,32,2,2,1,2.63211,52.216,
A,64,128,32,2,4,1,2.63392,52.180,
A,64,128,32,2,8,1,4.79082,28.688,
A,64,128,32,4,2,1,2.49952,54.986,
A,64,128,32,4,4,1,2.50036,54.968,
A,64,128,32,4,8,1,4.79297,28.675,
A,64,128,32,8,2,1,2.46060,55.856,
A,64,128,32,8,4,1,2.51346,54.681,
A,64,128,32,8,8,1,4.84039,28.394,
A,64,128,64,2,2,1,2.63809,52.098,
A,64,128,64,2,4,1,2.60004,52.860,
A,64,128,64,2,8,1,4.99095,27.538,
A,64,128,64,4,2,1,2.57958,53.280,
A,64,128,64,4,4,1,2.58174,53.235,
A,64,128,64,4,8,1,4.94440,27.797,
A,64,128,64,8,2,1,2.61254,52.607,
A,64,128,64,8,4,1,2.59045,53.056,
A,64,128,64,8,8,1,4.92474,27.908,
A,64,128,128,2,2,1,4.65133,29.548,
A,64,128,128,2,4,1,4.61094,29.807,
A,64,128,128,2,8,1,9.00321,15.266,
A,64,128,128,4,2,1,4.69213,29.291,
A,64,128,128,4,4,1,4.68840,29.315,
A,64,128,128,4,8,1,9.14413,15.030,
A,64,128,128,8,2,1,4.68803,29.317,
A,64,128,128,8,4,1,4.63223,29.670,
A,64,128,128,8,8,1,9.07783,15.140,
A,64,256,32,2,2,1,2.18862,62.797,
A,64,256,32,2,4,1,4.12114,33.350,
A,64,256,32,2,8,1,8.06018,17.052,
A,64,256,32,4,2,1,2.16496,63.483,
A,64,256,32,4,4,1,4.15815,33.053,
A,64,256,32,4,8,1,8.12087,16.924,
A,64,256,32,8,2,1,2.15507,63.775,
A,64,256,32,8,4,1,4.13603,33.230,
A,64,256,32,8,8,1,8.17185,16.819,
A,64,256,64,2,2,1,2.29121,59.985,
A,64,256,64,2,4,1,4.29288,32.016,
A,64,256,64,2,8,1,8.41694,16.329,
A,64,256,64,4,2,1,2.30550,59.613,
A,64,256,64,4,4,1,4.33616,31.696,
A,64,256,64,4,8,1,8.40648,16.349,
A,64,256,64,8,2,1,2.30562,59.610,
A,64,256,64,8,4,1,4.34525,31.630,
A,64,256,64,8,8,1,8.37206,16.416,
A,128,64,32,2,2,1,2.57670,53.339,
A,128,64,32,2,4,1,2.57590,53.356,
A,128,64,32,2,8,1,2.58602,53.147,
A,128,64,32,4,2,1,2.55050,53.887,
A,128,64,32,4,4,1,2.54560,53.991,
A,128,64,32,4,8,1,2.57846,53.303,
A,128,64,32,8,2,1,2.61486,52.561,
A,128,64,32,8,4,1,2.61753,52.507,
A,128,64,32,8,8,1,2.62706,52.317,
A,128,64,64,2,2,1,3.32888,41.287,
A,128,64,64,2,4,1,3.28706,41.812,
A,128,64,64,2,8,1,3.31428,41.469,
A,128,64,64,4,2,1,3.14847,43.653,
A,128,64,64,4,4,1,3.21609,42.735,
A,128,64,64,4,8,1,3.30493,41.586,
A,128,64,64,8,2,1,3.16118,43.477,
A,128,64,64,8,4,1,3.28208,41.876,
A,128,64,64,8,8,1,3.43358,40.028,
A,128,64,128,2,2,1,5.22376,26.310,
A,128,64,128,2,4,1,5.21554,26.352,
A,128,64,128,2,8,1,5.27042,26.077,
A,128,64,128,4,2,1,5.22076,26.325,
A,128,64,128,4,4,1,5.19313,26.466,
A,128,64,128,4,8,1,5.21820,26.338,
A,128,64,128,8,2,1,5.18351,26.515,
A,128,64,128,8,4,1,5.25755,26.141,
A,128,64,128,8,8,1,5.20314,26.415,
