variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,5.06251,27.148,
A,64,64,32,2,4,1,5.09156,26.993,
A,64,64,32,2,8,1,5.05663,27.180,
A,64,64,32,4,2,1,3.44366,39.911,
A,64,64,32,4,4,1,3.50683,39.192,
A,64,64,32,4,8,1,3.54906,38.725,
A,64,64,32,8,2,1,3.38298,40.627,
A,64,64,32,8,4,1,3.31158,41.503,
A,64,64,32,8,8,1,3.33157,41.253,
A,64,64,64,2,2,1,4.99248,27.529,
A,64,64,64,2,4,1,4.99711,27.504,
A,64,64,64,2,8,1,5.02688,27.341,
A,64,64,64,4,2,1,3.28799,41.800,
A,64,64,64,4,4,1,3.28802,41.800,
A,64,64,64,4,8,1,3.34732,41.059,
A,64,64,64,8,2,1,3.17856,43.239,
A,64,64,64,8,4,1,3.16458,43.430,
A,64,64,64,8,8,1,3.13253,43.875,
A,64,64,128,2,2,1,6.40388,21.462,
A,64,64,128,2,4,1,6.33338,21.701,
A,64,64,128,2,8,1,6.29796,21.823,
A,64,64,128,4,2,1,5.76333,23.847,
A,64,64,128,4,4,1,5.97115,23.017,
A,64,64,128,4,8,1,5.67909,24.201,
A,64,64,128,8,2,1,5.89511,23.314,
A,64,64,128,8,4,1,5.69097,24.150,
A,64,64,128,8,8,1,5.62512,24.433,
A,64,128,32,2,2,1,4.91380,27.970,
A,64,128,32,2,4,1,4.80118,28.626,
A,64,128,32,2,8,1,4.84643,28.359,
A,64,128,32,4,2,1,3.12401,43.994,
A,64,128,32,4,4,1,3.09869,44.354,
A,64,128,32,4,8,1,3.16840,43.378,
A,64,128,32,8,2,1,2.57533,53.368,
A,64,128,32,8,4,1,2.52113,54.515,
A,64,128,32,8,8,1,2.67001,51.475,
A,64,128,64,2,2,1,5.19956,26.433,
A,64,128,64,2,4,1,5.21855,26.337,
A,64,128,64,2,8,1,5.16985,26.585,
A,64,128,64,4,2,1,3.44893,39.850,
A,64,128,64,4,4,1,3.39246,40.513,
A,64,128,64,4,8,1,3.33391,41.225,
A,64,128,64,8,2,1,3.00001,45.813,
A,64,128,64,8,4,1,2.79121,49.240,
A,64,128,64,8,8,1,2.71941,50.540,
A,64,128,128,2,2,1,5.17377,26.565,
A,64,128,128,2,4,1,5.18904,26.486,
A,64,128,128,2,8,1,5.19349,26.464,
A,64,128,128,4,2,1,4.67277,29.413,
A,64,128,128,4,4,1,4.74242,28.981,
A,64,128,128,4,8,1,4.71583,29.144,
A,64,128,128,8,2,1,4.70483,29.212,
A,64,128,128,8,4,1,4.65611,29.518,
A,64,128,128,8,8,1,4.64046,29.618,
A,64,256,32,2,2,1,4.79720,28.650,
A,64,256,32,2,4,1,4.76835,28.823,
A,64,256,32,2,8,1,4.83344,28.435,
A,64,256,32,4,2,1,2.79178,49.230,
A,64,256,32,4,4,1,2.79978,49.089,
A,64,256,32,4,8,1,3.48444,39.444,
A,64,256,32,8,2,1,2.26059,60.798,
A,64,256,32,8,4,1,2.32881,59.017,
A,64,256,32,8,8,1,2.78222,49.399,
A,64,256,64,2,2,1,5.03564,27.293,
A,64,256,64,2,4,1,4.97043,27.651,
A,64,256,64,2,8,1,5.04633,27.235,
A,64,256,64,4,2,1,3.02949,45.367,
A,64,256,64,4,4,1,2.98769,46.002,
A,64,256,64,4,8,1,3.58729,38.313,
A,64,256,64,8,2,1,2.34715,58.556,
A,64,256,64,8,4,1,2.43309,56.487,
A,64,256,64,8,8,1,2.89738,47.436,
A,128,64,32,2,2,1,3.14674,43.677,
A,128,64,32,2,4,1,3.13752,43.805,
A,128,64,32,2,8,1,3.09457,44.413,
A,128,64,32,4,2,1,2.61101,52.638,
A,128,64,32,4,4,1,2.62618,52.334,
A,128,64,32,4,8,1,2.60010,52.859,
A,128,64,32,8,2,1,4.96750,27.668,
A,128,64,32,8,4,1,4.83994,28.397,
A,128,64,32,8,8,1,4.80875,28.581,
A,128,64,64,2,2,1,3.66205,37.531,
A,128,64,64,2,4,1,3.65595,37.593,
A,128,64,64,2,8,1,3.63448,37.815,
A,128,64,64,4,2,1,3.14120,43.754,
A,128,64,64,4,4,1,3.04496,45.136,
A,128,64,64,4,8,1,3.09589,44.394,
A,128,64,64,8,2,1,5.87036,23.412,
A,128,64,64,8,4,1,5.58599,24.604,
A,128,64,64,8,8,1,5.72004,24.028,
A,128,64,128,2,2,1,5.28332,26.014,
A,128,64,128,2,4,1,5.34529,25.712,
A,128,64,128,2,8,1,5.26853,26.087,
A,128,64,128,4,2,1,5.89312,23.322,
A,128,64,128,4,4,1,5.51926,24.902,
A,128,64,128,4,8,1,5.80789,23.664,
A,128,64,128,8,2,1,11.35841,12.100,
A,128,64,128,8,4,1,10.65649,12.897,
A,128,64,128,8,8,1,10.56785,13.005,
A,128,128,32,2,2,1,2.76310,49.741,
A,128,128,32,2,4,1,2.81951,48.746,
A,128,128,32,2,8,1,3.09047,44.472,
A,128,128,32,4,2,1,2.06822,66.453,
A,128,128,32,4,4,1,2.29401,59.912,
A,128,128,32,4,8,1,2.30605,59.599,
A,128,128,32,8,2,1,3.88379,35.388,
A,128,128,32,8,4,1,3.92260,35.038,
A,128,128,32,8,8,1,3.91922,35.068,
A,128,128,64,2,2,1,3.03198,45.330,
A,128,128,64,2,4,1,3.02725,45.401,
A,128,128,64,2,8,1,2.96936,46.286,
A,128,128,64,4,2,1,2.44501,56.212,
A,128,128,64,4,4,1,2.44803,56.143,
A,128,128,64,4,8,1,2.49391,55.110,
A,128,128,64,8,2,1,4.57538,30.039,
A,128,128,64,8,4,1,4.53414,30.312,
A,128,128,64,8,8,1,5.10220,26.937,
A,128,256,32,2,2,1,16.00936,8.585,
A,128,256,32,2,4,1,13.95937,9.846,
A,128,256,32,2,8,1,14.62538,9.397,
A,128,256,32,4,2,1,15.45756,8.891,
A,128,256,32,4,4,1,13.51786,10.167,
A,128,256,32,4,8,1,15.55346,8.837,
A,128,256,32,8,2,1,30.40381,4.520,
A,128,256,32,8,4,1,26.85741,5.117,
A,128,256,32,8,8,1,27.40906,5.014,
A,128,256,64,2,2,1,40.69444,3.377,
A,128,256,64,2,4,1,45.56215,3.017,
A,128,256,64,2,8,1,40.58030,3.387,
A,128,256,64,4,2,1,40.66965,3.379,
A,128,256,64,4,4,1,40.43843,3.399,
A,128,256,64,4,8,1,40.52882,3.391,
A,128,256,64,8,2,1,86.06269,1.597,
A,128,256,64,8,4,1,81.50118,1.686,
A,128,256,64,8,8,1,87.88539,1.564,
A,256,64,32,2,2,1,2.39699,57.338,
A,256,64,32,2,4,1,2.76659,49.678,
A,256,64,32,2,8,1,2.39938,57.281,
A,256,64,32,4,2,1,4.60209,29.864,
A,256,64,32,4,4,1,4.56866,30.083,
A,256,64,32,4,8,1,4.66709,29.449,
A,256,64,32,8,2,1,9.24817,14.861,
A,256,64,32,8,4,1,9.01827,15.240,
A,256,64,32,8,8,1,9.63435,14.266,
A,256,64,64,2,2,1,3.14618,43.684,
A,256,64,64,2,4,1,3.12859,43.930,
A,256,64,64,2,8,1,3.12642,43.960,
A,256,64,64,4,2,1,4.62906,29.690,
A,256,64,64,4,4,1,4.63020,29.683,
A,256,64,64,4,8,1,4.63610,29.645,
A,256,64,64,8,2,1,9.04471,15.196,
A,256,64,64,8,4,1,9.10047,15.102,
A,256,64,64,8,8,1,8.94916,15.358,
A,256,128,32,2,2,1,17.76385,7.737,
A,256,128,32,2,4,1,17.83609,7.706,
A,256,128,32,2,8,1,17.85776,7.696,
A,256,128,32,4,2,1,36.69349,3.746,
A,256,128,32,4,4,1,36.10592,3.807,
A,256,128,32,4,8,1,36.17866,3.799,
A,256,128,32,8,2,1,72.33946,1.900,
A,256,128,32,8,4,1,72.05069,1.908,
A,256,128,32,8,8,1,71.75270,1.915,
A,256,128,64,2,2,1,28.57323,4.810,
A,256,128,64,2,4,1,28.84549,4.765,
A,256,128,64,2,8,1,28.52923,4.817,
A,256,128,64,4,2,1,58.24616,2.360,
A,256,128,64,4,4,1,58.25808,2.359,
A,256,128,64,4,8,1,58.07074,2.367,
A,256,128,64,8,2,1,117.29305,1.172,
A,256,128,64,8,4,1,117.09338,1.174,
A,256,128,64,8,8,1,116.82201,1.176,
