variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,0.68953,26.105,
A,64,64,32,2,4,1,0.68273,26.365,
A,64,64,32,2,8,1,0.69607,25.860,
A,64,64,32,4,2,1,0.66131,27.219,
A,64,64,32,4,4,1,0.65726,27.386,
A,64,64,32,4,8,1,0.64859,27.752,
A,64,64,32,8,2,1,0.66003,27.272,
A,64,64,32,8,4,1,0.65155,27.626,
A,64,64,32,8,8,1,0.64248,28.017,
A,64,64,64,2,2,1,0.57007,31.575,
A,64,64,64,2,4,1,0.57192,31.473,
A,64,64,64,2,8,1,0.57908,31.084,
A,64,64,64,4,2,1,0.56891,31.639,
A,64,64,64,4,4,1,0.56692,31.751,
A,64,64,64,4,8,1,0.55323,32.536,
A,64,64,64,8,2,1,0.55475,32.447,
A,64,64,64,8,4,1,0.53382,33.719,
A,64,64,64,8,8,1,0.53332,33.751,
A,64,64,128,2,2,1,0.60881,29.566,
A,64,64,128,2,4,1,0.61536,29.251,
A,64,64,128,2,8,1,0.61946,29.057,
A,64,64,128,4,2,1,0.58913,30.553,
A,64,64,128,4,4,1,0.59452,30.277,
A,64,64,128,4,8,1,0.57211,31.462,
A,64,64,128,8,2,1,0.60281,29.860,
A,64,64,128,8,4,1,0.57835,31.123,
A,64,64,128,8,8,1,0.56371,31.931,
A,64,128,32,2,2,1,0.54112,33.265,
A,64,128,32,2,4,1,0.54815,32.838,
A,64,128,32,2,8,1,0.53892,33.400,
A,64,128,32,4,2,1,0.53357,33.735,
A,64,128,32,4,4,1,0.52035,34.592,
A,64,128,32,4,8,1,0.53946,33.367,
A,64,128,32,8,2,1,0.51011,35.286,
A,64,128,32,8,4,1,0.50436,35.689,
A,64,128,32,8,8,1,0.50897,35.366,
A,64,128,64,2,2,1,0.57569,31.267,
A,64,128,64,2,4,1,0.57649,31.224,
A,64,128,64,2,8,1,0.57338,31.393,
A,64,128,64,4,2,1,0.52082,34.561,
A,64,128,64,4,4,1,0.53060,33.924,
A,64,128,64,4,8,1,0.49838,36.117,
A,64,128,64,8,2,1,0.50711,35.495,
A,64,128,64,8,4,1,0.48718,36.947,
A,64,128,64,8,8,1,0.50544,35.612,
A,64,128,128,2,2,1,0.55871,32.217,
A,64,128,128,2,4,1,0.55377,32.505,
A,64,128,128,2,8,1,0.54349,33.119,
A,64,128,128,4,2,1,0.53439,33.683,
A,64,128,128,4,4,1,0.64560,27.881,
A,64,128,128,4,8,1,0.62425,28.835,
A,64,128,128,8,2,1,0.61951,29.055,
A,64,128,128,8,4,1,0.60927,29.544,
A,64,128,128,8,8,1,0.60506,29.749,
A,64,256,32,2,2,1,0.67190,26.790,
A,64,256,32,2,4,1,0.66793,26.949,
A,64,256,32,2,8,1,0.82684,21.770,
A,64,256,32,4,2,1,0.67585,26.633,
A,64,256,32,4,4,1,0.63127,28.514,
A,64,256,32,4,8,1,0.78457,22.942,
A,64,256,32,8,2,1,0.65383,27.530,
A,64,256,32,8,4,1,0.63576,28.313,
A,64,256,32,8,8,1,0.79444,22.658,
A,64,256,64,2,2,1,0.58927,30.546,
A,64,256,64,2,4,1,0.56279,31.983,
A,64,256,64,2,8,1,0.74781,24.070,
A,64,256,64,4,2,1,0.58738,30.645,
A,64,256,64,4,4,1,0.58722,30.653,
A,64,256,64,4,8,1,0.70010,25.711,
A,64,256,64,8,2,1,0.55252,32.578,
A,64,256,64,8,4,1,0.55842,32.234,
A,64,256,64,8,8,1,0.69846,25.771,
A,128,64,32,2,2,1,0.72372,24.872,
A,128,64,32,2,4,1,0.67517,26.660,
A,128,64,32,2,8,1,0.67063,26.840,
A,128,64,32,4,2,1,1.00326,17.942,
A,128,64,32,4,4,1,0.55918,32.190,
A,128,64,32,4,8,1,0.66395,27.110,
A,128,64,32,8,2,1,0.93984,19.152,
A,128,64,32,8,4,1,0.82340,21.861,
A,128,64,32,8,8,1,0.83950,21.441,
A,128,64,64,2,2,1,0.78875,22.821,
A,128,64,64,2,4,1,0.77040,23.364,
A,128,64,64,2,8,1,0.69512,25.895,
A,128,64,64,4,2,1,0.74759,24.077,
A,128,64,64,4,4,1,0.76041,23.671,
A,128,64,64,4,8,1,0.72672,24.769,
A,128,64,64,8,2,1,0.94621,19.023,
A,128,64,64,8,4,1,0.94628,19.022,
A,128,64,64,8,8,1,0.93269,19.299,
A,128,64,128,2,2,1,0.63394,28.394,
A,128,64,128,2,4,1,0.64092,28.085,
A,128,64,128,2,8,1,0.62734,28.692,
A,128,64,128,4,2,1,0.63387,28.397,
A,128,64,128,4,4,1,0.61851,29.102,
A,128,64,128,4,8,1,0.61215,29.404,
A,128,64,128,8,2,1,0.83944,21.443,
A,128,64,128,8,4,1,0.80041,22.489,
A,128,64,128,8,8,1,0.78820,22.837,
A,128,128,32,2,2,1,0.89989,20.002,
A,128,128,32,2,4,1,0.87654,20.535,
A,128,128,32,2,8,1,0.63877,28.179,
A,128,128,32,4,2,1,0.69901,25.751,
A,128,128,32,4,4,1,0.60177,29.912,
A,128,128,32,4,8,1,1.15863,15.536,
A,128,128,32,8,2,1,0.64234,28.022,
A,128,128,32,8,4,1,0.82114,21.921,
A,128,128,32,8,8,1,0.80406,22.387,
A,128,128,64,2,2,1,0.58451,30.795,
A,128,128,64,2,4,1,0.61006,29.505,
A,128,128,64,2,8,1,0.60224,29.889,
A,128,128,64,4,2,1,0.49522,36.347,
A,128,128,64,4,4,1,0.54263,33.172,
A,128,128,64,4,8,1,0.54817,32.837,
A,128,128,64,8,2,1,0.75266,23.915,
A,128,128,64,8,4,1,0.70105,25.676,
A,128,128,64,8,8,1,0.67773,26.559,
A,128,256,32,2,2,1,2.08114,8.649,
A,128,256,32,2,4,1,2.08809,8.620,
A,128,256,32,2,8,1,2.74182,6.565,
A,128,256,32,4,2,1,2.09066,8.610,
A,128,256,32,4,4,1,2.08895,8.617,
A,128,256,32,4,8,1,2.73542,6.580,
A,128,256,32,8,2,1,2.77631,6.483,
A,128,256,32,8,4,1,2.74945,6.547,
A,128,256,32,8,8,1,3.47755,5.176,
A,128,256,64,2,2,1,13.90614,1.294,
A,128,256,64,2,4,1,7.07648,2.544,
A,128,256,64,2,8,1,10.22723,1.760,
A,128,256,64,4,2,1,7.64176,2.355,
A,128,256,64,4,4,1,7.60225,2.368,
A,128,256,64,4,8,1,10.10819,1.781,
A,128,256,64,8,2,1,9.47256,1.900,
A,128,256,64,8,4,1,10.33014,1.742,
A,128,256,64,8,8,1,13.22512,1.361,
A,256,64,32,2,2,1,0.80908,22.247,
A,256,64,32,2,4,1,0.80172,22.452,
A,256,64,32,2,8,1,0.80045,22.487,
A,256,64,32,4,2,1,0.91325,19.710,
A,256,64,32,4,4,1,0.94184,19.112,
A,256,64,32,4,8,1,0.89983,20.004,
A,256,64,32,8,2,1,0.91585,19.654,
A,256,64,32,8,4,1,0.87519,20.567,
A,256,64,32,8,8,1,0.88898,20.248,
A,256,64,64,2,2,1,0.50693,35.508,
A,256,64,64,2,4,1,0.59192,30.410,
A,256,64,64,2,8,1,0.88083,20.435,
A,256,64,64,4,2,1,0.65129,27.637,
A,256,64,64,4,4,1,0.78256,23.001,
A,256,64,64,4,8,1,0.76240,23.610,
A,256,64,64,8,2,1,0.80072,22.480,
A,256,64,64,8,4,1,0.74313,24.222,
A,256,64,64,8,8,1,0.73947,24.342,
A,256,128,32,2,2,1,2.36006,7.627,
A,256,128,32,2,4,1,2.39240,7.524,
A,256,128,32,2,8,1,2.33856,7.697,
A,256,128,32,4,2,1,3.15455,5.706,
A,256,128,32,4,4,1,2.98900,6.022,
A,256,128,32,4,8,1,3.13058,5.750,
A,256,128,32,8,2,1,3.14136,5.730,
A,256,128,32,8,4,1,3.14701,5.720,
A,256,128,32,8,8,1,3.16024,5.696,
A,256,128,64,2,2,1,6.04704,2.977,
