variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,0.60273,28.504,
A,64,64,32,2,4,1,0.59381,28.932,
A,64,64,32,2,8,1,0.59469,28.889,
A,64,64,32,4,2,1,0.60730,28.289,
A,64,64,32,4,4,1,0.59438,28.904,
A,64,64,32,4,8,1,0.60108,28.581,
A,64,64,32,8,2,1,0.60643,28.329,
A,64,64,32,8,4,1,0.60169,28.552,
A,64,64,32,8,8,1,0.58305,29.465,
A,64,64,64,2,2,1,0.63783,26.935,
A,64,64,64,2,4,1,0.63776,26.938,
A,64,64,64,2,8,1,0.64302,26.717,
A,64,64,64,4,2,1,0.62564,27.460,
A,64,64,64,4,4,1,0.63228,27.171,
A,64,64,64,4,8,1,0.62753,27.377,
A,64,64,64,8,2,1,0.63756,26.946,
A,64,64,64,8,4,1,0.62241,27.602,
A,64,64,64,8,8,1,0.62716,27.393,
A,64,64,128,2,2,1,0.62044,27.690,
A,64,64,128,2,4,1,0.63127,27.215,
A,64,64,128,2,8,1,0.62129,27.652,
A,64,64,128,4,2,1,0.61678,27.854,
A,64,64,128,4,4,1,0.61613,27.883,
A,64,64,128,4,8,1,0.61553,27.911,
A,64,64,128,8,2,1,0.60990,28.168,
A,64,64,128,8,4,1,0.61127,28.105,
A,64,64,128,8,8,1,0.60440,28.425,
A,64,128,32,2,2,1,0.51612,33.287,
A,64,128,32,2,4,1,0.51238,33.530,
A,64,128,32,2,8,1,0.52455,32.752,
A,64,128,32,4,2,1,0.52894,32.480,
A,64,128,32,4,4,1,0.52410,32.780,
A,64,128,32,4,8,1,0.52314,32.840,
A,64,128,32,8,2,1,0.51744,33.201,
A,64,128,32,8,4,1,0.52009,33.033,
A,64,128,32,8,8,1,0.52076,32.990,
A,64,128,64,2,2,1,0.53161,32.317,
A,64,128,64,2,4,1,0.53611,32.045,
A,64,128,64,2,8,1,0.53017,32.405,
A,64,128,64,4,2,1,0.52820,32.525,
A,64,128,64,4,4,1,0.52665,32.621,
A,64,128,64,4,8,1,0.52357,32.813,
A,64,128,64,8,2,1,0.52917,32.466,
A,64,128,64,8,4,1,0.52478,32.737,
A,64,128,64,8,8,1,0.51466,33.381,
A,64,128,128,2,2,1,0.54004,31.812,
A,64,128,128,2,4,1,0.55330,31.050,
A,64,128,128,2,8,1,0.54301,31.638,
A,64,128,128,4,2,1,0.54040,31.791,
A,64,128,128,4,4,1,0.54310,31.633,
A,64,128,128,4,8,1,0.54171,31.714,
A,64,128,128,8,2,1,0.54014,31.806,
A,64,128,128,8,4,1,0.52134,32.953,
A,64,128,128,8,8,1,0.54417,31.571,
A,64,256,32,2,2,1,0.50296,34.158,
A,64,256,32,2,4,1,0.51023,33.671,
A,64,256,32,2,8,1,0.49696,34.570,
A,64,256,32,4,2,1,0.48615,35.339,
A,64,256,32,4,4,1,0.48871,35.154,
A,64,256,32,4,8,1,0.50383,34.098,
A,64,256,32,8,2,1,0.47786,35.952,
A,64,256,32,8,4,1,0.48967,35.084,
A,64,256,32,8,8,1,0.51576,33.310,
A,64,256,64,2,2,1,0.49081,35.003,
A,64,256,64,2,4,1,0.49054,35.022,
A,64,256,64,2,8,1,0.49304,34.844,
A,64,256,64,4,2,1,0.47537,36.140,
A,64,256,64,4,4,1,0.48288,35.578,
A,64,256,64,4,8,1,0.49266,34.872,
A,64,256,64,8,2,1,0.48394,35.500,
A,64,256,64,8,4,1,0.47671,36.038,
A,64,256,64,8,8,1,0.48590,35.357,
A,128,64,32,2,2,1,0.51107,33.615,
A,128,64,32,2,4,1,0.52581,32.673,
A,128,64,32,2,8,1,0.51157,33.582,
A,128,64,32,4,2,1,0.51829,33.147,
A,128,64,32,4,4,1,0.52305,32.845,
A,128,64,32,4,8,1,0.52315,32.840,
A,128,64,32,8,2,1,0.56370,30.477,
A,128,64,32,8,4,1,0.52442,32.760,
A,128,64,32,8,8,1,0.50577,33.968,
A,128,64,64,2,2,1,0.50466,34.042,
A,128,64,64,2,4,1,0.51133,33.598,
A,128,64,64,2,8,1,0.50926,33.735,
A,128,64,64,4,2,1,0.50820,33.805,
A,128,64,64,4,4,1,0.50650,33.919,
A,128,64,64,4,8,1,0.50177,34.239,
A,128,64,64,8,2,1,0.50564,33.977,
A,128,64,64,8,4,1,0.49205,34.915,
A,128,64,64,8,8,1,0.49942,34.400,
A,128,64,128,2,2,1,0.53051,32.384,
A,128,64,128,2,4,1,0.52613,32.654,
A,128,64,128,2,8,1,0.52424,32.771,
A,128,64,128,4,2,1,0.52852,32.505,
A,128,64,128,4,4,1,0.52725,32.584,
A,128,64,128,4,8,1,0.51941,33.076,
A,128,64,128,8,2,1,0.53881,31.885,
A,128,64,128,8,4,1,0.52765,32.559,
A,128,64,128,8,8,1,0.52773,32.554,
A,128,128,32,2,2,1,0.54836,31.330,
A,128,128,32,2,4,1,0.55024,31.223,
A,128,128,32,2,8,1,0.54153,31.725,
A,128,128,32,4,2,1,0.49280,34.862,
A,128,128,32,4,4,1,0.50752,33.851,
A,128,128,32,4,8,1,0.51453,33.389,
A,128,128,32,8,2,1,0.53005,32.412,
A,128,128,32,8,4,1,0.50848,33.787,
A,128,128,32,8,8,1,0.50670,33.905,
A,128,128,64,2,2,1,0.48368,35.519,
A,128,128,64,2,4,1,0.48838,35.177,
A,128,128,64,2,8,1,0.49717,34.555,
A,128,128,64,4,2,1,0.48518,35.410,
A,128,128,64,4,4,1,0.48026,35.772,
A,128,128,64,4,8,1,0.48170,35.665,
A,128,128,64,8,2,1,0.52107,32.970,
A,128,128,64,8,4,1,0.49111,34.981,
A,128,128,64,8,8,1,0.47971,35.813,
A,128,256,32,2,2,1,1.60847,10.681,
A,128,256,32,2,4,1,1.57665,10.896,
A,128,256,32,2,8,1,1.59323,10.783,
A,128,256,32,4,2,1,1.58360,10.849,
A,128,256,32,4,4,1,1.59349,10.781,
A,128,256,32,4,8,1,1.59318,10.783,
A,128,256,32,8,2,1,1.60299,10.717,
A,128,256,32,8,4,1,1.59183,10.793,
A,128,256,32,8,8,1,1.60670,10.693,
A,128,256,64,2,2,1,6.10984,2.812,
A,128,256,64,2,4,1,6.12156,2.806,
A,128,256,64,2,8,1,6.08668,2.823,
A,128,256,64,4,2,1,6.08815,2.822,
A,128,256,64,4,4,1,6.13827,2.799,
A,128,256,64,4,8,1,6.13238,2.801,
A,128,256,64,8,2,1,6.07238,2.829,
A,128,256,64,8,4,1,6.11588,2.809,
A,128,256,64,8,8,1,6.13975,2.798,
A,256,64,32,2,2,1,0.52780,32.550,
A,256,64,32,2,4,1,0.51757,33.193,
A,256,64,32,2,8,1,0.52294,32.853,
A,256,64,32,4,2,1,0.55147,31.153,
A,256,64,32,4,4,1,0.54085,31.765,
A,256,64,32,4,8,1,0.51529,33.340,
A,256,64,32,8,2,1,0.57104,30.085,
A,256,64,32,8,4,1,0.52383,32.797,
A,256,64,32,8,8,1,0.51165,33.578,
A,256,64,64,2,2,1,0.49612,34.628,
A,256,64,64,2,4,1,0.50575,33.969,
A,256,64,64,2,8,1,0.49860,34.456,
A,256,64,64,4,2,1,0.53060,32.378,
A,256,64,64,4,4,1,0.53149,32.324,
A,256,64,64,4,8,1,0.50071,34.311,
A,256,64,64,8,2,1,0.52394,32.790,
A,256,64,64,8,4,1,0.51379,33.438,
A,256,64,64,8,8,1,0.49057,35.020,
A,256,128,32,2,2,1,1.88083,9.134,
A,256,128,32,2,4,1,1.87242,9.175,
A,256,128,32,2,8,1,1.83710,9.352,
A,256,128,32,4,2,1,1.84242,9.325,
A,256,128,32,4,4,1,1.83378,9.369,
A,256,128,32,4,8,1,1.84719,9.301,
A,256,128,32,8,2,1,1.83446,9.365,
A,256,128,32,8,4,1,1.86301,9.222,
A,256,128,32,8,8,1,1.84894,9.292,
A,256,128,64,2,2,1,4.98167,3.449,
A,256,128,64,2,4,1,4.92581,3.488,
A,256,128,64,2,8,1,4.98844,3.444,
A,256,128,64,4,2,1,5.00212,3.435,
A,256,128,64,4,4,1,4.98613,3.446,
A,256,128,64,4,8,1,4.98610,3.446,
A,256,128,64,8,2,1,5.01209,3.428,
A,256,128,64,8,4,1,4.99181,3.442,
A,256,128,64,8,8,1,5.00847,3.430,
B,64,64,32,2,2,1,0.58232,29.502,
B,64,64,32,2,4,1,0.60922,28.200,
B,64,64,32,2,8,1,0.61406,27.977,
B,64,64,32,4,2,1,0.55304,31.064,
B,64,64,32,4,4,1,0.65743,26.132,
B,64,64,32,4,8,1,0.61024,28.153,
B,64,64,32,8,2,1,0.61072,28.130,
B,64,64,32,8,4,1,0.64295,26.720,
B,64,64,32,8,8,1,0.71688,23.965,
B,64,64,64,2,2,1,0.58787,29.224,
B,64,64,64,2,4,1,0.57062,30.108,
B,64,64,64,2,8,1,0.59251,28.995,
B,64,64,64,4,2,1,0.57728,29.760,
B,64,64,64,4,4,1,0.58957,29.140,
B,64,64,64,4,8,1,0.59709,28.773,
B,64,64,64,8,2,1,0.59560,28.845,
B,64,64,64,8,4,1,0.60336,28.474,
B,64,64,64,8,8,1,0.68576,25.052,
B,64,64,128,2,2,1,0.54737,31.386,
B,64,64,128,2,4,1,0.54847,31.323,
B,64,64,128,2,8,1,0.56410,30.455,
B,64,64,128,4,2,1,0.53838,31.910,
B,64,64,128,4,4,1,0.56365,30.480,
B,64,64,128,4,8,1,0.57789,29.728,
B,64,64,128,8,2,1,0.56508,30.402,
B,64,64,128,8,4,1,0.55893,30.737,
B,64,64,128,8,8,1,0.66746,25.739,
B,64,128,32,2,2,1,0.55590,30.904,
B,64,128,32,2,4,1,0.60521,28.387,
B,64,128,32,2,8,1,0.59026,29.106,
B,64,128,32,4,2,1,0.59178,29.031,
B,64,128,32,4,4,1,0.59228,29.006,
B,64,128,32,4,8,1,0.69526,24.710,
B,64,128,32,8,2,1,0.56723,30.287,
B,64,128,32,8,4,1,0.69216,24.821,
B,64,128,32,8,8,1,0.67177,25.574,
B,64,128,64,2,2,1,0.67640,25.399,
B,64,128,64,2,4,1,0.68415,25.111,
B,64,128,64,2,8,1,0.71885,23.899,
B,64,128,64,4,2,1,0.70028,24.533,
B,64,128,64,4,4,1,0.67356,25.506,
B,64,128,64,4,8,1,0.82322,20.869,
B,64,128,64,8,2,1,0.70381,24.410,
B,64,128,64,8,4,1,0.81383,21.110,
B,64,128,64,8,8,1,0.81474,21.086,
B,64,128,128,2,2,1,0.69227,24.817,
B,64,128,128,2,4,1,0.71352,24.078,
B,64,128,128,2,8,1,0.75844,22.652,
B,64,128,128,4,2,1,0.72981,23.540,
B,64,128,128,4,4,1,0.72450,23.713,
B,64,128,128,4,8,1,0.89986,19.092,
B,64,128,128,8,2,1,0.73422,23.399,
B,64,128,128,8,4,1,0.86943,19.760,
B,64,128,128,8,8,1,0.87247,19.691,
B,64,256,32,2,2,1,0.51315,33.479,
B,64,256,32,2,4,1,0.50413,34.078,
B,64,256,32,2,8,1,0.59989,28.638,
B,64,256,32,4,2,1,0.49555,34.668,
B,64,256,32,4,4,1,0.55605,30.896,
B,64,256,32,4,8,1,0.57143,30.065,
B,64,256,32,8,2,1,0.56764,30.266,
B,64,256,32,8,4,1,0.53745,31.965,
B,64,256,32,8,8,1,0.85161,20.173,
B,64,256,64,2,2,1,0.49841,34.469,
B,64,256,64,2,4,1,0.50425,34.070,
B,64,256,64,2,8,1,0.60484,28.404,
B,64,256,64,4,2,1,0.50799,33.819,
B,64,256,64,4,4,1,0.58896,29.170,
B,64,256,64,4,8,1,0.59416,28.915,
B,64,256,64,8,2,1,0.57188,30.041,
B,64,256,64,8,4,1,0.55045,31.210,
B,64,256,64,8,8,1,0.84927,20.229,
B,128,64,32,2,2,1,0.53835,31.912,
B,128,64,32,2,4,1,0.61111,28.112,
B,128,64,32,2,8,1,0.58124,29.557,
B,128,64,32,4,2,1,0.56728,30.285,
B,128,64,32,4,4,1,0.59901,28.681,
B,128,64,32,4,8,1,0.68360,25.131,
B,128,64,32,8,2,1,0.57468,29.895,
B,128,64,32,8,4,1,0.69990,24.546,
B,128,64,32,8,8,1,0.67055,25.621,
B,128,64,64,2,2,1,0.65560,26.205,
B,128,64,64,2,4,1,0.64876,26.481,
B,128,64,64,2,8,1,0.65417,26.262,
B,128,64,64,4,2,1,0.67157,25.582,
B,128,64,64,4,4,1,0.66837,25.704,
B,128,64,64,4,8,1,0.77150,22.268,
B,128,64,64,8,2,1,0.68457,25.096,
B,128,64,64,8,4,1,0.80170,21.429,
B,128,64,64,8,8,1,0.76669,22.408,
B,128,64,128,2,2,1,0.67902,25.301,
B,128,64,128,2,4,1,0.71478,24.035,
B,128,64,128,2,8,1,0.74163,23.165,
B,128,64,128,4,2,1,0.73354,23.420,
B,128,64,128,4,4,1,0.71269,24.106,
B,128,64,128,4,8,1,0.87926,19.539,
B,128,64,128,8,2,1,0.75646,22.711,
B,128,64,128,8,4,1,0.86899,19.770,
B,128,64,128,8,8,1,0.86333,19.899,
B,128,128,32,2,2,1,0.51080,33.633,
B,128,128,32,2,4,1,0.49279,34.862,
B,128,128,32,2,8,1,0.60396,28.445,
B,128,128,32,4,2,1,0.49903,34.426,
B,128,128,32,4,4,1,0.55967,30.696,
B,128,128,32,4,8,1,0.56906,30.190,
B,128,128,32,8,2,1,0.57097,30.089,
B,128,128,32,8,4,1,0.53795,31.936,
B,128,128,32,8,8,1,0.85622,20.065,
B,128,128,64,2,2,1,0.50740,33.858,
B,128,128,64,2,4,1,0.50094,34.296,
B,128,128,64,2,8,1,0.59891,28.685,
B,128,128,64,4,2,1,0.50260,34.182,
B,128,128,64,4,4,1,0.56392,30.465,
B,128,128,64,4,8,1,0.56975,30.154,
B,128,128,64,8,2,1,0.56648,30.327,
B,128,128,64,8,4,1,0.53836,31.911,
B,128,128,64,8,8,1,0.84884,20.239,
B,128,256,32,2,2,1,1.67542,10.254,
B,128,256,32,2,4,1,1.94776,8.820,
B,128,256,32,2,8,1,1.54985,11.085,
B,128,256,32,4,2,1,1.95174,8.802,
B,128,256,32,4,4,1,1.55656,11.037,
B,128,256,32,4,8,1,2.34094,7.339,
B,128,256,32,8,2,1,1.54511,11.119,
B,128,256,32,8,4,1,2.34650,7.321,
B,128,256,32,8,8,1,4.31815,3.979,
B,128,256,64,2,2,1,5.68093,3.024,
B,128,256,64,2,4,1,5.48642,3.131,
B,128,256,64,2,8,1,4.49806,3.819,
B,128,256,64,4,2,1,5.50752,3.119,
B,128,256,64,4,4,1,4.51281,3.807,
B,128,256,64,4,8,1,3.67581,4.674,
B,128,256,64,8,2,1,4.51018,3.809,
B,128,256,64,8,4,1,3.65021,4.707,
B,128,256,64,8,8,1,6.80968,2.523,
B,256,64,32,2,2,1,0.53021,32.402,
B,256,64,32,2,4,1,0.55042,31.212,
B,256,64,32,2,8,1,0.66506,25.832,
B,256,64,32,4,2,1,0.56372,30.476,
B,256,64,32,4,4,1,0.64233,26.746,
B,256,64,32,4,8,1,0.66291,25.916,
B,256,64,32,8,2,1,0.65216,26.343,
B,256,64,32,8,4,1,0.62670,27.413,
B,256,64,32,8,8,1,1.01007,17.009,
B,256,64,64,2,2,1,0.53610,32.046,
B,256,64,64,2,4,1,0.51729,33.211,
B,256,64,64,2,8,1,0.59813,28.723,
B,256,64,64,4,2,1,0.54477,31.536,
B,256,64,64,4,4,1,0.59544,28.852,
B,256,64,64,4,8,1,0.56920,30.183,
B,256,64,64,8,2,1,0.73081,23.508,
B,256,64,64,8,4,1,0.58917,29.159,
B,256,64,64,8,8,1,0.84419,20.351,
B,256,128,32,2,2,1,1.80759,9.504,
B,256,128,32,2,4,1,2.07571,8.277,
B,256,128,32,2,8,1,1.76493,9.734,
B,256,128,32,4,2,1,2.99428,5.738,
B,256,128,32,4,4,1,1.78888,9.604,
B,256,128,32,4,8,1,6.49761,2.644,
B,256,128,32,8,2,1,1.77342,9.687,
B,256,128,32,8,4,1,3.03903,5.653,
B,256,128,32,8,8,1,5.54894,3.096,
B,256,128,64,2,2,1,4.35564,3.944,
B,256,128,64,2,4,1,4.41160,3.894,
B,256,128,64,2,8,1,3.14076,5.470,
B,256,128,64,4,2,1,4.41011,3.896,
B,256,128,64,4,4,1,3.14210,5.468,
B,256,128,64,4,8,1,3.30002,5.206,
B,256,128,64,8,2,1,3.18584,5.393,
B,256,128,64,8,4,1,3.27592,5.244,
B,256,128,64,8,8,1,5.94176,2.891,
