variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,5.06728,27.123,
A,64,64,32,2,4,1,5.07779,27.067,
A,64,64,32,2,8,1,5.16200,26.625,
A,64,64,32,4,2,1,3.41027,40.301,
A,64,64,32,4,4,1,3.40046,40.418,
A,64,64,32,4,8,1,3.35123,41.011,
A,64,64,32,8,2,1,2.99585,45.876,
A,64,64,32,8,4,1,2.85657,48.113,
A,64,64,32,8,8,1,2.83115,48.545,
A,64,64,64,2,2,1,4.96720,27.669,
A,64,64,64,2,4,1,4.95923,27.714,
A,64,64,64,2,8,1,4.95975,27.711,
A,64,64,64,4,2,1,3.15276,43.593,
A,64,64,64,4,4,1,3.07687,44.668,
A,64,64,64,4,8,1,3.07464,44.701,
A,64,64,64,8,2,1,2.59344,52.995,
A,64,64,64,8,4,1,2.57733,53.326,
A,64,64,64,8,8,1,2.56012,53.685,
A,64,64,128,2,2,1,5.15484,26.662,
A,64,64,128,2,4,1,5.11975,26.845,
A,64,64,128,2,8,1,5.06081,27.158,
A,64,64,128,4,2,1,3.66578,37.492,
A,64,64,128,4,4,1,3.65719,37.581,
A,64,64,128,4,8,1,3.43411,40.022,
A,64,64,128,8,2,1,3.49772,39.294,
A,64,64,128,8,4,1,3.09333,44.431,
A,64,64,128,8,8,1,2.82582,48.637,
A,64,128,32,2,2,1,4.67236,29.415,
A,64,128,32,2,4,1,4.75569,28.900,
A,64,128,32,2,8,1,4.69187,29.293,
A,64,128,32,4,2,1,2.92592,46.973,
A,64,128,32,4,4,1,2.84108,48.376,
A,64,128,32,4,8,1,3.10978,44.196,
A,64,128,32,8,2,1,2.49196,55.153,
A,64,128,32,8,4,1,2.47713,55.483,
A,64,128,32,8,8,1,2.60050,52.851,
A,64,128,64,2,2,1,4.85559,28.305,
A,64,128,64,2,4,1,4.69409,29.279,
A,64,128,64,2,8,1,4.80175,28.623,
A,64,128,64,4,2,1,3.39021,40.540,
A,64,128,64,4,4,1,3.33029,41.269,
A,64,128,64,4,8,1,3.34184,41.127,
A,64,128,64,8,2,1,2.76196,49.761,
A,64,128,64,8,4,1,2.63893,52.081,
A,64,128,64,8,8,1,2.73597,50.234,
A,64,128,128,2,2,1,4.70364,29.220,
A,64,128,128,2,4,1,4.57886,30.016,
A,64,128,128,2,8,1,4.51041,30.471,
A,64,128,128,4,2,1,2.99258,45.927,
A,64,128,128,4,4,1,2.91475,47.153,
A,64,128,128,4,8,1,3.05354,45.010,
A,64,128,128,8,2,1,2.49875,55.003,
A,64,128,128,8,4,1,2.50221,54.927,
A,64,128,128,8,8,1,2.51958,54.548,
A,64,256,32,2,2,1,4.10294,33.498,
A,64,256,32,2,4,1,4.02537,34.143,
A,64,256,32,2,8,1,3.89325,35.302,
A,64,256,32,4,2,1,3.26987,42.032,
A,64,256,32,4,4,1,3.31940,41.405,
A,64,256,32,4,8,1,4.06408,33.818,
A,64,256,32,8,2,1,2.60291,52.802,
A,64,256,32,8,4,1,2.69708,50.958,
A,64,256,32,8,8,1,3.26850,42.050,
A,64,256,64,2,2,1,3.58272,38.362,
