variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,2.68000,25.642,
A,64,64,32,2,4,1,2.66379,25.798,
A,64,64,32,2,8,1,2.66983,25.739,
A,64,64,32,4,2,1,1.77363,38.745,
A,64,64,32,4,4,1,1.76177,39.006,
A,64,64,32,4,8,1,1.73141,39.690,
A,64,64,32,8,2,1,1.55445,44.208,
A,64,64,32,8,4,1,1.47644,46.544,
A,64,64,32,8,8,1,1.48163,46.381,
A,64,64,64,2,2,1,2.57895,26.646,
A,64,64,64,2,4,1,2.58554,26.578,
A,64,64,64,2,8,1,2.55443,26.902,
A,64,64,64,4,2,1,1.60572,42.797,
A,64,64,64,4,4,1,1.60870,42.717,
A,64,64,64,4,8,1,1.55161,44.289,
A,64,64,64,8,2,1,1.31802,52.139,
A,64,64,64,8,4,1,1.31142,52.401,
A,64,64,64,8,8,1,1.30409,52.695,
A,64,64,128,2,2,1,2.71939,25.270,
A,64,64,128,2,4,1,2.70581,25.397,
A,64,64,128,2,8,1,2.70290,25.424,
A,64,64,128,4,2,1,1.91548,35.876,
A,64,64,128,4,4,1,1.87596,36.632,
A,64,64,128,4,8,1,1.77430,38.730,
A,64,64,128,8,2,1,1.75513,39.154,
A,64,64,128,8,4,1,1.55351,44.235,
A,64,64,128,8,8,1,1.49061,46.101,
A,64,128,32,2,2,1,2.59458,26.486,
A,64,128,32,2,4,1,2.59051,26.527,
A,64,128,32,2,8,1,2.57524,26.685,
A,64,128,32,4,2,1,1.53667,44.720,
A,64,128,32,4,4,1,1.52394,45.093,
A,64,128,32,4,8,1,1.53604,44.738,
A,64,128,32,8,2,1,1.26390,54.371,
A,64,128,32,8,4,1,1.25551,54.734,
A,64,128,32,8,8,1,1.32855,51.725,
A,64,128,64,2,2,1,2.63513,26.078,
A,64,128,64,2,4,1,2.62516,26.177,
A,64,128,64,2,8,1,2.65826,25.851,
A,64,128,64,4,2,1,1.75941,39.058,
A,64,128,64,4,4,1,1.68992,40.664,
A,64,128,64,4,8,1,1.70925,40.204,
A,64,128,64,8,2,1,1.41555,48.546,
A,64,128,64,8,4,1,1.31600,52.218,
A,64,128,64,8,8,1,1.44081,47.695,
A,64,128,128,2,2,1,2.54991,26.950,
A,64,128,128,2,4,1,2.52228,27.245,
A,64,128,128,2,8,1,2.53687,27.088,
A,64,128,128,4,2,1,1.57924,43.514,
A,64,128,128,4,4,1,1.51392,45.392,
A,64,128,128,4,8,1,1.55872,44.087,
A,64,128,128,8,2,1,1.24193,55.333,
A,64,128,128,8,4,1,1.26487,54.329,
A,64,128,128,8,8,1,1.30146,52.802,
A,64,256,32,2,2,1,2.68406,25.603,
