name,kind,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops
a06,fixed,128,128,64,2,3,1,14.95805,46.516
a06,adapt,128,128,64,4,3,1,11.50595,60.472
a06_square,fixed,128,128,64,2,3,1,6.15958,44.626
a06_square,adapt,128,128,64,4,4,1,4.65231,59.084
a06_tall,fixed,128,128,64,2,3,1,3.26974,42.034
a06_tall,adapt,128,128,64,4,4,1,2.32680,59.068
a06_wide,fixed,128,128,64,2,3,1,3.07538,44.690
a06_wide,adapt,128,128,64,4,4,1,2.44656,56.176
a06_small_k,fixed,128,128,64,2,3,1,4.23934,16.210
a06_small_k,adapt,128,128,32,4,4,1,3.25817,21.091
a06_large_k,fixed,128,128,64,2,3,1,4.82643,56.953
a06_large_k,adapt,128,128,128,4,4,1,9.95890,27.601
a06_krumm,fixed,128,128,64,2,3,1,10.39549,11.968
a06_krumm,adapt,128,128,48,4,4,0,inf,0.000
a06_batch,fixed,128,128,64,2,3,1,25.73441,42.725
a06_batch,adapt,128,128,64,4,4,1,19.96795,55.064
