variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,24.56379,28.326,
A,64,64,32,2,4,1,25.03899,27.788,
A,64,64,32,2,8,1,26.55442,26.202,
A,64,64,32,4,2,1,17.34209,40.121,
A,64,64,32,4,4,1,18.52006,37.569,
A,64,64,32,4,8,1,23.35749,29.789,
A,64,64,32,8,2,1,16.52690,42.100,
A,64,64,32,8,4,1,18.02847,38.594,
A,64,64,32,8,8,1,21.82160,31.885,
A,64,64,64,2,2,1,24.04740,28.934,
A,64,64,64,2,4,1,24.38482,28.534,
A,64,64,64,2,8,1,25.47840,27.309,
A,64,64,64,4,2,1,16.22728,42.877,
A,64,64,64,4,4,1,17.77214,39.150,
A,64,64,64,4,8,1,21.88356,31.795,
A,64,64,64,8,2,1,15.70234,44.311,
A,64,64,64,8,4,1,17.24168,40.355,
A,64,64,64,8,8,1,20.29909,34.277,
A,64,64,128,2,2,1,31.13446,22.348,
A,64,64,128,2,4,1,32.91270,21.140,
A,64,64,128,2,8,1,39.21399,17.743,
A,64,64,128,4,2,1,29.03443,23.964,
A,64,64,128,4,4,1,32.17451,21.625,
A,64,64,128,4,8,1,38.61515,18.018,
A,64,64,128,8,2,1,28.78706,24.170,
A,64,64,128,8,4,1,31.73572,21.924,
A,64,64,128,8,8,1,37.80168,18.406,
A,64,128,32,2,2,1,23.96142,29.038,
A,64,128,32,2,4,1,25.04162,27.785,
A,64,128,32,2,8,1,27.50793,25.294,
A,64,128,32,4,2,1,16.09244,43.237,
A,64,128,32,4,4,1,17.84933,38.981,
A,64,128,32,4,8,1,21.29551,32.673,
A,64,128,32,8,2,1,13.91711,49.995,
A,64,128,32,8,4,1,16.77784,41.470,
A,64,128,32,8,8,1,21.27319,32.707,
A,64,128,64,2,2,1,25.58339,27.197,
A,64,128,64,2,4,1,25.98783,26.773,
A,64,128,64,2,8,1,28.41336,24.488,
A,64,128,64,4,2,1,17.32552,40.160,
A,64,128,64,4,4,1,19.05929,36.506,
A,64,128,64,4,8,1,23.45746,29.662,
A,64,128,64,8,2,1,15.77355,44.111,
A,64,128,64,8,4,1,18.31758,37.985,
A,64,128,64,8,8,1,22.74688,30.588,
A,64,128,128,2,2,1,26.45344,26.302,
A,64,128,128,2,4,1,31.88861,21.819,
A,64,128,128,2,8,1,41.80444,16.644,
A,64,128,128,4,2,1,26.35783,26.398,
A,64,128,128,4,4,1,31.27441,22.248,
A,64,128,128,4,8,1,40.49856,17.180,
A,64,128,128,8,2,1,26.22325,26.533,
A,64,128,128,8,4,1,31.00292,22.443,
A,64,128,128,8,8,1,40.24567,17.288,
A,64,256,32,2,2,1,24.04038,28.942,
A,64,256,32,2,4,1,25.15043,27.665,
A,64,256,32,2,8,1,25.08795,27.734,
A,64,256,32,4,2,1,15.34260,45.350,
A,64,256,32,4,4,1,18.84371,36.924,
A,64,256,32,4,8,1,19.26547,36.116,
A,64,256,32,8,2,1,14.22949,48.897,
A,64,256,32,8,4,1,18.33654,37.945,
A,64,256,32,8,8,1,18.87839,36.856,
A,64,256,64,2,2,1,24.42632,28.485,
A,64,256,64,2,4,1,25.72429,27.048,
A,64,256,64,2,8,1,25.51727,27.267,
A,64,256,64,4,2,1,15.99622,43.497,
A,64,256,64,4,4,1,19.55309,35.584,
A,64,256,64,4,8,1,19.67905,35.357,
A,64,256,64,8,2,1,14.81855,46.954,
A,64,256,64,8,4,1,18.86532,36.882,
A,64,256,64,8,8,1,19.29460,36.061,
A,128,64,32,2,2,1,15.83136,43.950,
A,128,64,32,2,4,1,16.13878,43.113,
A,128,64,32,2,8,1,17.95452,38.753,
A,128,64,32,4,2,1,13.18807,52.759,
A,128,64,32,4,4,1,14.03137,49.588,
A,128,64,32,4,8,1,17.12041,40.641,
A,128,64,32,8,2,1,16.50024,42.168,
A,128,64,32,8,4,1,18.19242,38.246,
A,128,64,32,8,8,1,21.83620,31.864,
A,128,64,64,2,2,1,20.70372,33.607,
A,128,64,64,2,4,1,19.46628,35.743,
A,128,64,64,2,8,1,22.61245,30.770,
A,128,64,64,4,2,1,16.04274,43.371,
A,128,64,64,4,4,1,16.68464,41.702,
A,128,64,64,4,8,1,21.19532,32.827,
A,128,64,64,8,2,1,19.43262,35.805,
A,128,64,64,8,4,1,21.71412,32.043,
A,128,64,64,8,8,1,26.63268,26.125,
A,128,64,128,2,2,1,26.58835,26.169,
A,128,64,128,2,4,1,29.18031,23.844,
A,128,64,128,2,8,1,34.38932,20.233,
A,128,64,128,4,2,1,26.17788,26.579,
A,128,64,128,4,4,1,28.69526,24.247,
A,128,64,128,4,8,1,34.46391,20.189,
A,128,64,128,8,2,1,34.63668,20.088,
A,128,64,128,8,4,1,38.33922,18.148,
A,128,64,128,8,8,1,45.68043,15.232,
A,128,128,32,2,2,1,14.21559,48.945,
A,128,128,32,2,4,1,15.76351,44.139,
A,128,128,32,2,8,1,18.12771,38.382,
A,128,128,32,4,2,1,11.62992,59.827,
A,128,128,32,4,4,1,13.47119,51.650,
A,128,128,32,4,8,1,17.41234,39.959,
A,128,128,32,8,2,1,14.89199,46.722,
A,128,128,32,8,4,1,17.55671,39.631,
A,128,128,32,8,8,1,23.17437,30.024,
A,128,128,64,2,2,1,14.98975,46.417,
A,128,128,64,2,4,1,16.11776,43.169,
A,128,128,64,2,8,1,20.04842,34.705,
A,128,128,64,4,2,1,12.95088,53.725,
A,128,128,64,4,4,1,15.29349,45.495,
A,128,128,64,4,8,1,19.92181,34.926,
A,128,128,64,8,2,1,16.80709,41.398,
A,128,128,64,8,4,1,19.76590,35.201,
A,128,128,64,8,8,1,26.45907,26.297,
A,128,256,32,2,2,1,89.64712,7.761,
A,128,256,32,2,4,1,117.88490,5.902,
A,128,256,32,2,8,1,120.49008,5.775,
A,128,256,32,4,2,1,88.08089,7.899,
A,128,256,32,4,4,1,117.34435,5.929,
A,128,256,32,4,8,1,117.52358,5.920,
A,128,256,32,8,2,1,120.56886,5.771,
