variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,40.26218,27.309,
A,64,64,32,2,4,1,39.95498,27.519,
A,64,64,32,2,8,1,40.05800,27.448,
A,64,64,32,4,2,1,29.39081,37.410,
A,64,64,32,4,4,1,29.43190,37.358,
A,64,64,32,4,8,1,29.34094,37.474,
A,64,64,32,8,2,1,28.49050,38.592,
A,64,64,32,8,4,1,28.35711,38.774,
A,64,64,32,8,8,1,28.73609,38.262,
A,64,64,64,2,2,1,39.51704,27.824,
A,64,64,64,2,4,1,39.89720,27.559,
A,64,64,64,2,8,1,39.71335,27.686,
A,64,64,64,4,2,1,27.77639,39.584,
A,64,64,64,4,4,1,28.07549,39.163,
A,64,64,64,4,8,1,28.40620,38.707,
A,64,64,64,8,2,1,27.46771,40.029,
A,64,64,64,8,4,1,27.29670,40.280,
A,64,64,64,8,8,1,26.97662,40.758,
A,64,64,128,2,2,1,49.55341,22.188,
A,64,64,128,2,4,1,49.17111,22.361,
A,64,64,128,2,8,1,49.58245,22.175,
A,64,64,128,4,2,1,47.87098,22.968,
A,64,64,128,4,4,1,48.53554,22.654,
A,64,64,128,4,8,1,48.44026,22.698,
A,64,64,128,8,2,1,48.55013,22.647,
A,64,64,128,8,4,1,48.03533,22.890,
A,64,64,128,8,8,1,47.86431,22.971,
A,64,128,32,2,2,1,37.46175,29.350,
A,64,128,32,2,4,1,37.60758,29.236,
A,64,128,32,2,8,1,37.63479,29.215,
A,64,128,32,4,2,1,25.43975,43.220,
A,64,128,32,4,4,1,25.56147,43.014,
A,64,128,32,4,8,1,25.47771,43.156,
A,64,128,32,8,2,1,21.81995,50.390,
A,64,128,32,8,4,1,21.61722,50.863,
A,64,128,32,8,8,1,21.47681,51.195,
A,64,128,64,2,2,1,39.32005,27.963,
A,64,128,64,2,4,1,37.23694,29.527,
A,64,128,64,2,8,1,37.56290,29.271,
A,64,128,64,4,2,1,27.16326,40.478,
A,64,128,64,4,4,1,26.97914,40.754,
A,64,128,64,4,8,1,26.19676,41.971,
A,64,128,64,8,2,1,24.70641,44.503,
A,64,128,64,8,4,1,23.52695,46.734,
A,64,128,64,8,8,1,23.04861,47.704,
A,64,128,128,2,2,1,41.42749,26.541,
A,64,128,128,2,4,1,41.33514,26.600,
A,64,128,128,2,8,1,40.09033,27.426,
A,64,128,128,4,2,1,39.12388,28.103,
A,64,128,128,4,4,1,39.30254,27.976,
A,64,128,128,4,8,1,39.43727,27.880,
A,64,128,128,8,2,1,39.86859,27.578,
A,64,128,128,8,4,1,39.67193,27.715,
A,64,128,128,8,8,1,38.90064,28.265,
A,64,256,32,2,2,1,35.49147,30.980,
A,64,256,32,2,4,1,35.35490,31.099,
A,64,256,32,2,8,1,45.90888,23.950,
A,64,256,32,4,2,1,23.18044,47.433,
A,64,256,32,4,4,1,24.39666,45.068,
A,64,256,32,4,8,1,37.14777,29.598,
A,64,256,32,8,2,1,19.45092,56.527,
A,64,256,32,8,4,1,19.22686,57.186,
A,64,256,32,8,8,1,36.15907,30.408,
A,64,256,64,2,2,1,35.40346,31.057,
A,64,256,64,2,4,1,35.25684,31.186,
A,64,256,64,2,8,1,45.45790,24.187,
A,64,256,64,4,2,1,23.58130,46.626,
A,64,256,64,4,4,1,23.41194,46.964,
A,64,256,64,4,8,1,37.82589,29.068,
A,64,256,64,8,2,1,19.53237,56.292,
A,64,256,64,8,4,1,19.80537,55.516,
A,64,256,64,8,8,1,37.61653,29.229,
A,128,64,32,2,2,1,25.02080,43.944,
A,128,64,32,2,4,1,25.23447,43.572,
A,128,64,32,2,8,1,24.99419,43.991,
A,128,64,32,4,2,1,21.85544,50.308,
A,128,64,32,4,4,1,21.66919,50.741,
A,128,64,32,4,8,1,21.81777,50.395,
A,128,64,32,8,2,1,21.29404,51.635,
A,128,64,32,8,4,1,21.18930,51.890,
A,128,64,32,8,8,1,21.25912,51.720,
A,128,64,64,2,2,1,27.98464,39.290,
A,128,64,64,2,4,1,28.13162,39.085,
A,128,64,64,2,8,1,27.90733,39.399,
A,128,64,64,4,2,1,24.43712,44.994,
A,128,64,64,4,4,1,24.78393,44.364,
A,128,64,64,4,8,1,24.72620,44.467,
A,128,64,64,8,2,1,24.78398,44.364,
A,128,64,64,8,4,1,24.83755,44.268,
A,128,64,64,8,8,1,24.83754,44.268,
A,128,64,128,2,2,1,44.11434,24.924,
A,128,64,128,2,4,1,43.73214,25.142,
A,128,64,128,2,8,1,43.59772,25.219,
A,128,64,128,4,2,1,43.75471,25.129,
A,128,64,128,4,4,1,43.45138,25.304,
A,128,64,128,4,8,1,43.25552,25.419,
A,128,64,128,8,2,1,43.67064,25.177,
A,128,64,128,8,4,1,43.34122,25.369,
A,128,64,128,8,8,1,43.36247,25.356,
A,128,128,32,2,2,1,22.99156,47.822,
A,128,128,32,2,4,1,23.31481,47.159,
A,128,128,32,2,8,1,22.96980,47.868,
A,128,128,32,4,2,1,18.12414,60.666,
