variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,3.50259,19.620,
A,64,64,32,2,4,1,3.50694,19.595,
A,64,64,32,2,8,1,3.51902,19.528,
A,64,64,32,4,2,1,3.49545,19.660,
A,64,64,32,4,4,1,3.51557,19.547,
A,64,64,32,4,8,1,3.45149,19.910,
A,64,64,32,8,2,1,3.59226,19.130,
A,64,64,32,8,4,1,3.53489,19.440,
A,64,64,32,8,8,1,3.49794,19.646,
A,64,64,64,2,2,1,5.08421,13.516,
A,64,64,64,2,4,1,5.07599,13.538,
A,64,64,64,2,8,1,5.07164,13.550,
A,64,64,64,4,2,1,5.07935,13.529,
A,64,64,64,4,4,1,5.03743,13.642,
A,64,64,64,4,8,1,5.05810,13.586,
A,64,64,64,8,2,1,5.06429,13.569,
A,64,64,64,8,4,1,5.05028,13.607,
A,64,64,64,8,8,1,5.07633,13.537,
A,64,64,128,2,2,1,7.50346,9.158,
A,64,64,128,2,4,1,7.53942,9.115,
A,64,64,128,2,8,1,7.56073,9.089,
A,64,64,128,4,2,1,7.46443,9.206,
A,64,64,128,4,4,1,7.47131,9.198,
A,64,64,128,4,8,1,7.48487,9.181,
A,64,64,128,8,2,1,7.54055,9.113,
A,64,64,128,8,4,1,7.45833,9.214,
A,64,64,128,8,8,1,7.50947,9.151,
A,64,128,32,2,2,1,3.32339,20.678,
A,64,128,32,2,4,1,3.38946,20.274,
A,64,128,32,2,8,1,3.33002,20.636,
A,64,128,32,4,2,1,3.30298,20.805,
A,64,128,32,4,4,1,3.33888,20.582,
A,64,128,32,4,8,1,3.32957,20.639,
A,64,128,32,8,2,1,3.25327,21.123,
A,64,128,32,8,4,1,3.31415,20.735,
A,64,128,32,8,8,1,3.31516,20.729,
A,64,128,64,2,2,1,3.98133,17.260,
A,64,128,64,2,4,1,3.98336,17.252,
A,64,128,64,2,8,1,4.04605,16.984,
A,64,128,64,4,2,1,4.03316,17.039,
A,64,128,64,4,4,1,3.98590,17.241,
A,64,128,64,4,8,1,3.99787,17.189,
A,64,128,64,8,2,1,4.23189,16.238,
A,64,128,64,8,4,1,4.14397,16.583,
A,64,128,64,8,8,1,3.99757,17.190,
A,64,128,128,2,2,1,6.46807,10.624,
A,64,128,128,2,4,1,6.48084,10.603,
A,64,128,128,2,8,1,6.43317,10.682,
A,64,128,128,4,2,1,6.45717,10.642,
A,64,128,128,4,4,1,6.43703,10.676,
A,64,128,128,4,8,1,6.46387,10.631,
A,64,128,128,8,2,1,6.45447,10.647,
A,64,128,128,8,4,1,6.43966,10.671,
A,64,128,128,8,8,1,6.43460,10.680,
A,64,256,32,2,2,1,3.23309,21.255,
A,64,256,32,2,4,1,3.26821,21.027,
A,64,256,32,2,8,1,3.22962,21.278,
A,64,256,32,4,2,1,3.12916,21.961,
A,64,256,32,4,4,1,3.04298,22.583,
A,64,256,32,4,8,1,3.12478,21.992,
A,64,256,32,8,2,1,3.25212,21.131,
A,64,256,32,8,4,1,3.01938,22.759,
A,64,256,32,8,8,1,3.07766,22.328,
A,64,256,64,2,2,1,3.68601,18.643,
A,64,256,64,2,4,1,3.68453,18.651,
A,64,256,64,2,8,1,3.65840,18.784,
A,64,256,64,4,2,1,3.64447,18.856,
A,64,256,64,4,4,1,3.66409,18.755,
A,64,256,64,4,8,1,3.72684,18.439,
A,64,256,64,8,2,1,3.68502,18.648,
A,64,256,64,8,4,1,3.70970,18.524,
A,64,256,64,8,8,1,3.65217,18.816,
A,128,64,32,2,2,1,3.22747,21.292,
A,128,64,32,2,4,1,3.24031,21.208,
A,128,64,32,2,8,1,3.25841,21.090,
A,128,64,32,4,2,1,3.36918,20.396,
A,128,64,32,4,4,1,3.36727,20.408,
A,128,64,32,4,8,1,3.27740,20.968,
A,128,64,32,8,2,1,3.65227,18.816,
A,128,64,32,8,4,1,3.41946,20.097,
A,128,64,32,8,8,1,3.41720,20.110,
A,128,64,64,2,2,1,4.40827,15.589,
A,128,64,64,2,4,1,4.39836,15.624,
A,128,64,64,2,8,1,4.39112,15.650,
A,128,64,64,4,2,1,4.34966,15.799,
A,128,64,64,4,4,1,4.42558,15.528,
A,128,64,64,4,8,1,4.38612,15.667,
A,128,64,64,8,2,1,4.63535,14.825,
A,128,64,64,8,4,1,4.38146,15.684,
A,128,64,64,8,8,1,4.36922,15.728,
A,128,64,128,2,2,1,6.92074,9.930,
A,128,64,128,2,4,1,6.86571,10.009,
A,128,64,128,2,8,1,6.92661,9.921,
A,128,64,128,4,2,1,6.91785,9.934,
A,128,64,128,4,4,1,6.90595,9.951,
A,128,64,128,4,8,1,6.93839,9.904,
A,128,64,128,8,2,1,6.99890,9.819,
A,128,64,128,8,4,1,6.96835,9.862,
A,128,64,128,8,8,1,6.93581,9.908,
A,128,128,32,2,2,1,3.23561,21.238,
A,128,128,32,2,4,1,3.26634,21.039,
A,128,128,32,2,8,1,3.24771,21.159,
A,128,128,32,4,2,1,3.22682,21.296,
A,128,128,32,4,4,1,3.27640,20.974,
A,128,128,32,4,8,1,3.18329,21.588,
A,128,128,32,8,2,1,3.48980,19.692,
A,128,128,32,8,4,1,3.35582,20.478,
A,128,128,32,8,8,1,3.28439,20.923,
A,128,128,64,2,2,1,3.68041,18.672,
A,128,128,64,2,4,1,3.67919,18.678,
A,128,128,64,2,8,1,3.62281,18.969,
A,128,128,64,4,2,1,3.77400,18.209,
A,128,128,64,4,4,1,3.73414,18.403,
A,128,128,64,4,8,1,3.67876,18.680,
A,128,128,64,8,2,1,4.19738,16.372,
A,128,128,64,8,4,1,3.77506,18.204,
A,128,128,64,8,8,1,3.71849,18.480,
A,128,256,32,2,2,1,7.69652,8.929,
A,128,256,32,2,4,1,7.76893,8.845,
A,128,256,32,2,8,1,7.76341,8.852,
A,128,256,32,4,2,1,7.72751,8.893,
A,128,256,32,4,4,1,7.67127,8.958,
A,128,256,32,4,8,1,7.74234,8.876,
A,128,256,32,8,2,1,7.81726,8.791,
A,128,256,32,8,4,1,7.77349,8.840,
A,128,256,32,8,8,1,7.73726,8.882,
A,128,256,64,2,2,1,46.01111,1.494,
A,128,256,64,2,4,1,45.48370,1.511,
A,128,256,64,2,8,1,45.47832,1.511,
A,128,256,64,4,2,1,45.51161,1.510,
A,128,256,64,4,4,1,45.50799,1.510,
A,128,256,64,4,8,1,45.96565,1.495,
A,128,256,64,8,2,1,45.74785,1.502,
A,128,256,64,8,4,1,45.51799,1.510,
A,128,256,64,8,8,1,46.02919,1.493,
A,256,64,32,2,2,1,3.33585,20.600,
A,256,64,32,2,4,1,3.36391,20.428,
A,256,64,32,2,8,1,3.30327,20.803,
A,256,64,32,4,2,1,3.44768,19.932,
A,256,64,32,4,4,1,3.52336,19.504,
A,256,64,32,4,8,1,3.29268,20.870,
A,256,64,32,8,2,1,3.48855,19.699,
A,256,64,32,8,4,1,3.27343,20.993,
A,256,64,32,8,8,1,3.30882,20.769,
A,256,64,64,2,2,1,3.77198,18.218,
A,256,64,64,2,4,1,3.81659,18.005,
A,256,64,64,2,8,1,3.79571,18.104,
A,256,64,64,4,2,1,3.95729,17.365,
A,256,64,64,4,4,1,4.02917,17.055,
A,256,64,64,4,8,1,3.77130,18.222,
A,256,64,64,8,2,1,3.94795,17.406,
A,256,64,64,8,4,1,3.76177,18.268,
A,256,64,64,8,8,1,3.73930,18.378,
A,256,128,32,2,2,1,8.81740,7.794,
A,256,128,32,2,4,1,8.81358,7.797,
A,256,128,32,2,8,1,8.81056,7.800,
A,256,128,32,4,2,1,8.78011,7.827,
A,256,128,32,4,4,1,8.72716,7.874,
A,256,128,32,4,8,1,8.80392,7.806,
A,256,128,32,8,2,1,8.79411,7.814,
A,256,128,32,8,4,1,8.84150,7.772,
A,256,128,32,8,8,1,8.73538,7.867,
A,256,128,64,2,2,1,35.23167,1.951,
A,256,128,64,2,4,1,34.82160,1.973,
A,256,128,64,2,8,1,35.21240,1.952,
A,256,128,64,4,2,1,35.22371,1.951,
A,256,128,64,4,4,1,34.83948,1.972,
A,256,128,64,4,8,1,34.82307,1.973,
A,256,128,64,8,2,1,34.98819,1.964,
A,256,128,64,8,4,1,35.50282,1.936,
A,256,128,64,8,8,1,34.83588,1.973,
