variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,9.73003,28.250,
A,64,64,32,2,4,1,9.83031,27.962,
A,64,64,32,2,8,1,9.79163,28.073,
A,64,64,32,4,2,1,6.85452,40.102,
A,64,64,32,4,4,1,7.02419,39.133,
A,64,64,32,4,8,1,6.97183,39.427,
A,64,64,32,8,2,1,6.74983,40.724,
A,64,64,32,8,4,1,6.68738,41.104,
A,64,64,32,8,8,1,6.67543,41.178,
A,64,64,64,2,2,1,9.61362,28.593,
A,64,64,64,2,4,1,9.69526,28.352,
A,64,64,64,2,8,1,9.53921,28.816,
A,64,64,64,4,2,1,6.60553,41.613,
A,64,64,64,4,4,1,6.57782,41.789,
A,64,64,64,4,8,1,6.73621,40.806,
A,64,64,64,8,2,1,6.41691,42.837,
A,64,64,64,8,4,1,6.38864,43.026,
A,64,64,64,8,8,1,6.35349,43.264,
A,64,64,128,2,2,1,12.13467,22.652,
A,64,64,128,2,4,1,12.04343,22.824,
A,64,64,128,2,8,1,12.13097,22.659,
A,64,64,128,4,2,1,11.66726,23.560,
A,64,64,128,4,4,1,11.81270,23.270,
A,64,64,128,4,8,1,11.75422,23.385,
A,64,64,128,8,2,1,11.60532,23.686,
A,64,64,128,8,4,1,11.61706,23.662,
A,64,64,128,8,8,1,11.57119,23.755,
A,64,128,32,2,2,1,9.05019,30.373,
A,64,128,32,2,4,1,9.04581,30.387,
A,64,128,32,2,8,1,9.11135,30.169,
A,64,128,32,4,2,1,5.85456,46.951,
A,64,128,32,4,4,1,5.86080,46.901,
A,64,128,32,4,8,1,6.20874,44.273,
A,64,128,32,8,2,1,5.08562,54.050,
A,64,128,32,8,4,1,5.02244,54.730,
A,64,128,32,8,8,1,5.43391,50.586,
A,64,128,64,2,2,1,9.51492,28.889,
A,64,128,64,2,4,1,9.33762,29.438,
A,64,128,64,2,8,1,8.96858,30.649,
A,64,128,64,4,2,1,6.58077,41.770,
A,64,128,64,4,4,1,6.41896,42.823,
A,64,128,64,4,8,1,6.39114,43.009,
A,64,128,64,8,2,1,5.75133,47.794,
A,64,128,64,8,4,1,5.50345,49.946,
A,64,128,64,8,8,1,5.50449,49.937,
A,64,128,128,2,2,1,9.71397,28.297,
A,64,128,128,2,4,1,9.70789,28.315,
A,64,128,128,2,8,1,9.67886,28.400,
A,64,128,128,4,2,1,9.44788,29.094,
A,64,128,128,4,4,1,9.43826,29.124,
A,64,128,128,4,8,1,9.48252,28.988,
A,64,128,128,8,2,1,9.37477,29.321,
A,64,128,128,8,4,1,9.32615,29.474,
A,64,128,128,8,8,1,9.41075,29.209,
A,64,256,32,2,2,1,6.91131,39.772,
A,64,256,32,2,4,1,6.95163,39.542,
A,64,256,32,2,8,1,6.95371,39.530,
A,64,256,32,4,2,1,5.33751,51.499,
A,64,256,32,4,4,1,5.25057,52.352,
A,64,256,32,4,8,1,6.94719,39.567,
A,64,256,32,8,2,1,4.51834,60.836,
A,64,256,32,8,4,1,4.61804,59.523,
A,64,256,32,8,8,1,5.49605,50.014,
A,64,256,64,2,2,1,6.86626,40.033,
A,64,256,64,2,4,1,6.98156,39.372,
A,64,256,64,2,8,1,7.03877,39.052,
A,64,256,64,4,2,1,5.53419,49.669,
A,64,256,64,4,4,1,5.61273,48.974,
A,64,256,64,4,8,1,6.96255,39.479,
A,64,256,64,8,2,1,4.67369,58.814,
A,64,256,64,8,4,1,4.80122,57.252,
A,64,256,64,8,8,1,5.60362,49.054,
A,128,64,32,2,2,1,6.07171,45.272,
A,128,64,32,2,4,1,6.00319,45.789,
A,128,64,32,2,8,1,5.92849,46.366,
A,128,64,32,4,2,1,5.17580,53.108,
A,128,64,32,4,4,1,5.09784,53.920,
A,128,64,32,4,8,1,5.16249,53.245,
A,128,64,32,8,2,1,5.09328,53.969,
A,128,64,32,8,4,1,5.03466,54.597,
A,128,64,32,8,8,1,5.06008,54.323,
A,128,64,64,2,2,1,7.15443,38.421,
A,128,64,64,2,4,1,7.08442,38.800,
A,128,64,64,2,8,1,6.89488,39.867,
A,128,64,64,4,2,1,6.01191,45.722,
A,128,64,64,4,4,1,6.09364,45.109,
A,128,64,64,4,8,1,6.19120,44.398,
A,128,64,64,8,2,1,6.01257,45.717,
