variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,0.96882,35.465,
A,64,64,32,2,4,1,0.99245,34.621,
A,64,64,32,2,8,1,1.00191,34.294,
A,64,64,32,4,2,1,0.97796,35.134,
A,64,64,32,4,4,1,0.97638,35.191,
A,64,64,32,4,8,1,0.97633,35.193,
A,64,64,32,8,2,1,0.97016,35.417,
A,64,64,32,8,4,1,0.95335,36.041,
A,64,64,32,8,8,1,0.98298,34.955,
A,64,64,64,2,2,1,0.93531,36.736,
A,64,64,64,2,4,1,0.93213,36.862,
A,64,64,64,2,8,1,0.92917,36.979,
A,64,64,64,4,2,1,0.90307,38.048,
A,64,64,64,4,4,1,0.89658,38.323,
A,64,64,64,4,8,1,0.91838,37.414,
A,64,64,64,8,2,1,0.91563,37.526,
A,64,64,64,8,4,1,0.90178,38.102,
A,64,64,64,8,8,1,0.92036,37.333,
A,64,64,128,2,2,1,1.00309,34.254,
A,64,64,128,2,4,1,0.97521,35.233,
A,64,64,128,2,8,1,0.99313,34.598,
A,64,64,128,4,2,1,0.96819,35.489,
A,64,64,128,4,4,1,0.98308,34.951,
A,64,64,128,4,8,1,0.96383,35.649,
A,64,64,128,8,2,1,0.98873,34.751,
A,64,64,128,8,4,1,0.95257,36.070,
A,64,64,128,8,8,1,0.97776,35.141,
A,64,128,32,2,2,1,0.86985,39.501,
A,64,128,32,2,4,1,0.87103,39.447,
A,64,128,32,2,8,1,0.87695,39.181,
A,64,128,32,4,2,1,0.85190,40.333,
A,64,128,32,4,4,1,0.83357,41.220,
A,64,128,32,4,8,1,0.87199,39.404,
A,64,128,32,8,2,1,0.82379,41.709,
A,64,128,32,8,4,1,0.85907,39.997,
A,64,128,32,8,8,1,0.88011,39.040,
A,64,128,64,2,2,1,0.91303,37.633,
A,64,128,64,2,4,1,0.91479,37.560,
A,64,128,64,2,8,1,0.91809,37.425,
A,64,128,64,4,2,1,0.84718,40.558,
A,64,128,64,4,4,1,0.88364,38.884,
A,64,128,64,4,8,1,0.92010,37.343,
A,64,128,64,8,2,1,0.84818,40.510,
A,64,128,64,8,4,1,0.86266,39.830,
A,64,128,64,8,8,1,0.92118,37.300,
A,64,128,128,2,2,1,0.87349,39.336,
A,64,128,128,2,4,1,0.88280,38.921,
A,64,128,128,2,8,1,0.87843,39.115,
A,64,128,128,4,2,1,0.87862,39.107,
A,64,128,128,4,4,1,0.84890,40.475,
A,64,128,128,4,8,1,0.89694,38.308,
A,64,128,128,8,2,1,0.84746,40.544,
A,64,128,128,8,4,1,0.87544,39.249,
A,64,128,128,8,8,1,0.87233,39.388,
A,64,256,32,2,2,1,0.85324,40.270,
A,64,256,32,2,4,1,0.84273,40.772,
A,64,256,32,2,8,1,1.52463,22.536,
A,64,256,32,4,2,1,0.83617,41.092,
A,64,256,32,4,4,1,0.86605,39.674,
A,64,256,32,4,8,1,1.50809,22.784,
A,64,256,32,8,2,1,0.83896,40.955,
A,64,256,32,8,4,1,0.85220,40.319,
A,64,256,32,8,8,1,1.50854,22.777,
A,64,256,64,2,2,1,0.75623,45.436,
A,64,256,64,2,4,1,0.75642,45.424,
A,64,256,64,2,8,1,1.40256,24.498,
A,64,256,64,4,2,1,0.76592,44.861,
A,64,256,64,4,4,1,0.77531,44.317,
A,64,256,64,4,8,1,1.40320,24.487,
A,64,256,64,8,2,1,0.76456,44.940,
A,64,256,64,8,4,1,0.77586,44.286,
A,64,256,64,8,8,1,1.40531,24.450,
A,128,64,32,2,2,1,0.85854,40.021,
A,128,64,32,2,4,1,0.84645,40.593,
A,128,64,32,2,8,1,0.84900,40.471,
A,128,64,32,4,2,1,0.83276,41.260,
A,128,64,32,4,4,1,0.83854,40.976,
A,128,64,32,4,8,1,0.84397,40.712,
A,128,64,32,8,2,1,0.90280,38.059,
A,128,64,32,8,4,1,0.86083,39.914,
A,128,64,32,8,8,1,0.84326,40.746,
A,128,64,64,2,2,1,0.98455,34.899,
A,128,64,64,2,4,1,0.98430,34.908,
A,128,64,64,2,8,1,0.98499,34.883,
A,128,64,64,4,2,1,0.92638,37.090,
A,128,64,64,4,4,1,0.93483,36.755,
A,128,64,64,4,8,1,0.99793,34.431,
A,128,64,64,8,2,1,0.96447,35.626,
A,128,64,64,8,4,1,0.96486,35.611,
A,128,64,64,8,8,1,1.00133,34.314,
A,128,64,128,2,2,1,0.87177,39.414,
A,128,64,128,2,4,1,0.85528,40.174,
A,128,64,128,2,8,1,0.88100,39.001,
A,128,64,128,4,2,1,0.83543,41.128,
A,128,64,128,4,4,1,0.84315,40.752,
A,128,64,128,4,8,1,0.85969,39.967,
A,128,64,128,8,2,1,0.87466,39.284,
A,128,64,128,8,4,1,0.87251,39.380,
A,128,64,128,8,8,1,0.85464,40.204,
A,128,128,32,2,2,1,1.00325,34.248,
A,128,128,32,2,4,1,0.95360,36.032,
A,128,128,32,2,8,1,0.96343,35.664,
A,128,128,32,4,2,1,0.86692,39.634,
A,128,128,32,4,4,1,0.87430,39.300,
A,128,128,32,4,8,1,0.96834,35.483,
A,128,128,32,8,2,1,0.86535,39.706,
A,128,128,32,8,4,1,0.89625,38.337,
A,128,128,32,8,8,1,1.01265,33.930,
A,128,128,64,2,2,1,0.75572,45.466,
A,128,128,64,2,4,1,0.76103,45.149,
A,128,128,64,2,8,1,0.76103,45.149,
A,128,128,64,4,2,1,0.75913,45.262,
A,128,128,64,4,4,1,0.74212,46.300,
A,128,128,64,4,8,1,0.75784,45.339,
A,128,128,64,8,2,1,0.79416,43.266,
A,128,128,64,8,4,1,0.74499,46.121,
A,128,128,64,8,8,1,0.75432,45.551,
A,128,256,32,2,2,1,2.70454,12.704,
A,128,256,32,2,4,1,2.71495,12.656,
A,128,256,32,2,8,1,5.32478,6.453,
A,128,256,32,4,2,1,2.69463,12.751,
A,128,256,32,4,4,1,2.68494,12.797,
A,128,256,32,4,8,1,5.29825,6.485,
A,128,256,32,8,2,1,2.70030,12.724,
A,128,256,32,8,4,1,2.69278,12.760,
A,128,256,32,8,8,1,5.31071,6.470,
A,128,256,64,2,2,1,11.52216,2.982,
A,128,256,64,2,4,1,11.58236,2.967,
A,128,256,64,2,8,1,23.01437,1.493,
A,128,256,64,4,2,1,11.47433,2.994,
A,128,256,64,4,4,1,11.50809,2.986,
A,128,256,64,4,8,1,23.15710,1.484,
A,128,256,64,8,2,1,11.52606,2.981,
A,128,256,64,8,4,1,11.51610,2.984,
A,128,256,64,8,8,1,22.99572,1.494,
A,256,64,32,2,2,1,0.93172,36.878,
A,256,64,32,2,4,1,0.92225,37.256,
A,256,64,32,2,8,1,0.94604,36.319,
A,256,64,32,4,2,1,0.90544,37.948,
A,256,64,32,4,4,1,0.91189,37.680,
A,256,64,32,4,8,1,0.93298,36.828,
A,256,64,32,8,2,1,1.50626,22.811,
A,256,64,32,8,4,1,1.53319,22.411,
A,256,64,32,8,8,1,1.49429,22.994,
A,256,64,64,2,2,1,0.84913,40.465,
A,256,64,64,2,4,1,0.82516,41.640,
A,256,64,64,2,8,1,0.83998,40.906,
A,256,64,64,4,2,1,0.82412,41.693,
A,256,64,64,4,4,1,0.81645,42.084,
A,256,64,64,4,8,1,0.82898,41.448,
A,256,64,64,8,2,1,1.42856,24.052,
A,256,64,64,8,4,1,1.44535,23.773,
A,256,64,64,8,8,1,1.44458,23.785,
A,256,128,32,2,2,1,3.14967,10.909,
A,256,128,32,2,4,1,3.19635,10.750,
A,256,128,32,2,8,1,3.21256,10.695,
A,256,128,32,4,2,1,3.15310,10.897,
A,256,128,32,4,4,1,3.22497,10.654,
A,256,128,32,4,8,1,3.20618,10.717,
A,256,128,32,8,2,1,6.21823,5.526,
A,256,128,32,8,4,1,6.13396,5.602,
A,256,128,32,8,8,1,6.14156,5.595,
A,256,128,64,2,2,1,9.15033,3.755,
A,256,128,64,2,4,1,9.18305,3.742,
A,256,128,64,2,8,1,9.15147,3.755,
A,256,128,64,4,2,1,9.21629,3.728,
A,256,128,64,4,4,1,9.12220,3.767,
A,256,128,64,4,8,1,9.19291,3.738,
A,256,128,64,8,2,1,18.46928,1.860,
A,256,128,64,8,4,1,18.43543,1.864,
A,256,128,64,8,8,1,18.37498,1.870,
B,64,64,32,2,2,1,0.92089,37.312,
B,64,64,32,2,4,1,0.98581,34.854,
B,64,64,32,2,8,1,1.08195,31.757,
B,64,64,32,4,2,1,0.95302,36.054,
B,64,64,32,4,4,1,1.10688,31.042,
B,64,64,32,4,8,1,1.14553,29.995,
B,64,64,32,8,2,1,1.04577,32.856,
B,64,64,32,8,4,1,1.14095,30.115,
B,64,64,32,8,8,1,1.73932,19.755,
B,64,64,64,2,2,1,0.87270,39.372,
B,64,64,64,2,4,1,0.89210,38.516,
B,64,64,64,2,8,1,0.99528,34.523,
B,64,64,64,4,2,1,0.89626,38.337,
B,64,64,64,4,4,1,0.95228,36.082,
B,64,64,64,4,8,1,1.04133,32.996,
B,64,64,64,8,2,1,0.98817,34.771,
B,64,64,64,8,4,1,0.99660,34.477,
B,64,64,64,8,8,1,1.67247,20.544,
B,64,64,128,2,2,1,0.86347,39.793,
B,64,64,128,2,4,1,0.87498,39.269,
B,64,64,128,2,8,1,0.95139,36.115,
B,64,64,128,4,2,1,0.88969,38.620,
B,64,64,128,4,4,1,0.94250,36.456,
B,64,64,128,4,8,1,1.01917,33.713,
B,64,64,128,8,2,1,0.96205,35.715,
B,64,64,128,8,4,1,1.00876,34.061,
B,64,64,128,8,8,1,1.65612,20.747,
B,64,128,32,2,2,1,0.87263,39.375,
B,64,128,32,2,4,1,0.98691,34.815,
B,64,128,32,2,8,1,1.10519,31.089,
B,64,128,32,4,2,1,0.92703,37.064,
B,64,128,32,4,4,1,1.07492,31.965,
B,64,128,32,4,8,1,1.39171,24.689,
B,64,128,32,8,2,1,0.99330,34.591,
B,64,128,32,8,4,1,1.68650,20.373,
B,64,128,32,8,8,1,1.63537,21.010,
B,64,128,64,2,2,1,0.82803,41.496,
B,64,128,64,2,4,1,0.93285,36.833,
B,64,128,64,2,8,1,0.98187,34.994,
B,64,128,64,4,2,1,0.91269,37.647,
B,64,128,64,4,4,1,0.99585,34.503,
B,64,128,64,4,8,1,1.28432,26.753,
B,64,128,64,8,2,1,0.95050,36.149,
B,64,128,64,8,4,1,1.65973,20.702,
B,64,128,64,8,8,1,1.63444,21.022,
B,64,128,128,2,2,1,0.83170,41.312,
B,64,128,128,2,4,1,0.89512,38.386,
B,64,128,128,2,8,1,0.98173,34.999,
B,64,128,128,4,2,1,0.90293,38.054,
B,64,128,128,4,4,1,0.95500,35.979,
B,64,128,128,4,8,1,1.24297,27.643,
B,64,128,128,8,2,1,0.94375,36.408,
B,64,128,128,8,4,1,1.61331,21.298,
B,64,128,128,8,8,1,1.63311,21.039,
B,64,256,32,2,2,1,0.83900,40.953,
B,64,256,32,2,4,1,0.92358,37.203,
B,64,256,32,2,8,1,1.60129,21.458,
B,64,256,32,4,2,1,0.88580,38.789,
B,64,256,32,4,4,1,1.20205,28.584,
B,64,256,32,4,8,1,2.10599,16.315,
B,64,256,32,8,2,1,1.56657,21.933,
B,64,256,32,8,4,1,1.61883,21.225,
B,64,256,32,8,8,1,2.53557,13.551,
B,64,256,64,2,2,1,0.85012,40.418,
B,64,256,64,2,4,1,0.91451,37.572,
B,64,256,64,2,8,1,1.60096,21.462,
B,64,256,64,4,2,1,0.87618,39.215,
B,64,256,64,4,4,1,1.21380,28.308,
B,64,256,64,4,8,1,2.07364,16.570,
B,64,256,64,8,2,1,1.58139,21.728,
B,64,256,64,8,4,1,1.62743,21.113,
B,64,256,64,8,8,1,2.55069,13.471,
B,128,64,32,2,2,1,0.89355,38.453,
B,128,64,32,2,4,1,1.02295,33.589,
B,128,64,32,2,8,1,1.09064,31.504,
B,128,64,32,4,2,1,0.94646,36.303,
B,128,64,32,4,4,1,1.06799,32.172,
B,128,64,32,4,8,1,1.40860,24.393,
B,128,64,32,8,2,1,1.01087,33.990,
B,128,64,32,8,4,1,1.68430,20.400,
B,128,64,32,8,8,1,1.65141,20.806,
B,128,64,64,2,2,1,0.83084,41.356,
B,128,64,64,2,4,1,0.90441,37.991,
