variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,0.48559,35.379,
A,64,64,32,2,4,1,0.50651,33.918,
A,64,64,32,2,8,1,0.50050,34.325,
A,64,64,32,4,2,1,0.46748,36.750,
A,64,64,32,4,4,1,0.48590,35.357,
A,64,64,32,4,8,1,0.51208,33.549,
A,64,64,32,8,2,1,0.46390,37.034,
A,64,64,32,8,4,1,0.47586,36.103,
A,64,64,32,8,8,1,0.50005,34.356,
A,64,64,64,2,2,1,0.43366,39.616,
A,64,64,64,2,4,1,0.42882,40.063,
A,64,64,64,2,8,1,0.44039,39.010,
A,64,64,64,4,2,1,0.40837,42.069,
A,64,64,64,4,4,1,0.41096,41.804,
A,64,64,64,4,8,1,0.44935,38.232,
A,64,64,64,8,2,1,0.40141,42.798,
A,64,64,64,8,4,1,0.40838,42.068,
A,64,64,64,8,8,1,0.42731,40.205,
A,64,64,128,2,2,1,0.47364,36.272,
A,64,64,128,2,4,1,0.48948,35.098,
A,64,64,128,2,8,1,0.48460,35.452,
A,64,64,128,4,2,1,0.47234,36.372,
A,64,64,128,4,4,1,0.46790,36.717,
A,64,64,128,4,8,1,0.49777,34.514,
A,64,64,128,8,2,1,0.49328,34.828,
A,64,64,128,8,4,1,0.45984,37.361,
A,64,64,128,8,8,1,0.46184,37.199,
A,64,128,32,2,2,1,0.39387,43.618,
A,64,128,32,2,4,1,0.40246,42.687,
A,64,128,32,2,8,1,0.40786,42.122,
A,64,128,32,4,2,1,0.40087,42.857,
A,64,128,32,4,4,1,0.41042,41.859,
A,64,128,32,4,8,1,0.41495,41.402,
A,64,128,32,8,2,1,0.43682,39.330,
A,64,128,32,8,4,1,0.43264,39.710,
A,64,128,32,8,8,1,0.39227,43.796,
A,64,128,64,2,2,1,0.43811,39.214,
A,64,128,64,2,4,1,0.43454,39.536,
A,64,128,64,2,8,1,0.44839,38.315,
A,64,128,64,4,2,1,0.43566,39.435,
A,64,128,64,4,4,1,0.44573,38.543,
A,64,128,64,4,8,1,0.44955,38.216,
A,64,128,64,8,2,1,0.44654,38.474,
A,64,128,64,8,4,1,0.45385,37.854,
A,64,128,64,8,8,1,0.44033,39.016,
A,64,128,128,2,2,1,0.37774,45.480,
A,64,128,128,2,4,1,0.38093,45.100,
A,64,128,128,2,8,1,0.37490,45.826,
A,64,128,128,4,2,1,0.39328,43.683,
A,64,128,128,4,4,1,0.38280,44.879,
A,64,128,128,4,8,1,0.38253,44.911,
A,64,128,128,8,2,1,0.38189,44.986,
A,64,128,128,8,4,1,0.39948,43.005,
A,64,128,128,8,8,1,0.38204,44.968,
A,64,256,32,2,2,1,0.50901,33.751,
A,64,256,32,2,4,1,0.51662,33.254,
A,64,256,32,2,8,1,0.67305,25.525,
A,64,256,32,4,2,1,0.50338,34.129,
A,64,256,32,4,4,1,0.57731,29.758,
A,64,256,32,4,8,1,0.69798,24.614,
A,64,256,32,8,2,1,0.49723,34.551,
A,64,256,32,8,4,1,0.51060,33.647,
A,64,256,32,8,8,1,0.69460,24.733,
A,64,256,64,2,2,1,0.40058,42.887,
A,64,256,64,2,4,1,0.40228,42.706,
A,64,256,64,2,8,1,0.54968,31.254,
A,64,256,64,4,2,1,0.40216,42.719,
A,64,256,64,4,4,1,0.40367,42.559,
A,64,256,64,4,8,1,0.56346,30.490,
