variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,1.46885,46.785,
A,64,64,32,2,4,1,1.46501,46.907,
A,64,64,32,2,8,1,1.49232,46.049,
A,64,64,32,4,2,1,1.45392,47.265,
A,64,64,32,4,4,1,1.46162,47.016,
A,64,64,32,4,8,1,1.46938,46.768,
A,64,64,32,8,2,1,1.50260,45.734,
A,64,64,32,8,4,1,1.49797,45.875,
A,64,64,32,8,8,1,1.51672,45.308,
A,64,64,64,2,2,1,1.28578,53.446,
A,64,64,64,2,4,1,1.27743,53.795,
A,64,64,64,2,8,1,1.26528,54.312,
A,64,64,64,4,2,1,1.26405,54.364,
A,64,64,64,4,4,1,1.27471,53.910,
A,64,64,64,4,8,1,1.29260,53.164,
A,64,64,64,8,2,1,1.26630,54.268,
A,64,64,64,8,4,1,1.28080,53.653,
A,64,64,64,8,8,1,1.27372,53.952,
A,64,64,128,2,2,1,1.44733,47.480,
A,64,64,128,2,4,1,1.43724,47.814,
A,64,64,128,2,8,1,1.43758,47.802,
A,64,64,128,4,2,1,1.40057,49.065,
A,64,64,128,4,4,1,1.40681,48.848,
A,64,64,128,4,8,1,1.44098,47.689,
A,64,64,128,8,2,1,1.45026,47.384,
A,64,64,128,8,4,1,1.41010,48.734,
A,64,64,128,8,8,1,1.45489,47.234,
A,64,128,32,2,2,1,1.27920,53.721,
A,64,128,32,2,4,1,1.29421,53.098,
A,64,128,32,2,8,1,1.29737,52.968,
A,64,128,32,4,2,1,1.26492,54.327,
A,64,128,32,4,4,1,1.26071,54.508,
A,64,128,32,4,8,1,1.28712,53.390,
A,64,128,32,8,2,1,1.25550,54.735,
A,64,128,32,8,4,1,1.28713,53.390,
A,64,128,32,8,8,1,1.30506,52.656,
A,64,128,64,2,2,1,1.41157,48.683,
A,64,128,64,2,4,1,1.38595,49.583,
A,64,128,64,2,8,1,1.44466,47.568,
A,64,128,64,4,2,1,1.26724,54.228,
A,64,128,64,4,4,1,1.28772,53.365,
A,64,128,64,4,8,1,1.42566,48.202,
A,64,128,64,8,2,1,1.23824,55.498,
A,64,128,64,8,4,1,1.28250,53.582,
A,64,128,64,8,8,1,1.39523,49.253,
A,64,128,128,2,2,1,1.26346,54.390,
A,64,128,128,2,4,1,1.27858,53.747,
A,64,128,128,2,8,1,1.25100,54.932,
A,64,128,128,4,2,1,1.24392,55.244,
A,64,128,128,4,4,1,1.26892,54.156,
A,64,128,128,4,8,1,1.26588,54.286,
A,64,128,128,8,2,1,1.26479,54.333,
A,64,128,128,8,4,1,1.24942,55.001,
A,64,128,128,8,8,1,1.26521,54.315,
A,64,256,32,2,2,1,1.31654,52.197,
A,64,256,32,2,4,1,1.35041,50.888,
A,64,256,32,2,8,1,2.47188,27.800,
A,64,256,32,4,2,1,1.28490,53.482,
A,64,256,32,4,4,1,1.34454,51.110,
A,64,256,32,4,8,1,2.43656,28.204,
A,64,256,32,8,2,1,1.22266,56.205,
A,64,256,32,8,4,1,1.33063,51.644,
A,64,256,32,8,8,1,2.44302,28.129,
A,64,256,64,2,2,1,1.12791,60.926,
A,64,256,64,2,4,1,1.08526,63.320,
A,64,256,64,2,8,1,2.07194,33.167,
A,64,256,64,4,2,1,1.12438,61.118,
A,64,256,64,4,4,1,1.11413,61.680,
A,64,256,64,4,8,1,2.07274,33.154,
A,64,256,64,8,2,1,1.11415,61.679,
A,64,256,64,8,4,1,1.11573,61.591,
A,64,256,64,8,8,1,2.06166,33.332,
A,128,64,32,2,2,1,1.33221,51.583,
A,128,64,32,2,4,1,1.28495,53.480,
A,128,64,32,2,8,1,1.27521,53.889,
A,128,64,32,4,2,1,1.57859,43.532,
A,128,64,32,4,4,1,1.27960,53.704,
A,128,64,32,4,8,1,2.68688,25.576,
A,128,64,32,8,2,1,2.82722,24.306,
A,128,64,32,8,4,1,2.92075,23.528,
A,128,64,32,8,8,1,1.39779,49.163,
A,128,64,64,2,2,1,2.03896,33.703,
A,128,64,64,2,4,1,1.61995,42.421,
A,128,64,64,2,8,1,1.62066,42.402,
A,128,64,64,4,2,1,1.54348,44.523,
A,128,64,64,4,4,1,2.94838,23.308,
A,128,64,64,4,8,1,1.63289,42.085,
A,128,64,64,8,2,1,3.31014,20.760,
A,128,64,64,8,4,1,1.56894,43.800,
A,128,64,64,8,8,1,1.67792,40.955,
A,128,64,128,2,2,1,1.91984,35.794,
A,128,64,128,2,4,1,1.23117,55.816,
A,128,64,128,2,8,1,1.23085,55.831,
A,128,64,128,4,2,1,1.71367,40.101,
A,128,64,128,4,4,1,1.24177,55.340,
A,128,64,128,4,8,1,1.24015,55.412,
A,128,64,128,8,2,1,1.85971,36.952,
A,128,64,128,8,4,1,1.28546,53.459,
A,128,64,128,8,8,1,1.23026,55.858,
A,128,128,32,2,2,1,3.65313,18.811,
A,128,128,32,2,4,1,3.59454,19.118,
A,128,128,32,2,8,1,3.62477,18.958,
A,128,128,32,4,2,1,1.44395,47.591,
A,128,128,32,4,4,1,3.18756,21.559,
A,128,128,32,4,8,1,1.71843,39.990,
A,128,128,32,8,2,1,1.47840,46.482,
A,128,128,32,8,4,1,3.38351,20.310,
A,128,128,32,8,8,1,1.68005,40.903,
A,128,128,64,2,2,1,1.09994,62.476,
A,128,128,64,2,4,1,1.09149,62.959,
A,128,128,64,2,8,1,2.01041,34.182,
A,128,128,64,4,2,1,1.12894,60.871,
A,128,128,64,4,4,1,1.12362,61.159,
A,128,128,64,4,8,1,1.09246,62.904,
A,128,128,64,8,2,1,1.57018,43.765,
A,128,128,64,8,4,1,1.11078,61.866,
A,128,128,64,8,8,1,1.09723,62.630,
A,128,256,32,2,2,1,5.17154,13.288,
A,128,256,32,2,4,1,5.34713,12.852,
A,128,256,32,2,8,1,21.56013,3.187,
A,128,256,32,4,2,1,5.21642,13.174,
A,128,256,32,4,4,1,5.13336,13.387,
A,128,256,32,4,8,1,9.62024,7.143,
A,128,256,32,8,2,1,5.21773,13.170,
A,128,256,32,8,4,1,5.18866,13.244,
A,128,256,32,8,8,1,13.79101,4.983,
A,128,256,64,2,2,1,21.87089,3.142,
A,128,256,64,2,4,1,21.64398,3.175,
A,128,256,64,2,8,1,43.22577,1.590,
A,128,256,64,4,2,1,47.50814,1.446,
A,128,256,64,4,4,1,47.54636,1.445,
A,128,256,64,4,8,1,76.26484,0.901,
A,128,256,64,8,2,1,28.40524,2.419,
A,128,256,64,8,4,1,21.51740,3.194,
A,128,256,64,8,8,1,44.50449,1.544,
A,256,64,32,2,2,1,1.64123,41.871,
A,256,64,32,2,4,1,1.61271,42.611,
A,256,64,32,2,8,1,1.69995,40.424,
A,256,64,32,4,2,1,1.62681,42.242,
A,256,64,32,4,4,1,1.63570,42.012,
A,256,64,32,4,8,1,1.75251,39.212,
A,256,64,32,8,2,1,3.00202,22.891,
A,256,64,32,8,4,1,1.88210,36.512,
A,256,64,32,8,8,1,2.43897,28.176,
A,256,64,64,2,2,1,1.26949,54.131,
A,256,64,64,2,4,1,1.32500,51.864,
A,256,64,64,2,8,1,3.05563,22.489,
A,256,64,64,4,2,1,2.90242,23.677,
A,256,64,64,4,4,1,2.88291,23.837,
A,256,64,64,4,8,1,2.60856,26.344,
A,256,64,64,8,2,1,1.51941,45.228,
A,256,64,64,8,4,1,3.19473,21.510,
A,256,64,64,8,8,1,1.85218,37.102,
A,256,128,32,2,2,1,9.73091,7.062,
A,256,128,32,2,4,1,5.99728,11.458,
A,256,128,32,2,8,1,13.05932,5.262,
A,256,128,32,4,2,1,6.04952,11.359,
A,256,128,32,4,4,1,13.08092,5.253,
A,256,128,32,4,8,1,13.00353,5.285,
A,256,128,32,8,2,1,13.15153,5.225,
A,256,128,32,8,4,1,8.17961,8.401,
A,256,128,32,8,8,1,6.18147,11.117,
A,256,128,64,2,2,1,25.51967,2.693,
A,256,128,64,2,4,1,32.29938,2.128,
A,256,128,64,2,8,1,16.95502,4.053,
A,256,128,64,4,2,1,38.47781,1.786,
A,256,128,64,4,4,1,38.21510,1.798,
A,256,128,64,4,8,1,29.69668,2.314,
A,256,128,64,8,2,1,17.05878,4.028,
A,256,128,64,8,4,1,16.83369,4.082,
A,256,128,64,8,8,1,16.99610,4.043,
B,64,64,32,2,2,1,1.51498,45.360,
B,64,64,32,2,4,1,1.97490,34.796,
B,64,64,32,2,8,1,4.07635,16.858,
B,64,64,32,4,2,1,3.51514,19.550,
B,64,64,32,4,4,1,3.66307,18.760,
B,64,64,32,4,8,1,5.09062,13.499,
B,64,64,32,8,2,1,1.55978,44.057,
B,64,64,32,8,4,1,4.66213,14.740,
B,64,64,32,8,8,1,2.26798,30.300,
B,64,64,64,2,2,1,2.37044,28.990,
B,64,64,64,2,4,1,1.47750,46.510,
B,64,64,64,2,8,1,1.58078,43.472,
B,64,64,64,4,2,1,3.01060,22.826,
B,64,64,64,4,4,1,1.47626,46.550,
B,64,64,64,4,8,1,1.97140,34.858,
B,64,64,64,8,2,1,1.42765,48.135,
B,64,64,64,8,4,1,2.09212,32.847,
B,64,64,64,8,8,1,1.89740,36.218,
B,64,64,128,2,2,1,1.27630,53.843,
B,64,64,128,2,4,1,1.47700,46.527,
B,64,64,128,2,8,1,1.58831,43.266,
B,64,64,128,4,2,1,1.36442,50.365,
B,64,64,128,4,4,1,1.46078,47.043,
B,64,64,128,4,8,1,1.91976,35.796,
B,64,64,128,8,2,1,1.36187,50.460,
B,64,64,128,8,4,1,1.78732,38.448,
B,64,64,128,8,8,1,1.85401,37.065,
B,64,128,32,2,2,1,1.38223,49.716,
B,64,128,32,2,4,1,1.62055,42.405,
B,64,128,32,2,8,1,2.99782,22.923,
B,64,128,32,4,2,1,1.36572,50.318,
B,64,128,32,4,4,1,2.01596,34.088,
B,64,128,32,4,8,1,4.55102,15.100,
B,64,128,32,8,2,1,3.89641,17.637,
B,64,128,32,8,4,1,4.18728,16.411,
B,64,128,32,8,8,1,8.15231,8.429,
B,64,128,64,2,2,1,2.55562,26.890,
B,64,128,64,2,4,1,3.11376,22.070,
B,64,128,64,2,8,1,5.50155,12.491,
B,64,128,64,4,2,1,2.69678,25.482,
B,64,128,64,4,4,1,3.58639,19.161,
B,64,128,64,4,8,1,4.01131,17.131,
B,64,128,64,8,2,1,3.29880,20.832,
B,64,128,64,8,4,1,3.98097,17.262,
B,64,128,64,8,8,1,6.60807,10.399,
B,64,128,128,2,2,1,2.42708,28.314,
B,64,128,128,2,4,1,3.08335,22.287,
B,64,128,128,2,8,1,5.18029,13.266,
B,64,128,128,4,2,1,2.65043,25.928,
B,64,128,128,4,4,1,3.58363,19.176,
B,64,128,128,4,8,1,3.76016,18.276,
B,64,128,128,8,2,1,3.42758,20.049,
B,64,128,128,8,4,1,3.48253,19.733,
B,64,128,128,8,8,1,6.37388,10.781,
B,64,256,32,2,2,1,2.89059,23.773,
B,64,256,32,2,4,1,4.47594,15.353,
