variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,40.81551,26.939,
A,64,64,32,2,4,1,40.10031,27.419,
A,64,64,32,2,8,1,39.99326,27.492,
A,64,64,32,4,2,1,29.60703,37.137,
A,64,64,32,4,4,1,29.29623,37.531,
A,64,64,32,4,8,1,28.99521,37.920,
A,64,64,32,8,2,1,28.60417,38.439,
A,64,64,32,8,4,1,28.19592,38.995,
A,64,64,32,8,8,1,28.30828,38.841,
A,64,64,64,2,2,1,39.47364,27.854,
A,64,64,64,2,4,1,40.34548,27.252,
A,64,64,64,2,8,1,39.94766,27.524,
A,64,64,64,4,2,1,27.56153,39.893,
A,64,64,64,4,4,1,27.70563,39.685,
A,64,64,64,4,8,1,28.04541,39.205,
A,64,64,64,8,2,1,26.91581,40.850,
A,64,64,64,8,4,1,26.87447,40.913,
A,64,64,64,8,8,1,26.93220,40.825,
A,64,64,128,2,2,1,49.74376,22.104,
A,64,64,128,2,4,1,49.23289,22.333,
A,64,64,128,2,8,1,48.87044,22.498,
A,64,64,128,4,2,1,48.55207,22.646,
A,64,64,128,4,4,1,48.18601,22.818,
A,64,64,128,4,8,1,47.99434,22.909,
A,64,64,128,8,2,1,47.67375,23.063,
A,64,64,128,8,4,1,47.81268,22.996,
A,64,64,128,8,8,1,47.08702,23.351,
A,64,128,32,2,2,1,37.63749,29.213,
A,64,128,32,2,4,1,39.85785,27.586,
A,64,128,32,2,8,1,39.53852,27.809,
A,64,128,32,4,2,1,25.72360,42.743,
A,64,128,32,4,4,1,25.94386,42.380,
A,64,128,32,4,8,1,26.03851,42.226,
A,64,128,32,8,2,1,21.90706,50.190,
A,64,128,32,8,4,1,21.50698,51.123,
A,64,128,32,8,8,1,21.21657,51.823,
A,64,128,64,2,2,1,38.65747,28.442,
A,64,128,64,2,4,1,37.42839,29.376,
A,64,128,64,2,8,1,39.04967,28.157,
A,64,128,64,4,2,1,27.15920,40.484,
A,64,128,64,4,4,1,27.03630,40.668,
A,64,128,64,4,8,1,26.50979,41.476,
A,64,128,64,8,2,1,24.17116,45.489,
A,64,128,64,8,4,1,23.36855,47.051,
A,64,128,64,8,8,1,22.77913,48.268,
A,64,128,128,2,2,1,40.48531,27.158,
A,64,128,128,2,4,1,40.09902,27.420,
A,64,128,128,2,8,1,40.76843,26.970,
A,64,128,128,4,2,1,39.67449,27.713,
A,64,128,128,4,4,1,39.81610,27.615,
A,64,128,128,4,8,1,38.87066,28.286,
A,64,128,128,8,2,1,38.98974,28.200,
A,64,128,128,8,4,1,38.44698,28.598,
A,64,128,128,8,8,1,38.71990,28.397,
A,64,256,32,2,2,1,34.64696,31.735,
A,64,256,32,2,4,1,34.23526,32.116,
A,64,256,32,2,8,1,45.46811,24.182,
A,64,256,32,4,2,1,23.23891,47.313,
A,64,256,32,4,4,1,23.25657,47.277,
A,64,256,32,4,8,1,36.84264,29.843,
A,64,256,32,8,2,1,19.11683,57.515,
A,64,256,32,8,4,1,18.96429,57.978,
A,64,256,32,8,8,1,35.62879,30.860,
A,64,256,64,2,2,1,36.81039,29.870,
A,64,256,64,2,4,1,35.75848,30.748,
A,64,256,64,2,8,1,46.08714,23.857,
A,64,256,64,4,2,1,23.55968,46.669,
A,64,256,64,4,4,1,23.56098,46.667,
A,64,256,64,4,8,1,38.13388,28.833,
A,64,256,64,8,2,1,19.56272,56.204,
A,64,256,64,8,4,1,19.62288,56.032,
A,64,256,64,8,8,1,37.24362,29.522,
A,128,64,32,2,2,1,25.68113,42.814,
A,128,64,32,2,4,1,25.37368,43.333,
A,128,64,32,2,8,1,24.96478,44.043,
A,128,64,32,4,2,1,21.69926,50.670,
A,128,64,32,4,4,1,21.79286,50.453,
A,128,64,32,4,8,1,21.54180,51.041,
A,128,64,32,8,2,1,21.50949,51.118,
A,128,64,32,8,4,1,21.04103,52.256,
A,128,64,32,8,8,1,20.73500,53.027,
A,128,64,64,2,2,1,28.43985,38.661,
A,128,64,64,2,4,1,28.48911,38.594,
A,128,64,64,2,8,1,28.48247,38.603,
A,128,64,64,4,2,1,24.62790,44.645,
A,128,64,64,4,4,1,24.65934,44.588,
A,128,64,64,4,8,1,24.52009,44.841,
A,128,64,64,8,2,1,24.55431,44.779,
A,128,64,64,8,4,1,24.19840,45.437,
A,128,64,64,8,8,1,24.33705,45.179,
A,128,64,128,2,2,1,43.00917,25.565,
A,128,64,128,2,4,1,43.00098,25.569,
A,128,64,128,2,8,1,43.33890,25.370,
A,128,64,128,4,2,1,43.13162,25.492,
A,128,64,128,4,4,1,43.18148,25.463,
A,128,64,128,4,8,1,42.91340,25.622,
A,128,64,128,8,2,1,42.45524,25.898,
A,128,64,128,8,4,1,42.45878,25.896,
A,128,64,128,8,8,1,42.55961,25.835,
A,128,128,32,2,2,1,23.04766,47.706,
A,128,128,32,2,4,1,23.25848,47.274,
A,128,128,32,2,8,1,23.22020,47.352,
A,128,128,32,4,2,1,17.87278,61.519,
A,128,128,32,4,4,1,18.24525,60.263,
A,128,128,32,4,8,1,18.21006,60.379,
A,128,128,32,8,2,1,17.88647,61.472,
A,128,128,32,8,4,1,17.54970,62.651,
A,128,128,32,8,8,1,17.59732,62.482,
A,128,128,64,2,2,1,23.81359,46.172,
A,128,128,64,2,4,1,23.46707,46.853,
A,128,128,64,2,8,1,23.46664,46.854,
A,128,128,64,4,2,1,19.94972,55.114,
A,128,128,64,4,4,1,20.04143,54.862,
A,128,128,64,4,8,1,19.99559,54.988,
A,128,128,64,8,2,1,19.81539,55.488,
A,128,128,64,8,4,1,19.78075,55.585,
A,128,128,64,8,8,1,19.24990,57.118,
A,128,256,32,2,2,1,106.30042,10.343,
A,128,256,32,2,4,1,107.70428,10.209,
A,128,256,32,2,8,1,206.60535,5.322,
A,128,256,32,4,2,1,102.98781,10.676,
A,128,256,32,4,4,1,104.17984,10.554,
A,128,256,32,4,8,1,207.15009,5.308,
A,128,256,32,8,2,1,104.18810,10.553,
A,128,256,32,8,4,1,104.56166,10.515,
A,128,256,32,8,8,1,207.98566,5.286,
A,128,256,64,2,2,1,333.34372,3.298,
A,128,256,64,2,4,1,333.14099,3.300,
A,128,256,64,2,8,1,664.59351,1.654,
A,128,256,64,4,2,1,333.38968,3.298,
A,128,256,64,4,4,1,332.68942,3.305,
A,128,256,64,4,8,1,667.86920,1.646,
A,128,256,64,8,2,1,333.43176,3.298,
A,128,256,64,8,4,1,332.82663,3.304,
A,128,256,64,8,8,1,665.67273,1.652,
A,256,64,32,2,2,1,19.73430,55.716,
A,256,64,32,2,4,1,19.97276,55.051,
A,256,64,32,2,8,1,19.82241,55.468,
A,256,64,32,4,2,1,19.62926,56.014,
A,256,64,32,4,4,1,19.81863,55.479,
A,256,64,32,4,8,1,19.61691,56.049,
A,256,64,32,8,2,1,39.24866,28.014,
A,256,64,32,8,4,1,39.36504,27.931,
A,256,64,32,8,8,1,38.90222,28.263,
A,256,64,64,2,2,1,20.86461,52.697,
A,256,64,64,2,4,1,20.91931,52.560,
A,256,64,64,2,8,1,20.71305,53.083,
A,256,64,64,4,2,1,19.96192,55.080,
A,256,64,64,4,4,1,19.98688,55.012,
A,256,64,64,4,8,1,19.76863,55.619,
A,256,64,64,8,2,1,39.87600,27.573,
A,256,64,64,8,4,1,39.59598,27.768,
A,256,64,64,8,8,1,39.68601,27.705,
A,256,128,32,2,2,1,145.17146,7.574,
A,256,128,32,2,4,1,143.70714,7.651,
A,256,128,32,2,8,1,145.59334,7.552,
A,256,128,32,4,2,1,146.62045,7.499,
A,256,128,32,4,4,1,144.67476,7.600,
A,256,128,32,4,8,1,143.62112,7.656,
A,256,128,32,8,2,1,292.09293,3.764,
A,256,128,32,8,4,1,291.70380,3.769,
A,256,128,32,8,8,1,288.70966,3.808,
A,256,128,64,2,2,1,241.22778,4.558,
A,256,128,64,2,4,1,239.90681,4.583,
A,256,128,64,2,8,1,239.59242,4.589,
A,256,128,64,4,2,1,243.01158,4.525,
A,256,128,64,4,4,1,242.51904,4.534,
A,256,128,64,4,8,1,241.57391,4.551,
A,256,128,64,8,2,1,483.57065,2.274,
A,256,128,64,8,4,1,479.46548,2.293,
A,256,128,64,8,8,1,478.21213,2.299,
