variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,9.67355,28.415,
A,64,64,32,2,4,1,9.74014,28.221,
A,64,64,32,2,8,1,9.72776,28.257,
A,64,64,32,4,2,1,6.95290,39.534,
A,64,64,32,4,4,1,6.87033,40.009,
A,64,64,32,4,8,1,6.95545,39.520,
A,64,64,32,8,2,1,6.60532,41.615,
A,64,64,32,8,4,1,6.50706,42.243,
A,64,64,32,8,8,1,6.56794,41.851,
A,64,64,64,2,2,1,9.49246,28.958,
A,64,64,64,2,4,1,9.40649,29.222,
A,64,64,64,2,8,1,9.47854,29.000,
A,64,64,64,4,2,1,6.54948,41.969,
A,64,64,64,4,4,1,6.53254,42.078,
A,64,64,64,4,8,1,6.65740,41.289,
A,64,64,64,8,2,1,6.18117,44.470,
A,64,64,64,8,4,1,6.15631,44.650,
A,64,64,64,8,8,1,6.23049,44.118,
A,64,64,128,2,2,1,12.04621,22.819,
A,64,64,128,2,4,1,12.12565,22.669,
A,64,64,128,2,8,1,12.12085,22.678,
A,64,64,128,4,2,1,11.71982,23.454,
A,64,64,128,4,4,1,11.68463,23.525,
A,64,64,128,4,8,1,11.38384,24.146,
A,64,64,128,8,2,1,11.56489,23.768,
A,64,64,128,8,4,1,11.44346,24.021,
A,64,64,128,8,8,1,11.30915,24.306,
A,64,128,32,2,2,1,8.94778,30.720,
A,64,128,32,2,4,1,9.18665,29.921,
A,64,128,32,2,8,1,8.98022,30.609,
A,64,128,32,4,2,1,5.80081,47.386,
A,64,128,32,4,4,1,6.03369,45.557,
A,64,128,32,4,8,1,6.25863,43.920,
A,64,128,32,8,2,1,4.98766,55.112,
A,64,128,32,8,4,1,4.89621,56.141,
A,64,128,32,8,8,1,5.40587,50.848,
A,64,128,64,2,2,1,9.43955,29.120,
A,64,128,64,2,4,1,9.48271,28.987,
A,64,128,64,2,8,1,9.13640,30.086,
A,64,128,64,4,2,1,6.66905,41.217,
A,64,128,64,4,4,1,6.59366,41.688,
A,64,128,64,4,8,1,6.44543,42.647,
A,64,128,64,8,2,1,5.65897,48.574,
A,64,128,64,8,4,1,5.42349,50.683,
A,64,128,64,8,8,1,5.34382,51.439,
A,64,128,128,2,2,1,9.61293,28.595,
A,64,128,128,2,4,1,9.54138,28.809,
A,64,128,128,2,8,1,9.58526,28.677,
A,64,128,128,4,2,1,9.18727,29.919,
A,64,128,128,4,4,1,9.18032,29.942,
A,64,128,128,4,8,1,9.15255,30.033,
A,64,128,128,8,2,1,9.08510,30.256,
A,64,128,128,8,4,1,9.03006,30.440,
A,64,128,128,8,8,1,9.06413,30.326,
A,64,256,32,2,2,1,6.86614,40.034,
A,64,256,32,2,4,1,6.79612,40.446,
A,64,256,32,2,8,1,6.86210,40.057,
A,64,256,32,4,2,1,5.27761,52.084,
A,64,256,32,4,4,1,5.26058,52.252,
A,64,256,32,4,8,1,6.95985,39.495,
A,64,256,32,8,2,1,4.34464,63.268,
A,64,256,32,8,4,1,4.45566,61.692,
A,64,256,32,8,8,1,5.49008,50.068,
A,64,256,64,2,2,1,6.83927,40.191,
A,64,256,64,2,4,1,6.96126,39.487,
A,64,256,64,2,8,1,7.02790,39.112,
A,64,256,64,4,2,1,5.57116,49.339,
A,64,256,64,4,4,1,5.57748,49.284,
A,64,256,64,4,8,1,7.00205,39.257,
A,64,256,64,8,2,1,4.52005,60.813,
A,64,256,64,8,4,1,4.68375,58.688,
A,64,256,64,8,8,1,5.64835,48.665,
A,128,64,32,2,2,1,6.02435,45.628,
A,128,64,32,2,4,1,6.07760,45.228,
A,128,64,32,2,8,1,5.95962,46.123,
A,128,64,32,4,2,1,5.06422,54.278,
A,128,64,32,4,4,1,5.04150,54.523,
A,128,64,32,4,8,1,4.99012,55.084,
A,128,64,32,8,2,1,5.00029,54.972,
A,128,64,32,8,4,1,4.89678,56.134,
A,128,64,32,8,8,1,4.93985,55.645,
A,128,64,64,2,2,1,7.21027,38.123,
A,128,64,64,2,4,1,7.08158,38.816,
A,128,64,64,2,8,1,7.08065,38.821,
A,128,64,64,4,2,1,5.88709,46.692,
A,128,64,64,4,4,1,5.85206,46.971,
A,128,64,64,4,8,1,6.09651,45.088,
A,128,64,64,8,2,1,5.87214,46.810,
A,128,64,64,8,4,1,5.89144,46.657,
A,128,64,64,8,8,1,6.06160,45.347,
A,128,64,128,2,2,1,10.45023,26.304,
A,128,64,128,2,4,1,10.29573,26.698,
A,128,64,128,2,8,1,10.34088,26.582,
A,128,64,128,4,2,1,10.40585,26.416,
A,128,64,128,4,4,1,10.33155,26.606,
A,128,64,128,4,8,1,10.26270,26.784,
A,128,64,128,8,2,1,10.30124,26.684,
A,128,64,128,8,4,1,10.37326,26.499,
A,128,64,128,8,8,1,10.30284,26.680,
A,128,128,32,2,2,1,5.49215,50.049,
A,128,128,32,2,4,1,5.49350,50.037,
A,128,128,32,2,8,1,5.53755,49.639,
A,128,128,32,4,2,1,4.04280,67.992,
A,128,128,32,4,4,1,4.05665,67.760,
A,128,128,32,4,8,1,4.26387,64.467,
A,128,128,32,8,2,1,3.96534,69.320,
A,128,128,32,8,4,1,3.96065,69.402,
A,128,128,32,8,8,1,4.06899,67.554,
A,128,128,64,2,2,1,5.68292,48.369,
A,128,128,64,2,4,1,5.57929,49.267,
A,128,128,64,2,8,1,5.56229,49.418,
A,128,128,64,4,2,1,4.65505,59.049,
A,128,128,64,4,4,1,4.67298,58.823,
A,128,128,64,4,8,1,4.72989,58.115,
A,128,128,64,8,2,1,4.62291,59.460,
A,128,128,64,8,4,1,4.56238,60.249,
A,128,128,64,8,8,1,4.62525,59.430,
A,128,256,32,2,2,1,27.62584,9.950,
A,128,256,32,2,4,1,27.14328,10.127,
A,128,256,32,2,8,1,27.54893,9.978,
A,128,256,32,4,2,1,26.67270,10.306,
A,128,256,32,4,4,1,27.41634,10.026,
A,128,256,32,4,8,1,27.24656,10.089,
A,128,256,32,8,2,1,27.23842,10.092,
A,128,256,32,8,4,1,26.76732,10.269,
A,128,256,32,8,8,1,27.51461,9.990,
A,128,256,64,2,2,1,82.35009,3.338,
A,128,256,64,2,4,1,82.41354,3.335,
A,128,256,64,2,8,1,82.99874,3.312,
A,128,256,64,4,2,1,82.16736,3.345,
A,128,256,64,4,4,1,82.17088,3.345,
A,128,256,64,4,8,1,82.69669,3.324,
A,128,256,64,8,2,1,82.31174,3.339,
A,128,256,64,8,4,1,82.60776,3.328,
A,128,256,64,8,8,1,82.51547,3.331,
A,256,64,32,2,2,1,4.59841,59.777,
A,256,64,32,2,4,1,4.60765,59.657,
A,256,64,32,2,8,1,4.59631,59.804,
A,256,64,32,4,2,1,4.57559,60.075,
A,256,64,32,4,4,1,4.58344,59.972,
A,256,64,32,4,8,1,4.61015,59.625,
A,256,64,32,8,2,1,4.69249,58.578,
A,256,64,32,8,4,1,4.68375,58.688,
A,256,64,32,8,8,1,4.62836,59.390,
A,256,64,64,2,2,1,5.09000,54.003,
A,256,64,64,2,4,1,5.09795,53.919,
A,256,64,64,2,8,1,5.10929,53.800,
A,256,64,64,4,2,1,4.94987,55.532,
A,256,64,64,4,4,1,4.89156,56.194,
A,256,64,64,4,8,1,5.02737,54.676,
A,256,64,64,8,2,1,5.36828,51.204,
A,256,64,64,8,4,1,5.23881,52.470,
A,256,64,64,8,8,1,5.41366,50.775,
A,256,128,32,2,2,1,37.56493,7.317,
A,256,128,32,2,4,1,36.85571,7.458,
A,256,128,32,2,8,1,37.13483,7.402,
A,256,128,32,4,2,1,37.26184,7.377,
A,256,128,32,4,4,1,37.43594,7.343,
A,256,128,32,4,8,1,37.26191,7.377,
A,256,128,32,8,2,1,36.95869,7.437,
A,256,128,32,8,4,1,37.70130,7.291,
A,256,128,32,8,8,1,37.14985,7.399,
A,256,128,64,2,2,1,59.08342,4.652,
A,256,128,64,2,4,1,59.82960,4.594,
A,256,128,64,2,8,1,59.08103,4.653,
A,256,128,64,4,2,1,59.16808,4.646,
A,256,128,64,4,4,1,59.72482,4.602,
A,256,128,64,4,8,1,59.12848,4.649,
A,256,128,64,8,2,1,59.49099,4.620,
A,256,128,64,8,4,1,59.15030,4.647,
A,256,128,64,8,8,1,59.09438,4.652,
