variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,3.30271,41.614,
A,64,64,32,2,4,1,3.31230,41.493,
A,64,64,32,2,8,1,3.30515,41.583,
A,64,64,32,4,2,1,3.26158,42.139,
A,64,64,32,4,4,1,3.29562,41.703,
A,64,64,32,4,8,1,3.30679,41.563,
A,64,64,32,8,2,1,3.28992,41.776,
A,64,64,32,8,4,1,3.28106,41.889,
A,64,64,32,8,8,1,3.26496,42.095,
A,64,64,64,2,2,1,3.12314,44.007,
A,64,64,64,2,4,1,3.09997,44.336,
A,64,64,64,2,8,1,3.13512,43.839,
A,64,64,64,4,2,1,3.09409,44.420,
A,64,64,64,4,4,1,3.08741,44.516,
A,64,64,64,4,8,1,3.09369,44.426,
A,64,64,64,8,2,1,3.10212,44.305,
A,64,64,64,8,4,1,3.11396,44.136,
A,64,64,64,8,8,1,3.09106,44.463,
A,64,64,128,2,2,1,5.63360,24.396,
A,64,64,128,2,4,1,5.59865,24.549,
A,64,64,128,2,8,1,5.59307,24.573,
A,64,64,128,4,2,1,5.58325,24.616,
A,64,64,128,4,4,1,5.61429,24.480,
A,64,64,128,4,8,1,5.62067,24.452,
A,64,64,128,8,2,1,5.64862,24.331,
A,64,64,128,8,4,1,5.59441,24.567,
A,64,64,128,8,8,1,5.53837,24.816,
A,64,128,32,2,2,1,2.60818,52.695,
A,64,128,32,2,4,1,2.61347,52.589,
A,64,128,32,2,8,1,4.71338,29.159,
A,64,128,32,4,2,1,2.45372,56.012,
A,64,128,32,4,4,1,2.43484,56.447,
A,64,128,32,4,8,1,4.73600,29.020,
A,64,128,32,8,2,1,2.43206,56.511,
A,64,128,32,8,4,1,2.47214,55.595,
A,64,128,32,8,8,1,4.71037,29.178,
A,64,128,64,2,2,1,2.55372,53.819,
A,64,128,64,2,4,1,2.54002,54.109,
A,64,128,64,2,8,1,4.93342,27.859,
A,64,128,64,4,2,1,2.55561,53.779,
A,64,128,64,4,4,1,2.53078,54.307,
A,64,128,64,4,8,1,4.93613,27.843,
