variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,5.11919,26.848,
A,64,64,32,2,4,1,5.09177,26.992,
A,64,64,32,2,8,1,5.07705,27.071,
A,64,64,32,4,2,1,3.43578,40.002,
A,64,64,32,4,4,1,3.47847,39.511,
A,64,64,32,4,8,1,3.50708,39.189,
A,64,64,32,8,2,1,3.37928,40.671,
A,64,64,32,8,4,1,3.32531,41.331,
A,64,64,32,8,8,1,3.28752,41.806,
A,64,64,64,2,2,1,4.99769,27.501,
A,64,64,64,2,4,1,5.07558,27.078,
A,64,64,64,2,8,1,5.01711,27.394,
A,64,64,64,4,2,1,3.26326,42.117,
A,64,64,64,4,4,1,3.22478,42.620,
A,64,64,64,4,8,1,3.29095,41.763,
A,64,64,64,8,2,1,3.10063,44.326,
A,64,64,64,8,4,1,3.08359,44.571,
A,64,64,64,8,8,1,3.08210,44.593,
A,64,64,128,2,2,1,6.35723,21.619,
A,64,64,128,2,4,1,6.32744,21.721,
A,64,64,128,2,8,1,6.18475,22.222,
A,64,64,128,4,2,1,5.77955,23.780,
A,64,64,128,4,4,1,5.69905,24.116,
A,64,64,128,4,8,1,5.71890,24.032,
A,64,64,128,8,2,1,5.67467,24.220,
A,64,64,128,8,4,1,5.64183,24.361,
A,64,64,128,8,8,1,5.63653,24.384,
A,64,128,32,2,2,1,4.83285,28.438,
A,64,128,32,2,4,1,4.87710,28.180,
A,64,128,32,2,8,1,4.89250,28.092,
A,64,128,32,4,2,1,3.04182,45.183,
A,64,128,32,4,4,1,3.12724,43.949,
A,64,128,32,4,8,1,3.18041,43.214,
A,64,128,32,8,2,1,2.54104,54.088,
A,64,128,32,8,4,1,2.47873,55.447,
A,64,128,32,8,8,1,2.66553,51.562,
A,64,128,64,2,2,1,5.23161,26.271,
A,64,128,64,2,4,1,5.20880,26.386,
A,64,128,64,2,8,1,5.17061,26.581,
A,64,128,64,4,2,1,3.36628,40.828,
A,64,128,64,4,4,1,3.39699,40.459,
A,64,128,64,4,8,1,3.28321,41.861,
A,64,128,64,8,2,1,2.96432,46.364,
A,64,128,64,8,4,1,2.72260,50.481,
A,64,128,64,8,8,1,2.70514,50.807,
A,64,128,128,2,2,1,5.20291,26.416,
A,64,128,128,2,4,1,5.25710,26.143,
A,64,128,128,2,8,1,5.18289,26.518,
A,64,128,128,4,2,1,4.58520,29.974,
A,64,128,128,4,4,1,4.65490,29.526,
A,64,128,128,4,8,1,4.69239,29.290,
A,64,128,128,8,2,1,4.60911,29.819,
A,64,128,128,8,4,1,4.57166,30.063,
A,64,128,128,8,8,1,4.58812,29.955,
A,64,256,32,2,2,1,4.85668,28.299,
A,64,256,32,2,4,1,4.85442,28.312,
A,64,256,32,2,8,1,4.77533,28.781,
A,64,256,32,4,2,1,2.79595,49.156,
A,64,256,32,4,4,1,2.80261,49.040,
A,64,256,32,4,8,1,3.47737,39.524,
A,64,256,32,8,2,1,2.22859,61.671,
A,64,256,32,8,4,1,2.24318,61.270,
A,64,256,32,8,8,1,2.77772,49.479,
A,64,256,64,2,2,1,5.03453,27.299,
A,64,256,64,2,4,1,4.99278,27.528,
A,64,256,64,2,8,1,4.93936,27.825,
A,64,256,64,4,2,1,2.90504,47.311,
