variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,0.45709,37.585,
A,64,64,32,2,4,1,0.46631,36.842,
A,64,64,32,2,8,1,0.45288,37.935,
A,64,64,32,4,2,1,0.45253,37.964,
A,64,64,32,4,4,1,0.47790,35.949,
A,64,64,32,4,8,1,0.47452,36.205,
A,64,64,32,8,2,1,0.47159,36.430,
A,64,64,32,8,4,1,0.45378,37.859,
A,64,64,32,8,8,1,0.46215,37.174,
A,64,64,64,2,2,1,0.42429,40.491,
A,64,64,64,2,4,1,0.43056,39.902,
A,64,64,64,2,8,1,0.42779,40.159,
A,64,64,64,4,2,1,0.38872,44.196,
A,64,64,64,4,4,1,0.39315,43.698,
A,64,64,64,4,8,1,0.41208,41.691,
A,64,64,64,8,2,1,0.40289,42.642,
A,64,64,64,8,4,1,0.40977,41.925,
A,64,64,64,8,8,1,0.40245,42.688,
A,64,64,128,2,2,1,0.44013,39.033,
A,64,64,128,2,4,1,0.44060,38.992,
A,64,64,128,2,8,1,0.43788,39.234,
A,64,64,128,4,2,1,0.44854,38.302,
A,64,64,128,4,4,1,0.44736,38.403,
A,64,64,128,4,8,1,0.45607,37.669,
A,64,64,128,8,2,1,0.51294,33.493,
A,64,64,128,8,4,1,0.47424,36.226,
A,64,64,128,8,8,1,0.43578,39.423,
A,64,128,32,2,2,1,0.39330,43.681,
A,64,128,32,2,4,1,0.39664,43.314,
A,64,128,32,2,8,1,0.38198,44.976,
A,64,128,32,4,2,1,0.42171,40.738,
A,64,128,32,4,4,1,0.40377,42.549,
A,64,128,32,4,8,1,0.39265,43.754,
A,64,128,32,8,2,1,0.44268,38.809,
A,64,128,32,8,4,1,0.44412,38.683,
A,64,128,32,8,8,1,0.39090,43.950,
A,64,128,64,2,2,1,0.42893,40.053,
A,64,128,64,2,4,1,0.43691,39.322,
A,64,128,64,2,8,1,0.46137,37.236,
A,64,128,64,4,2,1,0.43266,39.708,
A,64,128,64,4,4,1,0.43077,39.881,
A,64,128,64,4,8,1,0.43364,39.618,
A,64,128,64,8,2,1,0.45569,37.701,
A,64,128,64,8,4,1,0.45412,37.831,
A,64,128,64,8,8,1,0.44233,38.839,
A,64,128,128,2,2,1,0.37232,46.143,
A,64,128,128,2,4,1,0.36943,46.504,
A,64,128,128,2,8,1,0.38026,45.179,
A,64,128,128,4,2,1,0.38157,45.024,
A,64,128,128,4,4,1,0.38144,45.040,
A,64,128,128,4,8,1,0.36165,47.504,
A,64,128,128,8,2,1,0.39049,43.996,
A,64,128,128,8,4,1,0.40674,42.238,
A,64,128,128,8,8,1,0.37737,45.525,
A,64,256,32,2,2,1,0.49662,34.594,
A,64,256,32,2,4,1,0.49515,34.696,
A,64,256,32,2,8,1,0.69546,24.703,
A,64,256,32,4,2,1,0.49473,34.726,
A,64,256,32,4,4,1,0.49272,34.868,
A,64,256,32,4,8,1,0.70090,24.511,
A,64,256,32,8,2,1,0.50013,34.350,
A,64,256,32,8,4,1,0.50352,34.120,
A,64,256,32,8,8,1,0.68217,25.184,
A,64,256,64,2,2,1,0.40285,42.646,
