variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,0.59533,28.858,
A,64,64,32,2,4,1,0.60288,28.496,
A,64,64,32,2,8,1,0.58257,29.490,
A,64,64,32,4,2,1,0.58612,29.311,
A,64,64,32,4,4,1,0.59355,28.944,
A,64,64,32,4,8,1,0.58717,29.259,
A,64,64,32,8,2,1,0.58946,29.145,
A,64,64,32,8,4,1,0.58046,29.597,
A,64,64,32,8,8,1,0.60620,28.340,
A,64,64,64,2,2,1,0.63254,27.160,
A,64,64,64,2,4,1,0.65338,26.294,
A,64,64,64,2,8,1,0.64748,26.534,
A,64,64,64,4,2,1,0.63117,27.219,
A,64,64,64,4,4,1,0.64225,26.749,
A,64,64,64,4,8,1,0.63755,26.947,
A,64,64,64,8,2,1,0.63302,27.140,
A,64,64,64,8,4,1,0.62848,27.336,
A,64,64,64,8,8,1,0.62492,27.491,
A,64,64,128,2,2,1,0.61496,27.937,
A,64,64,128,2,4,1,0.62638,27.427,
A,64,64,128,2,8,1,0.62382,27.540,
A,64,64,128,4,2,1,0.61448,27.958,
A,64,64,128,4,4,1,0.61865,27.770,
A,64,64,128,4,8,1,0.62347,27.555,
A,64,64,128,8,2,1,0.62040,27.692,
A,64,64,128,8,4,1,0.60431,28.429,
A,64,64,128,8,8,1,0.61831,27.785,
A,64,128,32,2,2,1,0.52248,32.881,
A,64,128,32,2,4,1,0.53492,32.117,
A,64,128,32,2,8,1,0.52497,32.725,
A,64,128,32,4,2,1,0.52038,33.014,
A,64,128,32,4,4,1,0.51404,33.421,
A,64,128,32,4,8,1,0.52634,32.640,
A,64,128,32,8,2,1,0.52328,32.831,
A,64,128,32,8,4,1,0.51999,33.039,
A,64,128,32,8,8,1,0.52368,32.806,
A,64,128,64,2,2,1,0.52715,32.590,
A,64,128,64,2,4,1,0.51971,33.057,
A,64,128,64,2,8,1,0.51996,33.041,
A,64,128,64,4,2,1,0.52345,32.820,
A,64,128,64,4,4,1,0.52535,32.702,
A,64,128,64,4,8,1,0.51825,33.150,
A,64,128,64,8,2,1,0.51835,33.143,
A,64,128,64,8,4,1,0.51733,33.209,
A,64,128,64,8,8,1,0.51419,33.412,
A,64,128,128,2,2,1,0.54465,31.543,
A,64,128,128,2,4,1,0.53927,31.858,
A,64,128,128,2,8,1,0.54034,31.794,
A,64,128,128,4,2,1,0.54167,31.717,
A,64,128,128,4,4,1,0.54281,31.650,
A,64,128,128,4,8,1,0.53393,32.176,
A,64,128,128,8,2,1,0.54273,31.654,
A,64,128,128,8,4,1,0.53582,32.062,
A,64,128,128,8,8,1,0.53839,31.909,
A,64,256,32,2,2,1,0.50050,34.325,
A,64,256,32,2,4,1,0.50801,33.818,
A,64,256,32,2,8,1,0.52735,32.578,
A,64,256,32,4,2,1,0.48383,35.508,
A,64,256,32,4,4,1,0.49427,34.758,
A,64,256,32,4,8,1,0.51230,33.535,
A,64,256,32,8,2,1,0.48150,35.680,
A,64,256,32,8,4,1,0.48195,35.647,
A,64,256,32,8,8,1,0.51177,33.570,
A,64,256,64,2,2,1,0.49732,34.545,
A,64,256,64,2,4,1,0.49233,34.895,
A,64,256,64,2,8,1,0.49268,34.870,
A,64,256,64,4,2,1,0.47545,36.134,
A,64,256,64,4,4,1,0.47273,36.342,
A,64,256,64,4,8,1,0.48851,35.168,
A,64,256,64,8,2,1,0.48204,35.640,
A,64,256,64,8,4,1,0.47678,36.033,
A,64,256,64,8,8,1,0.50560,33.979,
A,128,64,32,2,2,1,0.51030,33.666,
