variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,2.65090,25.923,
A,64,64,32,2,4,1,2.67260,25.713,
A,64,64,32,2,8,1,2.65533,25.880,
A,64,64,32,4,2,1,1.73172,39.683,
A,64,64,32,4,4,1,1.71436,40.085,
A,64,64,32,4,8,1,1.70326,40.346,
A,64,64,32,8,2,1,1.50104,45.781,
A,64,64,32,8,4,1,1.46836,46.800,
A,64,64,32,8,8,1,1.43340,47.942,
A,64,64,64,2,2,1,2.64867,25.945,
A,64,64,64,2,4,1,2.65890,25.845,
A,64,64,64,2,8,1,2.68882,25.558,
A,64,64,64,4,2,1,1.61262,42.614,
A,64,64,64,4,4,1,1.58524,43.350,
A,64,64,64,4,8,1,1.60108,42.921,
A,64,64,64,8,2,1,1.31370,52.310,
A,64,64,64,8,4,1,1.31765,52.153,
A,64,64,64,8,8,1,1.31068,52.430,
A,64,64,128,2,2,1,2.66852,25.752,
A,64,64,128,2,4,1,2.71600,25.302,
A,64,64,128,2,8,1,2.75899,24.908,
A,64,64,128,4,2,1,1.88070,36.539,
A,64,64,128,4,4,1,1.86328,36.881,
A,64,64,128,4,8,1,1.78119,38.581,
A,64,64,128,8,2,1,1.77718,38.668,
A,64,64,128,8,4,1,1.55059,44.318,
A,64,64,128,8,8,1,1.45737,47.153,
A,64,128,32,2,2,1,2.63697,26.060,
A,64,128,32,2,4,1,2.59783,26.453,
A,64,128,32,2,8,1,2.54360,27.017,
A,64,128,32,4,2,1,1.51652,45.314,
A,64,128,32,4,4,1,1.50208,45.750,
A,64,128,32,4,8,1,1.55873,44.087,
A,64,128,32,8,2,1,1.24444,55.221,
A,64,128,32,8,4,1,1.25263,54.860,
A,64,128,32,8,8,1,1.30604,52.617,
A,64,128,64,2,2,1,2.71698,25.293,
A,64,128,64,2,4,1,2.73367,25.138,
A,64,128,64,2,8,1,2.64993,25.933,
A,64,128,64,4,2,1,1.74609,39.356,
A,64,128,64,4,4,1,1.81247,37.915,
A,64,128,64,4,8,1,1.63714,41.975,
A,64,128,64,8,2,1,1.44143,47.675,
A,64,128,64,8,4,1,1.37725,49.896,
A,64,128,64,8,8,1,1.38190,49.728,
A,64,128,128,2,2,1,2.62599,26.169,
A,64,128,128,2,4,1,2.61026,26.327,
A,64,128,128,2,8,1,2.56228,26.820,
A,64,128,128,4,2,1,1.57567,43.613,
