name,einsum,supported,expected,tflops,n_measured,status,note
gemm_batch,"cmk,ckn->cmn",1,1,26.882,16,gerechnet,"A05-Form, ein Batch (Regression)"
gemm_nobatch,"mk,kn->mn",1,1,38.035,33,gerechnet,kein Batch -> Dummy-Achse
gemm_2batch,"bcmk,bckn->bcmn",1,1,21.787,17,gerechnet,zwei Batches -> fusioniert
attn_out,"bhqk,bhkd->bhqd",1,1,13.466,17,gerechnet,"Attention-Output, b/h fusioniert"
ring,"acspx,bspy->abcyx",1,1,34.783,15,gerechnet,A06-Form (Regression)
gemm_nt,"cmk,cnk->cmn",1,1,24.806,14,gerechnet,"B als (N,K) -- NT"
gemm_tn,"ckm,ckn->cmn",1,1,25.144,14,gerechnet,"A als (K,M) -- TN"
gemm_outT,"cmk,ckn->cnm",1,1,26.037,17,gerechnet,Output transponiert
attn_scores,"bhqd,bhkd->bhqk",1,1,11.297,22,gerechnet,"Attention-Scores, B als NT"
gemm_all_t,"ckm,cnk->cnm",1,1,25.876,15,gerechnet,"A, B und C gedreht"
batch_inner,"mck,ckn->mcn",0,0,,,abgelehnt,Batch-Dim nicht aussen
