name,einsum,tiles,order0,order1,order2,order3,best_order,gain
a05,"cmk,ckn->cmn",128/128/64 8x8,33.355,33.882,31.659,28.455,1,1.0158
square_1b,"cmk,ckn->cmn",128/128/64 8x8,33.588,32.946,32.535,32.857,0,1.0000
tall,"cmk,ckn->cmn",128/128/64 8x8,28.248,26.250,28.134,27.731,0,1.0000
wide,"cmk,ckn->cmn",128/128/64 8x8,31.248,31.277,28.059,30.388,1,1.0009
small_k,"cmk,ckn->cmn",128/128/64 8x8,19.997,18.581,20.511,19.007,2,1.0257
large_k,"cmk,ckn->cmn",128/128/64 8x8,21.031,20.786,20.473,21.548,3,1.0246
krumm,"cmk,ckn->cmn",128/128/64 8x8,5.731,5.956,5.731,5.781,1,1.0392
batch16,"cmk,ckn->cmn",128/128/64 8x8,25.483,25.185,25.874,24.718,2,1.0154
a06,"acspx,bspy->abcyx",128/128/64 8x8,13.396,13.261,13.371,13.235,0,1.0000
a06_square,"acspx,bspy->abcyx",128/128/64 8x8,27.746,27.437,27.465,27.259,0,1.0000
a06_tall,"acspx,bspy->abcyx",128/128/64 8x8,15.904,15.401,15.998,15.229,2,1.0059
a06_wide,"acspx,bspy->abcyx",128/128/64 8x8,15.151,16.027,15.157,16.010,1,1.0578
a06_small_k,"acspx,bspy->abcyx",128/128/64 8x8,14.986,14.980,14.844,14.880,0,1.0000
a06_large_k,"acspx,bspy->abcyx",128/128/64 8x8,27.978,28.192,28.258,28.159,2,1.0100
a06_krumm,"acspx,bspy->abcyx",128/128/64 8x8,3.412,3.422,3.397,3.411,1,1.0031
a06_batch,"acspx,bspy->abcyx",128/128/64 8x8,28.040,27.954,28.044,27.997,2,1.0002
