variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,25.09423,27.727,
A,64,64,32,2,4,1,25.79381,26.975,
A,64,64,32,2,8,1,26.97339,25.795,
A,64,64,32,4,2,1,17.10861,40.669,
A,64,64,32,4,4,1,18.32799,37.963,
A,64,64,32,4,8,1,23.03839,30.201,
A,64,64,32,8,2,1,16.33883,42.585,
A,64,64,32,8,4,1,17.98904,38.678,
A,64,64,32,8,8,1,21.34472,32.598,
A,64,64,64,2,2,1,24.27343,28.664,
A,64,64,64,2,4,1,25.44942,27.340,
A,64,64,64,2,8,1,25.81496,26.953,
A,64,64,64,4,2,1,16.06394,43.313,
A,64,64,64,4,4,1,17.44362,39.888,
A,64,64,64,4,8,1,21.89304,31.781,
A,64,64,64,8,2,1,15.50564,44.873,
A,64,64,64,8,4,1,16.98195,40.972,
A,64,64,64,8,8,1,20.22079,34.409,
A,64,64,128,2,2,1,31.38484,22.169,
A,64,64,128,2,4,1,32.71077,21.271,
A,64,64,128,2,8,1,39.29649,17.706,
A,64,64,128,4,2,1,29.06110,23.942,
A,64,64,128,4,4,1,31.53451,22.064,
A,64,64,128,4,8,1,38.19480,18.217,
A,64,64,128,8,2,1,28.67641,24.263,
A,64,64,128,8,4,1,31.24558,22.268,
A,64,64,128,8,8,1,37.46321,18.572,
A,64,128,32,2,2,1,24.87658,27.969,
A,64,128,32,2,4,1,25.17356,27.640,
A,64,128,32,2,8,1,27.53834,25.266,
A,64,128,32,4,2,1,15.91119,43.729,
A,64,128,32,4,4,1,17.82026,39.045,
A,64,128,32,4,8,1,21.22707,32.778,
A,64,128,32,8,2,1,13.84040,50.272,
A,64,128,32,8,4,1,16.55330,42.033,
A,64,128,32,8,8,1,21.13464,32.922,
A,64,128,64,2,2,1,26.25134,26.505,
A,64,128,64,2,4,1,26.73399,26.026,
A,64,128,64,2,8,1,28.76186,24.191,
A,64,128,64,4,2,1,17.21228,40.424,
A,64,128,64,4,4,1,19.18715,36.263,
A,64,128,64,4,8,1,22.92964,30.344,
A,64,128,64,8,2,1,15.57060,44.686,
A,64,128,64,8,4,1,18.22502,38.177,
A,64,128,64,8,8,1,22.27593,31.235,
A,64,128,128,2,2,1,27.02626,25.745,
A,64,128,128,2,4,1,31.42020,22.145,
A,64,128,128,2,8,1,40.56234,17.153,
A,64,128,128,4,2,1,25.77673,26.993,
A,64,128,128,4,4,1,30.77203,22.611,
A,64,128,128,4,8,1,40.77482,17.064,
A,64,128,128,8,2,1,25.57307,27.208,
A,64,128,128,8,4,1,30.55728,22.770,
A,64,128,128,8,8,1,40.64932,17.117,
A,64,256,32,2,2,1,24.31164,28.619,
A,64,256,32,2,4,1,25.44234,27.348,
A,64,256,32,2,8,1,25.23964,27.567,
A,64,256,32,4,2,1,15.33747,45.365,
A,64,256,32,4,4,1,18.81593,36.978,
A,64,256,32,4,8,1,19.08702,36.453,
A,64,256,32,8,2,1,14.16197,49.130,
A,64,256,32,8,4,1,18.19972,38.231,
A,64,256,32,8,8,1,18.63246,37.343,
A,64,256,64,2,2,1,24.85053,27.999,
A,64,256,64,2,4,1,26.08529,26.673,
A,64,256,64,2,8,1,25.96185,26.800,
A,64,256,64,4,2,1,15.79130,44.061,
A,64,256,64,4,4,1,19.40944,35.848,
A,64,256,64,4,8,1,19.35470,35.949,
A,64,256,64,8,2,1,14.50424,47.971,
A,64,256,64,8,4,1,18.72859,37.151,
A,64,256,64,8,8,1,19.00590,36.609,
A,128,64,32,2,2,1,15.87925,43.817,
A,128,64,32,2,4,1,16.16753,43.036,
A,128,64,32,2,8,1,18.09418,38.454,
A,128,64,32,4,2,1,12.89534,53.956,
A,128,64,32,4,4,1,13.97572,49.785,
A,128,64,32,4,8,1,16.92159,41.118,
A,128,64,32,8,2,1,16.21855,42.901,
A,128,64,32,8,4,1,17.57009,39.601,
A,128,64,32,8,8,1,21.05074,33.053,
A,128,64,64,2,2,1,20.62613,33.733,
A,128,64,64,2,4,1,19.40459,35.857,
A,128,64,64,2,8,1,22.80494,30.510,
A,128,64,64,4,2,1,16.13479,43.123,
A,128,64,64,4,4,1,16.25962,42.792,
A,128,64,64,4,8,1,21.00198,33.129,
A,128,64,64,8,2,1,19.45344,35.767,
A,128,64,64,8,4,1,21.54543,32.294,
A,128,64,64,8,8,1,26.56707,26.190,
A,128,64,128,2,2,1,26.12893,26.629,
A,128,64,128,2,4,1,28.81565,24.146,
A,128,64,128,2,8,1,34.61377,20.101,
A,128,64,128,4,2,1,25.98851,26.773,
A,128,64,128,4,4,1,28.70859,24.236,
A,128,64,128,4,8,1,34.07024,20.422,
A,128,64,128,8,2,1,34.35140,20.255,
A,128,64,128,8,4,1,37.46667,18.571,
A,128,64,128,8,8,1,45.61118,15.255,
A,128,128,32,2,2,1,14.17057,49.101,
A,128,128,32,2,4,1,15.43436,45.080,
A,128,128,32,2,8,1,17.81162,39.064,
A,128,128,32,4,2,1,11.24587,61.870,
A,128,128,32,4,4,1,13.17344,52.817,
A,128,128,32,4,8,1,17.28023,40.265,
A,128,128,32,8,2,1,14.53499,47.870,
A,128,128,32,8,4,1,17.38710,40.017,
A,128,128,32,8,8,1,22.70502,30.645,
A,128,128,64,2,2,1,15.13659,45.967,
A,128,128,64,2,4,1,16.29487,42.700,
A,128,128,64,2,8,1,19.87284,35.012,
A,128,128,64,4,2,1,12.77356,54.471,
A,128,128,64,4,4,1,15.04233,46.255,
A,128,128,64,4,8,1,19.60995,35.481,
A,128,128,64,8,2,1,16.74780,41.545,
A,128,128,64,8,4,1,19.50649,35.669,
A,128,128,64,8,8,1,25.78050,26.989,
A,128,256,32,2,2,1,81.60501,8.526,
A,128,256,32,2,4,1,107.46265,6.475,
A,128,256,32,2,8,1,107.24352,6.488,
A,128,256,32,4,2,1,81.29976,8.558,
A,128,256,32,4,4,1,104.88940,6.634,
A,128,256,32,4,8,1,104.65264,6.649,
A,128,256,32,8,2,1,107.41248,6.478,
A,128,256,32,8,4,1,140.39453,4.956,
A,128,256,32,8,8,1,139.53331,4.987,
A,128,256,64,2,2,1,278.24130,2.501,
A,128,256,64,2,4,1,370.97681,1.876,
