variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,37.66447,3.303,
A,64,64,32,2,4,1,37.75293,3.296,
A,64,64,32,2,8,1,37.59092,3.310,
A,64,64,32,4,2,1,28.92164,4.302,
A,64,64,32,4,4,1,28.96040,4.296,
A,64,64,32,4,8,1,28.92091,4.302,
A,64,64,32,8,2,1,25.14165,4.949,
A,64,64,32,8,4,1,25.32462,4.913,
A,64,64,32,8,8,1,27.18114,4.577,
A,64,64,64,2,2,1,16.83921,7.388,
A,64,64,64,2,4,1,16.84196,7.387,
A,64,64,64,2,8,1,16.85011,7.384,
A,64,64,64,4,2,1,13.52164,9.201,
A,64,64,64,4,4,1,13.55827,9.176,
A,64,64,64,4,8,1,13.46389,9.241,
A,64,64,64,8,2,1,11.95883,10.404,
A,64,64,64,8,4,1,12.02326,10.348,
A,64,64,64,8,8,1,12.81187,9.711,
A,64,64,128,2,2,1,44.31965,2.807,
A,64,64,128,2,4,1,44.29123,2.809,
A,64,64,128,2,8,1,44.30020,2.808,
A,64,64,128,4,2,1,33.66532,3.696,
A,64,64,128,4,4,1,33.52567,3.711,
A,64,64,128,4,8,1,33.66904,3.695,
A,64,64,128,8,2,1,28.81851,4.317,
A,64,64,128,8,4,1,29.18235,4.263,
A,64,64,128,8,8,1,31.44730,3.956,
A,64,128,32,2,2,1,27.34343,4.550,
A,64,128,32,2,4,1,27.35774,4.548,
A,64,128,32,2,8,1,27.33873,4.551,
A,64,128,32,4,2,1,18.58046,6.696,
A,64,128,32,4,4,1,18.69408,6.655,
A,64,128,32,4,8,1,18.65973,6.668,
A,64,128,32,8,2,1,14.40869,8.635,
A,64,128,32,8,4,1,14.46670,8.600,
A,64,128,32,8,8,1,16.62879,7.482,
A,64,128,64,2,2,1,10.93464,11.378,
A,64,128,64,2,4,1,11.10470,11.204,
A,64,128,64,2,8,1,10.92190,11.391,
A,64,128,64,4,2,1,7.80231,15.946,
A,64,128,64,4,4,1,7.76553,16.022,
A,64,128,64,4,8,1,7.84262,15.864,
A,64,128,64,8,2,1,6.27492,19.828,
A,64,128,64,8,4,1,6.26492,19.859,
A,64,128,64,8,8,1,6.98490,17.812,
A,64,128,128,2,2,1,33.44541,3.720,
A,64,128,128,2,4,1,33.58467,3.705,
A,64,128,128,2,8,1,33.45483,3.719,
A,64,128,128,4,2,1,23.04674,5.398,
A,64,128,128,4,4,1,23.03751,5.401,
A,64,128,128,4,8,1,23.28753,5.343,
A,64,128,128,8,2,1,18.03936,6.897,
A,64,128,128,8,4,1,18.27366,6.808,
A,64,128,128,8,8,1,20.59744,6.040,
A,64,256,32,2,2,1,14.43470,8.619,
A,64,256,32,2,4,1,14.37147,8.657,
A,64,256,32,2,8,1,28.90114,4.305,
A,64,256,32,4,2,1,14.39636,8.642,
A,64,256,32,4,4,1,14.44029,8.616,
A,64,256,32,4,8,1,20.48982,6.072,
A,64,256,32,8,2,1,10.23767,12.153,
A,64,256,32,8,4,1,10.48735,11.863,
A,64,256,32,8,8,1,18.76304,6.631,
A,64,256,64,2,2,1,6.63322,18.757,
A,64,256,64,2,4,1,6.60633,18.833,
A,64,256,64,2,8,1,13.19348,9.430,
A,64,256,64,4,2,1,6.62432,18.782,
A,64,256,64,4,4,1,6.60673,18.832,
A,64,256,64,4,8,1,11.42934,10.886,
A,64,256,64,8,2,1,5.93047,20.979,
A,64,256,64,8,4,1,5.92921,20.984,
A,64,256,64,8,8,1,11.38387,10.929,
A,128,64,32,2,2,1,36.45348,3.413,
A,128,64,32,2,4,1,36.67717,3.392,
A,128,64,32,2,8,1,36.54832,3.404,
A,128,64,32,4,2,1,27.43459,4.535,
A,128,64,32,4,4,1,27.57093,4.513,
A,128,64,32,4,8,1,27.78036,4.479,
A,128,64,32,8,2,1,25.38578,4.901,
A,128,64,32,8,4,1,25.67822,4.845,
A,128,64,32,8,8,1,27.16359,4.580,
A,128,64,64,2,2,1,13.60895,9.142,
A,128,64,64,2,4,1,13.49166,9.222,
A,128,64,64,2,8,1,13.44003,9.257,
A,128,64,64,4,2,1,10.31030,12.067,
A,128,64,64,4,4,1,10.38611,11.979,
A,128,64,64,4,8,1,10.42293,11.937,
A,128,64,64,8,2,1,10.16458,12.240,
A,128,64,64,8,4,1,10.28722,12.094,
A,128,64,64,8,8,1,10.76238,11.560,
A,128,64,128,2,2,1,44.17090,2.817,
A,128,64,128,2,4,1,43.91670,2.833,
A,128,64,128,2,8,1,43.93050,2.832,
A,128,64,128,4,2,1,33.44950,3.720,
A,128,64,128,4,4,1,33.40205,3.725,
A,128,64,128,4,8,1,33.40107,3.725,
A,128,64,128,8,2,1,31.05645,4.006,
A,128,64,128,8,4,1,31.47379,3.953,
A,128,64,128,8,8,1,33.40651,3.724,
A,128,128,32,2,2,1,27.54295,4.517,
A,128,128,32,2,4,1,27.53393,4.519,
A,128,128,32,2,8,1,27.65817,4.498,
A,128,128,32,4,2,1,18.74919,6.636,
A,128,128,32,4,4,1,18.74705,6.637,
A,128,128,32,4,8,1,19.02121,6.541,
A,128,128,32,8,2,1,16.16168,7.698,
A,128,128,32,8,4,1,16.45347,7.562,
A,128,128,32,8,8,1,18.62004,6.682,
A,128,128,64,2,2,1,10.33609,12.037,
A,128,128,64,2,4,1,10.25422,12.133,
A,128,128,64,2,8,1,10.35883,12.011,
A,128,128,64,4,2,1,7.65828,16.246,
A,128,128,64,4,4,1,7.67893,16.202,
A,128,128,64,4,8,1,7.90727,15.734,
A,128,128,64,8,2,1,7.66655,16.228,
A,128,128,64,8,4,1,7.61133,16.346,
A,128,128,64,8,8,1,8.70799,14.288,
A,128,256,32,2,2,1,23.00464,5.408,
A,128,256,32,2,4,1,23.11267,5.383,
A,128,256,32,2,8,1,48.21229,2.581,
A,128,256,32,4,2,1,23.94208,5.197,
A,128,256,32,4,4,1,23.77271,5.234,
A,128,256,32,4,8,1,45.10679,2.758,
A,128,256,32,8,2,1,29.36842,4.236,
A,128,256,32,8,4,1,28.66222,4.341,
A,128,256,32,8,8,1,60.19583,2.067,
A,128,256,64,2,2,1,57.84371,2.151,
A,128,256,64,2,4,1,57.82459,2.152,
A,128,256,64,2,8,1,115.49283,1.077,
A,128,256,64,4,2,1,57.82705,2.152,
A,128,256,64,4,4,1,57.86245,2.150,
A,128,256,64,4,8,1,115.74857,1.075,
A,128,256,64,8,2,1,77.52713,1.605,
A,128,256,64,8,4,1,77.61869,1.603,
A,128,256,64,8,8,1,154.05875,0.808,
A,256,64,32,2,2,1,43.74006,2.844,
A,256,64,32,2,4,1,43.78924,2.841,
A,256,64,32,2,8,1,43.84299,2.838,
A,256,64,32,4,2,1,37.23114,3.342,
A,256,64,32,4,4,1,37.24193,3.341,
A,256,64,32,4,8,1,37.69132,3.301,
A,256,64,32,8,2,1,31.08483,4.002,
A,256,64,32,8,4,1,31.13770,3.996,
A,256,64,32,8,8,1,32.44414,3.835,
A,256,64,64,2,2,1,44.65731,2.786,
A,256,64,64,2,4,1,44.68649,2.784,
A,256,64,64,2,8,1,44.54211,2.793,
A,256,64,64,4,2,1,38.40632,3.239,
A,256,64,64,4,4,1,38.29670,3.249,
A,256,64,64,4,8,1,38.76622,3.209,
A,256,64,64,8,2,1,31.61743,3.935,
A,256,64,64,8,4,1,32.58895,3.818,
A,256,64,64,8,8,1,33.56399,3.707,
A,256,128,32,2,2,1,62.64629,1.986,
A,256,128,32,2,4,1,62.07594,2.004,
A,256,128,32,2,8,1,61.52055,2.022,
A,256,128,32,4,2,1,61.15977,2.034,
A,256,128,32,4,4,1,58.30653,2.134,
A,256,128,32,4,8,1,60.31707,2.063,
A,256,128,32,8,2,1,55.41953,2.245,
A,256,128,32,8,4,1,57.17503,2.176,
A,256,128,32,8,8,1,60.71053,2.049,
A,256,128,64,2,2,1,74.14581,1.678,
A,256,128,64,2,4,1,74.15133,1.678,
A,256,128,64,2,8,1,73.76743,1.687,
A,256,128,64,4,2,1,72.73525,1.711,
A,256,128,64,4,4,1,71.63955,1.737,
A,256,128,64,4,8,1,73.47198,1.693,
A,256,128,64,8,2,1,66.15091,1.881,
A,256,128,64,8,4,1,71.06519,1.751,
A,256,128,64,8,8,1,74.68187,1.666,
