variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,10.47913,26.231,
A,64,64,32,2,4,1,10.35801,26.538,
A,64,64,32,2,8,1,10.36258,26.526,
A,64,64,32,4,2,1,7.08964,38.772,
A,64,64,32,4,4,1,6.99517,39.295,
A,64,64,32,4,8,1,8.20974,33.482,
A,64,64,32,8,2,1,6.64204,41.385,
A,64,64,32,8,4,1,6.72797,40.856,
A,64,64,32,8,8,1,7.57007,36.311,
A,64,64,64,2,2,1,10.58782,25.962,
A,64,64,64,2,4,1,10.49744,26.185,
A,64,64,64,2,8,1,10.54433,26.069,
A,64,64,64,4,2,1,7.00786,39.224,
A,64,64,64,4,4,1,7.32536,37.524,
A,64,64,64,4,8,1,8.45036,32.529,
A,64,64,64,8,2,1,6.44280,42.664,
A,64,64,64,8,4,1,6.81246,40.349,
A,64,64,64,8,8,1,7.46347,36.830,
A,64,64,128,2,2,1,9.70593,28.321,
A,64,64,128,2,4,1,9.80624,28.031,
A,64,64,128,2,8,1,9.72190,28.274,
A,64,64,128,4,2,1,6.76161,40.653,
A,64,64,128,4,4,1,6.93759,39.622,
A,64,64,128,4,8,1,7.88696,34.852,
A,64,64,128,8,2,1,6.23745,44.069,
A,64,64,128,8,4,1,6.77047,40.600,
A,64,64,128,8,8,1,7.41552,37.068,
A,64,128,32,2,2,1,6.71715,40.922,
A,64,128,32,2,4,1,6.80012,40.423,
A,64,128,32,2,8,1,6.74770,40.737,
A,64,128,32,4,2,1,5.66073,48.559,
A,64,128,32,4,4,1,5.62198,48.893,
A,64,128,32,4,8,1,6.82877,40.253,
A,64,128,32,8,2,1,4.56879,60.164,
A,64,128,32,8,4,1,4.97269,55.277,
A,64,128,32,8,8,1,5.74318,47.862,
A,64,128,64,2,2,1,6.83406,40.222,
A,64,128,64,2,4,1,6.79091,40.477,
A,64,128,64,2,8,1,6.80057,40.420,
A,64,128,64,4,2,1,5.62287,48.886,
A,64,128,64,4,4,1,5.61963,48.914,
A,64,128,64,4,8,1,6.87063,40.008,
A,64,128,64,8,2,1,4.84169,56.773,
A,64,128,64,8,4,1,5.00370,54.935,
A,64,128,64,8,8,1,5.81099,47.303,
A,64,128,128,2,2,1,6.74461,40.755,
A,64,128,128,2,4,1,6.66433,41.246,
A,64,128,128,2,8,1,6.80960,40.366,
A,64,128,128,4,2,1,5.80122,47.383,
A,64,128,128,4,4,1,5.64786,48.669,
A,64,128,128,4,8,1,6.91103,39.774,
A,64,128,128,8,2,1,4.99233,55.060,
A,64,128,128,8,4,1,5.14824,53.393,
A,64,128,128,8,8,1,5.87428,46.793,
A,64,256,32,2,2,1,4.03395,68.141,
A,64,256,32,2,4,1,3.96898,69.257,
A,64,256,32,2,8,1,7.69277,35.732,
A,64,256,32,4,2,1,4.03871,68.061,
A,64,256,32,4,4,1,4.12717,66.602,
A,64,256,32,4,8,1,7.72551,35.581,
A,64,256,32,8,2,1,3.91797,70.158,
A,64,256,32,8,4,1,4.26676,64.423,
A,64,256,32,8,8,1,7.56863,36.318,
A,64,256,64,2,2,1,4.11965,66.724,
A,64,256,64,2,4,1,4.14178,66.367,
A,64,256,64,2,8,1,8.06802,34.070,
A,64,256,64,4,2,1,4.17029,65.913,
A,64,256,64,4,4,1,4.17567,65.828,
A,64,256,64,4,8,1,8.13134,33.805,
A,64,256,64,8,2,1,4.12951,66.564,
A,64,256,64,8,4,1,4.29868,63.945,
A,64,256,64,8,8,1,8.01065,34.314,
A,128,64,32,2,2,1,5.94223,46.258,
A,128,64,32,2,4,1,5.94599,46.229,
A,128,64,32,2,8,1,5.87260,46.807,
A,128,64,32,4,2,1,4.86438,56.508,
A,128,64,32,4,4,1,4.95075,55.523,
A,128,64,32,4,8,1,5.27801,52.080,
A,128,64,32,8,2,1,5.22213,52.637,
A,128,64,32,8,4,1,5.33880,51.487,
A,128,64,32,8,8,1,5.07411,54.173,
A,128,64,64,2,2,1,6.65024,41.334,
A,128,64,64,2,4,1,6.54100,42.024,
A,128,64,64,2,8,1,6.45794,42.564,
A,128,64,64,4,2,1,5.24304,52.427,
A,128,64,64,4,4,1,5.16368,53.233,
A,128,64,64,4,8,1,5.59926,49.092,
A,128,64,64,8,2,1,5.16674,53.201,
A,128,64,64,8,4,1,5.35314,51.349,
A,128,64,64,8,8,1,5.36890,51.198,
A,128,64,128,2,2,1,6.69042,41.085,
A,128,64,128,2,4,1,6.56804,41.851,
A,128,64,128,2,8,1,6.75223,40.709,
A,128,64,128,4,2,1,5.39412,50.959,
A,128,64,128,4,4,1,5.41864,50.728,
A,128,64,128,4,8,1,5.77346,47.611,
A,128,64,128,8,2,1,5.52492,49.752,
A,128,64,128,8,4,1,5.52034,49.794,
A,128,64,128,8,8,1,5.63236,48.803,
A,128,128,32,2,2,1,4.10852,66.904,
A,128,128,32,2,4,1,4.19374,65.545,
A,128,128,32,2,8,1,4.00444,68.643,
A,128,128,32,4,2,1,3.76972,72.917,
A,128,128,32,4,4,1,3.72890,73.716,
A,128,128,32,4,8,1,4.22419,65.072,
A,128,128,32,8,2,1,3.66801,74.939,
A,128,128,32,8,4,1,3.66123,75.078,
A,128,128,32,8,8,1,3.82382,71.886,
A,128,128,64,2,2,1,4.26738,64.414,
A,128,128,64,2,4,1,4.26607,64.433,
A,128,128,64,2,8,1,4.25252,64.639,
A,128,128,64,4,2,1,4.16093,66.062,
A,128,128,64,4,4,1,4.08684,67.259,
A,128,128,64,4,8,1,4.30441,63.860,
A,128,128,64,8,2,1,4.16279,66.032,
A,128,128,64,8,4,1,4.11383,66.818,
A,128,128,64,8,8,1,4.28840,64.098,
A,128,256,32,2,2,1,22.50546,12.214,
A,128,256,32,2,4,1,22.73314,12.092,
A,128,256,32,2,8,1,42.70123,6.437,
A,128,256,32,4,2,1,22.30136,12.326,
A,128,256,32,4,4,1,22.61986,12.152,
A,128,256,32,4,8,1,43.53450,6.314,
A,128,256,32,8,2,1,22.21152,12.375,
A,128,256,32,8,4,1,22.44958,12.244,
A,128,256,32,8,8,1,44.07983,6.236,
A,128,256,64,2,2,1,74.58083,3.686,
A,128,256,64,2,4,1,74.61528,3.684,
A,128,256,64,2,8,1,149.11177,1.843,
A,128,256,64,4,2,1,74.10930,3.709,
A,128,256,64,4,4,1,74.66224,3.682,
