variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,3.45608,19.884,
A,64,64,32,2,4,1,3.48684,19.708,
A,64,64,32,2,8,1,3.44624,19.940,
A,64,64,32,4,2,1,3.49072,19.686,
A,64,64,32,4,4,1,3.48361,19.726,
A,64,64,32,4,8,1,3.48856,19.699,
A,64,64,32,8,2,1,3.62794,18.942,
A,64,64,32,8,4,1,3.52576,19.491,
A,64,64,32,8,8,1,3.58174,19.186,
A,64,64,64,2,2,1,5.05478,13.595,
A,64,64,64,2,4,1,5.02689,13.670,
A,64,64,64,2,8,1,5.03293,13.654,
A,64,64,64,4,2,1,4.97758,13.806,
A,64,64,64,4,4,1,5.03246,13.655,
A,64,64,64,4,8,1,4.98547,13.784,
A,64,64,64,8,2,1,5.02099,13.686,
A,64,64,64,8,4,1,5.04197,13.629,
A,64,64,64,8,8,1,4.97453,13.814,
A,64,64,128,2,2,1,7.45408,9.219,
A,64,64,128,2,4,1,7.48159,9.185,
A,64,64,128,2,8,1,7.46891,9.201,
A,64,64,128,4,2,1,7.45343,9.220,
A,64,64,128,4,4,1,7.40314,9.282,
A,64,64,128,4,8,1,7.42088,9.260,
A,64,64,128,8,2,1,7.56942,9.079,
A,64,64,128,8,4,1,7.50474,9.157,
A,64,64,128,8,8,1,7.45827,9.214,
A,64,128,32,2,2,1,3.30205,20.811,
A,64,128,32,2,4,1,3.29160,20.877,
A,64,128,32,2,8,1,3.32388,20.674,
A,64,128,32,4,2,1,3.24408,21.183,
A,64,128,32,4,4,1,3.30499,20.793,
A,64,128,32,4,8,1,3.30638,20.784,
A,64,128,32,8,2,1,3.35725,20.469,
A,64,128,32,8,4,1,3.34974,20.515,
A,64,128,32,8,8,1,3.35843,20.462,
A,64,128,64,2,2,1,3.90516,17.597,
A,64,128,64,2,4,1,3.98795,17.232,
A,64,128,64,2,8,1,4.02032,17.093,
A,64,128,64,4,2,1,3.99568,17.198,
A,64,128,64,4,4,1,4.03479,17.032,
A,64,128,64,4,8,1,4.03971,17.011,
A,64,128,64,8,2,1,4.34857,15.803,
A,64,128,64,8,4,1,4.17493,16.460,
A,64,128,64,8,8,1,4.06928,16.887,
A,64,128,128,2,2,1,6.40651,10.727,
A,64,128,128,2,4,1,6.41276,10.716,
A,64,128,128,2,8,1,6.39834,10.740,
A,64,128,128,4,2,1,6.36550,10.796,
A,64,128,128,4,4,1,6.38417,10.764,
A,64,128,128,4,8,1,6.40099,10.736,
A,64,128,128,8,2,1,6.37958,10.772,
A,64,128,128,8,4,1,6.39934,10.739,
A,64,128,128,8,8,1,6.39559,10.745,
A,64,256,32,2,2,1,3.23019,21.274,
A,64,256,32,2,4,1,3.19499,21.509,
A,64,256,32,2,8,1,3.19967,21.477,
A,64,256,32,4,2,1,3.03785,22.621,
A,64,256,32,4,4,1,3.08274,22.292,
A,64,256,32,4,8,1,3.06987,22.385,
A,64,256,32,8,2,1,3.30479,20.794,
A,64,256,32,8,4,1,3.10497,22.132,
A,64,256,32,8,8,1,3.06605,22.413,
A,64,256,64,2,2,1,3.62707,18.946,
A,64,256,64,2,4,1,3.67833,18.682,
A,64,256,64,2,8,1,3.67243,18.712,
A,64,256,64,4,2,1,3.60148,19.081,
A,64,256,64,4,4,1,3.61616,19.003,
A,64,256,64,4,8,1,3.66405,18.755,
A,64,256,64,8,2,1,3.79715,18.098,
A,64,256,64,8,4,1,3.66101,18.771,
A,64,256,64,8,8,1,3.67014,18.724,
A,128,64,32,2,2,1,3.21617,21.367,
A,128,64,32,2,4,1,3.16600,21.705,
A,128,64,32,2,8,1,3.22382,21.316,
A,128,64,32,4,2,1,3.45446,19.893,
A,128,64,32,4,4,1,3.42284,20.077,
A,128,64,32,4,8,1,3.30261,20.808,
A,128,64,32,8,2,1,3.72928,18.427,
A,128,64,32,8,4,1,3.45373,19.897,
A,128,64,32,8,8,1,3.27814,20.963,
A,128,64,64,2,2,1,4.33779,15.842,
A,128,64,64,2,4,1,4.33642,15.847,
A,128,64,64,2,8,1,4.41555,15.563,
A,128,64,64,4,2,1,4.30633,15.958,
A,128,64,64,4,4,1,4.35921,15.764,
A,128,64,64,4,8,1,4.40954,15.584,
A,128,64,64,8,2,1,4.65318,14.768,
A,128,64,64,8,4,1,4.38530,15.670,
A,128,64,64,8,8,1,4.38586,15.668,
A,128,64,128,2,2,1,6.87861,9.990,
A,128,64,128,2,4,1,6.83830,10.049,
A,128,64,128,2,8,1,6.87449,9.996,
A,128,64,128,4,2,1,6.92429,9.924,
A,128,64,128,4,4,1,6.91527,9.937,
A,128,64,128,4,8,1,6.90102,9.958,
A,128,64,128,8,2,1,7.01331,9.798,
A,128,64,128,8,4,1,6.89200,9.971,
A,128,64,128,8,8,1,6.91463,9.938,
A,128,128,32,2,2,1,3.23808,21.222,
A,128,128,32,2,4,1,3.27694,20.971,
A,128,128,32,2,8,1,3.19952,21.478,
A,128,128,32,4,2,1,3.29067,20.883,
A,128,128,32,4,4,1,3.29736,20.841,
A,128,128,32,4,8,1,3.15257,21.798,
A,128,128,32,8,2,1,3.55389,19.336,
A,128,128,32,8,4,1,3.32425,20.672,
A,128,128,32,8,8,1,3.36913,20.397,
A,128,128,64,2,2,1,3.67062,18.721,
A,128,128,64,2,4,1,3.66140,18.769,
A,128,128,64,2,8,1,3.66904,18.730,
A,128,128,64,4,2,1,3.84959,17.851,
A,128,128,64,4,4,1,3.85721,17.816,
A,128,128,64,4,8,1,3.68930,18.627,
A,128,128,64,8,2,1,4.22031,16.283,
A,128,128,64,8,4,1,3.83251,17.931,
A,128,128,64,8,8,1,3.72466,18.450,
A,128,256,32,2,2,1,7.62209,9.016,
A,128,256,32,2,4,1,7.59427,9.049,
A,128,256,32,2,8,1,7.64475,8.989,
A,128,256,32,4,2,1,7.64456,8.989,
A,128,256,32,4,4,1,7.61839,9.020,
A,128,256,32,4,8,1,7.61166,9.028,
A,128,256,32,8,2,1,7.58660,9.058,
A,128,256,32,8,4,1,7.53173,9.124,
A,128,256,32,8,8,1,7.56716,9.081,
A,128,256,64,2,2,1,46.04585,1.492,
A,128,256,64,2,4,1,46.34204,1.483,
A,128,256,64,2,8,1,45.78989,1.501,
A,128,256,64,4,2,1,46.07197,1.492,
A,128,256,64,4,4,1,46.21018,1.487,
A,128,256,64,4,8,1,45.78548,1.501,
A,128,256,64,8,2,1,45.79346,1.501,
A,128,256,64,8,4,1,46.19968,1.487,
A,128,256,64,8,8,1,45.80466,1.500,
A,256,64,32,2,2,1,3.32860,20.645,
A,256,64,32,2,4,1,3.34689,20.532,
A,256,64,32,2,8,1,3.29996,20.824,
A,256,64,32,4,2,1,3.49609,19.656,
A,256,64,32,4,4,1,3.49358,19.670,
A,256,64,32,4,8,1,3.32014,20.698,
A,256,64,32,8,2,1,3.50901,19.584,
A,256,64,32,8,4,1,3.31258,20.745,
A,256,64,32,8,8,1,3.27680,20.972,
A,256,64,64,2,2,1,3.76860,18.235,
A,256,64,64,2,4,1,3.79439,18.111,
A,256,64,64,2,8,1,3.82577,17.962,
A,256,64,64,4,2,1,4.02874,17.057,
A,256,64,64,4,4,1,4.08424,16.826,
A,256,64,64,4,8,1,3.77479,18.205,
A,256,64,64,8,2,1,4.17275,16.469,
A,256,64,64,8,4,1,3.76679,18.244,
A,256,64,64,8,8,1,3.71434,18.501,
A,256,128,32,2,2,1,8.70956,7.890,
A,256,128,32,2,4,1,8.65582,7.939,
A,256,128,32,2,8,1,8.66922,7.927,
A,256,128,32,4,2,1,8.64767,7.947,
A,256,128,32,4,4,1,8.68761,7.910,
A,256,128,32,4,8,1,8.66296,7.933,
A,256,128,32,8,2,1,8.69123,7.907,
A,256,128,32,8,4,1,8.73056,7.871,
A,256,128,32,8,8,1,8.66954,7.927,
A,256,128,64,2,2,1,34.89046,1.970,
A,256,128,64,2,4,1,34.86303,1.971,
A,256,128,64,2,8,1,34.95916,1.966,
A,256,128,64,4,2,1,35.24372,1.950,
A,256,128,64,4,4,1,35.05861,1.960,
A,256,128,64,4,8,1,35.42542,1.940,
A,256,128,64,8,2,1,35.06577,1.960,
A,256,128,64,8,4,1,34.83942,1.972,
A,256,128,64,8,8,1,34.85733,1.971,
