variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,0.99046,34.691,
A,64,64,32,2,4,1,0.97431,35.266,
A,64,64,32,2,8,1,0.98947,34.725,
A,64,64,32,4,2,1,0.96993,35.425,
A,64,64,32,4,4,1,0.96977,35.431,
A,64,64,32,4,8,1,0.97473,35.250,
A,64,64,32,8,2,1,0.99895,34.396,
A,64,64,32,8,4,1,0.95301,36.054,
A,64,64,32,8,8,1,1.00189,34.295,
A,64,64,64,2,2,1,0.94389,36.402,
A,64,64,64,2,4,1,0.94302,36.436,
A,64,64,64,2,8,1,0.95119,36.123,
A,64,64,64,4,2,1,0.92986,36.952,
A,64,64,64,4,4,1,0.91065,37.731,
A,64,64,64,4,8,1,0.93285,36.833,
A,64,64,64,8,2,1,0.92720,37.058,
A,64,64,64,8,4,1,0.90530,37.954,
A,64,64,64,8,8,1,0.91615,37.505,
A,64,64,128,2,2,1,1.02728,33.447,
A,64,64,128,2,4,1,1.00811,34.083,
A,64,64,128,2,8,1,1.00887,34.058,
A,64,64,128,4,2,1,0.99779,34.436,
A,64,64,128,4,4,1,0.97400,35.277,
A,64,64,128,4,8,1,0.99454,34.548,
A,64,64,128,8,2,1,1.00121,34.318,
A,64,64,128,8,4,1,0.95044,36.151,
A,64,64,128,8,8,1,0.96709,35.529,
A,64,128,32,2,2,1,0.87979,39.054,
A,64,128,32,2,4,1,0.86556,39.697,
A,64,128,32,2,8,1,0.87755,39.154,
A,64,128,32,4,2,1,0.84192,40.811,
A,64,128,32,4,4,1,0.84051,40.880,
A,64,128,32,4,8,1,0.87213,39.398,
A,64,128,32,8,2,1,0.81855,41.976,
A,64,128,32,8,4,1,0.85622,40.129,
A,64,128,32,8,8,1,0.87890,39.094,
A,64,128,64,2,2,1,0.90550,37.946,
A,64,128,64,2,4,1,0.91472,37.563,
A,64,128,64,2,8,1,0.90092,38.138,
A,64,128,64,4,2,1,0.86441,39.749,
A,64,128,64,4,4,1,0.87410,39.309,
A,64,128,64,4,8,1,0.91108,37.713,
A,64,128,64,8,2,1,0.84694,40.570,
A,64,128,64,8,4,1,0.86380,39.777,
A,64,128,64,8,8,1,0.91055,37.735,
A,64,128,128,2,2,1,0.88869,38.663,
A,64,128,128,2,4,1,0.86226,39.848,
A,64,128,128,2,8,1,0.89101,38.563,
A,64,128,128,4,2,1,0.88817,38.686,
A,64,128,128,4,4,1,0.87579,39.233,
A,64,128,128,4,8,1,0.88233,38.942,
A,64,128,128,8,2,1,0.86449,39.746,
A,64,128,128,8,4,1,0.84298,40.760,
A,64,128,128,8,8,1,0.88987,38.612,
A,64,256,32,2,2,1,0.83890,40.958,
A,64,256,32,2,4,1,0.85179,40.338,
A,64,256,32,2,8,1,1.51710,22.648,
A,64,256,32,4,2,1,0.85386,40.240,
