variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,0.68982,26.094,
A,64,64,32,2,4,1,0.69167,26.024,
A,64,64,32,2,8,1,0.69858,25.767,
A,64,64,32,4,2,1,0.65621,27.430,
A,64,64,32,4,4,1,0.66439,27.093,
A,64,64,32,4,8,1,0.66673,26.997,
A,64,64,32,8,2,1,0.65335,27.550,
A,64,64,32,8,4,1,0.63932,28.155,
A,64,64,32,8,8,1,0.64767,27.792,
A,64,64,64,2,2,1,0.57632,31.232,
A,64,64,64,2,4,1,0.60467,29.768,
A,64,64,64,2,8,1,0.57131,31.507,
A,64,64,64,4,2,1,0.56182,32.039,
A,64,64,64,4,4,1,0.55768,32.277,
A,64,64,64,4,8,1,0.55185,32.618,
A,64,64,64,8,2,1,0.54922,32.774,
A,64,64,64,8,4,1,0.53858,33.421,
A,64,64,64,8,8,1,0.53683,33.530,
A,64,64,128,2,2,1,0.60918,29.548,
A,64,64,128,2,4,1,0.61009,29.504,
A,64,64,128,2,8,1,0.60460,29.772,
A,64,64,128,4,2,1,0.60032,29.984,
A,64,64,128,4,4,1,0.58513,30.762,
A,64,64,128,4,8,1,0.58685,30.672,
A,64,64,128,8,2,1,0.59012,30.502,
A,64,64,128,8,4,1,0.55472,32.449,
A,64,64,128,8,8,1,0.56760,31.712,
A,64,128,32,2,2,1,0.54970,32.745,
A,64,128,32,2,4,1,0.56090,32.091,
A,64,128,32,2,8,1,0.54060,33.296,
A,64,128,32,4,2,1,0.51984,34.626,
A,64,128,32,4,4,1,0.51819,34.736,
A,64,128,32,4,8,1,0.52036,34.591,
A,64,128,32,8,2,1,0.50751,35.468,
A,64,128,32,8,4,1,0.50678,35.518,
A,64,128,32,8,8,1,0.49809,36.138,
A,64,128,64,2,2,1,0.56375,31.929,
A,64,128,64,2,4,1,0.55957,32.168,
A,64,128,64,2,8,1,0.55614,32.366,
A,64,128,64,4,2,1,0.53028,33.944,
A,64,128,64,4,4,1,0.51305,35.085,
A,64,128,64,4,8,1,0.50983,35.306,
A,64,128,64,8,2,1,0.50279,35.800,
A,64,128,64,8,4,1,0.48238,37.315,
A,64,128,64,8,8,1,0.49640,36.261,
A,64,128,128,2,2,1,0.55277,32.563,
A,64,128,128,2,4,1,0.55632,32.356,
A,64,128,128,2,8,1,0.54923,32.773,
A,64,128,128,4,2,1,0.53559,33.608,
A,64,128,128,4,4,1,0.53354,33.737,
A,64,128,128,4,8,1,0.53440,33.682,
A,64,128,128,8,2,1,0.50309,35.779,
A,64,128,128,8,4,1,0.50930,35.342,
A,64,128,128,8,8,1,0.51274,35.106,
A,64,256,32,2,2,1,0.49901,36.071,
A,64,256,32,2,4,1,0.51626,34.866,
A,64,256,32,2,8,1,0.61592,29.225,
