variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,5.32394,25.815,
A,64,64,32,2,4,1,5.36729,25.607,
A,64,64,32,2,8,1,5.37359,25.577,
A,64,64,32,4,2,1,3.44075,39.945,
A,64,64,32,4,4,1,3.41678,40.225,
A,64,64,32,4,8,1,3.42835,40.089,
A,64,64,32,8,2,1,3.04292,45.167,
A,64,64,32,8,4,1,2.85383,48.160,
A,64,64,32,8,8,1,3.04359,45.157,
A,64,64,64,2,2,1,5.62928,24.415,
A,64,64,64,2,4,1,5.56534,24.696,
A,64,64,64,2,8,1,5.61816,24.463,
A,64,64,64,4,2,1,3.29521,41.709,
A,64,64,64,4,4,1,3.27864,41.920,
A,64,64,64,4,8,1,3.45400,39.791,
A,64,64,64,8,2,1,2.60968,52.665,
A,64,64,64,8,4,1,2.63360,52.187,
A,64,64,64,8,8,1,2.58460,53.176,
A,64,64,128,2,2,1,5.52422,24.879,
A,64,64,128,2,4,1,5.50170,24.981,
A,64,64,128,2,8,1,5.65971,24.284,
A,64,64,128,4,2,1,3.72483,36.898,
A,64,64,128,4,4,1,3.66817,37.468,
A,64,64,128,4,8,1,3.55176,38.696,
A,64,64,128,8,2,1,3.44206,39.929,
A,64,64,128,8,4,1,3.08866,44.498,
A,64,64,128,8,8,1,2.87606,47.787,
A,64,128,32,2,2,1,4.82591,28.479,
A,64,128,32,2,4,1,4.89134,28.098,
A,64,128,32,2,8,1,4.79515,28.662,
A,64,128,32,4,2,1,2.96191,46.402,
A,64,128,32,4,4,1,2.98512,46.041,
A,64,128,32,4,8,1,3.01718,45.552,
A,64,128,32,8,2,1,2.56319,53.620,
A,64,128,32,8,4,1,2.53641,54.186,
A,64,128,32,8,8,1,2.57311,53.414,
A,64,128,64,2,2,1,5.33472,25.763,
A,64,128,64,2,4,1,5.39288,25.485,
A,64,128,64,2,8,1,5.07465,27.083,
A,64,128,64,4,2,1,3.33998,41.150,
A,64,128,64,4,4,1,3.36631,40.828,
A,64,128,64,4,8,1,3.22524,42.614,
A,64,128,64,8,2,1,2.67397,51.399,
A,64,128,64,8,4,1,2.60281,52.804,
A,64,128,64,8,8,1,2.59908,52.880,
A,64,128,128,2,2,1,5.15222,26.676,
A,64,128,128,2,4,1,5.21489,26.355,
A,64,128,128,2,8,1,4.90232,28.035,
A,64,128,128,4,2,1,3.11332,44.146,
A,64,128,128,4,4,1,3.20042,42.944,
A,64,128,128,4,8,1,2.94183,46.719,
A,64,128,128,8,2,1,2.52748,54.378,
A,64,128,128,8,4,1,2.51350,54.680,
A,64,128,128,8,8,1,2.49704,55.041,
A,64,256,32,2,2,1,4.03389,34.071,
A,64,256,32,2,4,1,4.02031,34.186,
A,64,256,32,2,8,1,4.09609,33.554,
A,64,256,32,4,2,1,3.36927,40.792,
A,64,256,32,4,4,1,3.35699,40.941,
A,64,256,32,4,8,1,4.11895,33.367,
A,64,256,32,8,2,1,2.62707,52.316,
A,64,256,32,8,4,1,2.56838,53.512,
A,64,256,32,8,8,1,3.32145,41.379,
A,64,256,64,2,2,1,3.72881,36.859,
A,64,256,64,2,4,1,3.71808,36.965,
A,64,256,64,2,8,1,3.62496,37.915,
A,64,256,64,4,2,1,3.12828,43.934,
A,64,256,64,4,4,1,3.07264,44.730,
A,64,256,64,4,8,1,3.72606,36.886,
A,64,256,64,8,2,1,2.34286,58.663,
A,64,256,64,8,4,1,2.35046,58.473,
A,64,256,64,8,8,1,3.01556,45.577,
A,128,64,32,2,2,1,3.15043,43.625,
A,128,64,32,2,4,1,3.17217,43.326,
A,128,64,32,2,8,1,3.20523,42.880,
A,128,64,32,4,2,1,2.63493,52.160,
