variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,1.47802,46.494,
A,64,64,32,2,4,1,1.45941,47.087,
A,64,64,32,2,8,1,1.46684,46.849,
A,64,64,32,4,2,1,1.46448,46.924,
A,64,64,32,4,4,1,1.45540,47.217,
A,64,64,32,4,8,1,1.45284,47.300,
A,64,64,32,8,2,1,1.48751,46.198,
A,64,64,32,8,4,1,1.47810,46.492,
A,64,64,32,8,8,1,1.45793,47.135,
A,64,64,64,2,2,1,1.27074,54.078,
A,64,64,64,2,4,1,1.27576,53.865,
A,64,64,64,2,8,1,1.29033,53.257,
A,64,64,64,4,2,1,1.25357,54.819,
A,64,64,64,4,4,1,1.28502,53.477,
A,64,64,64,4,8,1,1.26020,54.530,
A,64,64,64,8,2,1,1.28166,53.617,
A,64,64,64,8,4,1,1.27651,53.834,
A,64,64,64,8,8,1,1.25951,54.560,
A,64,64,128,2,2,1,1.40930,48.761,
A,64,64,128,2,4,1,1.42430,48.248,
A,64,64,128,2,8,1,1.42692,48.159,
A,64,64,128,4,2,1,1.40881,48.778,
A,64,64,128,4,4,1,1.41532,48.554,
A,64,64,128,4,8,1,1.41614,48.526,
A,64,64,128,8,2,1,1.42187,48.330,
A,64,64,128,8,4,1,1.42608,48.188,
A,64,64,128,8,8,1,1.44360,47.603,
A,64,128,32,2,2,1,1.25599,54.713,
A,64,128,32,2,4,1,1.27205,54.023,
A,64,128,32,2,8,1,1.23315,55.727,
A,64,128,32,4,2,1,1.25411,54.795,
A,64,128,32,4,4,1,1.24537,55.180,
A,64,128,32,4,8,1,1.27117,54.060,
A,64,128,32,8,2,1,1.23445,55.668,
A,64,128,32,8,4,1,1.25436,54.784,
A,64,128,32,8,8,1,1.27690,53.817,
A,64,128,64,2,2,1,1.37297,50.052,
A,64,128,64,2,4,1,1.39805,49.154,
A,64,128,64,2,8,1,1.38600,49.581,
A,64,128,64,4,2,1,1.25743,54.651,
A,64,128,64,4,4,1,1.27557,53.873,
A,64,128,64,4,8,1,1.40741,48.827,
A,64,128,64,8,2,1,1.22263,56.206,
A,64,128,64,8,4,1,1.25289,54.849,
A,64,128,64,8,8,1,1.40005,49.084,
