name,einsum,tiles,order0,order1,order2,order3,best_order,gain
a05,"cmk,ckn->cmn",128/128/64 8x8,64.336,65.828,66.597,62.042,2,1.0351
square_1b,"cmk,ckn->cmn",128/128/64 8x8,60.806,62.402,64.604,59.603,2,1.0624
tall,"cmk,ckn->cmn",128/128/64 8x8,63.004,60.997,63.015,59.639,2,1.0002
wide,"cmk,ckn->cmn",128/128/64 8x8,57.997,59.226,57.479,61.805,3,1.0657
small_k,"cmk,ckn->cmn",128/128/64 8x8,35.072,31.422,33.545,34.742,0,1.0000
large_k,"cmk,ckn->cmn",128/128/64 8x8,43.066,44.189,43.595,42.930,1,1.0261
krumm,"cmk,ckn->cmn",128/128/64 8x8,31.868,29.831,32.724,31.844,2,1.0269
batch16,"cmk,ckn->cmn",128/128/64 8x8,43.257,43.354,42.772,41.511,1,1.0022
a06,"acspx,bspy->abcyx",128/128/64 8x8,26.880,26.750,26.897,26.725,2,1.0006
a06_square,"acspx,bspy->abcyx",128/128/64 8x8,58.588,59.117,58.984,58.861,1,1.0090
a06_tall,"acspx,bspy->abcyx",128/128/64 8x8,31.254,30.921,30.798,30.732,0,1.0000
a06_wide,"acspx,bspy->abcyx",128/128/64 8x8,30.445,30.429,30.578,30.274,2,1.0044
a06_small_k,"acspx,bspy->abcyx",128/128/64 8x8,18.470,16.281,18.496,18.063,2,1.0014
a06_large_k,"acspx,bspy->abcyx",128/128/64 8x8,62.999,65.807,62.572,66.541,3,1.0562
a06_krumm,"acspx,bspy->abcyx",128/128/64 8x8,14.307,16.115,12.571,15.996,1,1.1264
a06_batch,"acspx,bspy->abcyx",128/128/64 8x8,56.829,55.810,57.158,56.228,2,1.0058
