variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,21.22016,25.907,
A,64,64,32,2,4,1,21.45590,25.623,
A,64,64,32,2,8,1,21.26004,25.859,
A,64,64,32,4,2,1,14.67523,37.461,
A,64,64,32,4,4,1,14.37071,38.255,
A,64,64,32,4,8,1,14.32411,38.380,
A,64,64,32,8,2,1,12.28361,44.755,
A,64,64,32,8,4,1,12.15234,45.239,
A,64,64,32,8,8,1,12.03216,45.691,
A,64,64,64,2,2,1,20.68283,26.580,
A,64,64,64,2,4,1,20.38119,26.974,
A,64,64,64,2,8,1,20.46854,26.859,
A,64,64,64,4,2,1,13.24809,41.497,
A,64,64,64,4,4,1,13.13554,41.853,
A,64,64,64,4,8,1,13.15523,41.790,
A,64,64,64,8,2,1,10.78426,50.978,
A,64,64,64,8,4,1,10.56945,52.014,
A,64,64,64,8,8,1,10.47619,52.477,
A,64,64,128,2,2,1,21.62366,25.424,
A,64,64,128,2,4,1,21.08049,26.079,
A,64,64,128,2,8,1,21.46918,25.607,
A,64,64,128,4,2,1,15.36044,35.790,
A,64,64,128,4,4,1,15.53131,35.397,
A,64,64,128,4,8,1,14.37252,38.250,
A,64,64,128,8,2,1,14.03935,39.158,
A,64,64,128,8,4,1,12.48987,44.016,
A,64,64,128,8,8,1,11.78774,46.638,
A,64,128,32,2,2,1,19.15106,28.706,
A,64,128,32,2,4,1,19.23466,28.582,
A,64,128,32,2,8,1,19.20068,28.632,
A,64,128,32,4,2,1,12.32375,44.609,
A,64,128,32,4,4,1,12.69127,43.318,
A,64,128,32,4,8,1,12.82320,42.872,
A,64,128,32,8,2,1,10.24517,53.660,
A,64,128,32,8,4,1,10.10441,54.408,
A,64,128,32,8,8,1,10.78757,50.962,
A,64,128,64,2,2,1,20.44005,26.896,
A,64,128,64,2,4,1,20.56713,26.730,
A,64,128,64,2,8,1,19.98457,27.509,
A,64,128,64,4,2,1,14.18692,38.751,
A,64,128,64,4,4,1,13.99356,39.286,
A,64,128,64,4,8,1,13.83626,39.733,
A,64,128,64,8,2,1,11.87013,46.314,
A,64,128,64,8,4,1,11.01895,49.892,
A,64,128,64,8,8,1,11.57471,47.496,
A,64,128,128,2,2,1,19.53527,28.142,
A,64,128,128,2,4,1,19.40223,28.335,
A,64,128,128,2,8,1,19.15621,28.699,
A,64,128,128,4,2,1,12.54490,43.823,
A,64,128,128,4,4,1,12.67806,43.363,
A,64,128,128,4,8,1,12.18474,45.118,
A,64,128,128,8,2,1,9.77071,56.266,
A,64,128,128,8,4,1,9.97237,55.128,
A,64,128,128,8,8,1,9.93031,55.361,
A,64,256,32,2,2,1,16.81836,32.688,
A,64,256,32,2,4,1,16.97284,32.390,
A,64,256,32,2,8,1,17.23460,31.898,
A,64,256,32,4,2,1,13.20876,41.621,
A,64,256,32,4,4,1,13.57286,40.504,
A,64,256,32,4,8,1,16.45755,33.404,
A,64,256,32,8,2,1,11.13902,49.354,
A,64,256,32,8,4,1,11.26144,48.818,
A,64,256,32,8,8,1,14.02106,39.209,
A,64,256,64,2,2,1,15.78697,34.823,
A,64,256,64,2,4,1,15.40492,35.687,
A,64,256,64,2,8,1,15.51850,35.426,
A,64,256,64,4,2,1,12.16380,45.196,
A,64,256,64,4,4,1,12.14049,45.283,
A,64,256,64,4,8,1,14.80110,37.143,
A,64,256,64,8,2,1,9.34933,58.802,
A,64,256,64,8,4,1,9.47385,58.029,
A,64,256,64,8,8,1,11.86564,46.332,
A,128,64,32,2,2,1,13.45289,40.865,
A,128,64,32,2,4,1,13.41861,40.970,
A,128,64,32,2,8,1,13.46045,40.842,
A,128,64,32,4,2,1,10.58253,51.949,
A,128,64,32,4,4,1,10.72137,51.277,
A,128,64,32,4,8,1,10.59948,51.866,
A,128,64,32,8,2,1,10.27896,53.484,
A,128,64,32,8,4,1,10.05793,54.659,
A,128,64,32,8,8,1,10.13232,54.258,
A,128,64,64,2,2,1,15.21246,36.139,
A,128,64,64,2,4,1,15.52838,35.403,
A,128,64,64,2,8,1,15.23265,36.091,
A,128,64,64,4,2,1,12.95451,42.437,
A,128,64,64,4,4,1,12.69694,43.298,
A,128,64,64,4,8,1,12.79964,42.951,
A,128,64,64,8,2,1,12.04702,45.634,
A,128,64,64,8,4,1,11.81361,46.536,
A,128,64,64,8,8,1,12.63149,43.523,
A,128,64,128,2,2,1,12.63920,43.496,
A,128,64,128,2,4,1,12.37649,44.419,
A,128,64,128,2,8,1,12.78589,42.997,
A,128,64,128,4,2,1,10.19775,53.910,
A,128,64,128,4,4,1,10.14195,54.206,
A,128,64,128,4,8,1,9.99075,55.026,
A,128,64,128,8,2,1,9.83040,55.924,
A,128,64,128,8,4,1,9.61816,57.158,
A,128,64,128,8,8,1,9.58291,57.368,
A,128,128,32,2,2,1,18.62468,29.518,
A,128,128,32,2,4,1,18.56296,29.616,
A,128,128,32,2,8,1,18.51501,29.692,
A,128,128,32,4,2,1,12.62288,43.552,
A,128,128,32,4,4,1,12.64851,43.464,
A,128,128,32,4,8,1,14.96870,36.727,
A,128,128,32,8,2,1,10.69413,51.407,
A,128,128,32,8,4,1,11.15433,49.286,
A,128,128,32,8,8,1,12.99792,42.296,
A,128,128,64,2,2,1,12.35544,44.495,
A,128,128,64,2,4,1,12.46277,44.112,
A,128,128,64,2,8,1,12.30730,44.669,
