variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,42.42905,25.914,
A,64,64,32,2,4,1,41.45553,26.523,
A,64,64,32,2,8,1,41.86259,26.265,
A,64,64,32,4,2,1,30.44762,36.112,
A,64,64,32,4,4,1,29.73241,36.980,
A,64,64,32,4,8,1,30.05155,36.588,
A,64,64,32,8,2,1,28.36317,38.765,
A,64,64,32,8,4,1,28.04617,39.204,
A,64,64,32,8,8,1,27.88173,39.435,
A,64,64,64,2,2,1,41.46225,26.518,
A,64,64,64,2,4,1,40.88312,26.894,
A,64,64,64,2,8,1,41.18802,26.695,
A,64,64,64,4,2,1,28.24815,38.923,
A,64,64,64,4,4,1,27.93429,39.361,
A,64,64,64,4,8,1,28.33981,38.797,
A,64,64,64,8,2,1,27.02846,40.680,
A,64,64,64,8,4,1,26.88330,40.899,
A,64,64,64,8,8,1,26.53131,41.442,
A,64,64,128,2,2,1,51.13680,21.501,
A,64,64,128,2,4,1,51.06939,21.530,
A,64,64,128,2,8,1,49.60571,22.165,
A,64,64,128,4,2,1,47.91207,22.949,
A,64,64,128,4,4,1,47.45076,23.172,
A,64,64,128,4,8,1,47.40290,23.195,
A,64,64,128,8,2,1,46.95235,23.418,
A,64,64,128,8,4,1,47.32967,23.231,
A,64,64,128,8,8,1,46.28111,23.757,
A,64,128,32,2,2,1,41.41178,26.551,
A,64,128,32,2,4,1,42.36000,25.956,
A,64,128,32,2,8,1,42.10202,26.115,
A,64,128,32,4,2,1,27.01346,40.702,
A,64,128,32,4,4,1,28.11538,39.107,
A,64,128,32,4,8,1,27.69089,39.707,
A,64,128,32,8,2,1,22.85896,48.100,
A,64,128,32,8,4,1,21.68954,50.693,
A,64,128,32,8,8,1,21.16014,51.961,
A,64,128,64,2,2,1,40.96043,26.843,
A,64,128,64,2,4,1,40.86289,26.907,
A,64,128,64,2,8,1,42.74197,25.724,
A,64,128,64,4,2,1,28.23876,38.936,
A,64,128,64,4,4,1,28.51520,38.559,
A,64,128,64,4,8,1,27.77504,39.586,
A,64,128,64,8,2,1,24.79389,44.346,
A,64,128,64,8,4,1,23.82036,46.158,
A,64,128,64,8,8,1,22.72568,48.382,
A,64,128,128,2,2,1,43.21266,25.444,
A,64,128,128,2,4,1,43.71906,25.149,
A,64,128,128,2,8,1,43.21350,25.444,
A,64,128,128,4,2,1,39.39237,27.912,
A,64,128,128,4,4,1,38.58481,28.496,
A,64,128,128,4,8,1,39.54706,27.803,
