variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,38.38516,3.241,
A,64,64,32,2,4,1,38.06651,3.268,
A,64,64,32,2,8,1,37.61821,3.307,
A,64,64,32,4,2,1,29.21380,4.259,
A,64,64,32,4,4,1,29.16772,4.266,
A,64,64,32,4,8,1,29.24861,4.254,
A,64,64,32,8,2,1,25.23393,4.931,
A,64,64,32,8,4,1,25.48384,4.882,
A,64,64,32,8,8,1,27.40609,4.540,
A,64,64,64,2,2,1,17.12146,7.267,
A,64,64,64,2,4,1,17.10724,7.273,
A,64,64,64,2,8,1,17.13241,7.262,
A,64,64,64,4,2,1,13.65185,9.113,
A,64,64,64,4,4,1,13.68919,9.089,
A,64,64,64,4,8,1,13.61917,9.135,
A,64,64,64,8,2,1,12.07402,10.304,
A,64,64,64,8,4,1,12.01559,10.355,
A,64,64,64,8,8,1,12.91899,9.630,
A,64,64,128,2,2,1,44.44510,2.799,
A,64,64,128,2,4,1,44.48274,2.797,
A,64,64,128,2,8,1,44.84240,2.775,
A,64,64,128,4,2,1,33.89269,3.671,
A,64,64,128,4,4,1,33.82302,3.678,
A,64,64,128,4,8,1,33.87544,3.673,
A,64,64,128,8,2,1,28.94912,4.298,
A,64,64,128,8,4,1,29.26074,4.252,
A,64,64,128,8,8,1,31.63028,3.933,
A,64,128,32,2,2,1,27.80921,4.474,
A,64,128,32,2,4,1,27.82298,4.472,
A,64,128,32,2,8,1,28.05041,4.435,
A,64,128,32,4,2,1,18.87537,6.591,
A,64,128,32,4,4,1,18.87318,6.592,
A,64,128,32,4,8,1,18.85681,6.598,
A,64,128,32,8,2,1,14.42690,8.624,
A,64,128,32,8,4,1,14.53249,8.561,
A,64,128,32,8,8,1,16.88797,7.367,
A,64,128,64,2,2,1,11.30437,11.006,
A,64,128,64,2,4,1,11.27047,11.039,
A,64,128,64,2,8,1,11.15354,11.155,
A,64,128,64,4,2,1,7.90332,15.742,
A,64,128,64,4,4,1,7.85877,15.831,
A,64,128,64,4,8,1,7.98684,15.578,
A,64,128,64,8,2,1,6.23027,19.970,
A,64,128,64,8,4,1,6.32670,19.665,
A,64,128,64,8,8,1,7.22227,17.227,
A,64,128,128,2,2,1,33.77512,3.684,
A,64,128,128,2,4,1,34.13498,3.645,
A,64,128,128,2,8,1,33.82592,3.678,
A,64,128,128,4,2,1,23.53084,5.287,
A,64,128,128,4,4,1,23.43990,5.308,
A,64,128,128,4,8,1,23.31411,5.337,
A,64,128,128,8,2,1,18.17422,6.846,
A,64,128,128,8,4,1,18.39019,6.765,
A,64,128,128,8,8,1,20.82752,5.974,
A,64,256,32,2,2,1,14.64105,8.498,
A,64,256,32,2,4,1,14.72607,8.449,
A,64,256,32,2,8,1,29.09430,4.276,
A,64,256,32,4,2,1,14.57270,8.538,
A,64,256,32,4,4,1,14.53926,8.557,
A,64,256,32,4,8,1,20.30747,6.127,
A,64,256,32,8,2,1,10.37197,11.995,
A,64,256,32,8,4,1,10.53607,11.809,
A,64,256,32,8,8,1,18.61573,6.683,
A,64,256,64,2,2,1,6.59346,18.870,
A,64,256,64,2,4,1,6.61913,18.796,
A,64,256,64,2,8,1,13.18831,9.434,
A,64,256,64,4,2,1,6.61934,18.796,
A,64,256,64,4,4,1,6.56999,18.937,
A,64,256,64,4,8,1,11.36482,10.947,
A,64,256,64,8,2,1,6.02054,20.665,
A,64,256,64,8,4,1,5.98990,20.771,
A,64,256,64,8,8,1,11.50140,10.817,
A,128,64,32,2,2,1,36.85450,3.376,
A,128,64,32,2,4,1,37.05993,3.357,
A,128,64,32,2,8,1,36.69103,3.391,
A,128,64,32,4,2,1,27.72660,4.487,
A,128,64,32,4,4,1,27.81415,4.473,
A,128,64,32,4,8,1,27.89674,4.460,
A,128,64,32,8,2,1,25.47925,4.883,
A,128,64,32,8,4,1,25.75265,4.831,
A,128,64,32,8,8,1,27.52370,4.520,
A,128,64,64,2,2,1,13.68159,9.094,
A,128,64,64,2,4,1,13.98490,8.896,
A,128,64,64,2,8,1,13.73848,9.056,
A,128,64,64,4,2,1,10.50695,11.841,
A,128,64,64,4,4,1,10.48804,11.863,
A,128,64,64,4,8,1,10.68727,11.642,
A,128,64,64,8,2,1,10.24098,12.149,
A,128,64,64,8,4,1,10.28847,12.093,
A,128,64,64,8,8,1,11.02413,11.286,
A,128,64,128,2,2,1,43.96435,2.830,
A,128,64,128,2,4,1,44.70523,2.783,
A,128,64,128,2,8,1,44.48427,2.797,
A,128,64,128,4,2,1,33.48304,3.716,
A,128,64,128,4,4,1,33.38519,3.727,
A,128,64,128,4,8,1,33.72493,3.689,
A,128,64,128,8,2,1,31.27218,3.978,
A,128,64,128,8,4,1,31.68420,3.927,
A,128,64,128,8,8,1,33.52344,3.711,
A,128,128,32,2,2,1,28.11507,4.425,
A,128,128,32,2,4,1,28.01934,4.440,
A,128,128,32,2,8,1,27.84034,4.469,
A,128,128,32,4,2,1,18.95362,6.564,
A,128,128,32,4,4,1,18.97730,6.556,
A,128,128,32,4,8,1,19.03520,6.536,
A,128,128,32,8,2,1,16.33373,7.617,
A,128,128,32,8,4,1,16.45385,7.562,
A,128,128,32,8,8,1,18.83762,6.605,
A,128,128,64,2,2,1,10.47658,11.876,
A,128,128,64,2,4,1,10.65642,11.675,
A,128,128,64,2,8,1,10.60541,11.731,
A,128,128,64,4,2,1,7.70985,16.137,
A,128,128,64,4,4,1,7.84086,15.868,
A,128,128,64,4,8,1,7.87140,15.806,
A,128,128,64,8,2,1,7.53715,16.507,
A,128,128,64,8,4,1,7.70711,16.143,
A,128,128,64,8,8,1,8.72100,14.266,
A,128,256,32,2,2,1,22.74490,5.470,
A,128,256,32,2,4,1,22.79264,5.459,
A,128,256,32,2,8,1,47.33543,2.628,
A,128,256,32,4,2,1,23.45529,5.304,
A,128,256,32,4,4,1,23.40641,5.315,
A,128,256,32,4,8,1,43.27158,2.875,
A,128,256,32,8,2,1,27.44912,4.533,
A,128,256,32,8,4,1,28.01901,4.440,
A,128,256,32,8,8,1,55.25572,2.252,
A,128,256,64,2,2,1,57.41284,2.167,
A,128,256,64,2,4,1,57.72182,2.155,
A,128,256,64,2,8,1,116.13081,1.071,
A,128,256,64,4,2,1,57.80686,2.152,
A,128,256,64,4,4,1,57.57952,2.161,
A,128,256,64,4,8,1,115.26147,1.079,
A,128,256,64,8,2,1,77.36936,1.608,
A,128,256,64,8,4,1,76.83582,1.619,
A,128,256,64,8,8,1,153.43105,0.811,
A,256,64,32,2,2,1,44.07678,2.823,
A,256,64,32,2,4,1,44.27049,2.810,
A,256,64,32,2,8,1,44.33171,2.806,
A,256,64,32,4,2,1,37.74232,3.296,
A,256,64,32,4,4,1,37.51577,3.316,
A,256,64,32,4,8,1,38.02269,3.272,
A,256,64,32,8,2,1,30.92095,4.024,
A,256,64,32,8,4,1,31.72739,3.921,
A,256,64,32,8,8,1,32.84577,3.788,
A,256,64,64,2,2,1,45.40384,2.740,
A,256,64,64,2,4,1,44.91873,2.770,
A,256,64,64,2,8,1,45.25762,2.749,
A,256,64,64,4,2,1,38.81603,3.205,
A,256,64,64,4,4,1,38.58119,3.225,
A,256,64,64,4,8,1,39.26393,3.169,
A,256,64,64,8,2,1,31.92601,3.897,
A,256,64,64,8,4,1,32.63050,3.813,
A,256,64,64,8,8,1,34.02110,3.657,
A,256,128,32,2,2,1,63.51940,1.959,
A,256,128,32,2,4,1,63.61015,1.956,
A,256,128,32,2,8,1,63.44187,1.961,
A,256,128,32,4,2,1,60.86042,2.044,
A,256,128,32,4,4,1,59.95008,2.075,
A,256,128,32,4,8,1,61.40896,2.026,
A,256,128,32,8,2,1,57.37782,2.168,
A,256,128,32,8,4,1,57.57645,2.161,
A,256,128,32,8,8,1,62.59951,1.987,
A,256,128,64,2,2,1,74.21291,1.676,
A,256,128,64,2,4,1,74.17702,1.677,
