variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,11.27532,24.379,
A,64,64,32,2,4,1,11.13400,24.688,
A,64,64,32,2,8,1,11.28637,24.355,
A,64,64,32,4,2,1,7.50453,36.628,
A,64,64,32,4,4,1,7.57847,36.271,
A,64,64,32,4,8,1,8.74273,31.441,
A,64,64,32,8,2,1,6.96584,39.461,
A,64,64,32,8,4,1,7.15597,38.412,
A,64,64,32,8,8,1,8.00458,34.340,
A,64,64,64,2,2,1,11.37615,24.163,
A,64,64,64,2,4,1,11.37224,24.171,
A,64,64,64,2,8,1,11.40348,24.105,
A,64,64,64,4,2,1,7.57039,36.310,
A,64,64,64,4,4,1,7.53958,36.458,
A,64,64,64,4,8,1,8.78339,31.295,
A,64,64,64,8,2,1,6.65496,41.304,
A,64,64,64,8,4,1,6.98061,39.377,
A,64,64,64,8,8,1,7.81326,35.181,
A,64,64,128,2,2,1,10.91283,25.189,
A,64,64,128,2,4,1,11.06547,24.841,
A,64,64,128,2,8,1,10.97771,25.040,
A,64,64,128,4,2,1,7.27478,37.785,
A,64,64,128,4,4,1,7.34950,37.401,
A,64,64,128,4,8,1,8.57924,32.040,
A,64,64,128,8,2,1,6.84070,40.183,
A,64,64,128,8,4,1,7.25814,37.872,
A,64,64,128,8,8,1,7.91996,34.707,
A,64,128,32,2,2,1,7.53693,36.471,
A,64,128,32,2,4,1,7.44573,36.918,
A,64,128,32,2,8,1,7.59410,36.196,
A,64,128,32,4,2,1,6.33391,43.398,
A,64,128,32,4,4,1,6.26657,43.864,
A,64,128,32,4,8,1,7.60637,36.138,
A,64,128,32,8,2,1,4.98286,55.165,
A,64,128,32,8,4,1,5.37860,51.106,
A,64,128,32,8,8,1,6.31542,43.525,
A,64,128,64,2,2,1,7.44130,36.939,
A,64,128,64,2,4,1,7.63614,35.997,
A,64,128,64,2,8,1,7.47082,36.794,
A,64,128,64,4,2,1,6.22546,44.154,
A,64,128,64,4,4,1,6.15581,44.653,
A,64,128,64,4,8,1,7.58636,36.233,
A,64,128,64,8,2,1,5.01579,54.803,
A,64,128,64,8,4,1,5.41377,50.774,
A,64,128,64,8,8,1,6.33121,43.416,
A,64,128,128,2,2,1,7.61959,36.075,
A,64,128,128,2,4,1,7.51222,36.591,
A,64,128,128,2,8,1,7.54526,36.431,
A,64,128,128,4,2,1,6.20522,44.298,
A,64,128,128,4,4,1,6.24050,44.047,
A,64,128,128,4,8,1,7.75764,35.433,
A,64,128,128,8,2,1,5.20551,52.805,
A,64,128,128,8,4,1,5.48434,50.120,
A,64,128,128,8,8,1,6.52498,42.127,
A,64,256,32,2,2,1,4.45678,61.676,
A,64,256,32,2,4,1,4.55405,60.359,
A,64,256,32,2,8,1,8.99735,30.551,
A,64,256,32,4,2,1,4.59840,59.777,
A,64,256,32,4,4,1,4.56380,60.230,
A,64,256,32,4,8,1,8.98675,30.587,
A,64,256,32,8,2,1,4.23402,64.921,
A,64,256,32,8,4,1,4.74752,57.899,
A,64,256,32,8,8,1,7.63521,36.001,
A,64,256,64,2,2,1,4.30806,63.805,
A,64,256,64,2,4,1,4.35368,63.137,
A,64,256,64,2,8,1,8.14380,33.753,
A,64,256,64,4,2,1,4.46665,61.540,
