variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,3.45448,19.893,
A,64,64,32,2,4,1,3.48243,19.733,
A,64,64,32,2,8,1,3.46260,19.846,
A,64,64,32,4,2,1,3.50277,19.619,
A,64,64,32,4,4,1,3.49520,19.661,
A,64,64,32,4,8,1,3.47865,19.755,
A,64,64,32,8,2,1,3.65449,18.804,
A,64,64,32,8,4,1,3.57199,19.238,
A,64,64,32,8,8,1,3.62871,18.938,
A,64,64,64,2,2,1,5.06212,13.575,
A,64,64,64,2,4,1,5.05001,13.608,
A,64,64,64,2,8,1,5.03774,13.641,
A,64,64,64,4,2,1,4.98629,13.782,
A,64,64,64,4,4,1,4.98913,13.774,
A,64,64,64,4,8,1,4.97484,13.813,
A,64,64,64,8,2,1,5.02205,13.684,
A,64,64,64,8,4,1,5.05163,13.603,
A,64,64,64,8,8,1,4.99041,13.770,
A,64,64,128,2,2,1,7.47292,9.196,
A,64,64,128,2,4,1,7.39229,9.296,
A,64,64,128,2,8,1,7.44421,9.231,
A,64,64,128,4,2,1,7.45602,9.217,
A,64,64,128,4,4,1,7.45182,9.222,
A,64,64,128,4,8,1,7.42647,9.253,
A,64,64,128,8,2,1,7.46906,9.201,
A,64,64,128,8,4,1,7.49383,9.170,
A,64,64,128,8,8,1,7.48284,9.184,
A,64,128,32,2,2,1,3.37464,20.364,
A,64,128,32,2,4,1,3.29569,20.851,
A,64,128,32,2,8,1,3.36164,20.442,
A,64,128,32,4,2,1,3.29748,20.840,
A,64,128,32,4,4,1,3.33732,20.591,
A,64,128,32,4,8,1,3.30915,20.767,
A,64,128,32,8,2,1,3.40736,20.168,
A,64,128,32,8,4,1,3.28877,20.895,
A,64,128,32,8,8,1,3.36510,20.421,
A,64,128,64,2,2,1,3.97610,17.283,
A,64,128,64,2,4,1,4.06076,16.923,
A,64,128,64,2,8,1,4.00427,17.162,
A,64,128,64,4,2,1,3.96209,17.344,
A,64,128,64,4,4,1,3.99774,17.190,
A,64,128,64,4,8,1,4.02812,17.060,
A,64,128,64,8,2,1,4.30775,15.953,
A,64,128,64,8,4,1,4.16132,16.514,
A,64,128,64,8,8,1,3.99057,17.220,
A,64,128,128,2,2,1,6.34745,10.826,
A,64,128,128,2,4,1,6.40683,10.726,
A,64,128,128,2,8,1,6.37972,10.772,
A,64,128,128,4,2,1,6.37530,10.779,
A,64,128,128,4,4,1,6.38616,10.761,
A,64,128,128,4,8,1,6.40875,10.723,
A,64,128,128,8,2,1,6.45154,10.652,
A,64,128,128,8,4,1,6.41036,10.720,
A,64,128,128,8,8,1,6.35663,10.811,
A,64,256,32,2,2,1,3.16229,21.731,
A,64,256,32,2,4,1,3.25759,21.095,
A,64,256,32,2,8,1,3.26136,21.071,
A,64,256,32,4,2,1,3.05553,22.490,
A,64,256,32,4,4,1,2.99749,22.926,
A,64,256,32,4,8,1,3.09936,22.172,
A,64,256,32,8,2,1,3.23688,21.230,
A,64,256,32,8,4,1,3.15090,21.809,
A,64,256,32,8,8,1,3.13218,21.940,
A,64,256,64,2,2,1,3.65404,18.806,
A,64,256,64,2,4,1,3.70134,18.566,
A,64,256,64,2,8,1,3.67509,18.699,
A,64,256,64,4,2,1,3.61128,19.029,
A,64,256,64,4,4,1,3.63661,18.897,
A,64,256,64,4,8,1,3.66144,18.768,
A,64,256,64,8,2,1,3.84110,17.891,
A,64,256,64,8,4,1,3.65183,18.818,
