variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,10.53245,26.098,
A,64,64,32,2,4,1,10.25340,26.808,
A,64,64,32,2,8,1,10.32733,26.617,
A,64,64,32,4,2,1,7.27147,37.802,
A,64,64,32,4,4,1,7.31345,37.585,
A,64,64,32,4,8,1,7.14766,38.457,
A,64,64,32,8,2,1,6.75272,40.706,
A,64,64,32,8,4,1,6.67069,41.207,
A,64,64,32,8,8,1,6.63583,41.423,
A,64,64,64,2,2,1,10.68883,25.716,
A,64,64,64,2,4,1,10.62036,25.882,
A,64,64,64,2,8,1,10.49750,26.185,
A,64,64,64,4,2,1,6.69432,41.061,
A,64,64,64,4,4,1,6.66209,41.260,
A,64,64,64,4,8,1,6.78287,40.525,
A,64,64,64,8,2,1,6.21005,44.263,
A,64,64,64,8,4,1,6.28144,43.760,
A,64,64,64,8,8,1,6.24910,43.987,
A,64,64,128,2,2,1,12.81752,21.445,
A,64,64,128,2,4,1,12.71997,21.610,
A,64,64,128,2,8,1,12.49557,21.998,
A,64,64,128,4,2,1,11.81411,23.267,
A,64,64,128,4,4,1,11.94702,23.008,
A,64,64,128,4,8,1,11.71907,23.456,
A,64,64,128,8,2,1,11.75840,23.377,
A,64,64,128,8,4,1,11.53552,23.829,
A,64,64,128,8,8,1,11.51332,23.875,
A,64,128,32,2,2,1,9.26932,29.655,
A,64,128,32,2,4,1,9.33306,29.452,
A,64,128,32,2,8,1,9.33551,29.444,
A,64,128,32,4,2,1,6.55968,41.904,
A,64,128,32,4,4,1,6.57572,41.802,
A,64,128,32,4,8,1,6.73309,40.825,
A,64,128,32,8,2,1,5.33603,51.514,
A,64,128,32,8,4,1,5.23816,52.476,
A,64,128,32,8,8,1,5.59065,49.167,
A,64,128,64,2,2,1,10.12946,27.136,
A,64,128,64,2,4,1,9.92961,27.683,
A,64,128,64,2,8,1,9.61129,28.599,
A,64,128,64,4,2,1,7.14808,38.455,
A,64,128,64,4,4,1,7.03346,39.081,
A,64,128,64,4,8,1,6.79234,40.469,
A,64,128,64,8,2,1,6.15907,44.630,
A,64,128,64,8,4,1,5.64951,48.655,
A,64,128,64,8,8,1,5.61952,48.915,
A,64,128,128,2,2,1,9.85901,27.881,
A,64,128,128,2,4,1,9.94017,27.653,
A,64,128,128,2,8,1,9.94115,27.651,
A,64,128,128,4,2,1,9.14410,30.061,
