variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,3.32161,41.377,
A,64,64,32,2,4,1,3.36273,40.871,
A,64,64,32,2,8,1,3.34745,41.058,
A,64,64,32,4,2,1,3.33152,41.254,
A,64,64,32,4,4,1,3.30200,41.623,
A,64,64,32,4,8,1,3.32650,41.316,
A,64,64,32,8,2,1,3.36929,40.792,
A,64,64,32,8,4,1,3.32778,41.300,
A,64,64,32,8,8,1,3.32915,41.284,
A,64,64,64,2,2,1,3.14993,43.632,
A,64,64,64,2,4,1,3.17222,43.326,
A,64,64,64,2,8,1,3.11678,44.096,
A,64,64,64,4,2,1,3.10390,44.279,
A,64,64,64,4,4,1,3.15168,43.608,
A,64,64,64,4,8,1,3.12466,43.985,
A,64,64,64,8,2,1,3.14199,43.743,
A,64,64,64,8,4,1,3.18980,43.087,
A,64,64,64,8,8,1,3.14784,43.661,
A,64,64,128,2,2,1,5.63425,24.393,
A,64,64,128,2,4,1,5.64315,24.355,
A,64,64,128,2,8,1,5.67011,24.239,
A,64,64,128,4,2,1,5.67517,24.218,
A,64,64,128,4,4,1,5.68740,24.166,
A,64,64,128,4,8,1,5.67336,24.225,
A,64,64,128,8,2,1,5.62180,24.447,
A,64,64,128,8,4,1,5.68035,24.196,
A,64,64,128,8,8,1,5.71927,24.031,
A,64,128,32,2,2,1,2.69914,50.920,
A,64,128,32,2,4,1,2.71424,50.636,
A,64,128,32,2,8,1,4.81458,28.546,
A,64,128,32,4,2,1,2.51675,54.610,
A,64,128,32,4,4,1,2.53851,54.142,
A,64,128,32,4,8,1,4.78132,28.745,
A,64,128,32,8,2,1,2.52519,54.427,
A,64,128,32,8,4,1,2.55352,53.823,
A,64,128,32,8,8,1,4.82295,28.497,
A,64,128,64,2,2,1,2.63250,52.209,
A,64,128,64,2,4,1,2.63462,52.167,
A,64,128,64,2,8,1,4.95392,27.743,
A,64,128,64,4,2,1,2.60150,52.831,
A,64,128,64,4,4,1,2.60044,52.852,
A,64,128,64,4,8,1,4.94636,27.786,
A,64,128,64,8,2,1,2.65189,51.827,
A,64,128,64,8,4,1,2.58607,53.146,
A,64,128,64,8,8,1,5.01913,27.383,
A,64,128,128,2,2,1,4.68869,29.313,
A,64,128,128,2,4,1,4.69879,29.250,
A,64,128,128,2,8,1,9.06484,15.162,
A,64,128,128,4,2,1,4.67677,29.388,
A,64,128,128,4,4,1,4.68551,29.333,
A,64,128,128,4,8,1,9.11198,15.083,
A,64,128,128,8,2,1,4.61565,29.777,
A,64,128,128,8,4,1,4.67268,29.413,
A,64,128,128,8,8,1,9.06801,15.156,
A,64,256,32,2,2,1,2.16382,63.517,
A,64,256,32,2,4,1,4.12105,33.350,
A,64,256,32,2,8,1,8.07792,17.014,
A,64,256,32,4,2,1,2.20334,62.378,
A,64,256,32,4,4,1,4.11448,33.404,
A,64,256,32,4,8,1,8.10413,16.959,
A,64,256,32,8,2,1,2.19520,62.609,
A,64,256,32,8,4,1,4.13940,33.203,
A,64,256,32,8,8,1,8.09404,16.980,
A,64,256,64,2,2,1,2.31562,59.353,
A,64,256,64,2,4,1,4.36783,31.466,
A,64,256,64,2,8,1,8.39239,16.377,
A,64,256,64,4,2,1,2.28333,60.192,
A,64,256,64,4,4,1,4.30135,31.952,
A,64,256,64,4,8,1,8.40574,16.351,
A,64,256,64,8,2,1,2.31770,59.300,
A,64,256,64,8,4,1,4.34892,31.603,
A,64,256,64,8,8,1,8.41507,16.332,
A,128,64,32,2,2,1,2.64153,52.030,
A,128,64,32,2,4,1,2.63873,52.085,
A,128,64,32,2,8,1,2.57523,53.369,
A,128,64,32,4,2,1,2.60681,52.723,
A,128,64,32,4,4,1,2.55913,53.705,
A,128,64,32,4,8,1,2.64004,52.059,
A,128,64,32,8,2,1,2.71371,50.646,
A,128,64,32,8,4,1,2.63175,52.223,
A,128,64,32,8,8,1,2.66806,51.513,
A,128,64,64,2,2,1,3.36900,40.795,
A,128,64,64,2,4,1,3.35118,41.012,
A,128,64,64,2,8,1,3.36783,40.809,
A,128,64,64,4,2,1,3.17205,43.328,
