variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,5.47613,25.098,
A,64,64,32,2,4,1,5.46891,25.131,
A,64,64,32,2,8,1,5.53143,24.847,
A,64,64,32,4,2,1,3.67504,37.398,
A,64,64,32,4,4,1,3.63619,37.797,
A,64,64,32,4,8,1,3.64086,37.749,
A,64,64,32,8,2,1,3.39491,40.484,
A,64,64,32,8,4,1,3.35390,40.979,
A,64,64,32,8,8,1,3.37400,40.735,
A,64,64,64,2,2,1,5.40995,25.405,
A,64,64,64,2,4,1,5.36950,25.596,
A,64,64,64,2,8,1,5.39371,25.481,
A,64,64,64,4,2,1,3.40471,40.367,
A,64,64,64,4,4,1,3.37391,40.736,
A,64,64,64,4,8,1,3.46890,39.620,
A,64,64,64,8,2,1,3.11959,44.057,
A,64,64,64,8,4,1,3.12433,43.990,
A,64,64,64,8,8,1,3.13724,43.809,
A,64,64,128,2,2,1,6.84078,20.091,
A,64,64,128,2,4,1,6.80495,20.197,
A,64,64,128,2,8,1,6.81039,20.181,
A,64,64,128,4,2,1,5.69540,24.132,
A,64,64,128,4,4,1,5.87112,23.409,
A,64,64,128,4,8,1,5.81283,23.644,
A,64,64,128,8,2,1,5.78353,23.764,
A,64,64,128,8,4,1,5.69569,24.130,
A,64,64,128,8,8,1,5.65323,24.312,
A,64,128,32,2,2,1,5.23906,26.234,
A,64,128,32,2,4,1,5.24763,26.191,
A,64,128,32,2,8,1,5.32754,25.798,
A,64,128,32,4,2,1,3.38686,40.580,
A,64,128,32,4,4,1,3.46043,39.717,
A,64,128,32,4,8,1,3.40072,40.415,
A,64,128,32,8,2,1,2.73096,50.326,
A,64,128,32,8,4,1,2.66722,51.529,
A,64,128,32,8,8,1,2.84454,48.317,
A,64,128,64,2,2,1,5.51684,24.913,
A,64,128,64,2,4,1,5.50744,24.955,
A,64,128,64,2,8,1,5.47348,25.110,
A,64,128,64,4,2,1,3.65878,37.564,
A,64,128,64,4,4,1,3.69205,37.226,
A,64,128,64,4,8,1,3.41502,40.245,
A,64,128,64,8,2,1,3.16315,43.450,
A,64,128,64,8,4,1,2.81898,48.755,
A,64,128,64,8,8,1,2.80901,48.928,
A,64,128,128,2,2,1,5.48133,25.074,
A,64,128,128,2,4,1,5.50259,24.977,
A,64,128,128,2,8,1,5.42313,25.343,
A,64,128,128,4,2,1,4.70750,29.196,
A,64,128,128,4,4,1,4.72467,29.090,
A,64,128,128,4,8,1,4.69359,29.282,
A,64,128,128,8,2,1,4.60403,29.852,
A,64,128,128,8,4,1,4.60999,29.813,
A,64,128,128,8,8,1,4.64716,29.575,
A,64,256,32,2,2,1,5.25298,26.164,
A,64,256,32,2,4,1,5.24309,26.213,
A,64,256,32,2,8,1,5.28954,25.983,
A,64,256,32,4,2,1,3.03686,45.257,
A,64,256,32,4,4,1,3.01347,45.608,
A,64,256,32,4,8,1,3.76834,36.472,
A,64,256,32,8,2,1,2.30274,59.685,
A,64,256,32,8,4,1,2.39805,57.313,
A,64,256,32,8,8,1,3.02012,45.508,
A,64,256,64,2,2,1,5.31231,25.872,
A,64,256,64,2,4,1,5.32423,25.814,
A,64,256,64,2,8,1,5.36914,25.598,
A,64,256,64,4,2,1,3.18504,43.151,
A,64,256,64,4,4,1,3.21154,42.795,
A,64,256,64,4,8,1,3.79938,36.174,
A,64,256,64,8,2,1,2.47499,55.531,
A,64,256,64,8,4,1,2.51504,54.647,
A,64,256,64,8,8,1,3.10126,44.317,
A,128,64,32,2,2,1,3.40191,40.401,
A,128,64,32,2,4,1,3.34975,41.030,
A,128,64,32,2,8,1,3.40319,40.385,
A,128,64,32,4,2,1,2.71420,50.637,
A,128,64,32,4,4,1,2.68066,51.271,
A,128,64,32,4,8,1,2.69017,51.089,
A,128,64,32,8,2,1,4.85863,28.288,
A,128,64,32,8,4,1,4.82222,28.501,
A,128,64,32,8,8,1,4.88209,28.152,
A,128,64,64,2,2,1,3.91216,35.131,
A,128,64,64,2,4,1,3.83705,35.819,
A,128,64,64,2,8,1,3.85469,35.655,
A,128,64,64,4,2,1,3.24913,42.300,
A,128,64,64,4,4,1,3.18828,43.108,
A,128,64,64,4,8,1,3.27436,41.974,
A,128,64,64,8,2,1,5.88809,23.342,
A,128,64,64,8,4,1,5.75621,23.877,
A,128,64,64,8,8,1,5.80223,23.687,
A,128,64,128,2,2,1,5.26661,26.096,
A,128,64,128,2,4,1,5.26007,26.129,
A,128,64,128,2,8,1,5.25085,26.175,
A,128,64,128,4,2,1,5.20002,26.430,
A,128,64,128,4,4,1,5.21897,26.335,
A,128,64,128,4,8,1,5.17265,26.570,
A,128,64,128,8,2,1,10.32944,13.306,
A,128,64,128,8,4,1,10.34843,13.281,
A,128,64,128,8,8,1,10.29436,13.351,
A,128,128,32,2,2,1,2.99326,45.916,
A,128,128,32,2,4,1,3.09837,44.358,
A,128,128,32,2,8,1,3.07150,44.747,
