variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,1.03088,33.331,
A,64,64,32,2,4,1,1.05122,32.686,
A,64,64,32,2,8,1,1.06685,32.207,
A,64,64,32,4,2,1,1.03716,33.129,
A,64,64,32,4,4,1,1.00006,34.358,
A,64,64,32,4,8,1,1.07443,31.980,
A,64,64,32,8,2,1,1.05541,32.556,
A,64,64,32,8,4,1,1.01757,33.766,
A,64,64,32,8,8,1,1.00830,34.077,
A,64,64,64,2,2,1,0.97918,35.090,
A,64,64,64,2,4,1,0.97100,35.386,
A,64,64,64,2,8,1,0.96856,35.475,
A,64,64,64,4,2,1,0.94980,36.176,
A,64,64,64,4,4,1,0.96226,35.707,
A,64,64,64,4,8,1,0.96750,35.514,
A,64,64,64,8,2,1,0.97913,35.092,
A,64,64,64,8,4,1,0.92518,37.138,
A,64,64,64,8,8,1,0.96152,35.735,
A,64,64,128,2,2,1,1.00515,34.184,
A,64,64,128,2,4,1,1.04348,32.928,
A,64,64,128,2,8,1,1.03288,33.266,
A,64,64,128,4,2,1,1.03129,33.317,
A,64,64,128,4,4,1,0.99611,34.494,
A,64,64,128,4,8,1,1.01816,33.747,
A,64,64,128,8,2,1,1.05531,32.559,
A,64,64,128,8,4,1,1.02037,33.674,
A,64,64,128,8,8,1,1.01376,33.893,
A,64,128,32,2,2,1,0.91606,37.508,
A,64,128,32,2,4,1,0.91169,37.688,
A,64,128,32,2,8,1,0.92226,37.256,
A,64,128,32,4,2,1,0.87889,39.094,
A,64,128,32,4,4,1,0.89191,38.524,
A,64,128,32,4,8,1,0.92142,37.290,
A,64,128,32,8,2,1,0.85069,40.390,
A,64,128,32,8,4,1,0.86529,39.709,
A,64,128,32,8,8,1,0.91604,37.509,
A,64,128,64,2,2,1,0.96100,35.754,
A,64,128,64,2,4,1,0.96649,35.551,
A,64,128,64,2,8,1,0.96524,35.597,
A,64,128,64,4,2,1,0.90046,38.158,
A,64,128,64,4,4,1,0.91038,37.742,
A,64,128,64,4,8,1,0.97238,35.336,
A,64,128,64,8,2,1,0.89057,38.582,
A,64,128,64,8,4,1,0.88975,38.617,
A,64,128,64,8,8,1,0.97217,35.343,
A,64,128,128,2,2,1,0.90805,37.839,
A,64,128,128,2,4,1,0.91123,37.707,
A,64,128,128,2,8,1,0.91878,37.397,
A,64,128,128,4,2,1,0.89110,38.559,
A,64,128,128,4,4,1,0.88329,38.900,
A,64,128,128,4,8,1,0.92510,37.142,
A,64,128,128,8,2,1,0.86281,39.823,
A,64,128,128,8,4,1,0.87177,39.414,
A,64,128,128,8,8,1,0.91562,37.526,
A,64,256,32,2,2,1,0.88341,38.894,
A,64,256,32,2,4,1,0.89133,38.549,
A,64,256,32,2,8,1,1.58200,21.719,
A,64,256,32,4,2,1,0.90326,38.040,
A,64,256,32,4,4,1,0.90307,38.048,
A,64,256,32,4,8,1,1.64003,20.951,
A,64,256,32,8,2,1,0.86719,39.622,
A,64,256,32,8,4,1,0.90825,37.831,
A,64,256,32,8,8,1,1.58866,21.628,
A,64,256,64,2,2,1,0.82077,41.863,
A,64,256,64,2,4,1,0.81430,42.196,
A,64,256,64,2,8,1,1.43007,24.027,
A,64,256,64,4,2,1,0.79278,43.341,
A,64,256,64,4,4,1,0.80002,42.949,
A,64,256,64,4,8,1,1.44004,23.860,
A,64,256,64,8,2,1,0.81010,42.414,
A,64,256,64,8,4,1,0.80880,42.482,
A,64,256,64,8,8,1,1.44644,23.755,
A,128,64,32,2,2,1,0.86335,39.798,
A,128,64,32,2,4,1,0.86718,39.622,
A,128,64,32,2,8,1,0.88788,38.699,
A,128,64,32,4,2,1,0.85896,40.002,
A,128,64,32,4,4,1,0.87462,39.286,
A,128,64,32,4,8,1,0.87123,39.438,
A,128,64,32,8,2,1,0.93226,36.857,
A,128,64,32,8,4,1,0.89232,38.506,
A,128,64,32,8,8,1,0.87848,39.113,
A,128,64,64,2,2,1,1.06170,32.363,
A,128,64,64,2,4,1,1.04822,32.779,
A,128,64,64,2,8,1,1.04141,32.994,
A,128,64,64,4,2,1,0.97013,35.418,
A,128,64,64,4,4,1,0.98088,35.029,
A,128,64,64,4,8,1,1.06982,32.117,
A,128,64,64,8,2,1,1.00835,34.075,
A,128,64,64,8,4,1,0.98401,34.918,
A,128,64,64,8,8,1,0.98409,34.915,
A,128,64,128,2,2,1,0.89109,38.559,
A,128,64,128,2,4,1,0.88420,38.860,
A,128,64,128,2,8,1,0.89739,38.288,
A,128,64,128,4,2,1,0.85465,40.203,
A,128,64,128,4,4,1,0.87371,39.326,
A,128,64,128,4,8,1,0.88037,39.029,
A,128,64,128,8,2,1,0.91781,37.437,
A,128,64,128,8,4,1,0.88801,38.693,
A,128,64,128,8,8,1,0.87209,39.400,
A,128,128,32,2,2,1,1.06635,32.222,
A,128,128,32,2,4,1,1.06237,32.343,
A,128,128,32,2,8,1,1.07709,31.901,
A,128,128,32,4,2,1,0.92141,37.290,
A,128,128,32,4,4,1,0.92924,36.976,
A,128,128,32,4,8,1,1.06181,32.360,
A,128,128,32,8,2,1,0.95400,36.016,
A,128,128,32,8,4,1,0.92581,37.113,
A,128,128,32,8,8,1,1.04450,32.896,
A,128,128,64,2,2,1,0.80123,42.884,
A,128,128,64,2,4,1,0.76764,44.760,
A,128,128,64,2,8,1,0.80784,42.533,
A,128,128,64,4,2,1,0.79812,43.051,
A,128,128,64,4,4,1,0.79052,43.465,
A,128,128,64,4,8,1,0.78094,43.998,
A,128,128,64,8,2,1,0.80592,42.634,
A,128,128,64,8,4,1,0.80569,42.646,
A,128,128,64,8,8,1,0.81246,42.291,
A,128,256,32,2,2,1,2.67364,12.851,
A,128,256,32,2,4,1,2.70452,12.705,
A,128,256,32,2,8,1,5.27491,6.514,
A,128,256,32,4,2,1,2.70108,12.721,
A,128,256,32,4,4,1,2.69750,12.738,
A,128,256,32,4,8,1,5.27554,6.513,
A,128,256,32,8,2,1,2.70395,12.707,
A,128,256,32,8,4,1,2.69987,12.726,
A,128,256,32,8,8,1,5.27742,6.511,
A,128,256,64,2,2,1,11.43844,3.004,
A,128,256,64,2,4,1,11.40177,3.014,
A,128,256,64,2,8,1,22.88202,1.502,
A,128,256,64,4,2,1,11.29912,3.041,
A,128,256,64,4,4,1,11.30957,3.038,
A,128,256,64,4,8,1,22.71963,1.512,
A,128,256,64,8,2,1,11.30691,3.039,
