variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,0.70080,25.685,
A,64,64,32,2,4,1,0.70824,25.415,
A,64,64,32,2,8,1,0.69435,25.923,
A,64,64,32,4,2,1,0.65928,27.303,
A,64,64,32,4,4,1,0.67307,26.743,
A,64,64,32,4,8,1,0.66653,27.005,
A,64,64,32,8,2,1,0.65675,27.408,
A,64,64,32,8,4,1,0.64731,27.807,
A,64,64,32,8,8,1,0.63965,28.140,
A,64,64,64,2,2,1,0.60291,29.855,
A,64,64,64,2,4,1,0.58857,30.582,
A,64,64,64,2,8,1,0.60320,29.841,
A,64,64,64,4,2,1,0.56989,31.585,
A,64,64,64,4,4,1,0.57262,31.434,
A,64,64,64,4,8,1,0.57894,31.091,
A,64,64,64,8,2,1,0.56942,31.611,
A,64,64,64,8,4,1,0.53889,33.402,
A,64,64,64,8,8,1,0.54053,33.301,
A,64,64,128,2,2,1,0.61496,29.270,
A,64,64,128,2,4,1,0.61669,29.188,
A,64,64,128,2,8,1,0.62471,28.813,
A,64,64,128,4,2,1,0.60219,29.891,
A,64,64,128,4,4,1,0.60162,29.919,
A,64,64,128,4,8,1,0.58944,30.537,
A,64,64,128,8,2,1,0.61170,29.426,
A,64,64,128,8,4,1,0.58921,30.550,
A,64,64,128,8,8,1,0.59141,30.436,
A,64,128,32,2,2,1,0.56010,32.137,
A,64,128,32,2,4,1,0.55061,32.691,
A,64,128,32,2,8,1,0.55531,32.414,
A,64,128,32,4,2,1,0.53153,33.865,
A,64,128,32,4,4,1,0.53653,33.549,
A,64,128,32,4,8,1,0.52528,34.267,
A,64,128,32,8,2,1,0.52546,34.256,
A,64,128,32,8,4,1,0.51384,35.030,
A,64,128,32,8,8,1,0.51702,34.815,
A,64,128,64,2,2,1,0.57298,31.415,
A,64,128,64,2,4,1,0.56365,31.935,
A,64,128,64,2,8,1,0.58229,30.913,
A,64,128,64,4,2,1,0.53427,33.691,
A,64,128,64,4,4,1,0.53579,33.595,
A,64,128,64,4,8,1,0.52027,34.598,
A,64,128,64,8,2,1,0.52370,34.371,
A,64,128,64,8,4,1,0.51370,35.040,
A,64,128,64,8,8,1,0.50372,35.734,
A,64,128,128,2,2,1,0.56375,31.929,
A,64,128,128,2,4,1,0.58294,30.878,
A,64,128,128,2,8,1,0.58475,30.782,
A,64,128,128,4,2,1,0.54142,33.246,
A,64,128,128,4,4,1,0.54986,32.736,
A,64,128,128,4,8,1,0.55041,32.703,
A,64,128,128,8,2,1,0.52076,34.565,
A,64,128,128,8,4,1,0.51877,34.698,
