variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,0.52417,32.776,
A,64,64,32,2,4,1,0.51279,33.503,
A,64,64,32,2,8,1,0.52700,32.599,
A,64,64,32,4,2,1,0.49611,34.629,
A,64,64,32,4,4,1,0.50926,33.735,
A,64,64,32,4,8,1,0.53244,32.266,
A,64,64,32,8,2,1,0.48860,35.162,
A,64,64,32,8,4,1,0.48654,35.311,
A,64,64,32,8,8,1,0.51363,33.448,
A,64,64,64,2,2,1,0.44257,38.819,
A,64,64,64,2,4,1,0.44763,38.379,
A,64,64,64,2,8,1,0.47218,36.384,
A,64,64,64,4,2,1,0.42528,40.397,
A,64,64,64,4,4,1,0.43334,39.645,
A,64,64,64,4,8,1,0.46703,36.785,
A,64,64,64,8,2,1,0.42051,40.855,
A,64,64,64,8,4,1,0.44872,38.287,
A,64,64,64,8,8,1,0.43629,39.377,
A,64,64,128,2,2,1,0.51487,33.367,
A,64,64,128,2,4,1,0.50906,33.748,
A,64,64,128,2,8,1,0.51913,33.094,
A,64,64,128,4,2,1,0.51263,33.513,
A,64,64,128,4,4,1,0.50707,33.881,
A,64,64,128,4,8,1,0.51248,33.523,
A,64,64,128,8,2,1,0.51335,33.466,
A,64,64,128,8,4,1,0.48827,35.185,
A,64,64,128,8,8,1,0.51043,33.658,
A,64,128,32,2,2,1,0.41645,41.253,
A,64,128,32,2,4,1,0.42183,40.727,
A,64,128,32,2,8,1,0.41628,41.270,
A,64,128,32,4,2,1,0.42817,40.124,
A,64,128,32,4,4,1,0.42435,40.485,
A,64,128,32,4,8,1,0.41944,40.959,
A,64,128,32,8,2,1,0.43643,39.365,
A,64,128,32,8,4,1,0.44167,38.898,
A,64,128,32,8,8,1,0.41569,41.329,
A,64,128,64,2,2,1,0.45225,37.988,
A,64,128,64,2,4,1,0.44633,38.491,
A,64,128,64,2,8,1,0.47166,36.424,
A,64,128,64,4,2,1,0.45541,37.724,
A,64,128,64,4,4,1,0.47878,35.883,
A,64,128,64,4,8,1,0.45914,37.417,
A,64,128,64,8,2,1,0.47642,36.060,
A,64,128,64,8,4,1,0.47860,35.896,
A,64,128,64,8,8,1,0.47353,36.280,
A,64,128,128,2,2,1,0.38284,44.875,
A,64,128,128,2,4,1,0.40322,42.606,
A,64,128,128,2,8,1,0.38990,44.062,
A,64,128,128,4,2,1,0.39274,43.743,
A,64,128,128,4,4,1,0.41954,40.949,
A,64,128,128,4,8,1,0.39094,43.944,
A,64,128,128,8,2,1,0.39335,43.676,
A,64,128,128,8,4,1,0.41702,41.197,
A,64,128,128,8,8,1,0.40187,42.750,
A,64,256,32,2,2,1,0.52455,32.752,
A,64,256,32,2,4,1,0.53404,32.170,
A,64,256,32,2,8,1,0.73931,23.238,
A,64,256,32,4,2,1,0.51923,33.087,
A,64,256,32,4,4,1,0.53468,32.131,
A,64,256,32,4,8,1,0.73571,23.351,
A,64,256,32,8,2,1,0.52496,32.726,
A,64,256,32,8,4,1,0.52239,32.887,
A,64,256,32,8,8,1,0.73993,23.218,
A,64,256,64,2,2,1,0.41741,41.158,
A,64,256,64,2,4,1,0.42481,40.441,
A,64,256,64,2,8,1,0.56565,30.372,
A,64,256,64,4,2,1,0.41028,41.873,
A,64,256,64,4,4,1,0.42400,40.518,
A,64,256,64,4,8,1,0.57182,30.044,
A,64,256,64,8,2,1,0.42898,40.048,
A,64,256,64,8,4,1,0.41339,41.559,
A,64,256,64,8,8,1,0.58626,29.304,
A,128,64,32,2,2,1,0.44693,38.440,
A,128,64,32,2,4,1,0.45442,37.807,
A,128,64,32,2,8,1,0.45521,37.740,
A,128,64,32,4,2,1,0.45867,37.455,
A,128,64,32,4,4,1,0.44551,38.562,
A,128,64,32,4,8,1,0.46768,36.735,
A,128,64,32,8,2,1,0.44065,38.987,
A,128,64,32,8,4,1,0.48466,35.447,
A,128,64,32,8,8,1,0.46948,36.593,
A,128,64,64,2,2,1,0.66617,25.789,
A,128,64,64,2,4,1,0.66400,25.873,
A,128,64,64,2,8,1,0.65711,26.144,
A,128,64,64,4,2,1,0.62850,27.335,
A,128,64,64,4,4,1,0.63208,27.180,
A,128,64,64,4,8,1,0.65897,26.071,
A,128,64,64,8,2,1,0.58716,29.259,
A,128,64,64,8,4,1,0.61917,27.746,
A,128,64,64,8,8,1,0.61773,27.811,
A,128,64,128,2,2,1,0.40340,42.588,
A,128,64,128,2,4,1,0.41157,41.742,
A,128,64,128,2,8,1,0.40013,42.936,
A,128,64,128,4,2,1,0.40193,42.744,
A,128,64,128,4,4,1,0.39735,43.236,
A,128,64,128,4,8,1,0.41314,41.584,
A,128,64,128,8,2,1,0.38791,44.289,
A,128,64,128,8,4,1,0.39680,43.296,
A,128,64,128,8,8,1,0.40599,42.316,
A,128,128,32,2,2,1,0.68529,25.069,
A,128,128,32,2,4,1,0.66940,25.665,
A,128,128,32,2,8,1,0.66779,25.726,
A,128,128,32,4,2,1,0.65664,26.163,
A,128,128,32,4,4,1,0.66019,26.023,
A,128,128,32,4,8,1,0.67690,25.380,
A,128,128,32,8,2,1,0.67869,25.313,
A,128,128,32,8,4,1,0.64896,26.473,
A,128,128,32,8,8,1,0.67778,25.347,
A,128,128,64,2,2,1,0.41442,41.456,
A,128,128,64,2,4,1,0.41575,41.323,
A,128,128,64,2,8,1,0.40582,42.334,
A,128,128,64,4,2,1,0.41264,41.634,
A,128,128,64,4,4,1,0.43774,39.247,
A,128,128,64,4,8,1,0.43087,39.872,
A,128,128,64,8,2,1,0.41800,41.100,
A,128,128,64,8,4,1,0.42773,40.165,
A,128,128,64,8,8,1,0.41542,41.355,
A,128,256,32,2,2,1,1.27207,13.505,
A,128,256,32,2,4,1,1.28594,13.360,
A,128,256,32,2,8,1,2.93020,5.863,
A,128,256,32,4,2,1,1.28961,13.322,
A,128,256,32,4,4,1,1.26829,13.546,
A,128,256,32,4,8,1,2.92437,5.875,
A,128,256,32,8,2,1,1.29590,13.257,
A,128,256,32,8,4,1,1.27331,13.492,
A,128,256,32,8,8,1,2.88912,5.946,
A,128,256,64,2,2,1,3.57399,4.807,
A,128,256,64,2,4,1,3.52634,4.872,
A,128,256,64,2,8,1,9.84138,1.746,
A,128,256,64,4,2,1,3.58800,4.788,
A,128,256,64,4,4,1,3.52989,4.867,
A,128,256,64,4,8,1,9.85757,1.743,
A,128,256,64,8,2,1,3.59540,4.778,
A,128,256,64,8,4,1,3.54359,4.848,
A,128,256,64,8,8,1,9.79535,1.754,
A,256,64,32,2,2,1,0.72778,23.606,
A,256,64,32,2,4,1,0.70609,24.331,
A,256,64,32,2,8,1,0.73335,23.427,
A,256,64,32,4,2,1,0.71165,24.141,
A,256,64,32,4,4,1,0.72427,23.720,
A,256,64,32,4,8,1,0.70590,24.338,
A,256,64,32,8,2,1,0.85486,20.097,
A,256,64,32,8,4,1,0.80037,21.465,
A,256,64,32,8,8,1,0.82049,20.939,
A,256,64,64,2,2,1,0.54848,31.323,
A,256,64,64,2,4,1,0.55209,31.118,
A,256,64,64,2,8,1,0.55407,31.007,
A,256,64,64,4,2,1,0.54462,31.545,
A,256,64,64,4,4,1,0.55625,30.885,
A,256,64,64,4,8,1,0.55514,30.947,
A,256,64,64,8,2,1,0.66519,25.827,
A,256,64,64,8,4,1,0.67766,25.352,
A,256,64,64,8,8,1,0.72459,23.710,
A,256,128,32,2,2,1,1.54632,11.110,
A,256,128,32,2,4,1,1.55521,11.047,
A,256,128,32,2,8,1,1.57294,10.922,
A,256,128,32,4,2,1,1.55963,11.015,
A,256,128,32,4,4,1,1.56234,10.996,
A,256,128,32,4,8,1,1.57092,10.936,
A,256,128,32,8,2,1,3.46432,4.959,
A,256,128,32,8,4,1,3.45867,4.967,
A,256,128,32,8,8,1,3.46576,4.957,
A,256,128,64,2,2,1,2.52571,6.802,
A,256,128,64,2,4,1,2.53481,6.778,
A,256,128,64,2,8,1,2.53379,6.780,
A,256,128,64,4,2,1,2.52443,6.805,
A,256,128,64,4,4,1,2.58588,6.644,
A,256,128,64,4,8,1,2.53951,6.765,
A,256,128,64,8,2,1,7.68282,2.236,
A,256,128,64,8,4,1,7.67479,2.238,
A,256,128,64,8,8,1,7.77812,2.209,
B,64,64,32,2,2,1,0.58808,29.213,
B,64,64,32,2,4,1,0.60784,28.264,
B,64,64,32,2,8,1,1.09967,15.623,
B,64,64,32,4,2,1,0.59615,28.818,
B,64,64,32,4,4,1,1.05478,16.288,
B,64,64,32,4,8,1,1.96101,8.761,
B,64,64,32,8,2,1,1.01414,16.940,
B,64,64,32,8,4,1,1.96108,8.760,
B,64,64,32,8,8,1,3.67421,4.676,
B,64,64,64,2,2,1,0.51438,33.399,
B,64,64,64,2,4,1,0.52011,33.031,
