variant,m_prim,n_prim,k_prim,m_l2,n_l2,ok,ms,tflops,note
A,64,64,32,2,2,1,0.60788,28.262,
A,64,64,32,2,4,1,0.60412,28.438,
A,64,64,32,2,8,1,0.60566,28.366,
A,64,64,32,4,2,1,0.61930,27.741,
A,64,64,32,4,4,1,0.62423,27.522,
A,64,64,32,4,8,1,0.61480,27.944,
A,64,64,32,8,2,1,0.60912,28.204,
A,64,64,32,8,4,1,0.60211,28.533,
A,64,64,32,8,8,1,0.61945,27.734,
A,64,64,64,2,2,1,0.65332,26.296,
A,64,64,64,2,4,1,0.64609,26.591,
A,64,64,64,2,8,1,0.63683,26.977,
A,64,64,64,4,2,1,0.64198,26.761,
A,64,64,64,4,4,1,0.65097,26.391,
A,64,64,64,4,8,1,0.64064,26.817,
A,64,64,64,8,2,1,0.65242,26.333,
A,64,64,64,8,4,1,0.64104,26.800,
A,64,64,64,8,8,1,0.63885,26.892,
A,64,64,128,2,2,1,0.63013,27.264,
A,64,64,128,2,4,1,0.62653,27.421,
A,64,64,128,2,8,1,0.63332,27.126,
A,64,64,128,4,2,1,0.63547,27.035,
A,64,64,128,4,4,1,0.64420,26.668,
A,64,64,128,4,8,1,0.64264,26.733,
A,64,64,128,8,2,1,0.64856,26.489,
A,64,64,128,8,4,1,0.62963,27.286,
A,64,64,128,8,8,1,0.63122,27.217,
A,64,128,32,2,2,1,0.52217,32.901,
A,64,128,32,2,4,1,0.53316,32.223,
A,64,128,32,2,8,1,0.55654,30.869,
A,64,128,32,4,2,1,0.53327,32.216,
A,64,128,32,4,4,1,0.53594,32.056,
A,64,128,32,4,8,1,0.54416,31.571,
A,64,128,32,8,2,1,0.52766,32.559,
A,64,128,32,8,4,1,0.52568,32.681,
A,64,128,32,8,8,1,0.52506,32.720,
A,64,128,64,2,2,1,0.53487,32.120,
A,64,128,64,2,4,1,0.53256,32.259,
A,64,128,64,2,8,1,0.53591,32.058,
A,64,128,64,4,2,1,0.53845,31.906,
A,64,128,64,4,4,1,0.53372,32.189,
A,64,128,64,4,8,1,0.53076,32.368,
A,64,128,64,8,2,1,0.53980,31.827,
A,64,128,64,8,4,1,0.52042,33.012,
A,64,128,64,8,8,1,0.53778,31.946,
A,64,128,128,2,2,1,0.53961,31.837,
A,64,128,128,2,4,1,0.54335,31.618,
A,64,128,128,2,8,1,0.54508,31.518,
A,64,128,128,4,2,1,0.54901,31.292,
A,64,128,128,4,4,1,0.55963,30.699,
A,64,128,128,4,8,1,0.54998,31.237,
A,64,128,128,8,2,1,0.55412,31.004,
A,64,128,128,8,4,1,0.55301,31.066,
A,64,128,128,8,8,1,0.54544,31.497,
A,64,256,32,2,2,1,0.52069,32.995,
A,64,256,32,2,4,1,0.51851,33.133,
A,64,256,32,2,8,1,0.53793,31.937,
A,64,256,32,4,2,1,0.51074,33.637,
A,64,256,32,4,4,1,0.52248,32.882,
A,64,256,32,4,8,1,0.51634,33.272,
A,64,256,32,8,2,1,0.53480,32.124,
A,64,256,32,8,4,1,0.49479,34.722,
A,64,256,32,8,8,1,0.53351,32.201,
A,64,256,64,2,2,1,0.50177,34.238,
A,64,256,64,2,4,1,0.50585,33.962,
A,64,256,64,2,8,1,0.49683,34.579,
A,64,256,64,4,2,1,0.49393,34.782,
A,64,256,64,4,4,1,0.49319,34.834,
A,64,256,64,4,8,1,0.51334,33.467,
A,64,256,64,8,2,1,0.49309,34.841,
A,64,256,64,8,4,1,0.49956,34.390,
A,64,256,64,8,8,1,0.49655,34.598,
A,128,64,32,2,2,1,0.52793,32.542,
A,128,64,32,2,4,1,0.53861,31.897,
A,128,64,32,2,8,1,0.52908,32.471,
A,128,64,32,4,2,1,0.53596,32.054,
A,128,64,32,4,4,1,0.54552,31.493,
A,128,64,32,4,8,1,0.53610,32.046,
A,128,64,32,8,2,1,0.60697,28.305,
A,128,64,32,8,4,1,0.53199,32.294,
A,128,64,32,8,8,1,0.53858,31.899,
A,128,64,64,2,2,1,0.53315,32.223,
A,128,64,64,2,4,1,0.51991,33.044,
A,128,64,64,2,8,1,0.52496,32.726,
A,128,64,64,4,2,1,0.54052,31.784,
A,128,64,64,4,4,1,0.51843,33.139,
A,128,64,64,4,8,1,0.51151,33.587,
A,128,64,64,8,2,1,0.52293,32.853,
A,128,64,64,8,4,1,0.52830,32.519,
A,128,64,64,8,8,1,0.51877,33.117,
A,128,64,128,2,2,1,0.54095,31.758,
A,128,64,128,2,4,1,0.52999,32.415,
A,128,64,128,2,8,1,0.54736,31.387,
A,128,64,128,4,2,1,0.53247,32.265,
A,128,64,128,4,4,1,0.54461,31.545,
A,128,64,128,4,8,1,0.53305,32.230,
A,128,64,128,8,2,1,0.53727,31.976,
A,128,64,128,8,4,1,0.53641,32.028,
A,128,64,128,8,8,1,0.53426,32.156,
A,128,128,32,2,2,1,0.57620,29.816,
A,128,128,32,2,4,1,0.57923,29.660,
A,128,128,32,2,8,1,0.55790,30.794,
A,128,128,32,4,2,1,0.51973,33.055,
A,128,128,32,4,4,1,0.52089,32.981,
A,128,128,32,4,8,1,0.51271,33.508,
A,128,128,32,8,2,1,0.55043,31.212,
A,128,128,32,8,4,1,0.52341,32.823,
A,128,128,32,8,8,1,0.51174,33.572,
A,128,128,64,2,2,1,0.49442,34.747,
A,128,128,64,2,4,1,0.48646,35.316,
A,128,128,64,2,8,1,0.50676,33.901,
A,128,128,64,4,2,1,0.49365,34.802,
A,128,128,64,4,4,1,0.50263,34.180,
A,128,128,64,4,8,1,0.49140,34.961,
A,128,128,64,8,2,1,0.55499,30.955,
A,128,128,64,8,4,1,0.50002,34.359,
A,128,128,64,8,8,1,0.49299,34.849,
A,128,256,32,2,2,1,1.58679,10.827,
A,128,256,32,2,4,1,1.60376,10.712,
A,128,256,32,2,8,1,1.61152,10.661,
A,128,256,32,4,2,1,1.57744,10.891,
A,128,256,32,4,4,1,1.58958,10.808,
A,128,256,32,4,8,1,1.61111,10.663,
A,128,256,32,8,2,1,1.60081,10.732,
A,128,256,32,8,4,1,1.58907,10.811,
A,128,256,32,8,8,1,1.58818,10.817,
A,128,256,64,2,2,1,5.98451,2.871,
A,128,256,64,2,4,1,6.04304,2.843,
A,128,256,64,2,8,1,6.02753,2.850,
A,128,256,64,4,2,1,5.98062,2.873,
A,128,256,64,4,4,1,5.97645,2.875,
A,128,256,64,4,8,1,6.02121,2.853,
A,128,256,64,8,2,1,6.04358,2.843,
A,128,256,64,8,4,1,6.01295,2.857,
A,128,256,64,8,8,1,5.97824,2.874,
A,256,64,32,2,2,1,0.52811,32.531,
A,256,64,32,2,4,1,0.53629,32.035,
A,256,64,32,2,8,1,0.52833,32.517,
A,256,64,32,4,2,1,0.58974,29.131,
A,256,64,32,4,4,1,0.57436,29.911,
A,256,64,32,4,8,1,0.52346,32.820,
A,256,64,32,8,2,1,0.58419,29.408,
A,256,64,32,8,4,1,0.54143,31.730,
A,256,64,32,8,8,1,0.53989,31.821,
A,256,64,64,2,2,1,0.50850,33.785,
A,256,64,64,2,4,1,0.52372,32.803,
A,256,64,64,2,8,1,0.51609,33.289,
A,256,64,64,4,2,1,0.54228,31.681,
A,256,64,64,4,4,1,0.54804,31.348,
A,256,64,64,4,8,1,0.52099,32.975,
A,256,64,64,8,2,1,0.56389,30.467,
A,256,64,64,8,4,1,0.51921,33.088,
A,256,64,64,8,8,1,0.51059,33.647,
A,256,128,32,2,2,1,1.83349,9.370,
A,256,128,32,2,4,1,1.87891,9.144,
A,256,128,32,2,8,1,1.87366,9.169,
A,256,128,32,4,2,1,1.83107,9.382,
A,256,128,32,4,4,1,1.83500,9.362,
A,256,128,32,4,8,1,1.84098,9.332,
A,256,128,32,8,2,1,1.82319,9.423,
A,256,128,32,8,4,1,1.82243,9.427,
A,256,128,32,8,8,1,1.82395,9.419,
A,256,128,64,2,2,1,4.81085,3.571,
A,256,128,64,2,4,1,4.82183,3.563,
A,256,128,64,2,8,1,4.85607,3.538,
A,256,128,64,4,2,1,4.84632,3.545,
A,256,128,64,4,4,1,4.84627,3.545,
A,256,128,64,4,8,1,4.81729,3.566,
A,256,128,64,8,2,1,4.85514,3.538,
A,256,128,64,8,4,1,4.82959,3.557,
A,256,128,64,8,8,1,4.81614,3.567,
B,64,64,32,2,2,1,0.57788,29.729,
B,64,64,32,2,4,1,0.61661,27.862,
B,64,64,32,2,8,1,0.61580,27.899,
B,64,64,32,4,2,1,0.58891,29.172,
B,64,64,32,4,4,1,0.63881,26.893,
B,64,64,32,4,8,1,0.62357,27.551,
B,64,64,32,8,2,1,0.59019,29.109,
B,64,64,32,8,4,1,0.66350,25.893,
B,64,64,32,8,8,1,0.72342,23.748,
B,64,64,64,2,2,1,0.58685,29.275,
B,64,64,64,2,4,1,0.59871,28.695,
B,64,64,64,2,8,1,0.60155,28.560,
B,64,64,64,4,2,1,0.57770,29.738,
B,64,64,64,4,4,1,0.60977,28.175,
B,64,64,64,4,8,1,0.60904,28.208,
B,64,64,64,8,2,1,0.59938,28.663,
B,64,64,64,8,4,1,0.61993,27.713,
B,64,64,64,8,8,1,0.70181,24.479,
B,64,64,128,2,2,1,0.56761,30.267,
B,64,64,128,2,4,1,0.55542,30.931,
B,64,64,128,2,8,1,0.55949,30.706,
B,64,64,128,4,2,1,0.55277,31.080,
B,64,64,128,4,4,1,0.56389,30.467,
B,64,64,128,4,8,1,0.56477,30.419,
B,64,64,128,8,2,1,0.57790,29.728,
B,64,64,128,8,4,1,0.56486,30.414,
B,64,64,128,8,8,1,0.66865,25.693,
B,64,128,32,2,2,1,0.56857,30.216,
B,64,128,32,2,4,1,0.61509,27.930,
B,64,128,32,2,8,1,0.59668,28.793,
B,64,128,32,4,2,1,0.61645,27.869,
B,64,128,32,4,4,1,0.60587,28.356,
B,64,128,32,4,8,1,0.70431,24.392,
B,64,128,32,8,2,1,0.60751,28.279,
B,64,128,32,8,4,1,0.70757,24.280,
B,64,128,32,8,8,1,0.68300,25.154,
B,64,128,64,2,2,1,0.67780,25.346,
B,64,128,64,2,4,1,0.69262,24.804,
B,64,128,64,2,8,1,0.71827,23.919,
B,64,128,64,4,2,1,0.71373,24.071,
B,64,128,64,4,4,1,0.69051,24.880,
B,64,128,64,4,8,1,0.87713,19.586,
B,64,128,64,8,2,1,0.70755,24.281,
B,64,128,64,8,4,1,0.82253,20.887,
B,64,128,64,8,8,1,0.84370,20.362,
B,64,128,128,2,2,1,0.70412,24.399,
B,64,128,128,2,4,1,0.72127,23.819,
B,64,128,128,2,8,1,0.80548,21.329,
B,64,128,128,4,2,1,0.74064,23.196,
B,64,128,128,4,4,1,0.72165,23.806,
B,64,128,128,4,8,1,0.92325,18.608,
B,64,128,128,8,2,1,0.75293,22.817,
B,64,128,128,8,4,1,0.87553,19.622,
B,64,128,128,8,8,1,0.90590,18.964,
B,64,256,32,2,2,1,0.51309,33.483,
B,64,256,32,2,4,1,0.50554,33.983,
B,64,256,32,2,8,1,0.60679,28.313,
B,64,256,32,4,2,1,0.50761,33.845,
B,64,256,32,4,4,1,0.58348,29.444,
B,64,256,32,4,8,1,0.62068,27.679,
B,64,256,32,8,2,1,0.58257,29.490,
B,64,256,32,8,4,1,0.54664,31.428,
B,64,256,32,8,8,1,0.85815,20.020,
B,64,256,64,2,2,1,0.53019,32.403,
B,64,256,64,2,4,1,0.50928,33.734,
B,64,256,64,2,8,1,0.62243,27.601,
B,64,256,64,4,2,1,0.50424,34.071,
B,64,256,64,4,4,1,0.59001,29.118,
B,64,256,64,4,8,1,0.61440,27.962,
B,64,256,64,8,2,1,0.57860,29.692,
B,64,256,64,8,4,1,0.56572,30.368,
B,64,256,64,8,8,1,0.85908,19.998,
B,128,64,32,2,2,1,0.54295,31.642,
B,128,64,32,2,4,1,0.61951,27.731,
B,128,64,32,2,8,1,0.60903,28.209,
B,128,64,32,4,2,1,0.57542,29.856,
B,128,64,32,4,4,1,0.59999,28.634,
B,128,64,32,4,8,1,0.68846,24.954,
B,128,64,32,8,2,1,0.56650,30.326,
B,128,64,32,8,4,1,0.71263,24.108,
B,128,64,32,8,8,1,0.67965,25.277,
B,128,64,64,2,2,1,0.65088,26.395,
B,128,64,64,2,4,1,0.66152,25.970,
B,128,64,64,2,8,1,0.66259,25.928,
B,128,64,64,4,2,1,0.67845,25.322,
B,128,64,64,4,4,1,0.67740,25.361,
B,128,64,64,4,8,1,0.78173,21.977,
B,128,64,64,8,2,1,0.69843,24.598,
B,128,64,64,8,4,1,0.81310,21.129,
B,128,64,64,8,8,1,0.78840,21.791,
B,128,64,128,2,2,1,0.69266,24.803,
B,128,64,128,2,4,1,0.72880,23.573,
B,128,64,128,2,8,1,0.75666,22.705,
B,128,64,128,4,2,1,0.73443,23.392,
B,128,64,128,4,4,1,0.74001,23.216,
B,128,64,128,4,8,1,0.91959,18.682,
B,128,64,128,8,2,1,0.75584,22.729,
B,128,64,128,8,4,1,0.88944,19.315,
B,128,64,128,8,8,1,0.88114,19.497,
B,128,128,32,2,2,1,0.51508,33.354,
B,128,128,32,2,4,1,0.50444,34.058,
B,128,128,32,2,8,1,0.59966,28.650,
B,128,128,32,4,2,1,0.51029,33.667,
B,128,128,32,4,4,1,0.58530,29.352,
B,128,128,32,4,8,1,0.60129,28.571,
B,128,128,32,8,2,1,0.59071,29.084,
B,128,128,32,8,4,1,0.55608,30.895,
B,128,128,32,8,8,1,0.86318,19.903,
B,128,128,64,2,2,1,0.50247,34.191,
B,128,128,64,2,4,1,0.52364,32.808,
B,128,128,64,2,8,1,0.62325,27.565,
B,128,128,64,4,2,1,0.51087,33.628,
B,128,128,64,4,4,1,0.57624,29.814,
B,128,128,64,4,8,1,0.61521,27.925,
B,128,128,64,8,2,1,0.58016,29.612,
B,128,128,64,8,4,1,0.56075,30.638,
B,128,128,64,8,8,1,0.85350,20.129,
B,128,256,32,2,2,1,1.63753,10.491,
B,128,256,32,2,4,1,1.90108,9.037,
B,128,256,32,2,8,1,1.57570,10.903,
